Primary,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
ABHA1,74.299,74.939,72.143,70.718,70.699,66.400,66.266,65.387,64.009,63.957,63.847,63.680,63.506,63.349,63.189,63.000,62.789,62.589,62.385,62.158,61.928,61.713,61.512,61.316,61.125,60.938,60.760,60.589,60.427,60.257,60.119
ABNE_P,9.744,9.918,9.920,9.952,9.967,9.984,9.967,9.930,9.905,9.883,9.868,9.846,9.824,9.803,9.782,9.757,9.730,9.703,9.677,9.648,9.617,9.589,9.563,9.537,9.512,9.488,9.465,9.443,9.421,9.399,9.381
ABTH_1,75.737,76.389,73.539,72.086,72.066,67.685,67.548,66.652,65.247,65.195,65.082,64.912,64.735,64.575,64.411,64.219,64.004,63.800,63.592,63.361,63.126,62.907,62.702,62.502,62.307,62.116,61.935,61.761,61.596,61.423,61.282
ACTL_2;CBNK_H;GREE_H;PERI_H,35.109,35.410,34.090,33.417,33.408,31.377,31.314,30.898,30.246,30.222,30.171,30.091,30.009,29.935,29.860,29.770,29.670,29.575,29.479,29.373,29.264,29.160,29.066,28.974,28.884,28.794,28.711,28.630,28.554,28.474,28.408
ALNE_P,7.003,7.129,7.130,7.153,7.163,7.176,7.163,7.137,7.119,7.103,7.092,7.077,7.061,7.046,7.031,7.013,6.993,6.974,6.955,6.934,6.912,6.892,6.873,6.855,6.837,6.819,6.803,6.787,6.771,6.755,6.743
ALVE1,64.009,64.560,62.151,60.924,60.907,57.204,57.088,56.331,55.144,55.099,55.005,54.861,54.711,54.576,54.437,54.275,54.093,53.920,53.745,53.549,53.351,53.166,52.993,52.824,52.659,52.498,52.344,52.198,52.058,51.912,51.793
AMEM_1,22.840,23.037,22.177,21.739,21.733,20.412,20.371,20.101,19.677,19.661,19.627,19.576,19.522,19.474,19.425,19.367,19.302,19.240,19.178,19.108,19.037,18.971,18.909,18.849,18.790,18.733,18.678,18.626,18.576,18.524,18.481
ARBR_P,9.741,9.916,9.918,9.949,9.964,9.982,9.964,9.927,9.903,9.880,9.865,9.844,9.821,9.800,9.780,9.755,9.727,9.701,9.674,9.645,9.615,9.587,9.560,9.535,9.510,9.485,9.462,9.440,9.419,9.397,9.379
ARDK_P;CLAC_P,2.460,2.504,2.505,2.513,2.516,2.521,2.516,2.507,2.501,2.495,2.491,2.486,2.480,2.475,2.470,2.463,2.457,2.450,2.443,2.436,2.428,2.421,2.414,2.408,2.402,2.396,2.390,2.384,2.379,2.373,2.369
ARMO_P,5.627,5.728,5.729,5.747,5.756,5.766,5.756,5.735,5.720,5.707,5.699,5.686,5.673,5.661,5.649,5.635,5.619,5.604,5.589,5.572,5.554,5.538,5.523,5.508,5.494,5.480,5.466,5.453,5.441,5.428,5.418
AXMI1,57.815,58.313,56.137,55.028,55.013,51.668,51.564,50.880,49.808,49.767,49.682,49.552,49.416,49.294,49.170,49.023,48.859,48.703,48.544,48.368,48.188,48.021,47.865,47.712,47.563,47.418,47.279,47.147,47.021,46.888,46.781
AYRR,15.708,15.989,15.993,16.043,16.067,16.095,16.067,16.008,15.968,15.932,15.908,15.873,15.837,15.803,15.770,15.729,15.686,15.643,15.600,15.553,15.504,15.459,15.416,15.375,15.335,15.295,15.258,15.222,15.187,15.152,15.123
