Primary,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
ABHA1,3.075,3.103,3.105,3.106,3.106,3.108,3.109,3.110,3.111,3.112,3.114,3.116,3.120,3.267,3.358,3.573,3.873,4.319,4.907,5.720,6.763,8.095,9.750,11.784,14.249,17.152,20.241,23.794,27.812,32.267,37.068
ABNE_P,,,,,,,,,,,,,,0.004,0.006,0.012,0.020,0.033,0.049,0.072,0.101,0.138,0.184,0.241,0.310,0.391,0.478,0.578,0.691,0.816,0.951
ABTH_1,1.920,1.938,1.939,1.939,1.940,1.941,1.942,1.942,1.943,1.943,1.945,1.946,1.948,2.008,2.045,2.133,2.254,2.434,2.670,2.996,3.414,3.946,4.607,5.418,6.401,7.558,8.789,10.204,11.804,13.578,15.489
ACTL_2;CBNK_H;GREE_H;PERI_H,0.380,0.383,0.384,0.384,0.384,0.384,0.384,0.384,0.384,0.385,0.385,0.385,0.385,0.402,0.412,0.437,0.471,0.521,0.588,0.679,0.797,0.948,1.135,1.364,1.642,1.970,2.319,2.720,3.173,3.676,4.217
ALNE_P,0.130,0.131,0.131,0.131,0.131,0.131,0.131,0.131,0.131,0.131,0.132,0.132,0.132,0.138,0.141,0.150,0.162,0.179,0.203,0.235,0.276,0.329,0.394,0.475,0.572,0.687,0.809,0.950,1.109,1.285,1.475
ALVE1,1.560,1.575,1.576,1.576,1.576,1.577,1.578,1.578,1.578,1.579,1.580,1.581,1.583,1.664,1.714,1.834,1.999,2.246,2.571,3.022,3.600,4.337,5.254,6.381,7.748,9.356,11.069,13.038,15.265,17.734,20.395
AMEM_1,,,,,,,,,,,,,,0.087,0.138,0.266,0.442,0.707,1.059,1.548,2.177,2.981,3.983,5.216,6.711,8.474,10.350,12.509,14.952,17.662,20.582
ARBR_P,2.565,2.589,2.591,2.591,2.591,2.593,2.594,2.594,2.595,2.596,2.598,2.600,2.603,2.618,2.630,2.653,2.684,2.728,2.783,2.857,2.949,3.065,3.207,3.379,3.585,3.826,4.082,4.375,4.705,5.070,5.462
ARDK_P;CLAC_P,,,,,,,,,,,,,,0.001,0.001,0.004,0.006,0.009,0.014,0.020,0.028,0.038,0.052,0.068,0.087,0.110,0.134,0.162,0.194,0.229,0.267
ARMO_P,0.385,0.388,0.389,0.389,0.389,0.389,0.389,0.389,0.389,0.389,0.390,0.390,0.390,0.400,0.406,0.419,0.438,0.466,0.502,0.553,0.617,0.699,0.800,0.925,1.075,1.253,1.441,1.658,1.903,2.175,2.468
AXMI1,3.447,3.479,3.481,3.481,3.482,3.484,3.485,3.486,3.487,3.488,3.491,3.493,3.497,3.573,3.622,3.733,3.888,4.115,4.413,4.823,5.348,6.015,6.843,7.857,9.086,10.531,12.069,13.836,15.833,18.047,20.431
AYRR,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.022,0.034,0.064,0.105,0.167,0.250,0.365,0.512,0.701,0.937,1.226,1.577,1.991,2.432,2.939,3.513,4.149,4.835
BAGA,,,,,,,,,,,,,,0.022,0.035,0.068,0.113,0.181,0.271,0.396,0.557,0.763,1.019,1.335,1.718,2.169,2.649,3.201,3.827,4.520,5.267
BAIN,,,,,,,,,,,,,,0.021,0.033,0.063,0.105,0.168,0.251,0.367,0.516,0.707,0.944,1.237,1.591,2.009,2.454,2.966,3.545,4.187,4.880
BARKC1;BARKW3,1.615,1.630,1.631,1.632,1.632,1.633,1.633,1.634,1.634,1.635,1.636,1.637,1.639,1.689,1.721,1.794,1.896,2.047,2.245,2.519,2.870,3.317,3.872,4.554,5.379,6.351,7.385,8.574,9.918,11.408,13.013
BEAU_P;ORRI_P,,,,,,,,,,,,,,0.009,0.015,0.028,0.047,0.075,0.112,0.164,0.230,0.315,0.421,0.551,0.709,0.895,1.094,1.322,1.580,1.866,2.175
BEDDT1,,,,,,,,,,,,,,0.074,0.117,0.225,0.375,0.599,0.898,1.312,1.845,2.527,3.376,4.420,5.688,7.181,8.772,10.601,12.672,14.968,17.443
BEDD_1,1.759,1.775,1.776,1.777,1.777,1.778,1.779,1.779,1.780,1.780,1.781,1.783,1.785,1.991,2.115,2.418,2.837,3.465,4.297,5.450,6.931,8.825,11.180,14.077,17.591,21.731,26.138,31.206,36.942,43.301,50.155
BERB_P;CAIF_P;DALL_P;GLEF_P;KEIT_P,1.130,1.140,1.141,1.141,1.141,1.142,1.143,1.143,1.143,1.144,1.144,1.145,1.147,1.161,1.172,1.194,1.225,1.269,1.328,1.407,1.508,1.636,1.795,1.989,2.223,2.498,2.791,3.128,3.507,3.928,4.381
BERW,0.416,0.419,0.420,0.420,0.420,0.420,0.420,0.420,0.420,0.421,0.421,0.421,0.422,0.430,0.435,0.447,0.463,0.487,0.518,0.561,0.616,0.685,0.772,0.877,1.005,1.156,1.316,1.500,1.708,1.939,2.187
BESW_1,0.979,0.988,0.988,0.989,0.989,0.989,0.990,0.990,0.990,0.991,0.991,0.992,0.993,1.108,1.178,1.347,1.582,1.934,2.399,3.045,3.874,4.934,6.253,7.874,9.842,12.159,14.626,17.463,20.674,24.234,28.071
BICF_1,4.818,4.863,4.866,4.867,4.867,4.870,4.872,4.873,4.875,4.877,4.880,4.883,4.889,4.946,4.986,5.069,5.186,5.355,5.574,5.871,6.250,6.730,7.323,8.048,8.923,9.951,11.044,12.299,13.715,15.284,16.973
BIRK_1,2.369,2.391,2.392,2.393,2.393,2.394,2.395,2.396,2.396,2.397,2.399,2.401,2.403,2.499,2.558,2.699,2.894,3.183,3.565,4.092,4.768,5.631,6.703,8.019,9.614,11.492,13.492,15.790,18.389,21.271,24.376
BISW_1,22.665,22.876,22.891,22.894,22.895,22.908,22.918,22.924,22.931,22.940,22.954,22.971,22.998,23.237,23.410,23.767,24.262,24.976,25.903,27.158,28.754,30.773,33.264,36.307,39.980,44.289,48.875,54.135,60.073,66.648,73.726
BLYTB1,2.875,2.902,2.904,2.904,2.904,2.906,2.907,2.908,2.909,2.910,2.912,2.914,2.917,2.969,3.003,3.079,3.185,3.339,3.542,3.820,4.174,4.625,5.183,5.867,6.695,7.668,8.704,9.893,11.237,12.727,14.331
BLYTH132,,,,,,,,,,,,,,0.016,0.026,0.050,0.084,0.134,0.201,0.293,0.412,0.565,0.754,0.988,1.271,1.605,1.960,2.369,2.831,3.344,3.897
BOAG_P,0.146,0.147,0.148,0.148,0.148,0.148,0.148,0.148,0.148,0.148,0.148,0.148,0.148,0.152,0.155,0.161,0.169,0.181,0.197,0.219,0.248,0.284,0.329,0.384,0.450,0.529,0.612,0.708,0.816,0.936,1.066
BOLN_1,4.607,4.650,4.653,4.654,4.654,4.657,4.659,4.660,4.661,4.663,4.666,4.669,4.675,4.957,5.130,5.544,6.119,6.977,8.110,9.678,11.690,14.261,17.457,21.386,26.149,31.758,37.729,44.595,52.363,60.974,70.255
BONN,0.779,0.787,0.787,0.787,0.787,0.788,0.788,0.788,0.788,0.789,0.789,0.790,0.791,0.806,0.815,0.837,0.868,0.912,0.971,1.051,1.154,1.285,1.446,1.645,1.885,2.167,2.467,2.812,3.202,3.634,4.099
