Primary,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
ABHA1,56.341,57.049,57.756,58.464,59.171,59.879,62.001,64.477,67.306,70.136,73.673,77.210,80.747,84.284,87.821,91.358,94.896,98.433,101.970,105.507,109.044,112.581,116.118,119.655,123.192,126.729,130.266,133.803,137.340,140.877,144.414
ABNE_P,4.985,5.047,5.110,5.172,5.235,5.298,5.485,5.704,5.955,6.205,6.518,6.831,7.144,7.457,7.770,8.083,8.396,8.709,9.021,9.334,9.647,9.960,10.273,10.586,10.899,11.212,11.525,11.838,12.151,12.464,12.777
ABTH_1,11.285,11.427,11.569,11.710,11.852,11.994,12.419,12.915,13.482,14.048,14.757,15.465,16.174,16.882,17.591,18.299,19.008,19.716,20.425,21.133,21.842,22.550,23.259,23.967,24.676,25.384,26.093,26.801,27.510,28.218,28.927
ACTL_2;CBNK_H;GREE_H;PERI_H,2.969,3.006,3.044,3.081,3.118,3.156,3.267,3.398,3.547,3.696,3.882,4.069,4.255,4.442,4.628,4.814,5.001,5.187,5.374,5.560,5.746,5.933,6.119,6.306,6.492,6.678,6.865,7.051,7.238,7.424,7.610
ALNE_P,1.850,1.873,1.896,1.919,1.943,1.966,2.035,2.117,2.210,2.303,2.419,2.535,2.651,2.767,2.883,2.999,3.115,3.232,3.348,3.464,3.580,3.696,3.812,3.928,4.044,4.161,4.277,4.393,4.509,4.625,4.741
ALVE1,48.567,49.177,49.787,50.397,51.007,51.616,53.446,55.580,58.019,60.459,63.508,66.557,69.606,72.655,75.704,78.753,81.802,84.851,87.900,90.949,93.998,97.047,100.096,103.145,106.194,109.243,112.292,115.341,118.390,121.439,124.488
AMEM_1,5.432,5.501,5.569,5.637,5.705,5.773,5.978,6.217,6.490,6.762,7.104,7.445,7.786,8.127,8.468,8.809,9.150,9.491,9.832,10.173,10.514,10.855,11.196,11.537,11.878,12.219,12.560,12.901,13.242,13.583,13.924
ARBR_P,4.908,4.970,5.032,5.093,5.155,5.217,5.401,5.617,5.864,6.110,6.418,6.726,7.035,7.343,7.651,7.959,8.267,8.575,8.883,9.192,9.500,9.808,10.116,10.424,10.732,11.040,11.349,11.657,11.965,12.273,12.581
ARDK_P;CLAC_P,0.177,0.179,0.182,0.184,0.186,0.188,0.195,0.203,0.212,0.220,0.232,0.243,0.254,0.265,0.276,0.287,0.298,0.309,0.321,0.332,0.343,0.354,0.365,0.376,0.387,0.398,0.410,0.421,0.432,0.443,0.454
ARMO_P,1.249,1.265,1.280,1.296,1.312,1.327,1.374,1.429,1.492,1.555,1.633,1.712,1.790,1.868,1.947,2.025,2.104,2.182,2.260,2.339,2.417,2.496,2.574,2.652,2.731,2.809,2.888,2.966,3.045,3.123,3.201
AXMI1,27.934,28.285,28.635,28.986,29.337,29.688,30.740,31.967,33.370,34.773,36.527,38.281,40.034,41.788,43.542,45.295,47.049,48.803,50.556,52.310,54.064,55.817,57.571,59.325,61.078,62.832,64.586,66.339,68.093,69.847,71.600
AYRR,1.198,1.213,1.228,1.243,1.258,1.273,1.318,1.371,1.431,1.491,1.567,1.642,1.717,1.792,1.868,1.943,2.018,2.093,2.168,2.244,2.319,2.394,2.469,2.545,2.620,2.695,2.770,2.845,2.921,2.996,3.071
BAGA,3.295,3.336,3.378,3.419,3.460,3.502,3.626,3.771,3.936,4.102,4.309,4.515,4.722,4.929,5.136,5.343,5.550,5.756,5.963,6.170,6.377,6.584,6.791,6.998,7.204,7.411,7.618,7.825,8.032,8.239,8.446
BAIN,0.967,0.979,0.991,1.003,1.015,1.027,1.064,1.106,1.155,1.203,1.264,1.325,1.385,1.446,1.507,1.567,1.628,1.689,1.749,1.810,1.871,1.931,1.992,2.053,2.113,2.174,2.235,2.295,2.356,2.417,2.478
BARKC1;BARKW3,10.823,10.959,11.094,11.230,11.366,11.502,11.910,12.385,12.929,13.472,14.152,14.831,15.511,16.190,16.870,17.549,18.228,18.908,19.587,20.267,20.946,21.626,22.305,22.985,23.664,24.343,25.023,25.702,26.382,27.061,27.741
BEAU_P;ORRI_P,2.992,3.030,3.067,3.105,3.143,3.180,3.293,3.424,3.575,3.725,3.913,4.101,4.288,4.476,4.664,4.852,5.040,5.228,5.416,5.603,5.791,5.979,6.167,6.355,6.543,6.731,6.918,7.106,7.294,7.482,7.670
