Primary,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
ABHA1,253.706,256.896,258.078,260.513,262.548,264.741,269.904,277.491,287.389,295.801,301.480,311.584,323.036,335.538,346.947,355.163,372.885,389.865,405.984,419.243,425.225,439.842,452.557,463.319,471.097,473.085,481.637,490.031,497.831,504.391
ABNE_P,43.515,43.596,43.302,43.216,43.084,43.181,43.393,43.842,44.498,45.133,45.807,46.597,47.552,48.625,49.601,50.883,52.574,54.185,55.721,57.032,58.183,59.772,61.177,62.444,63.408,63.552,64.566,65.516,66.354,67.044
ABTH_1,197.721,199.004,198.444,198.677,198.627,199.638,201.707,205.124,209.693,213.486,217.085,221.672,227.000,232.773,237.585,244.833,254.198,263.333,272.207,279.373,287.146,296.147,304.428,312.163,317.840,324.722,331.578,338.309,344.671,350.402
ACTL_2;CBNK_H;GREE_H;PERI_H,114.362,115.553,115.659,116.181,116.395,116.851,117.727,119.052,120.495,122.300,124.104,126.235,128.742,131.526,133.994,137.919,143.146,148.298,153.332,157.476,161.194,166.380,171.213,175.884,179.399,182.065,186.148,190.111,193.815,197.029
ALNE_P,30.830,30.959,30.849,30.873,30.805,30.795,30.894,31.140,31.490,31.807,31.877,32.237,32.686,33.210,33.701,33.747,34.688,35.597,36.478,37.270,37.341,38.271,39.113,39.930,40.590,40.394,41.050,41.638,42.135,42.510
ALVE1,224.391,227.208,228.290,230.531,232.594,235.213,240.461,248.172,258.296,267.430,274.799,285.925,298.518,312.147,324.858,335.231,352.154,367.986,382.683,394.950,401.991,414.680,424.861,432.168,437.216,438.030,443.366,448.599,453.309,457.033
AMEM_1,71.365,73.457,75.072,77.142,79.009,80.529,82.870,85.783,89.081,92.548,95.790,100.111,104.915,110.344,115.707,125.286,135.668,145.855,155.640,163.604,172.429,182.062,191.096,199.536,205.782,212.998,220.146,227.260,234.071,239.819
ARBR_P,33.016,33.245,33.280,33.475,33.541,33.785,34.129,34.645,35.308,35.883,36.608,37.373,38.246,39.225,40.057,41.462,43.503,45.530,47.537,49.179,50.565,52.663,54.706,56.758,58.325,58.527,60.221,61.859,63.391,64.746
ARDK_P;CLAC_P,3.680,3.695,3.683,3.688,3.684,3.688,3.713,3.760,3.825,3.888,3.930,4.004,4.093,4.195,4.287,4.321,4.454,4.577,4.694,4.799,4.817,4.928,5.021,5.095,5.155,5.109,5.163,5.209,5.244,5.268
ARMO_P,32.535,32.670,32.568,32.632,32.634,32.761,33.074,33.605,34.345,34.958,35.504,36.271,37.170,38.169,39.054,39.837,41.473,43.059,44.590,45.866,46.541,48.064,49.461,50.767,51.755,51.586,52.621,53.606,54.506,55.268
AXMI1,172.633,174.663,175.206,176.585,177.765,179.068,182.202,186.919,193.097,198.511,202.662,209.170,216.594,224.722,232.277,240.332,252.040,263.220,273.782,282.520,289.320,299.161,307.660,314.783,319.928,323.709,329.500,335.182,340.454,344.841
AYRR,44.881,45.190,45.239,45.495,45.552,45.832,46.242,46.873,47.679,48.375,49.237,50.167,51.230,52.423,53.410,55.455,58.075,60.684,63.285,65.416,67.504,70.285,73.018,75.795,77.923,78.604,80.939,83.190,85.296,87.176
BAGA,34.939,35.282,35.486,35.913,36.283,36.995,37.984,39.413,41.338,43.017,45.001,47.195,49.654,52.318,54.780,58.141,61.829,65.311,68.592,71.309,73.997,77.020,79.627,81.727,83.239,83.472,85.036,86.568,87.980,89.184
BAIN,16.787,16.971,17.091,17.317,17.496,17.839,18.284,18.903,19.710,20.400,21.261,22.174,23.194,24.306,25.302,26.901,28.743,30.533,32.259,33.658,35.041,36.715,38.267,39.688,40.733,40.952,42.080,43.193,44.247,45.178
BARKC1;BARKW3,331.263,334.106,333.611,334.311,334.354,334.661,336.758,340.528,345.170,350.215,353.283,358.878,365.608,373.076,379.954,391.285,403.666,415.603,427.052,436.745,448.136,460.074,470.596,480.184,487.368,497.666,506.296,514.568,522.128,528.476
BEAU_P;ORRI_P,29.058,29.176,29.081,29.118,29.060,29.078,29.214,29.486,29.861,30.191,30.437,30.846,31.336,31.894,32.372,32.783,33.865,34.926,35.975,36.868,37.312,38.431,39.491,40.554,41.383,41.349,42.224,43.043,43.778,44.409
BEDDT1,117.104,119.070,120.175,121.861,123.213,124.651,127.072,130.254,133.971,137.581,140.799,145.273,150.286,155.854,160.870,172.201,183.398,194.490,205.313,213.976,225.349,236.442,247.107,257.448,265.105,275.487,284.585,293.639,302.354,310.084
BEDD_1,451.359,454.758,453.834,454.766,455.166,456.991,461.329,468.263,477.015,485.779,493.225,503.617,515.780,529.113,540.827,563.221,585.582,607.302,628.241,645.288,667.331,688.815,708.413,726.498,739.772,758.060,774.080,789.825,804.675,817.787
BERB_P;CAIF_P;DALL_P;GLEF_P;KEIT_P,49.717,49.940,49.819,49.913,49.814,49.840,50.057,50.509,51.141,51.718,52.164,52.878,53.739,54.707,55.556,56.339,58.080,59.767,61.428,62.876,63.692,65.467,67.110,68.715,69.984,70.010,71.326,72.536,73.590,74.480
BERW,37.721,37.922,37.895,38.028,37.997,38.114,38.358,38.812,39.437,40.036,40.666,41.436,42.333,43.321,44.210,45.536,47.109,48.603,50.057,51.327,52.581,54.104,55.462,56.703,57.672,58.048,59.058,59.986,60.786,61.469
BESW_1,313.281,316.690,317.495,319.619,321.267,324.048,328.726,335.393,343.275,352.762,361.723,373.259,386.468,400.735,413.900,430.288,448.824,466.204,482.428,496.041,510.149,525.134,537.356,546.619,553.161,559.291,566.685,573.864,580.343,585.647
BICF_1,138.783,140.602,141.357,142.824,144.101,145.823,149.065,153.838,160.150,165.411,169.372,175.746,182.949,190.797,198.078,202.496,213.019,223.009,232.398,240.193,243.186,251.442,258.378,263.892,267.840,267.358,271.502,275.550,279.248,282.191
BIRK_1,226.625,228.412,227.995,228.556,228.911,230.048,232.767,237.325,243.567,248.663,252.984,259.029,266.062,273.799,280.895,291.598,303.621,315.170,326.153,335.246,345.299,356.159,365.706,374.068,380.191,386.648,393.759,400.704,407.145,412.558
BISW_1,508.294,512.919,513.337,516.038,518.139,522.382,530.650,543.001,558.913,573.927,587.000,605.278,626.154,648.685,668.787,691.932,722.761,752.074,779.817,802.597,822.597,848.456,870.613,888.859,901.866,911.570,926.473,941.126,954.738,966.536
BLYTB1,521.061,522.108,516.962,513.525,509.748,507.566,506.952,508.764,512.084,514.757,515.080,517.126,520.504,524.410,527.711,530.879,536.922,542.639,548.085,553.153,557.498,564.342,569.781,574.893,578.927,582.779,587.844,592.297,595.906,598.547
BLYTH132,60.244,61.242,61.757,62.602,63.370,64.380,65.905,68.092,70.913,73.416,75.671,78.736,82.194,86.016,89.730,94.320,100.071,105.560,110.719,115.016,118.918,123.713,127.849,131.279,133.771,135.671,138.398,141.077,143.565,145.524
BOAG_P,22.963,23.088,23.075,23.186,23.252,23.438,23.792,24.377,25.199,25.921,26.638,27.554,28.600,29.737,30.807,31.844,33.219,34.485,35.655,36.672,37.430,38.487,39.317,39.895,40.318,40.214,40.605,40.956,41.235,41.439
BOLN_1,856.349,862.563,860.692,862.158,862.419,864.893,872.967,886.418,903.801,920.979,934.078,954.166,977.720,1003.234,1025.774,1055.042,1090.899,1125.018,1157.447,1184.457,1211.729,1243.506,1270.669,1293.714,1310.448,1328.375,1348.214,1367.389,1384.921,1400.067
BONN,59.651,60.079,60.173,60.622,60.973,61.823,63.030,64.817,67.231,69.306,71.791,74.507,77.570,80.917,83.947,88.426,93.534,98.430,103.108,106.944,110.726,115.220,119.265,122.805,125.401,125.922,128.690,131.400,133.925,136.124
BOTW_1,157.348,158.658,158.327,158.637,158.785,159.000,160.306,162.630,165.713,168.596,170.595,173.874,177.777,182.126,186.252,191.763,198.473,204.889,210.956,216.085,221.228,227.287,232.497,237.016,240.359,244.188,248.083,251.828,255.233,257.975
BRAC_P,27.091,27.512,27.861,28.369,28.789,29.378,29.983,30.622,31.154,32.366,33.806,35.393,37.165,39.098,40.889,43.190,45.946,48.562,51.034,53.082,54.908,57.196,59.189,60.836,62.031,62.012,63.238,64.439,65.541,66.475
BRAI_1,218.799,221.721,222.697,224.660,226.143,227.416,230.721,235.647,241.881,247.330,250.546,256.898,264.185,272.334,280.014,286.395,299.925,313.087,325.700,336.175,342.097,354.221,365.148,375.128,382.573,386.420,394.709,402.770,410.254,416.374
BRAP,30.008,30.282,30.407,30.671,30.798,31.065,31.375,31.753,32.116,32.687,33.396,34.156,35.020,35.981,36.791,38.366,40.341,42.298,44.240,45.820,47.370,49.399,51.378,53.350,54.852,55.303,56.945,58.540,60.036,61.373
BRAW_1,411.437,414.931,414.686,416.117,416.965,419.583,424.513,432.228,442.045,451.906,461.435,473.346,487.116,502.049,515.508,537.574,559.433,580.269,600.047,616.429,636.396,655.774,672.532,686.745,697.039,708.532,720.583,732.348,743.236,752.591
BRED_1,319.990,323.738,324.739,326.831,328.213,329.646,330.584,329.896,325.042,330.429,335.265,341.541,349.016,357.242,364.673,376.738,389.572,401.882,413.605,423.371,434.819,446.731,457.133,466.322,473.081,479.962,487.890,495.562,502.615,508.532
BRFO_1;CLT03,845.038,850.905,848.484,849.464,849.543,851.718,860.114,874.889,895.163,912.621,924.585,944.753,968.469,994.281,1017.721,1037.722,1071.368,1103.035,1132.746,1157.930,1174.646,1202.547,1225.266,1243.240,1256.227,1263.038,1277.755,1291.725,1304.042,1313.933
BRID_P,27.878,28.090,28.144,28.351,28.492,28.839,29.307,30.009,30.944,31.787,32.782,33.878,35.122,36.490,37.748,39.445,41.561,43.586,45.519,47.130,48.555,50.425,52.095,53.562,54.653,54.723,55.864,56.959,57.967,58.817
BRIM_1,333.038,335.104,333.609,333.371,332.942,333.211,334.838,337.947,341.653,347.119,351.363,357.511,364.983,373.205,380.978,390.372,400.825,410.501,419.412,427.176,435.227,443.938,450.640,455.561,459.100,463.529,467.689,471.545,474.782,477.113
BROA_P,15.410,15.464,15.405,15.421,15.398,15.429,15.534,15.741,16.042,16.310,16.549,16.881,17.273,17.707,18.102,18.478,19.078,19.641,20.176,20.646,20.962,21.494,21.944,22.325,22.620,22.607,22.902,23.165,23.385,23.559
BROR_P,7.499,7.539,7.527,7.550,7.560,7.593,7.668,7.804,7.997,8.170,8.300,8.510,8.754,9.026,9.285,9.457,9.800,10.119,10.413,10.676,10.794,11.065,11.282,11.443,11.568,11.514,11.625,11.721,11.795,11.839
BROX,50.246,50.735,51.004,51.562,51.988,52.793,53.867,55.338,57.189,59.042,61.243,63.676,66.403,69.378,72.058,76.051,80.645,85.063,89.290,92.757,96.153,100.217,103.903,107.156,109.550,110.063,112.617,115.116,117.451,119.498
BRWA1,196.497,199.031,200.033,202.070,203.993,206.486,211.194,218.068,227.064,235.232,241.771,251.716,262.972,275.185,286.632,296.282,311.684,326.117,339.522,350.694,357.385,369.014,378.416,385.262,390.005,391.397,396.447,401.414,405.911,409.463
BUMU_P,41.348,41.707,41.871,42.241,42.429,42.838,43.428,44.254,45.287,46.193,47.360,48.583,49.954,51.474,52.744,54.842,57.887,60.912,63.905,66.332,68.355,71.429,74.432,77.426,79.696,79.914,82.375,84.774,87.031,89.059
BURM_1,297.172,300.361,301.120,303.098,304.342,306.634,310.936,317.274,325.162,332.571,338.334,347.227,357.382,368.409,378.082,386.583,403.108,419.076,434.434,447.061,454.511,469.070,482.025,493.574,502.061,505.137,514.686,523.986,532.620,540.080
BUSH_1,177.984,179.196,178.569,178.706,178.765,179.361,181.094,184.167,188.416,192.019,194.916,199.106,204.055,209.536,214.668,220.668,228.716,236.376,243.584,249.645,255.352,262.392,268.364,273.395,277.079,280.199,284.393,288.434,292.097,294.996
BUST_1,294.747,295.705,293.433,292.458,291.710,292.100,294.381,298.881,305.468,310.930,315.552,321.905,329.525,337.893,345.512,354.804,366.005,376.540,386.348,394.532,403.047,412.602,420.455,426.714,431.155,435.536,440.751,445.796,450.344,454.010
CAAD_P,18.938,19.049,19.045,19.150,19.238,19.418,19.777,20.366,21.212,21.917,22.561,23.446,24.455,25.554,26.611,27.341,28.569,29.681,30.691,31.579,32.001,32.850,33.464,33.805,34.045,33.706,33.878,34.020,34.101,34.111
CAMB_01,35.913,36.534,36.765,37.182,37.572,37.973,38.598,39.579,40.875,42.011,42.932,44.251,45.778,47.539,49.462,51.443,54.229,56.870,59.302,61.427,63.140,65.421,67.300,68.797,69.923,70.648,71.798,72.889,73.845,74.402
CANTN1;RICH1;RICH_J,213.719,217.250,218.879,221.632,224.156,226.475,231.096,237.845,246.506,254.508,261.168,270.830,281.813,293.992,305.986,322.682,341.110,358.678,375.160,388.931,403.247,418.796,432.201,443.324,451.393,461.423,470.563,479.558,487.910,494.607
