Primary,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
ABHA1,0.533,1.446,2.207,3.044,3.881,3.926,4.212,4.569,4.926,5.354,5.373,5.781,6.257,7.006,8.366,9.678,11.742,13.742,15.549,17.226,18.190,19.922,21.407,22.706,23.758,24.884,25.872,26.798,27.600,27.847
ABNE_P,0.032,0.088,0.134,0.185,0.236,0.355,0.380,0.413,0.445,0.483,0.547,0.588,0.637,0.713,0.851,1.117,1.356,1.587,1.795,1.989,2.211,2.421,2.602,2.760,2.888,2.951,3.068,3.178,3.273,3.303
ABTH_1,0.103,0.280,0.427,0.589,0.751,0.638,0.685,0.743,0.801,0.871,0.912,0.981,1.062,1.189,1.419,1.744,2.116,2.477,2.802,3.105,3.735,4.091,4.396,4.663,4.879,5.282,5.492,5.688,5.859,5.911
ACTL_2;CBNK_H;GREE_H;PERI_H,0.213,0.580,0.884,1.221,1.557,1.567,1.682,1.824,1.967,2.137,2.119,2.280,2.467,2.762,3.299,3.793,4.601,5.386,6.094,6.752,7.020,7.688,8.262,8.762,9.169,9.579,9.960,10.316,10.626,10.720
ALNE_P,0.037,0.100,0.153,0.210,0.268,0.387,0.415,0.450,0.485,0.527,0.587,0.631,0.683,0.765,0.913,1.177,1.428,1.672,1.891,2.095,2.316,2.536,2.725,2.891,3.024,3.100,3.223,3.339,3.439,3.469
ALVE1,0.394,1.070,1.633,2.253,2.872,2.906,3.117,3.382,3.646,3.963,3.977,4.279,4.631,5.185,6.192,7.163,8.691,10.172,11.509,12.750,13.463,14.746,15.845,16.806,17.585,18.418,19.149,19.835,20.429,20.612
AMEM_1,0.616,1.673,2.553,3.522,4.491,4.649,4.987,5.410,5.833,6.340,6.405,6.892,7.459,8.351,9.973,11.612,14.089,16.489,18.657,20.670,21.801,23.878,25.657,27.215,28.475,29.764,30.946,32.054,33.014,33.309
ARBR_P,0.034,0.091,0.139,0.192,0.245,0.368,0.395,0.428,0.462,0.502,0.568,0.611,0.661,0.740,0.884,1.160,1.407,1.647,1.863,2.064,2.295,2.513,2.700,2.864,2.997,3.063,3.184,3.298,3.397,3.428
ARDK_P;CLAC_P,0.004,0.010,0.015,0.020,0.026,0.036,0.039,0.042,0.045,0.049,0.054,0.058,0.063,0.071,0.084,0.108,0.131,0.153,0.173,0.192,0.211,0.231,0.249,0.264,0.276,0.284,0.295,0.306,0.315,0.318
ARMO_P,0.029,0.080,0.122,0.168,0.214,0.308,0.330,0.358,0.387,0.420,0.467,0.502,0.544,0.609,0.727,0.942,1.143,1.337,1.513,1.676,1.857,2.034,2.185,2.318,2.425,2.493,2.592,2.685,2.766,2.790
AXMI1,0.394,1.070,1.633,2.253,2.872,2.917,3.129,3.394,3.659,3.977,4.008,4.313,4.668,5.226,6.241,7.296,8.852,10.360,11.721,12.986,13.845,15.164,16.294,17.283,18.084,19.002,19.757,20.464,21.077,21.265
AYRR,0.038,0.102,0.156,0.215,0.274,0.389,0.418,0.453,0.488,0.531,0.597,0.642,0.695,0.778,0.929,1.215,1.474,1.725,1.952,2.162,2.404,2.633,2.829,3.001,3.140,3.219,3.347,3.466,3.570,3.602
BAGA,0.033,0.090,0.138,0.190,0.242,0.355,0.381,0.413,0.446,0.484,0.547,0.588,0.637,0.713,0.851,1.117,1.356,1.586,1.795,1.989,2.211,2.422,2.602,2.760,2.888,2.956,3.073,3.183,3.278,3.308
BAIN,0.022,0.060,0.092,0.127,0.162,0.238,0.255,0.276,0.298,0.324,0.366,0.393,0.426,0.477,0.569,0.747,0.906,1.061,1.200,1.330,1.479,1.620,1.740,1.846,1.931,1.976,2.055,2.128,2.192,2.212
BARKC1;BARKW3,0.533,1.448,2.210,3.048,3.887,3.981,4.271,4.632,4.994,5.429,5.411,5.822,6.302,7.055,8.425,9.707,11.778,13.784,15.596,17.279,17.970,19.682,21.149,22.433,23.472,24.502,25.475,26.387,27.178,27.421
BEAU_P;ORRI_P,0.022,0.060,0.091,0.126,0.161,0.231,0.248,0.269,0.290,0.315,0.350,0.377,0.408,0.457,0.545,0.706,0.857,1.003,1.135,1.257,1.393,1.525,1.639,1.738,1.819,1.870,1.944,2.014,2.074,2.093
BEDDT1,0.410,1.112,1.697,2.341,2.985,3.073,3.296,3.576,3.855,4.190,4.216,4.536,4.910,5.497,6.564,7.684,9.323,10.911,12.345,13.677,14.499,15.880,17.064,18.099,18.938,19.881,20.671,21.411,22.052,22.249
BEDD_1,0.530,1.438,2.195,3.028,3.860,3.974,4.263,4.624,4.985,5.419,5.452,5.866,6.349,7.108,8.489,9.936,12.056,14.109,15.964,17.686,18.750,20.535,22.066,23.405,24.489,25.709,26.730,27.687,28.516,28.772
BERB_P;CAIF_P;DALL_P;GLEF_P;KEIT_P,0.031,0.085,0.130,0.179,0.228,0.328,0.352,0.382,0.412,0.448,0.498,0.535,0.580,0.649,0.775,1.004,1.218,1.425,1.613,1.787,1.979,2.167,2.329,2.470,2.585,2.657,2.763,2.862,2.948,2.974
BERW,0.015,0.040,0.061,0.084,0.107,0.152,0.163,0.177,0.191,0.208,0.233,0.251,0.272,0.304,0.363,0.475,0.577,0.675,0.764,0.846,0.940,1.030,1.107,1.174,1.228,1.259,1.309,1.356,1.397,1.409
BESW_1,0.306,0.830,1.267,1.748,2.229,2.348,2.518,2.732,2.945,3.201,3.471,3.735,4.042,4.526,5.404,6.809,8.262,9.669,10.940,12.120,13.949,15.277,16.416,17.412,18.218,19.338,20.106,20.826,21.449,21.641
BICF_1,0.293,0.796,1.215,1.676,2.137,2.275,2.440,2.647,2.854,3.102,3.357,3.612,3.910,4.377,5.227,6.446,7.822,9.154,10.357,11.475,12.935,14.167,15.223,16.147,16.895,17.746,18.451,19.111,19.684,19.860
BIRK_1,0.353,0.958,1.463,2.018,2.572,2.779,2.981,3.233,3.486,3.789,4.092,4.403,4.766,5.336,6.372,7.925,9.616,11.254,12.734,14.107,15.930,17.447,18.748,19.886,20.807,21.943,22.814,23.631,24.338,24.556
BISW_1,0.340,0.924,1.410,1.945,2.479,2.721,2.918,3.166,3.413,3.710,4.045,4.352,4.710,5.273,6.297,7.915,9.603,11.239,12.716,14.088,16.006,17.530,18.837,19.980,20.906,22.050,22.925,23.746,24.457,24.676
BLYTB1,0.315,0.856,1.307,1.802,2.298,2.589,2.777,3.012,3.247,3.530,3.828,4.118,4.458,4.990,5.960,7.412,8.994,10.525,11.909,13.194,14.734,16.137,17.340,18.392,19.244,20.203,21.005,21.757,22.409,22.609
BLYTH132,0.232,0.630,0.961,1.326,1.690,1.904,2.042,2.215,2.388,2.596,2.815,3.029,3.278,3.670,4.383,5.451,6.614,7.741,8.759,9.704,10.836,11.868,12.753,13.527,14.154,14.859,15.449,16.002,16.481,16.628
BOAG_P,0.012,0.034,0.052,0.071,0.091,0.131,0.140,0.152,0.164,0.178,0.198,0.213,0.231,0.258,0.309,0.400,0.485,0.568,0.642,0.712,0.788,0.863,0.928,0.984,1.030,1.058,1.101,1.140,1.174,1.185
BOLN_1,0.568,1.542,2.354,3.247,4.140,4.067,4.363,4.733,5.102,5.546,5.542,5.963,6.454,7.226,8.629,10.101,12.256,14.344,16.230,17.980,19.356,21.200,22.780,24.163,25.282,26.733,27.794,28.789,29.652,29.917
BONN,0.055,0.150,0.229,0.316,0.403,0.590,0.633,0.687,0.741,0.805,0.909,0.978,1.058,1.185,1.415,1.857,2.253,2.637,2.984,3.306,3.676,4.026,4.326,4.588,4.801,4.913,5.108,5.290,5.449,5.498
BOTW_1,0.337,0.914,1.395,1.925,2.454,2.489,2.670,2.897,3.123,3.394,3.409,3.668,3.970,4.445,5.308,6.159,7.473,8.746,9.896,10.964,11.601,12.706,13.653,14.481,15.152,15.884,16.515,17.106,17.619,17.776
BRAC_P,0.034,0.091,0.139,0.192,0.245,0.367,0.393,0.427,0.460,0.500,0.566,0.609,0.659,0.738,0.881,1.156,1.402,1.641,1.857,2.057,2.287,2.505,2.692,2.855,2.987,3.053,3.174,3.288,3.386,3.417
BRAI_1,0.687,1.865,2.847,3.927,5.007,5.228,5.608,6.083,6.559,7.129,7.421,7.985,8.642,9.675,11.554,13.769,16.706,19.552,22.122,24.509,26.642,29.179,31.354,33.257,34.798,36.427,37.874,39.229,40.405,40.766
