Primary,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
ABHA1,1.402,1.818,2.479,3.407,4.737,6.670,9.394,13.220,18.499,23.252,28.583,34.706,41.498,48.724,55.770,62.778,69.277,74.926,79.754,83.855,87.902,91.032,92.532,91.715,90.679,89.376,87.843,86.437,85.003,83.494
ABNE_P,0.166,0.212,0.281,0.374,0.499,0.673,0.907,1.220,1.633,2.053,2.523,3.064,3.664,4.302,4.924,5.542,6.116,6.615,7.041,7.403,7.760,8.037,8.169,8.097,8.005,7.890,7.755,7.631,7.504,7.371
ABTH_1,0.606,0.783,1.062,1.448,1.997,2.787,3.891,5.428,7.534,9.470,11.641,14.135,16.901,19.844,22.714,25.568,28.215,30.516,32.482,34.152,35.801,37.076,37.687,37.354,36.932,36.401,35.777,35.204,34.620,34.005
ACTL_2;CBNK_H;GREE_H;PERI_H,0.776,0.956,1.200,1.472,1.764,2.072,2.344,2.520,2.504,3.148,3.868,4.696,5.616,6.592,7.544,8.496,9.372,10.136,10.792,11.344,11.892,12.316,12.520,12.408,12.268,12.092,11.884,11.696,11.500,11.296
ALNE_P,0.025,0.033,0.046,0.064,0.091,0.132,0.190,0.273,0.390,0.490,0.602,0.731,0.874,1.026,1.175,1.322,1.459,1.578,1.679,1.766,1.851,1.917,1.949,1.931,1.910,1.882,1.850,1.820,1.790,1.758
ALVE1,2.250,2.887,3.878,5.225,7.101,9.757,13.405,18.408,25.161,31.627,38.877,47.207,56.445,66.273,75.857,85.389,94.229,101.913,108.480,114.057,119.562,123.819,125.860,124.748,123.339,121.567,119.481,117.569,115.620,113.566
AMEM_1,0.984,1.227,1.572,1.983,2.480,3.085,3.773,4.537,5.338,6.709,8.247,10.014,11.974,14.059,16.092,18.114,19.989,21.619,23.013,24.196,25.363,26.267,26.700,26.464,26.165,25.789,25.346,24.941,24.527,24.092
ARBR_P,0.040,0.051,0.069,0.094,0.130,0.181,0.253,0.352,0.489,0.614,0.755,0.917,1.096,1.287,1.473,1.658,1.830,1.979,2.107,2.215,2.322,2.405,2.444,2.423,2.395,2.361,2.321,2.283,2.246,2.206
ARDK_P;CLAC_P,0.013,0.016,0.022,0.030,0.042,0.059,0.082,0.115,0.160,0.201,0.247,0.300,0.359,0.421,0.482,0.543,0.599,0.648,0.690,0.725,0.760,0.787,0.800,0.793,0.784,0.773,0.760,0.747,0.735,0.722
ARMO_P,0.058,0.078,0.112,0.164,0.243,0.364,0.544,0.808,1.186,1.491,1.833,2.225,2.661,3.124,3.575,4.025,4.441,4.804,5.113,5.376,5.635,5.836,5.932,5.880,5.813,5.730,5.632,5.542,5.450,5.353
AXMI1,1.083,1.395,1.883,2.553,3.497,4.845,6.713,9.298,12.816,16.110,19.803,24.045,28.751,33.757,38.639,43.494,47.997,51.910,55.256,58.096,60.900,63.069,64.108,63.542,62.824,61.922,60.859,59.885,58.892,57.846
AYRR,0.031,0.041,0.056,0.077,0.108,0.152,0.215,0.304,0.427,0.537,0.660,0.802,0.958,1.125,1.288,1.450,1.600,1.730,1.842,1.937,2.030,2.102,2.137,2.118,2.094,2.064,2.029,1.996,1.963,1.928
BAGA,0.328,0.427,0.587,0.814,1.144,1.628,2.318,3.295,4.654,5.850,7.191,8.732,10.441,12.259,14.032,15.795,17.430,18.851,20.066,21.097,22.116,22.903,23.281,23.075,22.815,22.487,22.101,21.747,21.387,21.007
BAIN,0.098,0.128,0.176,0.245,0.346,0.495,0.708,1.011,1.434,1.803,2.216,2.691,3.218,3.778,4.324,4.867,5.371,5.809,6.184,6.502,6.815,7.058,7.174,7.111,7.031,6.930,6.811,6.702,6.591,6.474
BARKC1;BARKW3,1.840,2.296,2.948,3.728,4.682,5.852,7.206,8.740,10.396,13.068,16.062,19.504,23.322,27.382,31.342,35.280,38.932,42.106,44.820,47.124,49.398,51.158,52.000,51.542,50.960,50.228,49.366,48.576,47.770,46.922
BEAU_P;ORRI_P,0.022,0.029,0.040,0.057,0.080,0.116,0.167,0.240,0.342,0.431,0.529,0.643,0.768,0.902,1.033,1.162,1.283,1.387,1.477,1.553,1.628,1.686,1.713,1.698,1.679,1.655,1.627,1.600,1.574,1.546
BEDDT1,0.849,1.060,1.359,1.717,2.154,2.687,3.301,3.992,4.731,5.946,7.310,8.876,10.613,12.461,14.263,16.055,17.717,19.161,20.396,21.445,22.480,23.280,23.664,23.455,23.190,22.857,22.465,22.105,21.739,21.352
BEDD_1,2.815,3.532,4.570,5.852,7.468,9.529,12.040,15.077,18.653,23.446,28.821,34.996,41.844,49.130,56.235,63.301,69.855,75.551,80.420,84.554,88.635,91.791,93.304,92.479,91.435,90.122,88.575,87.158,85.712,84.190
BERB_P;CAIF_P;DALL_P;GLEF_P;KEIT_P,0.061,0.079,0.108,0.149,0.208,0.294,0.416,0.588,0.827,1.040,1.278,1.552,1.856,2.179,2.494,2.808,3.098,3.351,3.567,3.750,3.931,4.071,4.138,4.102,4.055,3.997,3.929,3.866,3.802,3.734
BERW,0.115,0.148,0.200,0.271,0.370,0.512,0.709,0.980,1.349,1.696,2.084,2.531,3.026,3.553,4.067,4.578,5.052,5.463,5.816,6.115,6.410,6.638,6.747,6.688,6.612,6.517,6.405,6.303,6.198,6.088
BESW_1,4.506,5.634,7.247,9.202,11.610,14.602,18.121,22.198,26.734,33.605,41.308,50.158,59.974,70.417,80.600,90.727,100.120,108.284,115.263,121.188,127.037,131.561,133.729,132.548,131.051,129.168,126.952,124.920,122.849,120.667
BICF_1,0.810,1.062,1.473,2.066,2.937,4.233,6.097,8.763,12.502,15.715,19.318,23.456,28.047,32.930,37.693,42.428,46.821,50.639,53.902,56.673,59.408,61.524,62.538,61.986,61.285,60.405,59.369,58.418,57.450,56.430
BIRK_1,0.709,0.935,1.309,1.856,2.672,3.895,5.674,8.238,11.859,14.907,18.324,22.250,26.604,31.236,35.753,40.246,44.412,48.034,51.129,53.758,56.352,58.359,59.321,58.797,58.133,57.298,56.314,55.413,54.494,53.526
BISW_1,4.317,5.478,7.222,9.492,12.521,16.633,22.030,29.115,38.270,48.105,59.132,71.801,85.852,100.801,115.379,129.876,143.321,155.008,164.998,173.480,181.853,188.329,191.432,189.741,187.598,184.903,181.731,178.822,175.857,172.734
BLYTB1,0.534,0.691,0.939,1.285,1.777,2.489,3.487,4.882,6.798,8.545,10.504,12.754,15.250,17.905,20.495,23.070,25.458,27.534,29.308,30.815,32.303,33.453,34.004,33.704,33.323,32.844,32.281,31.764,31.238,30.683
BLYTH132,0.496,0.639,0.863,1.171,1.605,2.225,3.085,4.275,5.896,7.411,9.110,11.062,13.227,15.530,17.776,20.009,22.081,23.882,25.420,26.727,28.017,29.015,29.493,29.233,28.902,28.487,27.999,27.550,27.094,26.612
BOAG_P,0.145,0.190,0.263,0.370,0.526,0.758,1.093,1.572,2.244,2.821,3.468,4.211,5.035,5.911,6.766,7.616,8.405,9.090,9.676,10.173,10.664,11.044,11.226,11.127,11.001,10.843,10.657,10.487,10.313,10.130
BOLN_1,5.635,7.107,9.276,12.027,15.595,20.297,26.258,33.807,43.187,54.286,66.730,81.026,96.883,113.753,130.203,146.562,161.736,174.924,186.197,195.769,205.217,212.526,216.028,214.119,211.701,208.660,205.080,201.798,198.451,194.927
BONN,0.351,0.458,0.631,0.879,1.239,1.770,2.529,3.607,5.111,6.424,7.897,9.589,11.465,13.462,15.408,17.345,19.140,20.701,22.035,23.168,24.286,25.151,25.565,25.339,25.053,24.693,24.270,23.881,23.485,23.068
BOTW_1,0.739,0.940,1.241,1.637,2.168,2.892,3.850,5.116,6.763,8.502,10.450,12.689,15.172,17.814,20.391,22.953,25.329,27.394,29.160,30.659,32.138,33.283,33.831,33.533,33.154,32.678,32.117,31.603,31.079,30.527
BRAC_P,0.911,1.125,1.416,1.742,2.102,2.489,2.844,3.110,3.183,4.000,4.917,5.971,7.139,8.382,9.594,10.800,11.918,12.890,13.720,14.426,15.122,15.661,15.919,15.778,15.600,15.376,15.112,14.870,14.623,14.364
BRAI_1,0.845,1.082,1.448,1.941,2.622,3.579,4.884,6.660,9.041,11.364,13.969,16.962,20.282,23.813,27.257,30.682,33.858,36.619,38.979,40.983,42.961,44.491,45.224,44.824,44.318,43.681,42.932,42.245,41.544,40.806
