Primary,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
ABHA1,3.471,4.844,7.359,10.209,13.362,16.050,17.791,21.978,26.485,31.459,35.524,36.227,41.490,47.622,54.701,60.418,55.450,65.970,76.110,85.857,92.482,92.669,100.342,108.130,115.883,120.482,120.730,126.181,131.150,135.609,139.597
ABNE_P,0.177,0.248,0.376,0.522,0.683,0.820,0.976,1.206,1.454,1.727,1.950,2.168,2.483,2.850,3.273,3.615,3.591,4.272,4.928,5.560,5.989,6.226,6.742,7.265,7.786,8.095,8.204,8.574,8.912,9.215,9.486
ABTH_1,0.721,1.006,1.528,2.119,2.774,3.332,4.744,5.861,7.063,8.389,9.473,10.180,11.659,13.383,15.372,16.978,16.875,20.076,23.162,26.128,28.144,28.209,30.545,32.916,35.276,36.676,37.610,39.308,40.856,42.245,43.487
ACTL_2;CBNK_H;GREE_H;PERI_H,0.917,1.279,1.943,2.695,3.529,4.238,5.253,6.491,7.821,9.290,10.491,11.808,13.525,15.525,17.832,19.695,20.350,24.210,27.932,31.509,33.940,35.764,38.725,41.731,44.723,46.497,47.282,49.417,51.363,53.110,54.672
ALNE_P,0.137,0.191,0.290,0.402,0.526,0.631,0.612,0.756,0.910,1.082,1.221,1.167,1.336,1.534,1.762,1.946,1.643,1.954,2.255,2.543,2.740,2.666,2.887,3.111,3.334,3.466,3.438,3.593,3.735,3.862,3.975
ALVE1,2.632,3.673,5.580,7.741,10.132,12.170,13.490,16.665,20.083,23.855,26.937,27.470,31.460,36.110,41.478,45.813,42.046,50.023,57.711,65.102,70.126,70.268,76.086,81.991,87.870,91.357,91.545,95.678,99.446,102.828,105.851
AMEM_1,1.609,2.245,3.411,4.732,6.194,7.440,8.849,10.931,13.173,15.647,17.669,20.120,23.043,26.448,30.380,33.555,35.544,42.287,48.787,55.035,59.282,64.017,69.317,74.697,80.053,83.230,85.799,89.673,93.205,96.374,99.208
ARBR_P,0.306,0.428,0.650,0.901,1.179,1.417,1.686,2.083,2.511,2.982,3.367,3.744,4.287,4.921,5.653,6.243,6.201,7.377,8.511,9.601,10.342,10.753,11.643,12.547,13.447,13.980,14.168,14.808,15.391,15.914,16.382
ARDK_P;CLAC_P,0.013,0.018,0.028,0.038,0.050,0.060,0.058,0.071,0.086,0.102,0.115,0.106,0.122,0.140,0.160,0.177,0.141,0.167,0.193,0.218,0.235,0.218,0.236,0.254,0.273,0.283,0.274,0.287,0.298,0.308,0.317
ARMO_P,0.223,0.311,0.472,0.655,0.857,1.029,1.134,1.401,1.688,2.006,2.265,2.393,2.740,3.145,3.613,3.990,3.773,4.489,5.179,5.842,6.293,6.418,6.949,7.489,8.026,8.344,8.402,8.782,9.128,9.438,9.715
AXMI1,2.040,2.846,4.324,5.999,7.851,9.430,10.603,13.098,15.784,18.749,21.171,22.508,25.778,29.588,33.986,37.538,36.622,43.569,50.266,56.703,61.079,63.424,68.675,74.005,79.312,82.459,83.806,87.589,91.039,94.134,96.902
AYRR,0.396,0.552,0.839,1.164,1.524,1.830,2.205,2.724,3.283,3.899,4.403,4.967,5.688,6.529,7.500,8.284,8.369,9.957,11.488,12.959,13.959,14.661,15.875,17.107,18.334,19.062,19.407,20.283,21.082,21.799,22.440
BAGA,0.326,0.454,0.690,0.957,1.253,1.505,1.821,2.249,2.710,3.219,3.635,4.107,4.704,5.399,6.202,6.850,6.926,8.240,9.506,10.724,11.551,12.130,13.135,14.154,15.169,15.771,16.053,16.778,17.438,18.031,18.561
BAIN,0.218,0.304,0.461,0.640,0.838,1.006,1.217,1.504,1.812,2.153,2.431,2.746,3.145,3.610,4.147,4.580,4.631,5.510,6.357,7.171,7.724,8.111,8.783,9.465,10.143,10.546,10.734,11.219,11.661,12.057,12.412
