Primary,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
ABHA1,69.361,68.995,68.578,68.540,67.990,67.358,66.763,66.259,65.796,65.717,65.510,65.601,65.825,66.172,66.566,67.216,68.122,68.904,69.723,70.803,71.882,73.303,74.637,76.062,77.443,78.563,79.692,80.474,80.875,81.147
ABNE_P,16.223,16.144,16.044,16.034,15.905,15.756,15.617,15.497,15.388,15.368,15.319,15.338,15.388,15.468,15.557,15.706,15.915,16.094,16.283,16.531,16.780,17.108,17.416,17.744,18.062,18.321,18.579,18.758,18.847,18.907
ABTH_1,51.874,51.601,51.289,51.261,50.849,50.376,49.931,49.554,49.208,49.149,48.994,49.063,49.230,49.489,49.784,50.270,50.947,51.532,52.145,52.953,53.760,54.822,55.821,56.886,57.919,58.756,59.601,60.185,60.485,60.689
ACTL_2;CBNK_H;GREE_H;PERI_H,33.011,32.837,32.639,32.622,32.359,32.058,31.775,31.535,31.315,31.278,31.179,31.222,31.329,31.493,31.681,31.990,32.422,32.793,33.183,33.697,34.211,34.887,35.523,36.201,36.858,37.392,37.929,38.300,38.491,38.621
ALNE_P,13.665,13.598,13.515,13.506,13.397,13.272,13.154,13.054,12.962,12.945,12.903,12.920,12.962,13.029,13.104,13.230,13.406,13.556,13.715,13.925,14.134,14.410,14.670,14.946,15.214,15.432,15.650,15.800,15.876,15.926
ALVE1,63.931,63.594,63.209,63.175,62.667,62.084,61.536,61.071,60.645,60.572,60.381,60.466,60.672,60.992,61.355,61.954,62.789,63.509,64.264,65.260,66.255,67.564,68.794,70.107,71.380,72.413,73.453,74.173,74.543,74.794
AMEM_1,18.343,18.246,18.136,18.126,17.980,17.813,17.656,17.522,17.400,17.379,17.324,17.348,17.408,17.499,17.604,17.775,18.015,18.222,18.438,18.724,19.009,19.385,19.738,20.115,20.480,20.776,21.075,21.281,21.387,21.460
ARBR_P,14.836,14.763,14.672,14.663,14.545,14.408,14.281,14.172,14.072,14.054,14.008,14.026,14.072,14.145,14.226,14.363,14.554,14.717,14.890,15.117,15.345,15.645,15.926,16.226,16.517,16.754,16.990,17.154,17.235,17.290
ARDK_P;CLAC_P,1.659,1.651,1.641,1.640,1.626,1.611,1.597,1.585,1.573,1.571,1.566,1.568,1.573,1.582,1.591,1.606,1.627,1.646,1.665,1.690,1.716,1.749,1.781,1.814,1.847,1.873,1.900,1.918,1.927,1.933
ARMO_P,12.572,12.510,12.433,12.425,12.325,12.210,12.102,12.010,11.925,11.909,11.871,11.886,11.925,11.986,12.056,12.171,12.333,12.472,12.618,12.811,13.003,13.257,13.496,13.750,13.997,14.197,14.398,14.536,14.606,14.652
