Primary,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
ABHA1,99.590,98.348,95.544,93.199,91.451,90.072,88.969,88.141,87.589,86.992,85.888,84.877,84.095,83.359,82.486,80.876,79.727,78.623,77.520,76.508,75.313,74.669,74.072,73.704,73.382,73.198,73.060,72.922,72.784,72.646
ABNE_P,19.297,19.057,18.515,18.061,17.723,17.457,17.243,17.083,16.977,16.861,16.648,16.452,16.301,16.159,15.990,15.679,15.457,15.244,15.031,14.835,14.604,14.480,14.364,14.293,14.231,14.196,14.169,14.142,14.116,14.089
ABTH_1,84.508,83.454,81.074,79.084,77.602,76.431,75.495,74.793,74.325,73.817,72.881,72.023,71.359,70.735,69.994,68.628,67.653,66.717,65.780,64.922,63.907,63.361,62.854,62.542,62.269,62.113,61.996,61.879,61.762,61.645
ACTL_2;CBNK_H;GREE_H;PERI_H,42.138,41.612,40.426,39.433,38.695,38.111,37.644,37.293,37.060,36.807,36.340,35.913,35.582,35.269,34.901,34.220,33.734,33.266,32.800,32.372,31.866,31.594,31.340,31.185,31.048,30.971,30.913,30.854,30.796,30.738
ALNE_P,10.518,10.387,10.091,9.844,9.660,9.515,9.398,9.311,9.253,9.190,9.074,8.967,8.885,8.807,8.715,8.546,8.425,8.309,8.192,8.086,7.960,7.892,7.829,7.790,7.757,7.737,7.723,7.708,7.694,7.679
ALVE1,82.740,81.708,79.378,77.430,75.978,74.832,73.916,73.228,72.770,72.273,71.356,70.516,69.867,69.255,68.530,67.193,66.238,65.321,64.404,63.564,62.571,62.036,61.539,61.234,60.966,60.813,60.699,60.584,60.470,60.355
AMEM_1,28.257,27.904,27.109,26.443,25.948,25.556,25.243,25.008,24.852,24.682,24.369,24.082,23.860,23.652,23.404,22.947,22.621,22.308,21.995,21.708,21.369,21.186,21.016,20.912,20.821,20.769,20.729,20.690,20.651,20.612
ARBR_P,10.612,10.480,10.182,9.932,9.747,9.600,9.483,9.395,9.336,9.273,9.155,9.048,8.965,8.886,8.794,8.623,8.500,8.383,8.266,8.158,8.031,7.963,7.899,7.860,7.826,7.807,7.792,7.777,7.763,7.748
ARDK_P;CLAC_P,1.214,1.199,1.165,1.137,1.115,1.098,1.085,1.075,1.068,1.061,1.048,1.035,1.026,1.017,1.006,0.987,0.973,0.959,0.946,0.934,0.919,0.911,0.904,0.899,0.896,0.893,0.892,0.890,0.888,0.887
ARMO_P,13.583,13.414,13.032,12.713,12.475,12.287,12.137,12.025,11.949,11.868,11.718,11.580,11.474,11.374,11.255,11.036,10.880,10.730,10.580,10.442,10.279,10.192,10.111,10.061,10.017,9.992,9.973,9.954,9.936,9.917
AXMI1,69.948,69.076,67.106,65.459,64.232,63.263,62.488,61.907,61.519,61.100,60.325,59.614,59.065,58.548,57.935,56.805,55.997,55.222,54.447,53.737,52.897,52.445,52.025,51.767,51.541,51.412,51.315,51.218,51.121,51.024
AYRR,12.692,12.534,12.176,11.877,11.655,11.479,11.338,11.233,11.163,11.086,10.946,10.817,10.717,10.623,10.512,10.307,10.161,10.020,9.879,9.750,9.598,9.516,9.440,9.393,9.352,9.328,9.311,9.293,9.276,9.258
BAGA,10.145,10.018,9.733,9.494,9.316,9.175,9.063,8.979,8.922,8.861,8.749,8.646,8.566,8.491,8.402,8.239,8.121,8.009,7.897,7.794,7.672,7.606,7.545,7.508,7.475,7.456,7.442,7.428,7.414,7.400
BAIN,5.584,5.515,5.357,5.226,5.128,5.050,4.989,4.942,4.911,4.878,4.816,4.759,4.715,4.674,4.625,4.535,4.470,4.409,4.347,4.290,4.223,4.187,4.153,4.133,4.115,4.104,4.097,4.089,4.081,4.073
BARKC1;BARKW3,124.860,123.303,119.787,116.847,114.656,112.927,111.543,110.506,109.814,109.065,107.681,106.413,105.433,104.511,103.415,101.398,99.957,98.573,97.190,95.921,94.423,93.615,92.866,92.405,92.001,91.771,91.598,91.425,91.252,91.079
BEAU_P;ORRI_P,10.005,9.881,9.600,9.364,9.189,9.051,8.940,8.858,8.802,8.742,8.632,8.530,8.452,8.378,8.291,8.129,8.014,7.904,7.793,7.692,7.572,7.508,7.448,7.411,7.379,7.360,7.346,7.333,7.319,7.305
BEDDT1,47.254,46.665,45.334,44.222,43.393,42.738,42.215,41.822,41.560,41.277,40.753,40.273,39.902,39.553,39.139,38.375,37.830,37.306,36.782,36.302,35.735,35.430,35.146,34.972,34.819,34.732,34.666,34.601,34.535,34.470
BEDD_1,201.494,198.983,193.308,188.564,185.029,182.238,180.005,178.331,177.215,176.005,173.773,171.726,170.145,168.656,166.889,163.633,161.307,159.074,156.842,154.795,152.377,151.074,149.865,149.121,148.470,148.097,147.818,147.539,147.260,146.981
BERB_P;CAIF_P;DALL_P;GLEF_P;KEIT_P,13.644,13.474,13.090,12.770,12.531,12.342,12.192,12.079,12.003,11.921,11.771,11.632,11.526,11.425,11.306,11.086,10.929,10.778,10.627,10.489,10.326,10.238,10.156,10.106,10.062,10.037,10.018,9.999,9.980,9.961
BERW,7.164,7.074,6.873,6.704,6.578,6.479,6.400,6.340,6.300,6.257,6.178,6.105,6.049,5.996,5.933,5.818,5.735,5.655,5.576,5.503,5.417,5.371,5.328,5.302,5.278,5.265,5.255,5.245,5.235,5.226
BESW_1,109.134,107.773,104.700,102.130,100.216,98.704,97.495,96.588,95.983,95.328,94.119,93.010,92.154,91.348,90.390,88.627,87.367,86.158,84.949,83.840,82.530,81.825,81.170,80.767,80.414,80.213,80.062,79.910,79.759,79.608
BICF_1,51.988,51.340,49.876,48.652,47.740,47.020,46.444,46.012,45.724,45.412,44.836,44.308,43.900,43.516,43.060,42.219,41.619,41.043,40.467,39.939,39.315,38.979,38.667,38.475,38.307,38.211,38.139,38.067,37.995,37.923
BIRK_1,97.811,96.592,93.838,91.535,89.819,88.464,87.380,86.567,86.025,85.438,84.354,83.361,82.593,81.871,81.013,79.432,78.303,77.220,76.136,75.142,73.968,73.336,72.749,72.388,72.072,71.891,71.755,71.620,71.485,71.349
BISW_1,203.299,200.765,195.040,190.253,186.686,183.870,181.618,179.928,178.802,177.582,175.329,173.264,171.669,170.167,168.384,165.098,162.752,160.499,158.247,156.182,153.741,152.427,151.207,150.456,149.799,149.424,149.142,148.861,148.579,148.298
BLYTB1,244.068,241.026,234.152,228.406,224.124,220.743,218.039,216.011,214.658,213.194,210.489,208.010,206.095,204.292,202.151,198.207,195.390,192.686,189.981,187.502,184.572,182.995,181.530,180.629,179.840,179.389,179.051,178.713,178.375,178.037
BLYTH132,22.496,22.216,21.582,21.053,20.658,20.346,20.097,19.910,19.786,19.651,19.401,19.173,18.996,18.830,18.633,18.269,18.010,17.760,17.511,17.283,17.012,16.867,16.732,16.649,16.576,16.535,16.504,16.472,16.441,16.410
BOAG_P,6.273,6.194,6.018,5.871,5.761,5.674,5.605,5.553,5.518,5.481,5.411,5.348,5.299,5.253,5.198,5.097,5.024,4.955,4.886,4.822,4.747,4.707,4.669,4.646,4.626,4.614,4.606,4.597,4.588,4.580
BOLN_1,339.918,335.681,326.108,318.104,312.141,307.433,303.666,300.842,298.958,296.918,293.152,289.699,287.031,284.521,281.539,276.046,272.123,268.356,264.590,261.137,257.057,254.860,252.820,251.564,250.466,249.838,249.367,248.897,248.426,247.955
BONN,22.394,22.115,21.484,20.957,20.564,20.254,20.005,19.819,19.695,19.561,19.313,19.085,18.910,18.744,18.548,18.186,17.927,17.679,17.431,17.204,16.935,16.790,16.656,16.573,16.501,16.459,16.428,16.397,16.366,16.335
BOTW_1,67.326,66.487,64.591,63.005,61.824,60.892,60.146,59.586,59.213,58.809,58.063,57.379,56.851,56.354,55.763,54.675,53.898,53.152,52.406,51.722,50.914,50.479,50.075,49.826,49.609,49.484,49.391,49.298,49.204,49.111
BRAC_P,7.775,7.678,7.459,7.277,7.141,7.033,6.947,6.883,6.840,6.793,6.707,6.629,6.568,6.510,6.442,6.317,6.228,6.142,6.056,5.977,5.884,5.834,5.787,5.759,5.734,5.719,5.709,5.698,5.687,5.676
BRAI_1,85.284,84.221,81.819,79.811,78.315,77.134,76.189,75.480,75.008,74.496,73.551,72.684,72.015,71.385,70.637,69.259,68.275,67.330,66.385,65.518,64.495,63.943,63.432,63.117,62.841,62.683,62.565,62.447,62.329,62.211
BRAP,8.806,8.696,8.448,8.241,8.087,7.965,7.867,7.794,7.745,7.692,7.595,7.505,7.436,7.371,7.294,7.151,7.050,6.952,6.855,6.765,6.660,6.603,6.550,6.517,6.489,6.473,6.460,6.448,6.436,6.424
BRAW_1,157.983,156.014,151.564,147.845,145.073,142.885,141.134,139.821,138.946,137.998,136.248,134.643,133.403,132.236,130.850,128.297,126.474,124.723,122.973,121.368,119.472,118.451,117.503,116.919,116.408,116.117,115.898,115.679,115.460,115.241
BRED_1,138.491,136.765,132.865,129.604,127.174,125.256,123.722,122.571,121.803,120.972,119.438,118.031,116.944,115.921,114.706,112.468,110.870,109.335,107.801,106.394,104.732,103.837,103.005,102.494,102.046,101.791,101.599,101.407,101.215,101.023
BRFO_1;CLT03,341.065,336.813,327.208,319.178,313.194,308.470,304.691,301.856,299.967,297.920,294.141,290.676,288.000,285.480,282.489,276.978,273.041,269.262,265.482,262.018,257.924,255.720,253.673,252.413,251.311,250.681,250.209,249.736,249.264,248.792
BRID_P,9.103,8.990,8.734,8.520,8.361,8.235,8.134,8.059,8.009,7.954,7.853,7.761,7.690,7.623,7.543,7.396,7.292,7.191,7.090,6.998,6.889,6.831,6.776,6.743,6.713,6.697,6.684,6.671,6.659,6.646
BRIM_1,146.631,144.803,140.674,137.221,134.649,132.618,130.993,129.775,128.962,128.082,126.457,124.968,123.817,122.734,121.448,119.078,117.386,115.761,114.137,112.647,110.887,109.939,109.059,108.518,108.044,107.773,107.570,107.367,107.164,106.961
BROA_P,4.742,4.683,4.549,4.438,4.355,4.290,4.237,4.198,4.172,4.143,4.091,4.043,4.006,3.971,3.929,3.853,3.798,3.746,3.693,3.645,3.589,3.558,3.530,3.512,3.497,3.488,3.482,3.475,3.469,3.462
BROR_P,2.155,2.129,2.068,2.017,1.980,1.950,1.926,1.908,1.896,1.883,1.859,1.838,1.821,1.805,1.786,1.751,1.726,1.703,1.679,1.657,1.631,1.617,1.604,1.596,1.590,1.586,1.583,1.580,1.577,1.574
BROX,16.065,15.865,15.413,15.034,14.752,14.530,14.352,14.218,14.129,14.033,13.855,13.692,13.566,13.447,13.306,13.046,12.861,12.683,12.505,12.342,12.149,12.045,11.949,11.889,11.838,11.808,11.786,11.763,11.741,11.719
BRWA1,75.540,74.599,72.471,70.693,69.367,68.321,67.484,66.856,66.438,65.985,65.148,64.380,63.787,63.229,62.567,61.346,60.474,59.637,58.800,58.033,57.126,56.638,56.185,55.906,55.661,55.522,55.417,55.313,55.208,55.103
BUMU_P,12.159,12.008,11.666,11.380,11.168,10.999,10.865,10.764,10.697,10.624,10.490,10.367,10.271,10.182,10.075,9.879,9.740,9.605,9.471,9.348,9.202,9.124,9.051,9.006,8.967,8.945,8.928,8.911,8.894,8.877
BURM_1,104.297,102.997,100.059,97.604,95.774,94.329,93.174,92.307,91.729,91.103,89.947,88.888,88.070,87.299,86.384,84.699,83.495,82.339,81.184,80.124,78.873,78.198,77.572,77.187,76.850,76.658,76.513,76.369,76.224,76.080
BUSH_1,82.081,81.058,78.746,76.814,75.374,74.237,73.327,72.645,72.191,71.698,70.788,69.955,69.310,68.704,67.984,66.658,65.710,64.801,63.891,63.058,62.072,61.542,61.049,60.746,60.481,60.329,60.216,60.102,59.988,59.875
BUST_1,157.887,155.919,151.472,147.755,144.985,142.798,141.049,139.737,138.862,137.914,136.165,134.561,133.322,132.156,130.771,128.219,126.397,124.648,122.898,121.295,119.399,118.379,117.431,116.848,116.338,116.046,115.828,115.609,115.390,115.172
CAAD_P,5.609,5.539,5.381,5.249,5.151,5.074,5.012,4.965,4.934,4.901,4.839,4.782,4.738,4.697,4.648,4.557,4.493,4.431,4.369,4.312,4.245,4.209,4.175,4.154,4.136,4.126,4.118,4.110,4.103,4.095
CAMB_01,14.274,14.096,13.694,13.358,13.108,12.910,12.752,12.633,12.554,12.468,12.310,12.165,12.053,11.948,11.823,11.592,11.427,11.269,11.111,10.966,10.795,10.702,10.617,10.564,10.518,10.491,10.472,10.452,10.432,10.412
CANTN1;RICH1;RICH_J,81.312,80.298,78.008,76.094,74.667,73.541,72.640,71.964,71.514,71.026,70.125,69.299,68.661,68.060,67.347,66.033,65.094,64.194,63.293,62.467,61.491,60.965,60.477,60.177,59.914,59.764,59.651,59.539,59.426,59.313
CAPEA1,123.098,121.563,118.097,115.198,113.039,111.334,109.970,108.947,108.265,107.526,106.162,104.912,103.945,103.036,101.956,99.967,98.546,97.183,95.819,94.568,93.091,92.295,91.556,91.101,90.704,90.476,90.306,90.135,89.965,89.794
