Primary,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
ABHA1,60.610,62.800,62.200,60.400,57.930,55.180,51.460,43.440,36.820,33.400,31.580,25.780,25.410,24.970,24.570,24.200,23.860,23.520,23.160,22.820,22.510,22.230,22.310,22.580,22.850,23.050,23.220,23.350,23.440,23.490
ABNE_P,3.040,4.590,4.530,4.460,4.400,4.320,4.240,4.180,4.110,3.990,3.850,3.630,3.370,3.190,3.140,2.860,2.500,2.360,2.310,2.260,2.230,2.190,2.150,2.130,2.110,2.090,2.080,2.060,2.040,2.060
ABTH_1,45.430,51.720,53.940,55.990,57.520,58.740,59.390,56.690,55.560,55.380,56.270,54.990,55.040,55.850,55.600,56.280,56.350,56.970,56.960,57.420,57.320,57.570,58.730,61.040,63.110,64.940,66.500,67.780,68.760,69.470
ALNE_P,7.000,8.140,8.140,8.140,8.140,8.140,8.140,7.330,7.330,6.890,6.890,6.890,6.010,6.010,5.230,5.230,4.800,4.800,4.370,4.370,3.930,3.930,3.500,3.500,3.500,3.500,3.500,3.500,3.500,3.500
ALVE1,7.250,6.710,6.500,6.280,6.030,5.780,5.510,5.730,5.440,5.150,4.870,11.600,11.340,11.080,10.840,10.610,10.400,10.200,10.010,9.830,9.660,9.510,9.380,9.270,9.190,9.100,9.020,8.960,8.900,8.850
AMEM_1,6.840,6.820,6.660,6.270,5.790,5.280,4.590,3.110,1.910,1.310,1.030,,,,,,,,,,,,,,,,,,,
AXMI1,1.920,1.910,1.870,1.760,1.620,1.480,1.290,0.870,0.530,0.370,0.290,,,,,,,,,,,,,,,,,,,
BAIN,4.210,4.210,4.210,4.210,4.210,4.210,4.210,4.210,4.210,4.210,4.210,4.210,4.210,4.210,4.210,,,,,,,,,,,,,,,
BARKC1;BARKW3,119.050,136.600,138.300,137.470,136.230,134.840,132.790,127.320,123.240,120.750,117.670,111.480,109.290,107.170,105.160,103.360,101.120,98.730,96.630,94.380,91.860,89.200,86.370,83.210,80.240,75.640,69.520,62.540,56.510,51.900
BEDD_1,97.490,99.110,95.920,95.010,93.860,90.210,88.700,86.240,81.720,80.090,78.740,74.400,73.320,67.490,66.460,26.370,25.450,24.560,23.710,22.920,22.180,21.490,21.080,20.880,20.760,20.580,20.430,20.280,20.150,20.020
