Primary,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
ABNE_P,37.880,28.150,28.430,28.720,29.000,29.360,29.810,30.250,30.710,31.830,32.970,34.120,35.280,36.460,37.650,38.850,40.070,41.300,42.540,43.800,45.070,46.360,47.670,48.990,50.330,51.680,53.050,54.440,55.850,57.270
ALNE_P,14.150,10.520,10.620,10.730,10.840,10.970,11.140,11.310,11.480,11.900,12.320,12.750,13.180,13.620,14.070,14.520,14.970,15.430,15.900,16.370,16.840,17.330,17.810,18.310,18.810,19.310,19.830,20.350,20.870,21.400
ALVE1,128.490,135.690,137.050,138.420,139.800,141.550,143.670,145.830,148.010,153.440,158.920,164.460,170.070,175.740,181.470,187.260,193.130,199.060,205.060,211.130,217.280,223.490,229.790,236.160,242.600,249.130,255.740,262.430,269.210,276.070
ARBR_P,3.990,2.970,2.990,3.020,3.060,3.090,3.140,3.190,3.230,3.350,3.470,3.590,3.720,3.840,3.970,4.090,4.220,4.350,4.480,4.610,4.750,4.880,5.020,5.160,5.300,5.440,5.590,5.730,5.880,6.030
ARMO_P,32.250,23.970,24.210,24.450,24.700,25.010,25.380,25.760,26.150,27.110,28.070,29.050,30.040,31.050,32.060,33.080,34.120,35.170,36.230,37.300,38.380,39.480,40.590,41.720,42.860,44.010,45.180,46.360,47.560,48.770
BAGA,52.550,51.010,51.520,52.030,52.550,53.210,54.010,54.820,55.640,57.680,59.740,61.820,63.930,66.060,68.210,70.390,72.600,74.830,77.080,79.360,81.670,84.010,86.380,88.770,91.190,93.650,96.130,98.650,101.190,103.770
BEAU_P;ORRI_P,1.000,0.740,0.750,0.760,0.770,0.780,0.790,0.800,0.810,0.840,0.870,0.900,0.930,0.960,0.990,1.030,1.060,1.090,1.120,1.160,1.190,1.220,1.260,1.290,1.330,1.360,1.400,1.440,1.470,1.510
BERB_P;CAIF_P;DALL_P;GLEF_P;KEIT_P,21.360,15.870,16.030,16.190,16.360,16.560,16.810,17.060,17.320,17.950,18.590,19.240,19.900,20.560,21.230,21.910,22.590,23.290,23.990,24.700,25.420,26.150,26.880,27.630,28.380,29.150,29.920,30.700,31.490,32.300
BERW,106.210,103.090,104.130,105.170,106.220,107.550,109.160,110.800,112.460,116.580,120.750,124.960,129.210,133.520,137.880,142.280,146.740,151.240,155.800,160.410,165.080,169.810,174.590,179.430,184.330,189.290,194.310,199.390,204.540,209.750
BICF_1,197.530,198.250,198.380,198.520,198.660,198.830,199.050,199.260,199.480,200.020,200.570,201.130,201.690,202.250,202.830,203.410,203.990,204.590,205.190,205.790,206.410,207.030,207.660,208.300,208.940,209.590,210.250,210.920,211.600,212.290
