GSP,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
ABHA1,3.325004014,3.88441405,4.49668325,5.165374719,5.704433653,6.160775207,6.592044252,,,,,,,,,,,,,,,,,,,,,,,
ABTH_1,15.20001835,17.75732137,20.55626629,23.61314157,26.07741099,28.1635438,30.13505944,,,,,,,,,,,,,,,,,,,,,,,
BEDD_1,1.982002393,2.315461247,2.680428933,3.079029381,3.400357143,3.672377883,3.929453145,,,,,,,,,,,,,,,,,,,,,,,
BOLN_1,5.000006036,5.841224136,6.7619297,7.76748078,8.578095719,9.26432362,9.9128485,,,,,,,,,,,,,,,,,,,,,,,
BOTW_1,19.00002294,22.19665171,25.69533286,29.51642696,32.59676373,35.20442976,37.6688243,,,,,,,,,,,,,,,,,,,,,,,
BRAI_1,4.052004892,4.733728039,5.479867829,6.294766424,6.951688771,7.507807862,8.033372424,,,,,,,,,,,,,,,,,,,,,,,
BRAW_1,17.00702053,19.86833977,23.00002768,26.42030912,29.17753478,31.51167036,33.71756289,,,,,,,,,,,,,,,,,,,,,,,
BRED_1,33.20404008,38.79040124,44.90462275,51.58228636,56.96541805,61.52252029,65.82924432,,,,,,,,,,,,,,,,,,,,,,,
BRFO_1;CLT03,3.600004346,4.205681378,4.868589384,5.592586161,6.176228918,6.670313006,7.13725092,,,,,,,,,,,,,,,,,,,,,,,
BRWA1,6,6,6,6,6,6,6,,,,,,,,,,,,,,,,,,,,,,,
BUST_1,1.140001376,1.331799103,1.541719971,1.770985618,1.955805824,2.112265785,2.260129458,,,,,,,,,,,,,,,,,,,,,,,
CAMB_01,5.160006229,6.028143308,6.97831145,8.016040165,8.852594782,9.560781976,10.23005965,,,,,,,,,,,,,,,,,,,,,,,
CARE_1,9.500011469,11.09832586,12.84766643,14.75821348,16.29838187,17.60221488,18.83441215,,,,,,,,,,,,,,,,,,,,,,,
CARR_1,58.00004587,64.39330343,71.39066572,79.03285393,85.19352747,90.40885951,95.3376486,,,,,,,,,,,,,,,,,,,,,,,
CELL_1,27.600009175,28.878660686,30.27813314,31.80657079,33.03870549,34.0817719,35.06752972,,,,,,,,,,,,,,,,,,,,,,,
CHIC_1,47,47,47,47,47,,,,,,,,,,,,,,,,,,,,,,,,,
CHTE_1,58.73807091,68.62036465,79.43644534,91.24925721,100.7720373,108.8335682,116.452179,,,,,,,,,,,,,,,,,,,,,,,
COVE_1,21.58402606,25.21539635,29.18989813,33.53066103,37.0299236,39.9922322,42.7917844,,,,,,,,,,,,,,,,,,,,,,,
COWL_1;ECLA_H,12,12,12,12,12,12,12,,,,,,,,,,,,,,,,,,,,,,,
CREB_1,78.15009434,91.29833324,105.6889612,121.4057246,134.0756361,144.8013782,154.9378221,,,,,,,,,,,,,,,,,,,,,,,
CUMB,8.421062798,12.1128664,14.0221209,16.10731839,17.78827948,19.21130087,20.55613802,,,,,,,,,,,,,,,,,,,,,,,
DRAX_1,51.00006157,59.58048618,68.97168294,79.22830395,87.49657634,94.49610092,101.1110547,,,,,,,,,,,,,,,,,,,,,,,
ECLA_1,24.70002982,28.85564723,33.40393272,38.37135505,42.37579285,45.76575868,48.96947159,,,,,,,,,,,,,,,,,,,,,,,
FECK_6,20.85202517,24.36024113,28.19995162,32.39350184,35.77409039,38.63593522,41.34054338,,,,,,,,,,,,,,,,,,,,,,,
FERRA2,5.499006639,6.424178304,7.436770284,8.542675362,9.434189672,10.18890312,10.90215078,,,,,,,,,,,,,,,,,,,,,,,
FERRB1;FERRB_M,15.35601854,17.93956756,20.76723849,23.85548697,26.34504757,28.4525907,30.44434031,,,,,,,,,,,,,,,,,,,,,,,
FLEE_1;BRLE_1,55.7500673,65.12964911,75.39551615,86.6074107,95.64576727,103.29720836,110.52826077,,,,,,,,,,,,,,,,,,,,,,,
GRIW_1,24.00002897,28.03787585,32.45726256,37.28390774,41.17485945,44.46875338,47.5816728,,,,,,,,,,,,,,,,,,,,,,,
HARK_1;HUTT_1;RRIG,14.0000169,16.35542758,18.93340316,21.74894618,24.01866801,25.94010614,27.7559758,,,,,,,,,,,,,,,,,,,,,,,
HARM_6,2.000002414,2.336489654,2.70477188,3.106992312,3.431238288,3.705729448,3.9651394,,,,,,,,,,,,,,,,,,,,,,,
IROA1,3.121003768,3.646092105,4.220796518,4.848461503,5.354447348,5.782790804,6.187600034,,,,,,,,,,,,,,,,,,,,,,,
IRONB1,3.878004682,4.530453439,5.244552675,6.024458093,6.65317104,7.1854094,7.688405297,,,,,,,,,,,,,,,,,,,,,,,
KEAD_1,70.00008451,81.7771379,94.66701579,108.7447309,120.0933401,129.7005307,138.779879,,,,,,,,,,,,,,,,,,,,,,,
KEAR_1;KEAR_3,47.159281579,51.560408493,56.377401898,61.638294317,65.879310093,69.469551529,72.86253642,,,,,,,,,,,,,,,,,,,,,,,
KIRKB1,2.000002414,2.336489654,2.70477188,3.106992312,3.431238288,3.705729448,3.9651394,,,,,,,,,,,,,,,,,,,,,,,
KNAR,27.00003259,31.54261033,36.51442038,41.94439621,46.32171688,50.02734755,53.5293819,,,,,,,,,,,,,,,,,,,,,,,
LACK_6,12.00001449,14.01893793,16.22863128,18.64195387,20.58742973,22.23437669,23.7908364,,,,,,,,,,,,,,,,,,,,,,,
LOVE_1,36.00001932,38.69191723,41.63817504,44.8559385,47.4499063,49.64583558,51.7211152,,,,,,,,,,,,,,,,,,,,,,,
MACC_3,31.37503788,36.65368145,42.43110886,48.74094189,53.82755064,58.13363071,62.20312434,,,,,,,,,,,,,,,,,,,,,,,
MANN_1,32.30003899,37.73430792,43.68206586,50.17792584,55.41449835,59.84753058,64.03700131,,,,,,,,,,,,,,,,,,,,,,,
MELK_1,25.16053037,29.39362397,34.02670644,39.08674003,43.16583547,46.61900289,49.88244494,,,,,,,,,,,,,,,,,,,,,,,
MILC_P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NECE_1,9.629011624,11.24902944,13.02212422,14.95861449,16.51969674,17.84123443,19.09016364,,,,,,,,,,,,,,,,,,,,,,,
NFLE,7.500009054,8.761836203,10.14289455,11.65122117,12.86714358,13.89648543,14.86927275,,,,,,,,,,,,,,,,,,,,,,,
NORT_1,25.68303101,30.00403189,34.73332809,39.89844177,44.06224647,47.58712471,50.9183376,,,,,,,,,,,,,,,,,,,,,,,
NURS_1,4.370005276,5.105229894,5.909926557,6.788778202,7.497255659,8.097018844,8.663829589,,,,,,,,,,,,,,,,,,,,,,,
OFFE_3,1.900002294,2.219665171,2.569533286,2.951642696,3.259676373,3.520442976,3.76688243,,,,,,,,,,,,,,,,,,,,,,,
OSBA_1,51.12506172,59.72651679,69.14073118,79.42249097,87.71102873,94.72770901,101.3588759,,,,,,,,,,,,,,,,,,,,,,,
PADIB1,7.040008499,8.224443583,9.520797017,10.93661294,12.07795877,13.04416766,13.95729069,,,,,,,,,,,,,,,,,,,,,,,
PENE_1,122.1051474,142.6485346,165.1330852,189.6896481,209.4856756,226.2440471,242.0816732,,,,,,,,,,,,,,,,,,,,,,,
PENW_1;STAH_1;WABO,31.50003803,36.79971205,42.60015711,48.93512891,54.04200303,58.36523881,62.45094555,,,,,,,,,,,,,,,,,,,,,,,
POPP_3,1.900002294,2.219665171,2.569533286,2.951642696,3.259676373,3.520442976,3.76688243,,,,,,,,,,,,,,,,,,,,,,,
PYLE_1,11.88401435,13.88342153,16.07175451,18.46174832,20.38841791,22.01944438,23.56085831,,,,,,,,,,,,,,,,,,,,,,,
RASS_1,45.60005505,53.27196412,61.66879886,70.83942471,78.23223296,84.49063141,90.40517832,,,,,,,,,,,,,,,,,,,,,,,
RATS_1,19.00002294,22.19665171,25.69533286,29.51642696,32.59676373,35.20442976,37.6688243,,,,,,,,,,,,,,,,,,,,,,,
RAYL_1,14.0000169,16.35542758,18.93340316,21.74894618,24.01866801,25.94010614,27.7559758,,,,,,,,,,,,,,,,,,,,,,,
ROCH_1,25.500005432,26.257101722,27.08573673,27.990732702,28.720286147,29.337891258,29.92156365,,,,,,,,,,,,,,,,,,,,,,,
SALH_1,197.7502387,231.0204146,267.4343196,307.2038648,339.2636857,366.4039992,392.0531582,,,,,,,,,,,,,,,,,,,,,,,
SALT_1,12.00001449,14.01893793,16.22863128,18.64195387,20.58742973,22.23437669,23.7908364,,,,,,,,,,,,,,,,,,,,,,,
SBAR,23.08502787,26.96893183,31.21982942,35.86245876,39.60506794,42.77338215,45.76762152,,,,,,,,,,,,,,,,,,,,,,,
SELL_1,10,10,10,10,10,10,10,,,,,,,,,,,,,,,,,,,,,,,
SHEC_3,2.000002414,2.336489654,2.70477188,3.106992312,3.431238288,3.705729448,3.9651394,,,,,,,,,,,,,,,,,,,,,,,
SKLGB1,8.000009658,9.345958617,10.81908752,12.42796925,13.72495315,14.82291779,15.8605576,,,,,,,,,,,,,,,,,,,,,,,
SMAN_1,8.400010141,9.813256548,11.3600419,13.04936771,14.41120081,15.56406368,16.65358548,,,,,,,,,,,,,,,,,,,,,,,
STAL_1,38.12004602,44.53349281,51.55295203,59.21927346,65.39940176,70.63120328,75.57555696,,,,,,,,,,,,,,,,,,,,,,,
STEN_1,13.77501663,16.09257249,18.62911632,21.39940955,23.63265371,25.52321157,27.30989762,,,,,,,,,,,,,,,,,,,,,,,
SWAN_1,49.500011469,51.09832586,52.84766643,54.75821348,56.29838187,57.60221488,58.83441215,,,,,,,,,,,,,,,,,,,,,,,
TAUN1,10,10,10,10,10,10,10,,,,,,,,,,,,,,,,,,,,,,,
