GSP,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
ABHA1,0.332790758,0.576376686,0.780205894,1.006106423,1.282601211,1.608671581,2.002653708,,,,,,,,,,,,,,,,,,,,,,,
ABNE_P,0.02944265,0.050993173,0.069026342,0.089012204,0.113474239,0.142322323,0.177178693,,,,,,,,,,,,,,,,,,,,,,,
ABTH_1,0.066659161,0.11545028,0.156277988,0.201526659,0.256909539,0.322222582,0.40113859,,,,,,,,,,,,,,,,,,,,,,,
ACTL_2;CBNK_H;GREE_H;PERI_H,0.017537539,0.030374127,0.041115599,0.053020195,0.067591027,0.084774412,0.105536638,,,,,,,,,,,,,,,,,,,,,,,
ALNE_P,0.010925518,0.018922442,0.025614153,0.033030466,0.042107788,0.052812676,0.065747106,,,,,,,,,,,,,,,,,,,,,,,
ALVE1,0.286871852,0.496847474,0.67255206,0.867282537,1.105626211,1.386704962,1.726324918,,,,,,,,,,,,,,,,,,,,,,,
ARBR_P,0.02899222,0.050213053,0.067970341,0.087650449,0.11173825,0.140145001,0.17446812,,,,,,,,,,,,,,,,,,,,,,,
ARDK_P;CLAC_P,0.001046186,0.00181194,0.002452713,0.00316287,0.00403208,0.005057138,0.00629569,,,,,,,,,,,,,,,,,,,,,,,
ARMO_P,0.007377265,0.012777048,0.01729551,0.022303245,0.028432548,0.035660836,0.044394584,,,,,,,,,,,,,,,,,,,,,,,
AXMI1,0.164996611,0.285765748,0.386823629,0.498824401,0.635909647,0.797574311,0.99290941,,,,,,,,,,,,,,,,,,,,,,,
AYRR,0.00707702,0.012257038,0.016591604,0.02139553,0.027275378,0.034209484,0.042587779,,,,,,,,,,,,,,,,,,,,,,,
BAGA,0.019462122,0.033707407,0.045627657,0.058838672,0.075008518,0.094077622,0.117118311,,,,,,,,,,,,,,,,,,,,,,,
BAIN,0.00570922,0.009888079,0.013384889,0.017260345,0.022003775,0.027597703,0.034356697,,,,,,,,,,,,,,,,,,,,,,,
BARKC1;BARKW3,0.063925826,0.110716284,0.149869867,0.193263133,0.246375058,0.309009964,0.38469005,,,,,,,,,,,,,,,,,,,,,,,
BEAU_P;ORRI_P,0.017674428,0.030611212,0.041436527,0.053434044,0.068118608,0.085436119,0.106360404,,,,,,,,,,,,,,,,,,,,,,,
BEDDT1,0.018412993,0.031890368,0.043168042,0.055666901,0.070965092,0.089006252,0.110804904,,,,,,,,,,,,,,,,,,,,,,,
BEDD_1,0.078425791,0.135829487,0.183864075,0.237100011,0.30225904,0.379101098,0.471947307,,,,,,,,,,,,,,,,,,,,,,,
BERB_P;CAIF_P;DALL_P;GLEF_P;KEIT_P,0.022945664,0.039740724,0.05379459,0.069370255,0.088434356,0.110916654,0.138081416,,,,,,,,,,,,,,,,,,,,,,,
BERW,0.024546327,0.042512991,0.057547237,0.074209443,0.094603433,0.11865407,0.147713813,,,,,,,,,,,,,,,,,,,,,,,
BESW_1,0.107162081,0.18559928,0.251234402,0.323976718,0.413010912,0.518008958,0.644875295,,,,,,,,,,,,,,,,,,,,,,,
BICF_1,0.101867626,0.176429552,0.238821902,0.307970309,0.392605674,0.492416181,0.613014554,,,,,,,,,,,,,,,,,,,,,,,
BIRK_1,0.053127212,0.092013632,0.12455323,0.160616326,0.204756365,0.256810724,0.319706617,,,,,,,,,,,,,,,,,,,,,,,
BISW_1,0.473138433,0.81945173,1.109241726,1.430411168,1.823511961,2.28709582,2.847231828,,,,,,,,,,,,,,,,,,,,,,,
BLYTB1,0.117583598,0.203648818,0.275666958,0.355483468,0.453176241,0.568385351,0.707589445,,,,,,,,,,,,,,,,,,,,,,,
BLYTH132,0.033643509,0.058268848,0.078874979,0.101712411,0.129664674,0.162628785,0.20245844,,,,,,,,,,,,,,,,,,,,,,,
BOAG_P,0.012009401,0.020799673,0.028155246,0.036307305,0.046285157,0.05805204,0.072269651,,,,,,,,,,,,,,,,,,,,,,,
BOLN_1,0.312094708,0.54053218,0.731685377,0.943537293,1.202837043,1.5086293,1.878109925,,,,,,,,,,,,,,,,,,,,,,,
BONN,0.017781451,0.03079657,0.041687434,0.053757598,0.068531081,0.085953453,0.107004439,,,,,,,,,,,,,,,,,,,,,,,
BOTW_1,0.075375196,0.13054601,0.176712156,0.227877329,0.290501811,0.364354877,0.453589567,,,,,,,,,,,,,,,,,,,,,,,
BRAC_P,0.030298647,0.052475718,0.071033172,0.091600091,0.11677332,0.146460115,0.182329878,,,,,,,,,,,,,,,,,,,,,,,
BRAI_1,0.114061065,0.197547971,0.267408614,0.344834007,0.43960013,0.551357842,0.686391704,,,,,,,,,,,,,,,,,,,,,,,
