GSP,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,Comment
Abham,20.9,20.9,20.9,20.9,20.9,20.9,20.9,,,,,,,,,,,,,,,,,,,,,,,,
City Road,30.0,30.0,30.0,30.0,30.0,30.0,30.0,,,,,,,,,,,,,,,,,,,,,,,,
Direct(NGET),41.8,41.8,41.8,41.8,41.8,41.8,41.8,,,,,,,,,,,,,,,,,,,,,,,,
Direct(NGET),921.8,921.8,1394.8,1444.8,1444.8,1444.8,1444.8,,,,,,,,,,,,,,,,,,,,,,,,
Direct(SPTL),136.0,136.0,136.0,136.0,136.0,136.0,136.0,,,,,,,,,,,,,,,,,,,,,,,,
Exeter,20.9,20.9,20.9,20.9,20.9,20.9,20.9,,,,,,,,,,,,,,,,,,,,,,,,
Fawley,158.0,158.0,158.0,158.0,158.0,158.0,158.0,,,,,,,,,,,,,,,,,,,,,,,,
Landulph,40.6,40.6,40.6,40.6,40.6,40.6,40.6,,,,,,,,,,,,,,,,,,,,,,,,
Ratcliffe,41.8,41.8,41.8,41.8,41.8,41.8,41.8,,,,,,,,,,,,,,,,,,,,,,,,
Direct(NGET),0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
Willington,162.0,162.0,162.0,162.0,162.0,162.0,162.0,,,,,,,,,,,,,,,,,,,,,,,,
Abham,2.576002373,2.5760538,2.576002373,2.576002373,2.57874809,2.576002382,2.576002382,,,,,,,,,,,,,,,,,,,,,,,,
Berkswell,8.575122995,8.575294189,8.575122995,8.575122995,8.584263074,8.575123026,8.575123026,,,,,,,,,,,,,,,,,,,,,,,,
Birkenhead,10.84227259,10.84248905,10.84227259,10.84227259,10.85382919,10.84227263,10.84227263,,,,,,,,,,,,,,,,,,,,,,,,
Bishops Wood,3.65800038,3.658073408,3.65800038,3.65800038,3.66189938,3.658000393,3.658000393,,,,,,,,,,,,,,,,,,,,,,,,
Bonnybridge,0.667529766,0.667543093,0.667529766,0.667529766,0.668241275,0.667529769,0.667529769,,,,,,,,,,,,,,,,,,,,,,,,
Bradford West,13.83109196,13.83136809,13.83109196,13.83109196,13.84583429,13.83109201,13.83109201,,,,,,,,,,,,,,,,,,,,,,,,
Bramley,1.25103613,1.251061105,1.25103613,1.25103613,1.252369588,1.251036134,1.251036134,,,,,,,,,,,,,,,,,,,,,,,,
Bredbury,4.821822079,4.821918342,4.821822079,4.821822079,4.826961578,4.821822097,4.821822097,,,,,,,,,,,,,,,,,,,,,,,,
Bridge of Dun,1.140093458,1.140116219,1.140093458,1.140093458,1.141308664,1.140093462,1.140093462,,,,,,,,,,,,,,,,,,,,,,,,
Bridgewater,2.029227579,2.02926809,2.029227579,2.029227579,2.031390498,2.029227586,2.029227586,,,,,,,,,,,,,,,,,,,,,,,,
Camblesforth,9.703327323,9.70352104,9.703327323,9.703327323,9.713669935,9.703327358,9.703327358,,,,,,,,,,,,,,,,,,,,,,,,
Capenhurst,2.026593008,2.026633467,2.026593008,2.026593008,2.028753119,2.026593015,2.026593015,,,,,,,,,,,,,,,,,,,,,,,,
Carntyne,0.953613952,0.95363299,0.953613952,0.953613952,0.954630393,0.953613955,0.953613955,,,,,,,,,,,,,,,,,,,,,,,,
Carrington,49.57553146,49.57652119,49.57553146,49.57553146,49.62837318,49.57553164,49.57553164,,,,,,,,,,,,,,,,,,,,,,,,
Charleston,3.915973182,3.916051361,3.915973182,3.915973182,3.920147152,3.915973196,3.915973196,,,,,,,,,,,,,,,,,,,,,,,,
Chesterfield,5.895156401,5.895274092,5.895156401,5.895156401,5.901439949,5.895156423,5.895156423,,,,,,,,,,,,,,,,,,,,,,,,
Connah's Quay,15.72636174,15.7266757,15.72636174,15.72636174,15.74312421,15.7263618,15.7263618,,,,,,,,,,,,,,,,,,,,,,,,
Coventry,2.652050275,2.652103221,2.652050275,2.652050275,2.654877051,2.652050285,2.652050285,,,,,,,,,,,,,,,,,,,,,,,,
Creyke Beck,29.49599727,29.49658613,29.49599727,29.49599727,29.52743656,29.49599738,29.49599738,,,,,,,,,,,,,,,,,,,,,,,,
Cumbernauld,1.370820055,1.370847422,1.370820055,1.370820055,1.372281189,1.37082006,1.37082006,,,,,,,,,,,,,,,,,,,,,,,,
Devonside,0.715210464,0.715224742,0.715210464,0.715210464,0.715972794,0.715210466,0.715210466,,,,,,,,,,,,,,,,,,,,,,,,
Drax,7.773250807,7.773405992,7.773250807,7.773250807,7.781536183,7.773250835,7.773250835,,,,,,,,,,,,,,,,,,,,,,,,
Dudhope,4.114250305,4.114332442,4.114250305,4.114250305,4.118635615,4.11425032,4.11425032,,,,,,,,,,,,,,,,,,,,,,,,
East Claydon (_B),5.48700057,5.487110112,5.48700057,5.48700057,5.49284907,5.487000589,5.487000589,,,,,,,,,,,,,,,,,,,,,,,,
Elland,50.3697026,50.37070818,50.3697026,50.3697026,50.42339081,50.36970278,50.36970278,,,,,,,,,,,,,,,,,,,,,,,,
Enderby,2.926400304,2.926458726,2.926400304,2.926400304,2.929519504,2.926400314,2.926400314,,,,,,,,,,,,,,,,,,,,,,,,
Exeter,8.227612959,8.227777215,8.227612959,8.227612959,8.236382632,8.227612989,8.227612989,,,,,,,,,,,,,,,,,,,,,,,,
Feckenham,2.737724495,2.73777915,2.737724495,2.737724495,2.740642589,2.737724505,2.737724505,,,,,,,,,,,,,,,,,,,,,,,,
Ferrybridge A,9.145000949,9.14518352,9.145000949,9.145000949,9.154748451,9.145000982,9.145000982,,,,,,,,,,,,,,,,,,,,,,,,
