GSP,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
ABHA1,132206.1,133070.1,134057.1,134895.7,135591.9,136225.1,136873.7,137507,138113.6,138694.1,139286.8,139875.9,140448.8,140998.6,141528.7,142072.1,142593.4,143093.4,143563.6,144016.9,144487.5,144938.6,145348.2,145759.9,146173.8,146589.3,147006.5,147425.3,147845.7,148265.1
ABNE_P,26235.7,26410.4,26608.3,26776.8,26914.9,27043.2,27175,27303.2,27424.5,27540.5,27660.2,27779.7,27895.6,28006.4,28113.2,28223.6,28326.8,28428.5,28523.1,28613.9,28709.4,28799.6,28881.1,28963.4,29047.7,29130.7,29213.8,29299.5,29382.9,29468.9
ABTH_1,112184.7,112917.9,113755.6,114467.1,115057.7,115594.8,116146.4,116682.9,117196.3,117688.9,118194,118691.8,119180.2,119645.3,120095.3,120556.3,120998.3,121424.1,121820.5,122206.2,122604.4,122989.9,123336.3,123686.8,124036.7,124390.4,124743.2,125099.6,125455,125811.5
ACTL_2;CBNK_H;GREE_H;PERI_H,55937.4,56302.2,56721.4,57075.2,57370.5,57637.8,57914.4,58180,58437.3,58682.8,58933.9,59183,59427.7,59656.9,59882.8,60112.7,60332.5,60544.9,60743.1,60934.2,61133.9,61327.3,61497.8,61672.6,61848.3,62026.8,62202.8,62377.1,62553.3,62732.4
ALNE_P,14338.4,14433.3,14542.8,14634,14710.5,14779.8,14851.8,14921.2,14987.9,15052,15117.4,15181.8,15245.2,15305.8,15364.6,15425,15483,15536.9,15589.4,15638.3,15691.2,15740.1,15784.3,15830.9,15875.5,15920.3,15967.6,16012.7,16058.1,16105.9
ALVE1,109837.3,110555.2,111375.8,112072.7,112649.9,113176.4,113716.4,114242.6,114745.7,115227.8,115720.2,116209.5,116687.3,117142,117583.1,118033.5,118466.2,118883.4,119272.7,119650.5,120041.3,120415.9,120756.5,121099.3,121443,121786.7,122133.6,122481.8,122830.9,123181
AMEM_1,37510.4,37756.3,38035.9,38273.6,38471.7,38651,38836,39015.2,39186.2,39351.8,39519.5,39686.3,39850.4,40005.3,40156.9,40309.9,40458.3,40599.4,40733.1,40862.3,40996.1,41123,41239.6,41356.9,41474.6,41593,41709.6,41828.8,41948.4,42068.3
ARBR_P,14449.9,14546.9,14655.1,14747.8,14824.4,14895.9,14968.9,15039.2,15104.5,15168.7,15234.6,15300.5,15364.3,15425.4,15484.4,15544.7,15602.4,15658.1,15710,15760.2,15812.1,15862.1,15907.3,15952.9,15998.6,16044.6,16090.7,16137.1,16183.5,16230
ARDK_P;CLAC_P,1652.8,1663.8,1675.9,1687,1694.7,1703.8,1711.7,1720,1727.9,1735.3,1742.6,1749.6,1756.7,1764.2,1771.3,1777.9,1784.8,1790.6,1796.6,1802.9,1808,1814,1819.5,1824.1,1830.6,1835.2,1840.8,1846.5,1850.8,1855.1
ARMO_P,18486.8,18609.2,18749.8,18867.7,18965.9,19055.7,19149.7,19239.5,19323.6,19406.4,19491.3,19575.7,19656.1,19734.1,19809.9,19888.1,19960.5,20031.2,20098.9,20163.8,20228.4,20293.6,20350.6,20408.8,20467.6,20526.4,20586.7,20645,20704.8,20764.8
AXMI1,92856.6,93463.1,94156.6,94746,95235.1,95679,96135.8,96580.9,97005.1,97413,97830.4,98244,98647.6,99033,99404.8,99785.3,100152.6,100504.9,100832.9,101152.7,101482.8,101799.1,102087,102377,102667.2,102959.9,103250.8,103545.1,103839.8,104135.5
AYRR,17264.8,17376.8,17506.7,17615.9,17706.6,17788.5,17874.4,17956.8,18035.6,18111.2,18188.5,18266.8,18341.5,18412.8,18481.9,18552.6,18620.3,18685.6,18746.7,18805.7,18869.2,18928.2,18981.6,19035.2,19089.1,19143.2,19197.6,19252.1,19306.8,19361.7
BAGA,13766.2,13855.2,13958.7,14046.6,14117.5,14184.7,14252.3,14317.2,14380.1,14441.2,14503.5,14564.1,14624.4,14680.5,14735.6,14793.8,14846.9,14899.6,14948.2,14994.5,15044,15091.2,15133.8,15176.3,15219.8,15262.6,15306,15349.7,15393.9,15438.3
BAIN,7584.5,7634.4,7690.7,7738.4,7778.9,7815.9,7852.1,7888.4,7924.2,7956.2,7991.1,8025,8056.9,8088.1,8119.6,8150.9,8181,8209.3,8235.9,8261.9,8289,8314.3,8339.3,8361.5,8385.3,8409.9,8433.2,8458.8,8480.7,8505
BARKC1;BARKW3,165751.6,166834.5,168073.2,169123.3,169997,170789.8,171605.4,172398.4,173156.6,173885.4,174630.3,175368,176086.2,176775.5,177440.1,178121.8,178773.8,179403.1,179990.4,180559,181147.1,181717.1,182230.2,182745.3,183264.5,183784.1,184306.7,184833.6,185358.6,185887.6
BEAU_P;ORRI_P,13620.8,13711.4,13813.4,13900.5,13972.4,14040.8,14108,14174.9,14237,14297.5,14360.6,14422.8,14482.1,14539.3,14595.8,14651.7,14706.9,14759.6,14808.6,14855.5,14903.8,14951.8,14993.2,15036.5,15081.1,15124.7,15166.9,15211.5,15254.6,15297.8
BEDDT1,62730.8,63139.9,63609.3,64006.2,64336.4,64636.3,64944.7,65245.8,65532.9,65809.1,66089.4,66369.9,66642.8,66902.2,67153.9,67411.2,67659.1,67897.5,68119.9,68334.1,68557.7,68772.7,68967,69161.9,69358.6,69555.3,69753.2,69951.8,70151.6,70349.7
BEDD_1,267483.9,269233.3,271231,272927.1,274335.9,275615.8,276929.7,278211,279435.8,280611,281811.5,283002.5,284165,285274.7,286348.4,287446.3,288499.1,289515.2,290462.2,291380.8,292332,293248.2,294076.1,294908.4,295747,296586.9,297430.1,298276.5,299125.9,299978.1
BERB_P;CAIF_P;DALL_P;GLEF_P;KEIT_P,15887.4,15992.7,16113.5,16215,16298.7,16376.3,16456.8,16533.7,16607.1,16677.7,16750.3,16823,16893.3,16959.9,17024.5,17091,17154.1,17215.7,17272.8,17327.4,17385.2,17439.9,17489.3,17540,17591,17640.1,17692.5,17743.1,17793,17845
BERW,9734.7,9798.6,9871.4,9932.9,9983.9,10029.8,10078.4,10125.7,10169.8,10212.5,10256,10300.1,10342.2,10381.6,10420.2,10460.6,10499,10536.9,10570,10603.8,10638.5,10672.7,10701.6,10733.7,10762,10794.3,10823.7,10855.5,10886.5,10917.6
BESW_1,144875.4,145822.3,146904.5,147822.8,148585.9,149279.9,149991.7,150685.6,151348.8,151985.6,152635.9,153279.8,153910.4,154510.7,155092.1,155686.7,156258.6,156806.2,157320.5,157818,158334.1,158829.9,159277.8,159729,160182.9,160638.2,161094.5,161552.4,162013.5,162473.7
BICF_1,69014.5,69465.7,69980.5,70419,70782.7,71113,71451.9,71782.2,72098.4,72401.8,72711.8,73018.2,73317.8,73604.4,73881.6,74165.7,74436.1,74698.6,74944.3,75180.1,75424.9,75662.8,75875.8,76089.9,76307.2,76523.2,76740.1,76960.1,77178.6,77397.8
BIRK_1,129845.1,130693.1,131663.8,132487.5,133170,133792,134430.1,135052.8,135647.1,136216.9,136800.2,137378.5,137942.5,138481.6,139002.6,139535.1,140046.8,140538,140998.9,141444,141907.2,142351.5,142753,143157,143564.4,143972.1,144381,144791.4,145205.3,145618.3
BISW_1,269880.3,271644.8,273660.2,275372.3,276792.1,278083.2,279410.7,280703.4,281939.3,283124.2,284336.5,285537.5,286709.7,287828.9,288912.5,290021.9,291084.7,292108.2,293065.1,293990,294951.2,295874.5,296710.8,297551.3,298394.4,299242.6,300094.4,300949.5,301805.7,302664.8
BLYTB1,324001.7,326119.3,328539.4,330594.3,332299.3,333850.6,335443.6,336995.1,338479.1,339901,341355.6,342799.4,344205.8,345551.1,346850.4,348182.2,349457.3,350686.9,351835.9,352945.9,354098.1,355209.2,356211.2,357222.2,358235.3,359253.3,360273.8,361300.5,362329.4,363361.7
BLYTH132,29863.5,30058.6,30282.2,30472.2,30628.8,30771.3,30919.4,31060.8,31198.4,31329.1,31464.3,31597.3,31726.2,31850.5,31969.4,32092.1,32209.4,32323.2,32429.5,32532,32638.1,32741.1,32832.1,32926.6,33019.9,33113.1,33208,33300.9,33395.7,33493
BOAG_P,8526.4,8583.5,8647.8,8702.6,8746.4,8788.8,8831.9,8872.5,8911.8,8949.6,8989.8,9028.9,9066,9101.6,9136.1,9171.8,9206.2,9239.4,9268.6,9299.1,9328.9,9359.6,9385.3,9413.3,9439.4,9467.7,9493.9,9522.4,9548.9,9577.8
BOLN_1,451242.6,454192.4,457562.7,460424.4,462799.4,464959.4,467177.1,469338.6,471405.4,473385.5,475412.7,477422.6,479380.7,481253,483065.2,484918.4,486694.1,488406.3,490007.7,491553.9,493159.6,494705.8,496103.1,497507.7,498919.6,500337,501760.1,503188.7,504622.7,506059.1
BONN,30415.3,30613.7,30840.9,31033.5,31193.7,31340.3,31490,31635.3,31774.4,31907.5,32045.1,32179.2,32312.4,32438.6,32560.5,32684.7,32804.3,32920.8,33028.3,33133,33240,33344.3,33438.6,33534.7,33628.6,33723.3,33819.3,33915.7,34013.4,34109.1
BOTW_1,89375.6,89960.1,90628,91193.6,91664.8,92091.6,92532.4,92960.3,93369,93760.9,94161.9,94560.2,94947.8,95320.3,95678.5,96044.8,96397.6,96735.6,97053.5,97360.8,97677,97983.9,98261.2,98538,98818,99099.6,99382.1,99663.4,99947.8,100233.2
BRAC_P,10489.1,10559.3,10638.2,10706.4,10761,10813,10866.3,10917.1,10964.8,11011.9,11060.4,11108.1,11153.3,11197.1,11240.9,11284.6,11326.6,11366.4,11403.7,11440,11477.7,11515.5,11547.6,11581.4,11614.6,11646.4,11681.4,11714.3,11748,11781.9
BRAI_1,113215,113954.7,114801,115519,116114.2,116656,117212.9,117755.5,118274.1,118770.3,119278.7,119784.1,120275.7,120745,121199.6,121664.4,122110,122539.8,122940,123329.1,123732.7,124120.1,124470.2,124823,125178,125531.8,125890.5,126248.4,126606.8,126968.6
BRAP,11967.9,12046.2,12136,12211.9,12274.6,12332.1,12391.2,12447.9,12502,12555,12608.8,12661.9,12713.9,12763.3,12812.5,12861.6,12907.6,12954.4,12995.1,13037.6,13078.5,13120.4,13158.3,13194.6,13232.6,13269.2,13307.8,13344.3,13382.9,13421.6
