GSP,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
ABHA1,,987.6,944.5,918.9,896.9,869.7,841.6,818.1,804.4,788.7,770.7,755.9,743.8,732.0,711.3,689.8,663.3,651.4,639.6,632.0,619.8,621.1,630.4,636.9,646.5,651.5,653.1,670.0,689.9,713.9,733.1
ABNE_P,,148.0,142.0,138.4,134.9,133.4,130.7,128.2,127.2,125.7,124.8,127.5,129.0,131.3,133.2,135.7,142.2,144.6,146.1,146.6,147.4,151.6,153.1,154.1,155.3,157.5,164.0,166.5,169.1,172.1,174.2
ABTH_1,,1043.7,993.7,963.2,938.1,909.0,883.6,861.9,847.6,832.5,820.0,817.5,815.8,816.1,810.5,810.0,811.9,807.9,800.7,791.5,788.1,796.8,799.9,800.7,804.8,817.6,831.7,845.5,861.3,880.1,893.2
ACTL_2,,92.9,89.2,86.9,85.0,82.4,79.5,77.2,75.6,73.6,71.3,68.9,66.6,64.0,60.3,56.8,52.9,50.0,47.4,45.6,44.2,43.5,43.8,44.0,44.5,45.5,46.4,47.9,49.8,52.1,53.9
ACTL_C,,146.5,140.1,136.2,132.9,128.8,124.5,121.7,120.5,119.8,119.7,120.7,124.0,128.4,132.8,137.0,139.6,143.8,147.0,148.7,149.1,149.2,151.2,152.6,154.3,155.2,155.1,157.2,159.5,162.2,164.1
ALNE_P,,90.1,87.3,85.7,83.8,83.0,81.7,80.1,79.5,78.4,77.7,79.4,79.9,80.6,80.9,81.9,86.3,87.3,87.9,88.2,89.2,93.1,94.5,95.4,96.4,98.6,105.0,107.0,109.1,111.3,113.0
ALST_3,,6.5,6.3,6.1,6.0,5.8,5.6,5.4,5.4,5.5,5.6,5.7,6.1,6.6,7.1,7.5,7.8,8.4,8.9,9.3,9.3,9.4,9.7,9.9,10.2,10.0,9.6,9.7,9.8,10.0,10.2
ALVE1,,821.3,786.8,766.1,748.4,726.0,704.0,686.0,676.1,666.2,656.4,651.7,650.8,652.2,648.4,645.2,636.9,637.8,636.9,635.7,631.8,637.5,647.0,653.5,662.2,669.6,673.7,687.7,703.7,722.6,737.0
AMEM_1,,313.4,301.7,296.0,291.4,285.2,274.2,266.0,261.7,256.0,247.7,235.7,226.6,216.6,202.2,185.6,162.9,155.1,148.7,146.5,138.3,133.8,139.4,143.8,149.2,147.0,140.7,147.6,156.0,166.3,175.5
ARBR_P,,123.1,119.3,116.8,114.1,112.8,110.3,107.8,106.9,105.3,103.8,105.2,105.6,106.4,106.5,106.7,111.1,112.4,113.4,114.0,114.1,117.8,119.9,121.5,123.2,124.8,130.3,132.8,135.7,138.9,141.4
