GSP,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
ABHA1,551.1,537.6,526.4,519.3,506.8,498.9,494.7,499.1,503,505.2,509.8,520.3,538.4,555.9,576.9,600.1,623.6,642,657,665.3,673.8,677.1,675.6,674.2,672.8,675,679.5,684.4,685.2,685.3
ABNE_P,90.5,87.8,85.8,84.6,82.4,81.2,80.3,80.9,81.5,82.1,83.9,86.3,90.2,94.2,99.1,107,112.8,117.4,121.4,123.9,130,132,132.9,133.6,134.1,138.7,140.4,142.3,143.4,143.9
ABTH_1,412.3,402.2,393.8,388.5,379.1,373.1,369.9,373.2,376.1,377.7,381.1,389,402.5,415.5,431.1,448.2,465.7,479.3,490.4,496.6,502.7,505.1,503.9,502.9,501.8,503.3,506.6,510.2,510.7,510.7
ACTL_2;CBNK_H;GREE_H;PERI_H,263,257.2,252.7,250.2,245,241.2,239.5,242.2,244.6,246.6,249,254.9,264.7,274.3,286.5,298.4,312.1,322.9,331.9,337.5,341.7,344.7,345.1,345.5,345.2,346.3,349.3,352.7,354.2,354.7
ALNE_P,76.2,74,72.4,71.4,69.6,68.7,67.9,68.4,69,69.6,71.2,73.2,76.6,80.1,84.3,91.3,96.4,100.5,104,106.3,111.7,113.6,114.5,115.2,115.6,119.8,121.4,123,124.1,124.6
ALVE1,507.9,495.3,485.1,478.6,467,459.7,455.8,459.9,463.5,465.5,469.8,479.5,496.1,512.2,531.6,553,574.7,591.7,605.4,613.1,620.9,624,622.6,621.3,620.1,622.1,626.2,630.7,631.4,631.5
AMEM_1,148,146.4,145.7,146.3,145.3,143.2,142.9,145.6,148.6,151.5,153.9,159.3,167.6,176.1,188.1,197.8,211.2,222.3,232.1,239.1,243,248.4,251.3,253.7,255.1,255.9,260,264.4,267.8,269.4
ARBR_P,82.8,80.3,78.5,77.4,75.5,74.4,73.6,74.1,74.7,75.3,77,79.2,82.9,86.6,91.2,98.8,104.3,108.7,112.4,114.9,121,122.9,123.9,124.6,125.1,129.7,131.5,133.3,134.4,134.9
ARDK_P;CLAC_P,9.2,9,8.8,8.6,8.4,8.3,8.2,8.3,8.3,8.4,8.5,8.8,9.2,9.6,10.1,10.8,11.3,11.8,12.2,12.4,12.9,13.1,13.2,13.2,13.2,13.6,13.7,13.9,14,14
ARMO_P,70.1,68.1,66.5,65.6,63.9,63,62.3,62.8,63.3,63.7,65.1,66.9,70,73.1,76.9,82.8,87.3,91,94,95.9,100.3,101.9,102.6,103.1,103.4,106.7,108,109.4,110.2,110.6
AXMI1,369,360,352.6,348,339.8,334.5,331.8,334.8,337.5,339.1,342.3,349.5,361.8,373.7,388.1,403.8,420,432.7,443,448.9,454.6,457,456.2,455.5,454.6,456.1,459.3,462.7,463.4,463.6
AYRR,119.4,115.8,113.1,111.5,108.6,106.9,105.7,106.4,107.1,107.9,109.9,113,118,123.1,129.3,138.6,145.8,151.5,156.3,159.3,166,168.2,169.1,169.9,170.3,175.1,177.1,179.2,180.3,180.8
BAGA,90.6,88,85.9,84.7,82.6,81.3,80.4,81,81.6,82.2,84,86.4,90.3,94.3,99.2,107.1,112.9,117.6,121.5,124,130.1,132.1,133,133.7,134.1,138.7,140.5,142.3,143.4,143.9
BAIN,40.5,39.3,38.5,38,37,36.6,36.2,36.5,36.8,37.1,38.1,39.3,41.1,43,45.4,49.8,52.7,55.1,57.2,58.5,62.3,63.4,64.1,64.6,64.9,67.8,68.8,69.9,70.6,71
BARKC1;BARKW3,757.9,741,727.6,720.1,704.9,694.1,689,696.4,703.5,708.6,715.6,732.3,760.1,787.4,821.8,856.2,894.5,925,950.5,965.9,977.8,986.1,986.8,987.2,986.7,989.9,998.4,1007.7,1011.3,1012.9
BEAU_P;ORRI_P,71.2,69.1,67.5,66.5,64.8,63.7,63,63.4,63.9,64.3,65.5,67.3,70.3,73.3,77,82.3,86.6,90,92.8,94.5,98.1,99.4,99.9,100.3,100.5,103.1,104.2,105.4,106.1,106.4
BEDDT1,246.3,241.8,238.5,237.2,233.4,229.9,228.7,231.8,235,237.8,240.7,247.3,258,268.7,282.9,296,311.8,324.7,335.7,343,348,352.8,354.7,356.2,356.9,358,362.2,366.7,369.5,370.8
BEDD_1,906.6,886,869.6,860.1,841.5,828.7,822.6,831.1,839.3,844.9,853.4,872.9,905.7,937.7,977.9,1018.7,1063.5,1099.1,1128.7,1146.5,1161,1170.2,1170.6,1170.8,1170,1173.7,1183.5,1194.2,1198.2,1199.7
BERB_P;CAIF_P;DALL_P;GLEF_P;KEIT_P,115.9,112.4,109.8,108.1,105.3,103.5,102.3,103,103.6,104.3,106,108.8,113.6,118.4,124.1,132,138.5,143.7,147.9,150.5,155.4,157.2,157.8,158.2,158.5,161.7,163.4,165.1,165.8,166.2
BERW,115.1,111.6,108.9,107.2,104.3,102.4,101.2,101.8,102.4,102.9,104.4,107.1,111.6,116.2,121.6,128.5,134.5,139.2,143,145.3,149,150.4,150.7,150.9,151,153.3,154.6,156,156.5,156.7
BESW_1,737.9,721.5,708.5,701.2,686.5,675.8,670.9,678.1,685,690,697,713.3,740.4,767,800.6,834.2,871.7,901.5,926.4,941.5,953.7,961.8,962.6,963.1,962.7,965.7,974.1,983.2,986.9,988.4
BICF_1,312.8,306.9,302.7,301,296.1,291.6,290,293.9,297.9,301.3,304.9,313.3,326.6,340,357.8,373.9,393.7,409.7,423.5,432.5,438.5,444.4,446.5,448.3,449.1,450.4,455.7,461.2,464.5,466
BIRK_1,469.8,458.6,449.4,443.8,433.5,427.4,424,428.1,431.9,434.3,438.8,448.4,464.6,480.4,499.9,521.1,543,560.3,574.5,582.8,590.1,594.1,593.6,593.2,592.4,593.8,598.3,603.3,604.7,605.2
BISW_1,1100.5,1075.2,1054.9,1043,1020,1004.4,996.8,1006.9,1016.4,1022.9,1032.9,1056.2,1095.3,1133.5,1181.1,1229.8,1282.9,1324.9,1359.8,1380.4,1397.5,1407.9,1407.7,1407.4,1406.1,1410.5,1421.9,1434.3,1438.5,1440.1
