GSP,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
ABHA1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABNE_P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABTH_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACTL_2;CBNK_H;GREE_H;PERI_H,1.834502751,3.025450478,4.216398205,5.407345932,6.59829366,15.55797269,24.51765172,33.47733075,42.43700978,47.22341623,94.01044813,140.7141036,140.7141036,185.1183592,230.4633859,230.4633859,230.4633859,230.4633859,230.4633859,230.4633859,230.4633859,230.4633859,230.4633859,230.4633859,230.4633859,230.4633859,230.4633859,230.4633859,230.4633859,230.4633859
ALNE_P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALVE1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMEM_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARBR_P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARMO_P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AXMI1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AYRR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAGA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BEDD_1,,,,,,,,,,,,,,,,6.811506053,13.64548467,20.42211586,26.79210731,33.1828827,33.1828827,33.1828827,33.1828827,81.4704531,127.3083527,174.9720278,220.8182918,267.9200101,309.8860767,356.5634699
BERW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BESW_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BICF_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIRK_1,,,,,,4.05564329,8.111286581,12.16692987,16.22257316,18.63167994,46.32683149,73.62337616,103.5569546,129.5237008,155.952602,187.8832666,219.608557,250.4584037,277.2764568,305.2907713,305.2907713,305.2907713,305.2907713,305.2907713,305.2907713,305.2907713,305.2907713,305.2907713,305.2907713,305.2907713
BISW_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BLYTB1,,,,,,22.91105871,45.82211742,68.73317613,91.64423484,105.2537125,105.2537125,105.2537125,105.2537125,105.2537125,105.2537125,105.2537125,105.2537125,105.2537125,105.2537125,105.2537125,105.2537125,105.2537125,105.2537125,105.2537125,105.2537125,105.2537125,105.2537125,105.2537125,105.2537125,105.2537125
BOAG_P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BONN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOTW_1,,,,,,4.292015138,8.584030277,12.87604542,17.16806055,19.71757539,49.02686154,77.91430912,109.5924826,137.0726281,165.0418641,198.8335184,232.4078287,265.0556726,293.436741,323.0837917,323.0837917,323.0837917,323.0837917,323.0837917,323.0837917,323.0837917,323.0837917,323.0837917,323.0837917,323.0837917
BRAI_1,,,,,,3.508255853,7.016511705,10.52476756,14.03302341,16.11697467,40.0741303,63.68647877,89.57994233,112.0419743,134.9037846,166.63778357,198.20769716,228.98569702,256.03053034,284.12271643,314.84304307,346.68951298,378.7451019,407.9026066,435.5809255,464.3617032,492.0450728,520.4865239,545.8269122,574.0121429
BRAP,0.866292966,1.428684948,1.99107693,2.553468913,3.115860895,4.221459333,5.32705777,6.432656208,7.538254645,7.941995513,8.693425322,9.712657478,11.08815552,12.0463297,13.0926108,16.29616548,19.48420363,22.59434372,25.33478835,28.17725763,41.30080982,55.11259392,68.88918297,80.96124109,92.34438513,106.0115532,119.0956694,132.5770419,144.4654888,157.8224594
BRAW_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRED_1,0.866292966,1.428684948,1.99107693,2.553468913,3.115860895,4.221459333,5.32705777,6.432656208,7.538254645,7.941995513,8.693425322,9.712657478,11.08815552,12.0463297,13.0926108,19.30150683,25.50480156,31.60489567,37.1558786,42.81805638,78.38877301,115.4705879,152.6700098,186.0472875,217.6548185,252.3519339,285.6641276,319.9275034,350.3320251,384.2837801
BRID_P,,,,,,26.81002716,53.62005432,80.43008148,107.2401086,123.1656261,123.1656261,123.1656261,123.1656261,123.1656261,123.1656261,123.1656261,123.1656261,123.1656261,123.1656261,123.1656261,131.3034948,148.939148,161.0998737,161.0998737,161.0998737,161.0998737,161.0998737,161.0998737,161.0998737,161.4867477
BROX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRWA1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BURM_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUSH_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUST_1,0.866292966,1.428684948,1.99107693,2.553468913,3.115860895,4.221459333,5.32705777,6.432656208,7.538254645,7.941995513,8.693425322,9.712657478,11.08815552,12.0463297,13.0926108,16.85240363,20.59851506,24.26204537,27.52267338,30.88702329,48.16516813,66.28384363,84.39560516,100.4109011,115.5372391,133.0966968,149.92469,167.2524618,182.5679229,199.7366417
CAAD_P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAMB_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CANTN1;RICH1;RICH_J,,,,,,3.097715274,6.195430548,9.293145822,12.3908611,14.23094572,35.38460442,56.23380572,79.09718311,98.93067942,119.1171715,143.5059306,167.7378242,191.3010506,211.7847783,233.1822149,233.1822149,233.1822149,233.1822149,233.1822149,233.1822149,233.1822149,233.1822149,233.1822149,233.1822149,233.1822149
CARE_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CARR_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CATY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CELL_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHAP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHIC_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHTE_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLAY_P,0.866292966,1.428684948,1.99107693,2.553468913,3.115860895,4.221459333,5.32705777,6.432656208,7.538254645,7.941995513,8.693425322,9.712657478,11.08815552,12.0463297,13.0926108,15.00233469,16.89227342,18.71520712,20.24568569,21.87424105,25.33405479,29.12784791,32.82066308,35.72060196,38.39693642,43.01049279,47.38621059,51.92071389,55.83779756,60.32849851
COCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COVE_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CREB_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CUPA,,,,,,3.309205875,6.61841175,9.927617625,13.2368235,15.20253639,37.80042078,60.07306153,84.49739241,105.6849828,127.2496691,153.3035243,179.1898042,204.361765,226.24398,249.1022858,249.1022858,249.1022858,249.1022858,249.1022858,249.1022858,249.1022858,249.1022858,249.1022858,249.1022858,249.1022858
CURR,,,,,,,,,,,,,,,,2.155263024,4.317636706,6.461864796,8.477425956,10.49956347,26.59741658,43.28538351,60.08293153,75.3618455,89.86564675,104.9471509,119.4535987,134.3572913,147.6359863,162.405416
DEVM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DUDH_P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EASO_1,,,,,,,,,,,,,,,,2.664001722,5.336792536,7.987154584,10.47847854,12.97793116,32.87559931,53.50267458,74.26519701,93.15061965,111.0779682,129.7193835,147.6500034,166.0716355,182.4846979,200.7403751
ECCL,0.866292966,1.428684948,1.99107693,2.553468913,3.115860895,4.221459333,5.32705777,6.432656208,7.538254645,7.941995513,8.693425322,9.712657478,11.08815552,12.0463297,13.0926108,15.00233469,16.89227342,18.71520712,20.24568569,21.87424105,25.33405479,29.12784791,32.82066308,35.72060196,38.39693642,43.01049279,47.38621059,51.92071389,55.83779756,60.32849851
ECLA_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EKIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ELLA_1,0.866292966,1.428684948,1.99107693,2.553468913,3.115860895,4.221459333,5.32705777,6.432656208,7.538254645,7.941995513,8.693425322,9.712657478,11.08815552,12.0463297,13.0926108,15.00233469,16.89227342,18.71520712,20.24568569,21.87424105,25.33405479,29.12784791,32.82066308,35.72060196,38.39693642,43.01049279,47.38621059,51.92071389,55.83779756,60.32849851
ENDE_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FAWL_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FECK_6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FLEE_1;BRLE_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRAS_P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FROD_1,0.866292966,1.428684948,1.99107693,2.553468913,3.115860895,4.221459333,5.32705777,6.432656208,7.538254645,7.941995513,8.693425322,9.712657478,11.08815552,12.0463297,13.0926108,15.74027803,18.37059473,20.92769352,23.14828273,25.46920041,34.44077927,43.94838735,53.39253711,61.52384345,69.16615352,78.94348594,88.28608553,97.92348374,106.3870773,115.9347027
GREN_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRIW_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HARK_1;HUTT_1;RRIG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HARM_6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IMPK_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INDQ1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IROA1,0.866292966,1.428684948,1.99107693,2.553468913,3.115860895,4.221459333,5.32705777,6.432656208,7.538254645,7.941995513,8.693425322,9.712657478,11.08815552,12.0463297,13.0926108,16.31329674,19.51852266,22.6457063,25.40217175,28.26071413,41.5122212,55.45665075,69.36675625,81.56025985,93.05868834,106.8457328,120.0451544,133.64499,145.6389835,159.1133499
IRONB1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IVER_1;IVER_6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KEAR_1;KEAR_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KEMS_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KIBY_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KIRKB1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KNAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LACK_6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LEGA_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LOVE_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAGA_6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MANN_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAYB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MITY_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MYBS_P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
