GSP,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
ABHA1,,82.4,82.4,82.4,82.4,82.4,82.4,82.4,82.4,82.4,82.4,82.4,82.4,82.4,82.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABTH_1,,39.2,39.2,39.2,39.2,39.2,39.2,39.2,39.2,39.1,38.5,37.6,36.7,35.7,34.7,33.5,32.2,30.8,29.4,27.7,26.0,24.1,22.0,19.8,17.2,14.4,12.0,9.4,7.1,4.5,0.0
ACTL_C,,174.0,174.0,174.0,174.0,174.0,174.0,174.0,174.0,30.0,30.0,30.0,30.0,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ARMO_P,,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BARKC1,,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.2,3.2,3.1,3.0,2.9,2.8,2.7,2.6,2.5,2.4,2.3,2.1,2.0,1.8,1.6,1.4,1.2,1.0,0.7,0.5,0.0
BEDDT1,,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.1,1.1,1.1,1.1,1.1,1.0,1.0,1.0,0.9,0.9,0.8,0.8,0.7,0.7,0.6,0.6,0.5,0.4,0.3,0.3,0.2,0.0
BEDD_1,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.9,1.9,1.8,1.8,1.7,1.7,1.6,1.5,1.5,1.4,1.3,1.2,1.1,1.0,0.8,0.7,0.6,0.4,0.3,0.0
BESW_1,,8.2,8.2,8.2,8.2,8.2,8.2,8.2,8.2,8.1,8.0,7.8,7.7,7.5,7.3,7.0,6.8,6.5,6.3,6.0,5.6,5.3,4.9,4.5,4.0,3.4,3.0,2.4,1.8,1.2,0.0
BIRK_1,,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.6,14.5,14.2,13.9,13.5,13.1,12.7,12.3,11.8,11.3,10.8,10.2,9.5,8.8,8.0,7.2,6.2,5.4,4.4,3.3,2.1,0.0
BLYTB1,,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.5,2.5,2.4,2.4,2.3,2.2,2.2,2.1,2.0,1.9,1.8,1.7,1.5,1.4,1.3,1.1,0.9,0.8,0.6,0.4,0.0
BOLN_1,,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.7,2.7,2.6,2.6,2.5,2.5,2.4,2.3,2.2,2.1,2.0,1.9,1.8,1.6,1.5,1.3,1.2,1.0,0.8,0.6,0.4,0.0
BONN,,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.0,1.0,1.0,1.0,0.9,0.9,0.9,0.8,0.8,0.8,0.7,0.7,0.6,0.6,0.5,0.4,0.4,0.3,0.2,0.2,0.0
BOTW_1,,158.0,158.0,158.0,158.0,158.0,158.0,158.0,158.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BRAW_1,,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.8,1.8,1.8,1.7,1.7,1.6,1.5,1.5,1.4,1.3,1.2,1.1,1.0,0.9,0.8,0.7,0.6,0.4,0.3,0.0
BRED_1,,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.3,1.3,1.3,1.2,1.2,1.2,1.1,1.1,1.0,1.0,0.9,0.8,0.8,0.7,0.6,0.5,0.4,0.3,0.2,0.0
BRFO_1,,76.7,76.7,76.7,76.7,76.7,76.7,76.7,76.7,76.7,75.4,73.7,71.9,69.9,67.7,65.4,62.8,60.0,57.0,53.7,50.1,46.2,42.0,37.4,32.2,26.5,21.7,16.4,12.4,8.0,0.0
BRID_P,,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.1,1.1,1.1,1.1,1.0,1.0,1.0,0.9,0.9,0.8,0.8,0.7,0.7,0.6,0.6,0.5,0.4,0.3,0.3,0.2,0.0
BRIM_1,,12.1,12.1,12.1,12.1,12.1,12.1,12.1,12.1,11.9,11.8,11.6,11.3,11.0,10.7,10.4,10.0,9.6,9.2,8.8,8.3,7.8,7.2,6.6,5.9,5.1,4.4,3.6,2.7,1.7,0.0
BURM_1,,103.4,103.4,103.4,103.4,103.4,103.4,103.4,103.4,103.3,101.6,99.3,96.9,94.2,91.3,88.1,84.6,81.0,76.9,72.5,67.7,62.4,56.8,50.7,43.8,36.1,29.7,22.5,17.1,11.0,0.0
CAMB_01,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,9.9,9.8,9.6,9.4,9.1,8.9,8.6,8.3,8.0,7.6,7.3,6.9,6.4,6.0,5.4,4.9,4.2,3.6,3.0,2.2,1.4,0.0
CANTN1,,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,8.9,8.8,8.6,8.4,8.2,8.0,7.7,7.5,7.2,6.9,6.5,6.2,5.8,5.4,4.9,4.4,3.8,3.3,2.7,2.0,1.3,0.0
