GSP,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
ABHA1,1.815607057,1.815607057,1.815607057,1.815607057,1.815607057,1.815607057,1.815607057,1.815607057,1.815607057,1.815607057,1.681400899,1.543296657,1.403848457,1.263269327,1.121959321,0.957573985,0.831713012,0.710457963,0.598544688,0.503928709,0.414830542,0.359026896,0.323919171,0.289547846,0.262439322,0.236074951,0.212936098,0.190797382,0.16930482,
ABTH_1,1.133790987,1.133790987,1.133790987,1.133790987,1.133790987,1.133790987,1.133790987,1.133790987,1.133790987,1.133790987,1.049983353,0.963741485,0.876660355,0.788872995,0.700629226,0.597975619,0.519379297,0.443659234,0.373772822,0.314688041,0.259048966,0.224201298,0.2022776,0.18081376,0.163885317,0.147421575,0.13297207,0.11914712,0.105725673,
ACTL_2;CBNK_H;GREE_H;PERI_H,0.224319443,0.224319443,0.224319443,0.224319443,0.224319443,0.224319443,0.224319443,0.224319443,0.224319443,0.224319443,0.207738184,0.190675314,0.173446397,0.156077754,0.13861881,0.118308894,0.102758688,0.087777547,0.073950589,0.062260722,0.051252586,0.044358008,0.040020426,0.035773826,0.03242455,0.029167215,0.026308395,0.023573142,0.020917721,
ALNE_P,0.076690408,0.076690408,0.076690408,0.076690408,0.076690408,0.076690408,0.076690408,0.076690408,0.076690408,0.076690408,0.071021601,0.065188142,0.059297914,0.053359916,0.047391046,0.040447485,0.035131175,0.030009418,0.025282253,0.021285717,0.017522251,0.015165131,0.013682197,0.012230368,0.011085316,0.009971697,0.008994323,0.008059194,0.007151358,
ALVE1,0.92122435,0.92122435,0.92122435,0.92122435,0.92122435,0.92122435,0.92122435,0.92122435,0.92122435,0.92122435,0.85312923,0.783056253,0.712301363,0.640972649,0.569273094,0.485865302,0.422004462,0.36048063,0.303696738,0.255689355,0.210481665,0.182167346,0.16435397,0.146914238,0.133159591,0.119782523,0.108042056,0.09680905,0.085903897,
ARBR_P,1.514635552,1.514635552,1.514635552,1.514635552,1.514635552,1.514635552,1.514635552,1.514635552,1.514635552,1.514635552,1.402676625,1.287465796,1.171133795,1.053858337,0.935973161,0.79883783,0.693840714,0.592686003,0.499324488,0.420392912,0.346064466,0.299511339,0.27022339,0.241549767,0.218934998,0.196941025,0.177637878,0.159169076,0.141239316,
ARMO_P,0.227195333,0.227195333,0.227195333,0.227195333,0.227195333,0.227195333,0.227195333,0.227195333,0.227195333,0.227195333,0.210401494,0.193119869,0.175670069,0.158078751,0.140395974,0.119825675,0.104076107,0.0889029,0.074898673,0.063058937,0.05190967,0.044926701,0.040533508,0.036232465,0.03284025,0.029541154,0.026645682,0.023875361,0.021185897,
AXMI1,2.035162108,2.035162108,2.035162108,2.035162108,2.035162108,2.035162108,2.035162108,2.035162108,2.035162108,2.035162108,1.884726866,1.729922158,1.573610971,1.416032096,1.257633962,1.073370079,0.932289176,0.796371176,0.670924617,0.564867056,0.464994558,0.402442771,0.363089591,0.324561861,0.294175197,0.264622675,0.23868572,0.213869846,0.189778263,
AYRR,0.000718973,0.000718973,0.000718973,0.000718973,0.000718973,0.000718973,0.000718973,0.000718973,0.000718973,0.000718973,0.000665828,0.000611139,0.000555918,0.000500249,0.000444291,0.000379195,0.000329355,0.000281338,0.000237021,0.000199554,0.000164271,0.000142173,0.000128271,0.00011466,0.000103925,9.35e-05,8.43e-05,7.56e-05,6.7e-05,
BARKC1;BARKW3,0.953836946,0.953836946,0.953836946,0.953836946,0.953836946,0.953836946,0.953836946,0.953836946,0.953836946,0.953836946,0.883331166,0.81077751,0.737517801,0.663663953,0.589426136,0.503065595,0.436943994,0.373242135,0.314448016,0.264741106,0.217933003,0.188616318,0.170172324,0.152115201,0.137873622,0.124022987,0.111866891,0.100236222,0.088945012,
BEDD_1,1.038618191,1.038618191,1.038618191,1.038618191,1.038618191,1.038618191,1.038618191,1.038618191,1.038618191,1.038618191,0.961845546,0.882843001,0.803071645,0.72265334,0.641816938,0.54778029,0.475781508,0.406417546,0.342397546,0.288272466,0.237303852,0.205381371,0.185297993,0.165635873,0.150128439,0.135046699,0.121810115,0.10914566,0.096850838,
BERB_P;CAIF_P;DALL_P;GLEF_P;KEIT_P,0.667206547,0.667206547,0.667206547,0.667206547,0.667206547,0.667206547,0.667206547,0.667206547,0.667206547,0.667206547,0.617887931,0.567136831,0.515891849,0.464231267,0.412302101,0.35189312,0.305641226,0.261081936,0.219955597,0.185185738,0.152443588,0.131936641,0.119035113,0.106404201,0.096442252,0.086753768,0.078250609,0.070114985,0.062216813,
BERW,0.245409305,0.245409305,0.245409305,0.245409305,0.245409305,0.245409305,0.245409305,0.245409305,0.245409305,0.245409305,0.227269124,0.208602053,0.189753324,0.170751731,0.151651348,0.129431952,0.112419761,0.096030137,0.080903208,0.068114295,0.056071205,0.04852842,0.04378303,0.039137177,0.035473012,0.031909432,0.028781833,0.02578942,0.022884345,
BESW_1,0.577862222,0.577862222,0.577862222,0.577862222,0.577862222,0.577862222,0.577862222,0.577862222,0.577862222,0.577862222,0.535147766,0.491192647,0.446809779,0.402066966,0.357091533,0.3047718,0.264713407,0.226120964,0.190501773,0.160387878,0.132030165,0.114269263,0.103095354,0.092155823,0.083527859,0.07513674,0.067772223,0.060726025,0.053885481,
BICF_1,2.845204539,2.845204539,2.845204539,2.845204539,2.845204539,2.845204539,2.845204539,2.845204539,2.845204539,2.845204539,2.63489253,2.418471903,2.199945184,1.979646206,1.758201887,1.50059664,1.303362216,1.113345652,0.937968409,0.789697442,0.650073339,0.562624468,0.507607796,0.453745122,0.411263851,0.369948729,0.333688256,0.298995079,0.265314479,
BIRK_1,1.398631724,1.398631724,1.398631724,1.398631724,1.398631724,1.398631724,1.398631724,1.398631724,1.398631724,1.398631724,1.295247576,1.188860583,1.081438288,0.973144794,0.86428828,0.737655953,0.64070042,0.547293007,0.461081921,0.388195604,0.319559871,0.276572183,0.249527356,0.223049807,0.202167071,0.181857586,0.16403284,0.146978538,0.130421993,
