GSP,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
ABHA1,16.8,210.9,271.3,355,484.8,653.5,1051.2,1750.6,2791.7,4218.9,5759.5,7562.6,9442.8,11411.1,14534.7,17343.7,20330,23418.3,26487.9,29542.1,32297.6,35077.7,37547.8,39508.6,40841.9,41786.6,42658,43545,44598.8,44778.6
ABNE_P,1.2,15,19.2,25.2,34.4,54.5,87.7,146.1,233,352,486,638,796.8,962.8,1226.4,1398.9,1639.9,1889,2136.6,2382.9,2555.5,2775.6,2970.8,3126.1,3231.4,3299.5,3368.3,3438.5,3521.6,3535.9
ABTH_1,8.4,105.1,135.2,176.9,241.5,434.9,699.5,1165,1857.8,2807.5,4287.4,5629.6,7029.3,8494.4,10819.6,13626.9,15973.2,18399.8,20811.5,23211,26173.1,28426.1,30427.5,32016.4,33097,33480.5,34178.7,34889.4,35733.7,35877.7
ACTL_2;CBNK_H;GREE_H;PERI_H,5.5,68.9,88.6,115.9,158.3,251.2,404.1,672.8,1072.8,1621.5,2287.3,3003.3,3750.2,4531.9,5772.4,7046.8,8260,9514.6,10762.2,12002.9,13325.3,14472.6,15491.4,16300.4,16850.7,17418.5,17781.5,18151.5,18590.7,18665.5
ALNE_P,1,12.4,16,20.9,28.6,32.3,51.9,86.4,137.9,208.4,257.5,338.2,422.2,510.2,649.9,695.5,815.3,939.1,1062.2,1184.7,1269.4,1378.7,1475.8,1552.8,1605.1,1693.7,1729,1765,1807.5,1814.8
ALVE1,10.8,136.2,175.2,229.2,313,421.9,678.7,1130.3,1802.4,2723.8,3718.6,4882.7,6096.6,7367.4,9384.1,11197.8,13125.7,15119.7,17101.6,19073.4,20852.5,22647.5,24242.1,25508,26368.9,26978.8,27541.5,28114.3,28794.6,28910.7
AMEM_1,8.4,105.7,136,178,243,407.6,655.5,1091.8,1741,2631.1,3825.3,5022.8,6271.5,7578.8,9653.3,11930.3,13984.6,16109,18220.5,20321.4,22586.1,24530.3,26257.7,27628.9,28561.3,29290,29900.9,30522.7,31261.4,31387.3
ARBR_P,2.1,26.4,33.9,44.4,60.6,96.2,154.7,257.6,410.8,620.8,857,1125.2,1405,1697.8,2162.6,2467,2891.8,3331.2,3767.8,4202.1,4506.4,4894.3,5239,5512.5,5698.6,5818.5,5939.8,6063.3,6210.2,6235.1
ARDK_P;CLAC_P,0.1,1.3,1.6,2.1,2.9,3,4.9,8.1,12.8,19.5,22.8,30,37.4,45.2,57.5,59.3,69.5,80,90.6,101,107.5,116.8,125,131.6,136.1,146.1,149,152.2,156,156.6
ARMO_P,1.6,20.2,26,34,46.4,65,104.5,174.1,277.6,419.5,559,734,916.4,1107.5,1410.6,1578.4,1850.2,2131.3,2410.6,2688.5,2880.7,3128.7,3349,3523.9,3642.8,3754.7,3833,3912.7,4007.4,4023.5
AXMI1,8.7,109.5,140.9,184.4,251.8,370.5,595.9,992.5,1582.7,2391.9,3373.1,4429.2,5530.3,6683.1,8512.4,10359.9,12143.6,13988.4,15821.9,17646.2,19421.5,21093.1,22578.4,23757.4,24559.3,25055.2,25577.8,26109.8,26741.5,26849.4
AYRR,2.8,34.6,44.6,58.3,79.6,132.8,213.5,355.6,567,857,1203.2,1579.8,1972.5,2383.7,3036.1,3498.4,4100.8,4723.8,5342.9,5959,6401.9,6953,7442.7,7831.2,8095.5,8234.4,8406.2,8580.9,8788.6,8824
BAGA,2.3,28.6,36.8,48.1,65.7,109.8,176.6,294.1,469.1,708.9,995.4,1306.9,1631.9,1972,2511.8,2893.5,3391.7,3906.9,4419.1,4928.7,5293.6,5749.3,6154.2,6475.6,6694,6808.1,6950.1,7094.5,7266.2,7295.5
BAIN,1.5,19.1,24.6,32.2,43.9,73.4,118.1,196.7,313.7,474,665.6,873.9,1091.2,1318.7,1679.6,1934.9,2268,2612.5,2954.9,3295.7,3539.8,3844.5,4115.2,4330.1,4476.3,4552.5,4647.4,4744,4858.9,4878.5
BARKC1;BARKW3,9.9,124.5,160.3,209.7,286.3,493.9,794.3,1322.8,2109.5,3187.9,4703.2,6175.5,7710.9,9318.1,11869.1,14926.1,17496.2,20154,22795.6,25424.1,28483.5,30935.4,33113.6,34842.9,36018.8,37108.6,37882.6,38670.3,39606.3,39765.9
BEAU_P;ORRI_P,1.2,15.1,19.5,25.5,34.8,48.7,78.4,130.6,208.2,314.6,419.2,550.5,687.3,830.6,1058,1183.8,1387.6,1598.4,1807.9,2016.4,2160.5,2346.4,2511.7,2642.9,2732,2815.8,2874.6,2934.3,3005.4,3017.6
BEDDT1,10.8,135.5,174.3,228.2,311.6,541,870.1,1449.2,2311,3492.4,5136,6744,8420.6,10175.8,12961.2,16156.4,18938.1,21815.1,24674.6,27519.7,30663.4,33302.9,35647.7,37509.3,38775.3,39759.5,40588.6,41432.6,42435.2,42606.4
BEDD_1,20.5,257.1,330.8,432.9,591.1,1026.4,1650.9,2749.4,4384.5,6625.9,9744.4,12795,15976,19306,24590.9,30652.7,35930.5,41388.9,46813.9,52211.8,58176.2,63184,67632.8,71164.8,73566.5,75433.8,77006.8,78608.4,80510.7,80835.3
BERB_P;CAIF_P;DALL_P;GLEF_P;KEIT_P,1.5,18.4,23.7,31,42.3,59.3,95.3,158.7,253.1,382.5,509.7,669.2,835.6,1009.8,1286.2,1439.1,1686.8,1943.2,2197.9,2451.3,2626.4,2852.5,3053.4,3212.9,3321.2,3423.3,3494.8,3567.3,3653.6,3668.5
BERW,1.1,13.6,17.4,22.8,31.2,51.9,83.5,139.1,221.8,335.3,470.7,618.1,771.7,932.6,1187.9,1368.7,1604.5,1848.1,2090.4,2331.4,2504.8,2720.2,2911.9,3063.9,3167.3,3221.6,3288.9,3357.3,3438.4,3452.2
BESW_1,11.4,142.7,183.6,240.3,328.1,521.5,838.7,1396.8,2227.6,3366.4,4823.7,6333.8,7908.4,9556.8,12173,14896.4,17461.4,20114,22750.4,25373.5,28094.7,30513,32661.5,34367.1,35526.8,36407.2,37166.4,37939.2,38857.4,39014.1
BICF_1,8.1,101.1,130.1,170.2,232.4,299.1,481,801.1,1277.5,1930.6,2570.4,3375,4214.1,5092.5,6486.5,7545.5,8844.7,10188.4,11523.8,12852.4,13914,15111.7,16175.8,17020.4,17594.8,17979.5,18354.6,18736.2,19189.6,19266.9
BIRK_1,9.2,116,149.2,195.3,266.6,454.3,730.8,1217,1940.8,2933,4236,5562.1,6944.9,8392.5,10689.9,13182,15451.7,17799,20132.1,22453.4,24740.6,26870.2,28762,30264.2,31285.5,31923.2,32588.9,33266.7,34071.8,34209.1
BISW_1,23.2,290.6,373.9,489.3,668.1,1018.4,1637.9,2727.8,4350,6573.9,9307.6,12221.5,15260,18440.8,23488.7,28518.1,33428.5,38506.6,43554,48575.8,53589.5,58202.5,62300.7,65554.1,67766.4,69353.4,70799.7,72272.1,74021.1,74319.6
