GSP,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
ABHA1,,43.7,92.2,140.1,189.3,239.0,301.2,392.4,484.2,578.2,674.3,731.6,839.8,944.4,1048.3,1151.1,1222.8,1304.2,1385.5,1463.3,1538.2,1558.9,1594.3,1628.3,1661.7,1692.2,1714.4,1731.8,1753.6,1779.7,1807.5
ABNE_P,,2.2,4.7,7.1,9.6,12.2,17.8,23.2,28.6,34.2,39.9,44.8,51.5,57.9,64.3,70.5,76.3,81.3,86.4,91.3,95.9,95.6,97.8,99.9,101.9,103.8,104.7,105.8,107.1,108.7,110.4
ABTH_1,,9.6,20.2,30.7,41.5,52.3,82.9,108.0,133.3,159.1,185.6,239.1,274.5,308.7,342.6,376.2,425.0,453.3,481.6,508.6,534.7,564.5,577.4,589.7,601.8,612.8,622.5,628.8,636.7,646.1,656.2
ACTL_2,,2.6,5.4,8.2,11.0,13.9,19.8,25.8,31.8,38.0,44.3,49.0,56.3,63.3,70.2,77.1,82.0,87.4,92.9,98.1,103.1,103.3,105.7,107.9,110.2,112.2,113.5,114.7,116.1,117.8,119.7
ACTL_C,,4.4,9.3,14.2,19.2,24.2,34.3,44.7,55.2,65.9,76.9,85.0,97.6,109.8,121.8,133.8,142.2,151.7,161.1,170.2,178.9,179.3,183.4,187.3,191.1,194.6,196.9,198.9,201.4,204.4,207.6
ALNE_P,,1.5,3.2,4.8,6.5,8.2,9.2,12.0,14.7,17.6,20.5,20.9,24.0,26.9,29.9,32.8,33.3,35.5,37.7,39.8,41.9,41.5,42.4,43.3,44.2,45.0,45.6,46.0,46.6,47.3,48.0
ALST_3,,0.6,1.2,1.8,2.4,3.1,4.9,6.3,7.8,9.3,10.9,14.0,16.1,18.1,20.1,22.0,24.9,26.6,28.2,29.8,31.3,33.1,33.8,34.6,35.3,35.9,36.5,36.8,37.3,37.9,38.5
ALVE1,,29.7,62.8,95.4,128.9,162.7,205.1,267.2,329.7,393.7,459.1,498.2,571.8,643.1,713.8,783.8,832.7,888.1,943.5,996.4,1047.4,1061.5,1085.6,1108.8,1131.5,1152.3,1167.4,1179.2,1194.1,1211.8,1230.8
AMEM_1,,21.0,44.4,67.4,91.1,115.0,167.2,217.9,268.9,321.1,374.4,436.5,501.1,563.6,625.5,686.9,760.3,810.9,861.5,909.8,956.4,980.4,1002.7,1024.1,1045.1,1064.2,1078.0,1088.9,1102.7,1119.1,1136.6
ARBR_P,,3.9,8.1,12.4,16.7,21.1,30.9,40.3,49.7,59.3,69.2,77.8,89.3,100.4,111.5,122.4,132.3,141.1,149.9,158.3,166.4,165.9,169.7,173.3,176.8,180.1,181.6,183.5,185.8,188.5,191.5
ARDK_P,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ARMO_P,,2.6,5.6,8.5,11.5,14.4,19.3,25.2,31.1,37.1,43.3,47.2,54.2,60.9,67.6,74.3,78.8,84.1,89.3,94.3,99.2,98.6,100.9,103.0,105.1,107.1,108.1,109.2,110.5,112.2,113.9
AXMI1,,23.6,49.9,75.8,102.4,129.3,173.6,226.2,279.1,333.3,388.6,442.7,508.2,571.5,634.4,696.6,764.0,814.8,865.6,914.2,961.0,986.9,1009.3,1030.9,1052.0,1071.3,1085.6,1096.6,1110.4,1126.9,1144.5
AYRR,,5.0,10.6,16.1,21.8,27.5,41.3,53.8,66.3,79.2,92.4,105.2,120.7,135.8,150.7,165.5,179.9,191.9,203.9,215.3,226.4,226.2,231.3,236.2,241.1,245.5,247.6,250.1,253.3,257.0,261.0
BAGA,,4.1,8.8,13.3,18.0,22.7,34.1,44.5,54.9,65.5,76.4,87.0,99.9,112.3,124.7,136.9,149.0,158.9,168.8,178.2,187.4,187.2,191.4,195.5,199.5,203.2,204.9,207.0,209.6,212.7,216.1
BAIN,,2.8,5.9,8.9,12.0,15.2,22.8,29.7,36.7,43.8,51.1,58.2,66.8,75.1,83.4,91.6,99.6,106.2,112.9,119.2,125.3,125.2,128.0,130.7,133.4,135.9,137.0,138.4,140.2,142.3,144.5
BARKC1,,11.2,23.7,36.0,48.7,61.4,89.3,116.4,143.6,171.5,200.0,228.9,262.7,295.4,327.9,360.1,392.5,418.6,444.7,469.7,493.7,499.7,511.0,521.9,532.6,542.4,549.3,554.8,561.8,570.2,579.1
