GSP,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
ABHA1,,,,,-0.3,-0.9,-2,-3.8,-6.9,-11.9,-20,-31.6,-47.5,-67.7,-91.3,-118.7,-147.3,-174.8,-199.2,-217.4,-217.4,-217.4,-217.4,-217.4,-217.4,-217.4,-217.4,-217.4,-217.4,-217.4
ABNE_P,,,,,,-0.1,-0.2,-0.3,-0.6,-1.1,-1.8,-2.8,-4.2,-6,-8.1,-10.5,-13,-15.4,-17.6,-19.2,-19.2,-19.2,-19.2,-19.2,-19.2,-19.2,-19.2,-19.2,-19.2,-19.2
ABTH_1,,,,,-0.1,-0.4,-0.8,-1.5,-2.8,-4.9,-8.1,-12.9,-19.4,-27.6,-37.2,-48.4,-60,-71.2,-81.1,-88.5,-88.5,-88.5,-88.5,-88.5,-88.5,-88.5,-88.5,-88.5,-88.5,-88.5
ACTL_2;CBNK_H;GREE_H;PERI_H,,,,,,,-0.4,-0.4,-0.8,-1.6,-2.8,-4.4,-6.4,-9.2,-12.4,-16,-20,-23.6,-26.8,-29.6,-29.6,-29.6,-29.6,-29.6,-29.6,-29.6,-29.6,-29.6,-29.6,-29.6
ALNE_P,,,,,,,,-0.1,-0.1,-0.3,-0.4,-0.7,-1,-1.4,-1.9,-2.5,-3.1,-3.7,-4.2,-4.6,-4.6,-4.6,-4.6,-4.6,-4.6,-4.6,-4.6,-4.6,-4.6,-4.6
ALVE1,,,,,-0.4,-1.2,-2.7,-5.1,-9.4,-16.2,-27.2,-43,-64.6,-92.1,-124.2,-161.5,-200.3,-237.8,-271,-295.7,-295.7,-295.7,-295.7,-295.7,-295.7,-295.7,-295.7,-295.7,-295.7,-295.7
AMEM_1,,,,,-0.1,-0.3,-0.6,-1.1,-2,-3.4,-5.8,-9.1,-13.7,-19.5,-26.3,-34.3,-42.5,-50.4,-57.5,-62.7,-62.7,-62.7,-62.7,-62.7,-62.7,-62.7,-62.7,-62.7,-62.7,-62.7
ARBR_P,,,,,,,-0.1,-0.1,-0.2,-0.3,-0.5,-0.8,-1.3,-1.8,-2.4,-3.1,-3.9,-4.6,-5.3,-5.7,-5.7,-5.7,-5.7,-5.7,-5.7,-5.7,-5.7,-5.7,-5.7,-5.7
ARDK_P;CLAC_P,,,,,,,,,-0.1,-0.1,-0.2,-0.3,-0.4,-0.6,-0.8,-1,-1.3,-1.5,-1.7,-1.9,-1.9,-1.9,-1.9,-1.9,-1.9,-1.9,-1.9,-1.9,-1.9,-1.9
ARMO_P,,,,,,-0.1,-0.1,-0.2,-0.4,-0.8,-1.3,-2,-3,-4.3,-5.9,-7.6,-9.4,-11.2,-12.8,-13.9,-13.9,-13.9,-13.9,-13.9,-13.9,-13.9,-13.9,-13.9,-13.9,-13.9
AXMI1,,,,,-0.2,-0.6,-1.4,-2.6,-4.8,-8.3,-13.8,-21.9,-32.9,-46.9,-63.2,-82.3,-102,-121.1,-138,-150.6,-150.6,-150.6,-150.6,-150.6,-150.6,-150.6,-150.6,-150.6,-150.6,-150.6
AYRR,,,,,,,,-0.1,-0.2,-0.3,-0.5,-0.7,-1.1,-1.6,-2.1,-2.7,-3.4,-4,-4.6,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
BAGA,,,,,-0.1,-0.2,-0.5,-0.9,-1.7,-3,-5,-8,-12,-17,-23,-29.9,-37.1,-44,-50.1,-54.7,-54.7,-54.7,-54.7,-54.7,-54.7,-54.7,-54.7,-54.7,-54.7,-54.7
BAIN,,,,,,-0.1,-0.2,-0.3,-0.5,-0.9,-1.5,-2.5,-3.7,-5.2,-7.1,-9.2,-11.4,-13.6,-15.4,-16.9,-16.9,-16.9,-16.9,-16.9,-16.9,-16.9,-16.9,-16.9,-16.9,-16.9
BARKC1;BARKW3,,,,,-0.2,-0.4,-1.2,-2.2,-3.8,-6.8,-11.2,-17.8,-26.8,-38,-51.2,-66.8,-82.8,-98.2,-112,-122.2,-122.2,-122.2,-122.2,-122.2,-122.2,-122.2,-122.2,-122.2,-122.2,-122.2
BEAU_P;ORRI_P,,,,,,,,-0.1,-0.1,-0.2,-0.4,-0.6,-0.9,-1.3,-1.7,-2.2,-2.7,-3.2,-3.7,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
BEDDT1,,,,,-0.1,-0.2,-0.5,-1,-1.8,-3.1,-5.1,-8.1,-12.2,-17.3,-23.3,-30.4,-37.7,-44.7,-50.9,-55.6,-55.6,-55.6,-55.6,-55.6,-55.6,-55.6,-55.6,-55.6,-55.6,-55.6
BEDD_1,,,,,-0.4,-0.9,-2,-3.8,-6.9,-12,-20.2,-31.9,-47.9,-68.3,-92,-119.7,-148.5,-176.3,-200.9,-219.2,-219.2,-219.2,-219.2,-219.2,-219.2,-219.2,-219.2,-219.2,-219.2,-219.2
BERB_P;CAIF_P;DALL_P;GLEF_P;KEIT_P,,,,,,,-0.1,-0.1,-0.3,-0.5,-0.8,-1.2,-1.8,-2.6,-3.5,-4.5,-5.6,-6.7,-7.6,-8.3,-8.3,-8.3,-8.3,-8.3,-8.3,-8.3,-8.3,-8.3,-8.3,-8.3
