GSP,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
ABHA1,,5.4,7.1,9.5,11.8,13.3,14.7,16.6,19.6,22.3,23.9,25.4,27.6,30.2,32.9,34.5,35.9,37.4,38.8,40.0,40.5,41.0,42.6,44.0,45.4,45.7,45.3,46.1,46.7,47.4,47.9
ABNE_P,,0.7,1.0,1.3,1.6,1.9,2.1,2.3,2.8,3.2,3.4,3.6,3.9,4.3,4.7,4.9,5.1,5.3,5.5,5.6,5.7,5.8,6.0,6.2,6.3,6.4,6.3,6.4,6.5,6.6,6.7
ABTH_1,,5.5,7.3,9.7,12.1,13.6,15.0,16.9,19.9,22.7,24.4,25.9,28.1,30.8,33.5,35.2,36.6,38.1,39.5,40.8,41.2,41.8,43.4,44.8,46.2,46.6,46.2,47.0,47.6,48.3,48.8
ACTL_2,,0.6,0.7,1.0,1.2,1.4,1.5,1.7,2.0,2.3,2.5,2.6,2.8,3.1,3.4,3.6,3.7,3.8,4.0,4.1,4.2,4.2,4.4,4.5,4.7,4.7,4.7,4.7,4.8,4.9,4.9
ACTL_C,,0.8,1.1,1.5,1.8,2.0,2.2,2.5,3.0,3.4,3.6,3.9,4.2,4.6,5.0,5.3,5.5,5.7,5.9,6.1,6.2,6.3,6.5,6.7,6.9,7.0,6.9,7.0,7.1,7.2,7.3
ALNE_P,,0.5,0.7,0.9,1.2,1.3,1.5,1.7,2.0,2.3,2.4,2.6,2.8,3.1,3.3,3.5,3.6,3.8,3.9,4.1,4.1,4.1,4.3,4.4,4.6,4.6,4.5,4.6,4.7,4.7,4.8
ALST_3,,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
ALVE1,,4.7,6.1,8.2,10.2,11.5,12.7,14.3,16.8,19.2,20.6,21.9,23.8,26.0,28.4,29.8,30.9,32.2,33.4,34.5,34.9,35.3,36.7,37.9,39.1,39.4,39.1,39.7,40.2,40.9,41.3
AMEM_1,,1.7,2.2,2.9,3.6,4.1,4.5,5.1,6.0,6.9,7.3,7.8,8.5,9.3,10.1,10.6,11.0,11.5,11.9,12.3,12.4,12.6,13.1,13.5,13.9,14.1,13.9,14.2,14.4,14.6,14.7
ARBR_P,,0.7,1.0,1.3,1.6,1.9,2.1,2.3,2.8,3.2,3.4,3.6,3.9,4.3,4.7,4.9,5.1,5.3,5.5,5.6,5.7,5.8,6.0,6.2,6.3,6.4,6.3,6.4,6.5,6.6,6.7
ARDK_P,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ARMO_P,,0.4,0.6,0.7,0.9,1.1,1.2,1.3,1.6,1.8,2.0,2.1,2.3,2.5,2.7,2.8,2.9,3.0,3.2,3.3,3.3,3.3,3.4,3.6,3.7,3.7,3.6,3.7,3.8,3.8,3.8
AXMI1,,4.2,5.5,7.4,9.2,10.4,11.4,12.9,15.2,17.3,18.6,19.8,21.5,23.5,25.6,26.9,27.9,29.1,30.2,31.2,31.5,31.9,33.1,34.2,35.3,35.6,35.3,35.8,36.3,36.9,37.3
AYRR,,1.2,1.5,2.1,2.6,3.0,3.3,3.8,4.5,5.1,5.5,5.8,6.3,6.9,7.5,7.9,8.2,8.5,8.8,9.1,9.2,9.3,9.6,9.9,10.2,10.3,10.2,10.3,10.5,10.6,10.7
BAGA,,0.9,1.2,1.6,2.0,2.3,2.5,2.8,3.4,3.8,4.1,4.4,4.8,5.2,5.7,5.9,6.2,6.4,6.6,6.9,6.9,7.0,7.3,7.5,7.7,7.8,7.7,7.8,7.9,8.0,8.1
BAIN,,0.6,0.8,1.0,1.3,1.5,1.7,1.9,2.2,2.5,2.7,2.9,3.1,3.4,3.8,3.9,4.1,4.2,4.4,4.5,4.6,4.6,4.8,5.0,5.1,5.1,5.1,5.2,5.2,5.3,5.4
BARKC1,,3.2,4.3,5.7,7.1,8.0,8.8,9.9,11.7,13.3,14.3,15.2,16.5,18.1,19.7,20.6,21.5,22.3,23.2,23.9,24.2,24.5,25.4,26.3,27.1,27.3,27.1,27.5,27.9,28.3,28.6
BARKW3,,4.5,5.9,7.9,9.8,11.1,12.2,13.8,16.2,18.5,19.8,21.0,22.8,25.0,27.3,28.6,29.7,31.0,32.1,33.2,33.5,34.0,35.3,36.4,37.6,37.9,37.6,38.2,38.7,39.3,39.7
BEAU_P,,0.7,1.0,1.3,1.6,1.9,2.1,2.4,2.8,3.2,3.4,3.7,4.0,4.3,4.7,5.0,5.2,5.4,5.5,5.7,5.8,5.8,6.1,6.2,6.4,6.5,6.4,6.5,6.6,6.7,6.8
BEDDT1,,2.4,3.2,4.2,5.3,5.9,6.5,7.4,8.7,9.9,10.6,11.3,12.2,13.4,14.6,15.3,15.9,16.6,17.2,17.8,18.0,18.2,18.9,19.5,20.1,20.3,20.1,20.4,20.7,21.0,21.3
BEDD_1,,9.3,12.2,16.3,20.3,22.8,25.2,28.4,33.5,38.1,40.9,43.5,47.2,51.7,56.3,59.1,61.4,64.0,66.3,68.5,69.2,70.2,72.8,75.3,77.6,78.2,77.6,78.8,79.9,81.1,82.0
BERB_P,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BERW,,0.7,0.9,1.2,1.5,1.7,1.9,2.2,2.6,2.9,3.1,3.3,3.6,4.0,4.3,4.5,4.7,4.9,5.1,5.2,5.3,5.3,5.5,5.7,5.9,5.9,5.9,5.9,6.0,6.1,6.2
BESW_1,,7.4,9.7,13.0,16.1,18.1,20.0,22.6,26.6,30.3,32.5,34.6,37.5,41.1,44.8,47.0,48.8,50.9,52.7,54.5,55.0,55.8,57.9,59.8,61.7,62.2,61.7,62.7,63.5,64.5,65.2
BICF_1,,4.8,6.2,8.3,10.4,11.7,12.9,14.5,17.1,19.5,20.9,22.2,24.1,26.4,28.8,30.2,31.4,32.7,33.9,35.0,35.4,35.9,37.3,38.5,39.7,40.0,39.7,40.3,40.9,41.5,41.9
BIRK_1,,4.7,6.2,8.3,10.3,11.6,12.8,14.5,17.1,19.4,20.8,22.2,24.1,26.3,28.7,30.1,31.3,32.6,33.8,34.9,35.3,35.8,37.1,38.4,39.6,39.9,39.5,40.2,40.7,41.4,41.8
BISW_1,,9.9,13.0,17.3,21.6,24.3,26.8,30.2,35.6,40.6,43.5,46.2,50.2,55.0,59.9,62.9,65.4,68.1,70.6,72.9,73.6,74.6,77.5,80.1,82.6,83.2,82.5,83.9,85.0,86.3,87.2
BLYTB1,,10.4,13.7,18.3,22.7,25.6,28.2,31.9,37.5,42.8,45.8,48.7,52.9,58.0,63.1,66.2,68.9,71.7,74.4,76.8,77.6,78.6,81.7,84.4,87.0,87.7,87.0,88.4,89.6,91.0,91.9
BLYTH132,,1.6,2.0,2.7,3.4,3.8,4.2,4.8,5.6,6.4,6.8,7.3,7.9,8.6,9.4,9.9,10.3,10.7,11.1,11.5,11.6,11.7,12.2,12.6,13.0,13.1,13.0,13.2,13.4,13.6,13.7
BOAG_P,,0.7,0.9,1.2,1.5,1.7,1.9,2.1,2.5,2.9,3.1,3.3,3.6,3.9,4.2,4.4,4.6,4.8,5.0,5.1,5.2,5.2,5.4,5.6,5.8,5.8,5.8,5.8,5.9,6.0,6.1
BOLN_1,,18.8,24.6,32.9,40.9,46.1,50.8,57.3,67.5,77.0,82.5,87.7,95.2,104.3,113.6,119.2,124.0,129.1,133.8,138.2,139.7,141.6,147.0,151.9,156.6,157.8,156.5,159.1,161.2,163.7,165.4
BONN,,1.3,1.7,2.3,2.9,3.3,3.7,4.2,5.0,5.7,6.1,6.5,7.0,7.7,8.3,8.7,9.1,9.4,9.8,10.1,10.2,10.3,10.7,11.0,11.3,11.4,11.3,11.5,11.6,11.8,11.9
BOTW_1,,3.3,4.3,5.8,7.2,8.1,8.9,10.1,11.8,13.5,14.5,15.4,16.7,18.3,19.9,20.9,21.7,22.7,23.5,24.3,24.5,24.8,25.8,26.6,27.5,27.7,27.5,27.9,28.3,28.7,29.0
BRAC_P,,0.6,0.7,1.0,1.2,1.5,1.6,1.8,2.2,2.5,2.6,2.8,3.0,3.3,3.6,3.8,3.9,4.1,4.2,4.4,4.4,4.5,4.6,4.8,4.9,5.0,4.9,5.0,5.0,5.1,5.2
BRAI_1,,5.1,6.6,8.9,11.0,12.4,13.7,15.5,18.2,20.8,22.3,23.7,25.7,28.2,30.7,32.2,33.5,34.9,36.1,37.3,37.7,38.2,39.7,41.0,42.3,42.6,42.3,42.9,43.5,44.2,44.7
BRAP,,0.8,1.0,1.4,1.7,2.0,2.2,2.5,2.9,3.3,3.6,3.8,4.1,4.5,4.9,5.1,5.3,5.6,5.8,5.9,6.0,6.1,6.3,6.5,6.7,6.7,6.7,6.8,6.8,6.9,7.0
BRAW_1,,8.8,11.6,15.5,19.3,21.7,23.9,27.0,31.8,36.3,38.9,41.3,44.9,49.1,53.5,56.2,58.4,60.8,63.1,65.1,65.8,66.7,69.3,71.6,73.8,74.4,73.8,75.0,76.0,77.1,77.9
BRED_1,,5.4,7.1,9.5,11.9,13.4,14.7,16.6,19.6,22.3,23.9,25.4,27.6,30.2,32.9,34.6,35.9,37.4,38.8,40.1,40.5,41.0,42.6,44.0,45.4,45.8,45.4,46.1,46.8,47.5,48.0
