GSP,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,Comment
BRED_1,183848.3,185049.6,186423.1,187589.6,188557.2,189436.8,190340.8,191221.3,192063.3,192869.8,193694.7,194514.3,195311.8,196074.4,196812.6,197567.5,198291.8,198989.3,199640.7,200271.5,200926.8,201555.6,202125.9,202696.9,203273.3,203849.5,204430.4,205011.2,205596.7,206181.7,
CARR_1,182725.6,183919.4,185284.8,186443.9,187405.5,188280.8,189177.6,190053.2,190890.1,191693.1,192512.8,193325.9,194120.1,194878.6,195612.5,196361.9,197081.3,197775.4,198423.9,199050.3,199699.2,200325.2,200891.0,201460.9,202031.3,202606.5,203182.7,203761.1,204340.4,204923.8,
HARK_1,164741.7,165817.8,167048.7,168094.5,168960.8,169749.9,170559.4,171348.3,172101.8,172825.6,173565.7,174300.1,175013.7,175697.4,176359.7,177036.0,177684.9,178310.4,178894.3,179459.7,180044.7,180608.7,181118.3,181631.3,182147.7,182665.4,183184.4,183705.5,184230.0,184754.0,
HEYS1,2793.2,2811.3,2832.2,2849.6,2863.5,2877.8,2891.9,2903.7,2917.0,2929.9,2942.8,2955.0,2967.5,2977.7,2989.5,3001.8,3011.8,3023.4,3032.4,3041.3,3052.8,3061.8,3069.8,3077.9,3088.3,3096.4,3104.6,3115.1,3123.4,3131.7,
HEYS_1,46383.4,46686.3,47032.6,47326.8,47570.8,47792.9,48021.2,48243.6,48454.9,48658.9,48866.6,49074.9,49275.8,49467.5,49654.5,49845.0,50026.9,50202.3,50367.8,50527.2,50691.8,50850.6,50994.0,51138.6,51283.2,51429.1,51575.2,51721.9,51868.8,52018.6,
HUTT_1,76438.5,76937.6,77509.5,77994.3,78396.2,78762.1,79137.6,79504.0,79854.7,80189.2,80532.5,80873.7,81205.6,81521.9,81829.5,82144.1,82444.2,82734.5,83004.6,83266.6,83539.2,83800.8,84037.1,84276.0,84515.8,84754.6,84995.3,85237.0,85480.5,85724.8,
KEAR_1,327617.3,329758.9,332205.8,334283.6,336008.6,337575.4,339186.2,340756.2,342256.6,343694.9,345165.1,346624.5,348045.9,349407.0,350722.5,352066.8,353356.4,354600.4,355761.3,356885.4,358050.5,359172.5,360186.4,361207.7,362232.1,363262.8,364295.4,365331.9,366372.4,367416.3,
KEAR_3,47556.4,47866.9,48223.3,48524.8,48773.9,49001.3,49235.3,49463.7,49681.0,49889.4,50103.5,50316.1,50521.2,50720.1,50910.6,51105.4,51292.9,51472.7,51641.7,51804.0,51973.3,52137.6,52284.0,52432.3,52581.2,52730.9,52880.0,53031.9,53183.2,53332.6,
KIBY_G,22470.7,22618.4,22786.2,22929.1,23046.5,23154.9,23264.3,23372.0,23475.7,23574.1,23674.7,23775.6,23872.9,23966.3,24055.4,24148.2,24236.3,24322.8,24400.9,24477.6,24558.4,24635.9,24705.9,24776.0,24844.9,24915.6,24987.0,25058.6,25128.6,25201.2,
MACC_3,45574.7,45873.8,46213.4,46502.6,46742.2,46960.6,47184.0,47403.5,47612.1,47811.0,48016.4,48219.9,48416.6,48606.9,48789.8,48976.3,49156.1,49328.9,49489.6,49646.0,49809.4,49964.3,50106.3,50248.7,50390.3,50534.1,50676.5,50821.7,50965.5,51112.1,
ORMO,8553.6,8609.3,8673.2,8727.2,8771.4,8813.3,8855.7,8896.8,8934.8,8973.0,9011.8,9049.6,9087.1,9121.2,9156.1,9192.1,9224.7,9258.2,9287.6,9316.2,9348.3,9377.0,9402.9,9431.1,9457.3,9483.5,9509.8,9538.6,9565.2,9591.9,
PADIB1,115758.1,116515.8,117380.1,118113.3,118723.3,119277.1,119846.6,120400.6,120931.3,121439.8,121959.6,122473.6,122976.1,123458.0,123921.5,124398.3,124854.1,125291.6,125703.6,126100.8,126511.5,126907.6,127267.6,127627.9,127988.8,128352.4,128716.8,129084.9,129451.5,129821.6,
PENE_1,200606.2,201917.4,203416.1,204688.8,205744.1,206705.3,207690.5,208652.2,209570.6,210451.1,211351.7,212244.3,213117.0,213948.2,214753.3,215578.2,216368.7,217127.5,217839.3,218527.6,219241.5,219928.5,220549.4,221175.2,221803.0,222432.3,223064.6,223699.3,224336.9,224976.6,
PENW_1,138979.1,139887.7,140925.6,141808.3,142539.1,143203.8,143887.0,144553.7,145189.7,145798.9,146424.0,147042.1,147646.6,148222.2,148779.7,149352.3,149899.5,150425.1,150919.2,151395.4,151889.8,152366.6,152795.4,153229.3,153664.0,154099.7,154538.6,154979.2,155420.7,155863.6,
