GSP,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
ABHA1,0.3,0.5,0.8,1.3,2.1,3.5,4.9,6.8,9.5,13.2,18.2,25.0,34.2,46.5,62.3,81.0,102.7,127.0,152.2,179.1,204.7,222.0,226.6,227.7,228.7,229.6,230.7,231.6,232.9,231.6
ABNE_P,0.0,0.1,0.1,0.1,0.2,0.3,0.4,0.6,0.8,1.2,1.6,2.2,3.0,4.1,5.5,7.2,9.1,11.2,13.4,15.8,18.1,19.6,20.0,20.1,20.2,20.3,20.4,20.4,20.6,20.4
ABTH_1,0.1,0.2,0.3,0.5,0.9,1.4,2.0,2.8,3.9,5.4,7.4,10.2,13.9,18.9,25.4,33.0,41.8,51.7,62.0,72.9,83.4,90.4,92.3,92.7,93.1,93.5,94.0,94.3,94.8,94.3
ACTL_2;CBNK_H;GREE_H;PERI_H,0.0,0.4,0.4,0.4,0.4,0.4,0.8,0.8,1.2,1.6,2.4,3.2,4.8,6.4,8.4,10.8,14.0,17.2,20.4,24.4,27.6,30.0,30.8,30.8,30.8,31.2,31.2,31.2,31.6,31.2
ACTL_C;WISD_1;WISD_6,0.6000000000000001,0.8999999999999999,1.2000000000000002,1.5,1.7999999999999998,1.5,2.0999999999999996,2.7,3.9000000000000004,5.4,7.5,10.2,13.799999999999999,18.9,25.5,33.0,42.0,51.599999999999994,62.099999999999994,72.9,83.4,90.6,92.4,92.69999999999999,93.30000000000001,93.6,93.9,94.5,94.80000000000001,94.5
ALNE_P,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.2,0.3,0.4,0.5,0.7,1.0,1.3,1.7,2.2,2.7,3.2,3.8,4.3,4.7,4.8,4.8,4.8,4.8,4.9,4.9,4.9,4.9
ALST_3;USKM_1,0.2,0.4,0.8,1.2,2.0,3.4,4.8,6.8,9.6,13.2,18.2,25.0,34.2,46.4,62.2,81.0,102.8,127.0,152.2,179.2,204.8,222.0,226.6,227.8,228.8,229.6,230.8,231.6,233.0,231.6
ALVE1,0.4,0.8,1.2,1.9,3.0,4.7,6.7,9.3,12.9,17.9,24.7,34.0,46.5,63.2,84.7,110.2,139.7,172.7,207.0,243.6,278.4,301.9,308.3,309.7,311.0,312.3,313.8,315.1,316.7,315.0
AMEM_1,0.2,0.3,0.4,0.6,0.8,1.0,1.4,2.0,2.7,3.8,5.2,7.2,9.9,13.4,18.0,23.4,29.6,36.6,43.9,51.7,59.1,64.0,65.4,65.7,66.0,66.3,66.6,66.8,67.2,66.8
ARBR_P,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.2,0.3,0.3,0.5,0.7,0.9,1.2,1.6,2.1,2.7,3.4,4.0,4.7,5.4,5.9,6.0,6.0,6.0,6.1,6.1,6.1,6.2,6.1
ARDK_P;CLAC_P,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.4,0.4,0.6,0.8,1.0,1.4,1.8,2.2,2.6,3.0,3.6,3.8,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
AXMI1,0.2,0.4,0.6,0.9,1.5,2.4,3.4,4.7,6.6,9.1,12.6,17.3,23.7,32.2,43.1,56.1,71.2,88.0,105.5,124.1,141.8,153.8,157.0,157.8,158.4,159.1,159.9,160.5,161.3,160.4
AYRR,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.2,0.2,0.3,0.4,0.6,0.8,1.1,1.4,1.9,2.4,2.9,3.5,4.1,4.7,5.1,5.2,5.3,5.3,5.3,5.3,5.3,5.4,5.3
BAGA,0.1,0.1,0.2,0.3,0.5,0.9,1.2,1.7,2.4,3.3,4.6,6.3,8.6,11.7,15.7,20.4,25.8,31.9,38.3,45.1,51.5,55.8,57.0,57.3,57.5,57.8,58.1,58.3,58.6,58.3
BAIN,0.0,0.0,0.1,0.1,0.2,0.3,0.4,0.5,0.7,1.0,1.4,1.9,2.7,3.6,4.8,6.3,8.0,9.8,11.8,13.9,15.9,17.2,17.6,17.7,17.7,17.8,17.9,18.0,18.1,18.0
BARKC1;BARKW3,0.4,0.6,0.8,1.2,1.6,2.0,2.8,3.8,5.4,7.4,10.2,14.0,19.2,26.2,35.0,45.6,57.8,71.4,85.6,100.6,115.0,124.8,127.4,128.0,128.6,129.0,129.6,130.2,130.8,130.2
BEAU_P;ORRI_P,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.4,0.4,0.6,1.0,1.2,1.8,2.4,3.0,3.8,4.8,5.6,6.6,7.6,8.2,8.4,8.4,8.4,8.6,8.6,8.6,8.6,8.6
BEDDT1,0.2,0.3,0.4,0.5,0.7,0.9,1.3,1.7,2.4,3.4,4.6,6.4,8.7,11.9,15.9,20.7,26.3,32.5,38.9,45.8,52.3,56.8,58.0,58.2,58.5,58.7,59.0,59.2,59.6,59.2
BEDD_1,0.5,0.9,1.3,1.9,2.6,3.5,4.9,6.9,9.6,13.3,18.3,25.2,34.5,46.9,62.8,81.7,103.6,128.0,153.5,180.6,206.4,223.8,228.5,229.6,230.6,231.5,232.7,233.6,234.8,233.5
BERB_P;CAIF_P;DALL_P;GLEF_P;KEIT_P,0.0,0.0,0.0,0.4,0.4,0.8,1.0999999999999999,1.5000000000000002,2.0,2.6999999999999997,3.9,5.3999999999999995,7.299999999999999,10.0,13.5,17.4,22.0,27.4,32.8,38.6,44.0,47.800000000000004,48.89999999999999,48.99999999999999,49.300000000000004,49.400000000000006,49.7,49.800000000000004,50.1,49.800000000000004
BERW,0.0,0.0,0.1,0.1,0.2,0.3,0.4,0.5,0.7,1.0,1.3,1.8,2.5,3.4,4.5,5.9,7.5,9.3,11.1,13.1,14.9,16.2,16.5,16.6,16.7,16.7,16.8,16.9,17.0,16.9
BESW_1,0.8,1.4,2.0,2.8,3.8,5.0,7.1,9.9,13.7,19.0,26.3,36.1,49.4,67.2,90.0,117.1,148.5,183.5,220.0,258.8,295.8,320.8,327.6,329.1,330.5,331.8,333.5,334.8,336.5,334.7
BICF_1,0.1,0.3,0.5,0.8,1.4,2.4,3.3,4.6,6.4,8.9,12.3,16.9,23.1,31.4,42.1,54.7,69.4,85.8,102.9,121.0,138.3,150.0,153.2,153.9,154.5,155.2,155.9,156.5,157.4,156.5
