GSP,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
ABHA1,551.1,537.6,526.4,519.3,506.8,498.9,494.7,499.1,503.0,505.2,509.8,520.3,538.4,555.9,576.9,600.1,623.6,642.0,657.0,665.3,673.8,677.1,675.6,674.2,672.8,675.0,679.5,684.4,685.2,685.3
ABNE_P,90.5,87.8,85.8,84.6,82.4,81.2,80.3,80.9,81.5,82.1,83.9,86.3,90.2,94.2,99.1,107.0,112.8,117.4,121.4,123.9,130.0,132.0,132.9,133.6,134.1,138.7,140.4,142.3,143.4,143.9
ABTH_1,412.3,402.2,393.8,388.5,379.1,373.1,369.9,373.2,376.1,377.7,381.1,389.0,402.5,415.5,431.1,448.2,465.7,479.3,490.4,496.6,502.7,505.1,503.9,502.9,501.8,503.3,506.6,510.2,510.7,510.7
ACTL_2;CBNK_H;GREE_H;PERI_H,263.0,257.2,252.70000000000002,250.2,245.0,241.2,239.5,242.20000000000002,244.6,246.60000000000002,249.0,254.9,264.70000000000005,274.3,286.5,298.4,312.1,322.9,331.9,337.5,341.7,344.70000000000005,345.1,345.5,345.2,346.29999999999995,349.3,352.70000000000005,354.2,354.70000000000005
ACTL_C;WISD_1;WISD_6,803.3,785.4000000000001,771.1,763.2,747.0999999999999,735.5,730.1,737.9,745.3000000000001,750.4999999999999,758.1,775.7,805.1000000000001,833.9000000000001,870.2,906.1999999999999,946.5999999999999,978.8,1005.5,1021.7,1034.2,1042.8,1043.3,1043.7,1043.2,1046.3,1055.3,1065.0,1068.7,1070.2
ALNE_P,76.2,74.0,72.4,71.4,69.6,68.7,67.9,68.4,69.0,69.6,71.2,73.2,76.6,80.1,84.3,91.3,96.4,100.5,104.0,106.3,111.7,113.6,114.5,115.2,115.6,119.8,121.4,123.0,124.1,124.6
ALST_3;USKM_1,519.7,506.7,496.1,489.3,477.4,469.79999999999995,465.79999999999995,469.79999999999995,473.5,475.4,479.6,489.40000000000003,506.2,522.4,541.8,563.2,585.0,601.9,615.6,623.1,630.6,633.5,631.8000000000001,630.3000000000001,628.9000000000001,630.8000000000001,634.8,639.1999999999999,639.6999999999999,639.6999999999999
ALVE1,507.9,495.3,485.1,478.6,467.0,459.7,455.8,459.9,463.5,465.5,469.8,479.5,496.1,512.2,531.6,553.0,574.7,591.7,605.4,613.1,620.9,624.0,622.6,621.3,620.1,622.1,626.2,630.7,631.4,631.5
AMEM_1,148.0,146.4,145.7,146.3,145.3,143.2,142.9,145.6,148.6,151.5,153.9,159.3,167.6,176.1,188.1,197.8,211.2,222.3,232.1,239.1,243.0,248.4,251.3,253.7,255.1,255.9,260.0,264.4,267.8,269.4
ARBR_P,82.8,80.3,78.5,77.4,75.5,74.4,73.6,74.1,74.7,75.3,77.0,79.2,82.9,86.6,91.2,98.8,104.3,108.7,112.4,114.9,121.0,122.9,123.9,124.6,125.1,129.7,131.5,133.3,134.4,134.9
ARDK_P;CLAC_P,9.2,9.0,8.8,8.6,8.4,8.3,8.2,8.3,8.3,8.4,8.5,8.8,9.2,9.6,10.1,10.8,11.3,11.8,12.2,12.4,12.9,13.1,13.2,13.2,13.2,13.6,13.7,13.9,14.0,14.0
AXMI1,369.0,360.0,352.6,348.0,339.8,334.5,331.8,334.8,337.5,339.1,342.3,349.5,361.8,373.7,388.1,403.8,420.0,432.7,443.0,448.9,454.6,457.0,456.2,455.5,454.6,456.1,459.3,462.7,463.4,463.6
AYRR,119.4,115.8,113.1,111.5,108.6,106.9,105.7,106.4,107.1,107.9,109.9,113.0,118.0,123.1,129.3,138.6,145.8,151.5,156.3,159.3,166.0,168.2,169.1,169.9,170.3,175.1,177.1,179.2,180.3,180.8
BAGA,90.6,88.0,85.9,84.7,82.6,81.3,80.4,81.0,81.6,82.2,84.0,86.4,90.3,94.3,99.2,107.1,112.9,117.6,121.5,124.0,130.1,132.1,133.0,133.7,134.1,138.7,140.5,142.3,143.4,143.9
BAIN,40.5,39.3,38.5,38.0,37.0,36.6,36.2,36.5,36.8,37.1,38.1,39.3,41.1,43.0,45.4,49.8,52.7,55.1,57.2,58.5,62.3,63.4,64.1,64.6,64.9,67.8,68.8,69.9,70.6,71.0
BARKC1;BARKW3,757.9,741.0,727.6,720.1,704.9,694.0999999999999,689.0,696.4,703.5,708.6,715.6,732.3,760.1,787.4,821.8,856.1999999999999,894.5,925.0,950.5,965.9,977.8000000000001,986.0999999999999,986.8,987.2,986.7,989.9,998.4,1007.7,1011.3,1012.9
BEAU_P;ORRI_P,71.2,69.1,67.5,66.5,64.8,63.7,63.0,63.4,63.9,64.3,65.5,67.3,70.3,73.3,77.0,82.3,86.6,90.0,92.8,94.5,98.1,99.4,99.9,100.3,100.5,103.1,104.2,105.4,106.1,106.4
BEDDT1,246.3,241.8,238.5,237.2,233.4,229.9,228.7,231.8,235.0,237.8,240.7,247.3,258.0,268.7,282.9,296.0,311.8,324.7,335.7,343.0,348.0,352.8,354.7,356.2,356.9,358.0,362.2,366.7,369.5,370.8
BEDD_1,906.6,886.0,869.6,860.1,841.5,828.7,822.6,831.1,839.3,844.9,853.4,872.9,905.7,937.7,977.9,1018.7,1063.5,1099.1,1128.7,1146.5,1161.0,1170.2,1170.6,1170.8,1170.0,1173.7,1183.5,1194.2,1198.2,1199.7
BERB_P;CAIF_P;DALL_P;GLEF_P;KEIT_P,115.9,112.4,109.8,108.1,105.3,103.5,102.3,103.0,103.6,104.3,106.0,108.8,113.6,118.4,124.1,132.0,138.5,143.7,147.9,150.5,155.4,157.2,157.8,158.2,158.5,161.7,163.4,165.1,165.8,166.2
BERW,115.1,111.6,108.9,107.2,104.3,102.4,101.2,101.8,102.4,102.9,104.4,107.1,111.6,116.2,121.6,128.5,134.5,139.2,143.0,145.3,149.0,150.4,150.7,150.9,151.0,153.3,154.6,156.0,156.5,156.7
BESW_1,737.9,721.5,708.5,701.2,686.5,675.8,670.9,678.1,685.0,690.0,697.0,713.3,740.4,767.0,800.6,834.2,871.7,901.5,926.4,941.5,953.7,961.8,962.6,963.1,962.7,965.7,974.1,983.2,986.9,988.4
BICF_1,312.8,306.9,302.7,301.0,296.1,291.6,290.0,293.9,297.9,301.3,304.9,313.3,326.6,340.0,357.8,373.9,393.7,409.7,423.5,432.5,438.5,444.4,446.5,448.3,449.1,450.4,455.7,461.2,464.5,466.0
BIRK_1,469.8,458.6,449.4,443.8,433.5,427.4,424.0,428.1,431.9,434.3,438.8,448.4,464.6,480.4,499.9,521.1,543.0,560.3,574.5,582.8,590.1,594.1,593.6,593.2,592.4,593.8,598.3,603.3,604.7,605.2
