GSP,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
ABHA1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003806341,0.007854903,0.022768837,0.039066896,0.55128244,1.088343413,1.652570922,2.24666706,2.869426471,3.526453389,4.221488658,4.959287226,5.747422015,6.593756658,7.510776209,8.51035252,9.609212585,10.83047512,11.19543157,11.19543157,11.19543157,11.19543157
ABTH_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.26064998,4.628100669,7.114791723,9.731668839,12.49449098,15.41990641,18.52806974,21.8431219,25.39511272,29.21989162,33.36415282,37.88459284,42.85715479,48.38284152,50.05121393,50.05121393,50.05121393,50.05121393
ALST_3;USKM_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.956137466,8.099176171,12.45088552,17.03042047,21.86535922,26.98483622,32.42412205,38.22546332,44.44144726,51.13481034,58.38726743,66.29803747,75.00002089,84.66997266,87.58962437,87.58962437,87.58962437,87.58962437
BEDD_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.294776859,0.603479969,0.927731394,1.268958397,1.629215864,2.010674638,2.415962778,2.848228132,3.31138904,3.810120079,4.350509927,4.939951514,5.588347421,6.308867887,6.526414869,6.526414869,6.526414869,6.526414869
BESW_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012670733,0.026147786,0.075794023,0.130047798,0.188962971,0.252814073,0.320269338,0.392353133,0.453577544,0.510475211,0.560822523,0.602868909,0.639941625,0.672112481,0.706940277,0.742659014,0.779649645,0.821322042,0.821322018,0.821322018,0.821322018,0.821322018
BIRK_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016020708,0.033060916,0.095832964,0.164430724,0.238922292,0.319654785,0.404944334,0.496086135,0.573497474,0.645438135,0.709096612,0.76225951,0.809133763,0.84981017,0.893845976,0.939008277,0.985778744,1.038468774,1.038468744,1.038468744,1.038468744,1.038468744
BISW_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005405117,0.011154197,0.03233243,0.05547616,0.080608362,0.107846147,0.136621406,0.167371117,0.1934884,0.217759969,0.239237268,0.257173536,0.27298812,0.286711655,0.301568596,0.316805596,0.332585165,0.350361895,0.350361885,0.350361885,0.350361885,0.350361885
BOLN_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.743634862,1.522401536,2.340392014,3.201206855,4.110029929,5.072337635,6.094759783,7.185237467,8.3536555,9.611806455,10.97505027,12.46203712,14.09774829,15.91540839,16.46421511,16.46421511,16.46421511,16.46421511
BONN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000844217,0.001742158,0.005049955,0.00866474,0.012590102,0.016844332,0.021338698,0.02614145,0.030220671,0.034011611,0.037366119,0.040167559,0.042637616,0.044781075,0.047101558,0.049481403,0.051945991,0.054722512,0.054722511,0.054722511,0.054722511,0.054722511
BOTW_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.825812475,5.785125837,8.893489654,12.16458605,15.61811373,19.27488301,23.16008718,27.30390237,31.7438909,36.52486453,41.70519102,47.35574105,53.57144349,60.4785519,62.56401741,62.56401741,62.56401741,62.56401741
BRAI_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.602641692,1.233754205,1.896653688,2.594258035,3.330768254,4.110622419,4.939193328,5.822916443,6.769802418,7.789407951,8.894180739,10.09923488,11.42481521,12.89784696,13.34259992,13.34259992,13.34259992,13.34259992
BRAW_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020437034,0.042174606,0.122250619,0.209758281,2.83418408,5.586068543,8.477182124,11.521424,14.71144562,18.07641113,21.63528463,25.41225339,29.44630627,33.77767034,38.47078272,43.58623169,49.20960304,55.45940687,57.32611799,57.32611799,57.32611799,57.32611799
BRED_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007124798,0.014702993,0.042619248,0.073126338,5.04458494,10.25212237,15.72216387,21.47919604,27.54893501,33.97142179,40.78943326,48.05472029,55.83479689,64.20801554,73.28062886,83.1754959,94.05872659,106.1528764,109.797392,109.797392,109.797392,109.797392
BRFO_1;CLT03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.535417101,1.096129106,1.68508225,2.304868935,2.959221549,3.652083097,4.388227044,5.173370976,6.01463196,6.920500648,7.902036194,8.972666725,10.15037877,11.45909404,11.85423488,11.85423488,11.85423488,11.85423488
BRID_P,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001393903,0.002876508,0.008338072,0.01430651,0.020787746,0.027811982,0.03523271,0.043162622,0.049897896,0.056157188,0.061695877,0.066321384,0.070399739,0.073938843,0.077770236,0.081699641,0.085768967,0.090353332,0.090353329,0.090353329,0.090353329,0.090353329
BRLE_1;FLEE_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00184855,0.003814735,0.011057691,0.018972847,8.319096771,17.011660509000002,26.142095480000002,35.750697349999996,45.893006740000004,56.631038540000006,68.03839073,80.20335109999999,93.23662077,107.26969736,122.47494696999999,139.06006139,157.30363753,177.57662736,183.69582221,183.69582221,183.69582221,183.69582221
BRWA1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002998418,0.006187644,0.01793599,0.03077467,0.044716428,0.059826231,0.075788927,0.092846925,0.107335144,0.120799477,0.132713727,0.142663635,0.151436568,0.159049518,0.16729121,0.175743736,0.184497244,0.194358651,0.194358645,0.194358645,0.194358645,0.194358645
BUST_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.169548749,0.34710755,0.533609379,0.729875163,0.937086824,1.156492981,1.389605231,1.638234142,1.904633454,2.191491872,2.502311461,2.841344463,3.21428661,3.628713114,3.753841044,3.753841044,3.753841044,3.753841044
CAMB_01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014337785,0.029587975,0.085766025,0.147157814,0.981255465,1.857194481,2.777690815,3.747619383,4.754804326,5.812289409,6.924400429,8.097351707,9.345109384,10.67992465,12.12620226,13.70119084,15.43110214,17.35408249,17.92045099,17.92045099,17.92045099,17.92045099
CAPEA1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002994525,0.00617961,0.017912704,0.030734715,0.044658372,0.059748558,0.07569053,0.09272638,0.107195789,0.120642642,0.132541423,0.142478413,0.151239956,0.158843022,0.167074014,0.175515566,0.184257709,0.194106313,0.194106307,0.194106307,0.194106307,0.194106307
CARE_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.412906238,2.892562918,4.446744827,6.082293024,7.809056865,9.637441506,11.58004359,13.65195119,15.87194545,18.26243226,20.85259551,23.67787053,26.78572175,30.23927595,31.2820087,31.2820087,31.2820087,31.2820087
