GSP,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
ABHA1,1109.0,1404.5,1852.0,2489.8,3371.0,4572.8,5156.1,5798.1,6484.2,7214.6,7821.6,8419.5,9031.7,9636.8,9293.7,8679.4,7892.9,7346.7,6756.4,6099.2,5392.1,4614.1,3783.0,2899.2,2136.6,1386.4,609.8,0.0,0.0,0.0
ABNE_P,66.8,80.7,99.6,124.4,156.5,198.4,223.7,251.6,281.4,313.0,339.4,365.3,391.9,418.1,403.3,376.6,342.5,318.8,293.2,264.6,234.0,200.2,164.1,125.8,92.7,60.2,26.5,0.0,0.0,0.0
ABTH_1,375.9,467.9,602.5,789.9,1044.3,1387.3,1564.3,1759.1,1967.2,2188.8,2373.0,2554.4,2740.1,2923.7,2819.6,2633.2,2394.6,2228.9,2049.8,1850.4,1635.9,1399.9,1147.7,879.6,648.2,420.6,185.0,0.0,0.0,0.0
ACTL_2;CBNK_H;GREE_H;PERI_H,744.0,825.2,882.0,896.4,853.2,737.6,831.6,935.2,1045.6,1163.6,1261.6,1358.0,1456.8,1554.0,1498.8,1399.6,1272.8,1184.8,1089.6,983.6,869.6,744.0,610.0,467.6,344.4,223.6,98.4,0.0,0.0,0.0
ACTL_C;WISD_1;WISD_6,3081.6000000000004,3373.5,3516.6000000000004,3419.7000000000003,3001.2,2174.7,2451.8999999999996,2757.3,3083.3999999999996,3430.7999999999997,3719.3999999999996,4003.7999999999997,4294.799999999999,4582.799999999999,4419.6,4127.4,3753.2999999999997,3493.5,3213.0,2900.3999999999996,2564.1000000000004,2194.2,1799.1000000000001,1378.8000000000002,1016.0999999999999,659.4000000000001,290.1,0.0,0.0,0.0
ALNE_P,14.0,18.1,24.4,33.6,46.5,64.3,72.5,81.5,91.2,101.5,110.0,118.4,127.0,135.5,130.7,122.1,111.0,103.3,95.0,85.8,75.8,64.9,53.2,40.8,30.0,19.5,8.6,0.0,0.0,0.0
ALST_3;USKM_1,655.4,840.2,1125.6,1538.2,2113.8,2903.6,3274.0,3681.6,4117.4,4581.2,4966.6,5346.2,5735.0,6119.2,5901.4,5511.2,5011.8,4665.0,4290.2,3872.8,3423.8,2929.8,2402.2,1841.0,1356.8,880.4,387.2,0.0,0.0,0.0
ALVE1,1460.8,1794.3,2267.8,2911.0,3769.9,4914.1,5540.9,6230.8,6968.1,7753.1,8405.3,9047.8,9705.7,10356.0,9987.3,9327.1,8482.0,7894.9,7260.6,6554.3,5794.5,4958.4,4065.3,3115.6,2296.1,1489.9,655.3,0.0,0.0,0.0
AMEM_1,555.1,634.0,714.5,790.1,857.3,915.6,1032.4,1161.0,1298.4,1444.6,1566.2,1685.9,1808.5,1929.6,1860.9,1737.9,1580.4,1471.1,1352.9,1221.3,1079.7,923.9,757.5,580.5,427.8,277.6,122.1,0.0,0.0,0.0
ARBR_P,26.8,33.4,43.0,56.3,74.5,99.0,111.6,125.5,140.4,156.2,169.4,182.3,195.6,208.7,201.2,187.9,170.9,159.1,146.3,132.1,116.7,99.9,81.9,62.8,46.3,30.0,13.2,0.0,0.0,0.0
ARDK_P;CLAC_P,15.0,18.6,24.2,31.8,42.4,56.6,63.8,71.6,80.2,89.2,96.6,104.0,111.6,119.2,114.8,107.2,97.6,90.8,83.6,75.4,66.6,57.0,46.8,35.8,26.4,17.2,7.6,0.0,0.0,0.0
AXMI1,700.5,865.4,1102.9,1428.9,1867.7,2455.6,2768.9,3113.6,3482.1,3874.3,4200.3,4521.3,4850.1,5175.1,4990.8,4660.9,4238.6,3945.2,3628.3,3275.3,2895.6,2477.8,2031.5,1556.9,1147.4,744.5,327.5,0.0,0.0,0.0
AYRR,21.0,26.5,34.8,46.6,62.8,85.0,95.8,107.7,120.5,134.1,145.3,156.5,167.8,179.1,172.7,161.3,146.7,136.5,125.6,113.3,100.2,85.7,70.3,53.9,39.7,25.8,11.3,0.0,0.0,0.0
BAGA,190.6,242.3,321.2,434.1,590.6,804.4,907.0,1019.9,1140.6,1269.1,1375.9,1481.1,1588.8,1695.2,1634.9,1526.8,1388.4,1292.4,1188.5,1072.9,948.5,811.7,665.5,510.0,375.9,243.9,107.3,0.0,0.0,0.0
BAIN,60.5,77.3,103.2,140.5,192.4,263.5,297.2,334.2,373.7,415.8,450.8,485.2,520.5,555.4,535.6,500.2,454.9,423.4,389.4,351.5,310.8,265.9,218.0,167.1,123.1,79.9,35.1,0.0,0.0,0.0
