GSP,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
ABHA1,0.0,0.0,0.0,0.0,-0.3,-0.9,-2.0,-3.8,-6.9,-11.9,-20.0,-31.6,-47.5,-67.7,-91.3,-118.7,-147.3,-174.8,-199.2,-217.4,-217.4,-217.4,-217.4,-217.4,-217.4,-217.4,-217.4,-217.4,-217.4,-217.4
ABNE_P,0.0,0.0,0.0,0.0,0.0,-0.1,-0.2,-0.3,-0.6,-1.1,-1.8,-2.8,-4.2,-6.0,-8.1,-10.5,-13.0,-15.4,-17.6,-19.2,-19.2,-19.2,-19.2,-19.2,-19.2,-19.2,-19.2,-19.2,-19.2,-19.2
ABTH_1,0.0,0.0,0.0,0.0,-0.1,-0.4,-0.8,-1.5,-2.8,-4.9,-8.1,-12.9,-19.4,-27.6,-37.2,-48.4,-60.0,-71.2,-81.1,-88.5,-88.5,-88.5,-88.5,-88.5,-88.5,-88.5,-88.5,-88.5,-88.5,-88.5
ACTL_2;CBNK_H;GREE_H;PERI_H,0.0,0.0,0.0,0.0,0.0,0.0,-0.4,-0.4,-0.8,-1.6,-2.8,-4.4,-6.4,-9.2,-12.4,-16.0,-20.0,-23.6,-26.8,-29.6,-29.6,-29.6,-29.6,-29.6,-29.6,-29.6,-29.6,-29.6,-29.6,-29.6
ACTL_C;WISD_1;WISD_6,0.0,0.0,0.0,0.0,-0.30000000000000004,-0.30000000000000004,-0.8999999999999999,-1.5,-2.7,-4.800000000000001,-8.100000000000001,-12.899999999999999,-19.5,-27.599999999999998,-37.2,-48.300000000000004,-60.0,-71.4,-81.30000000000001,-88.5,-88.5,-88.5,-88.5,-88.5,-88.5,-88.5,-88.5,-88.5,-88.5,-88.5
ALNE_P,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,-0.1,-0.3,-0.4,-0.7,-1.0,-1.4,-1.9,-2.5,-3.1,-3.7,-4.2,-4.6,-4.6,-4.6,-4.6,-4.6,-4.6,-4.6,-4.6,-4.6,-4.6,-4.6
ALST_3;USKM_1,0.0,0.0,0.0,0.0,-0.4,-0.8,-2.0,-3.8,-6.8,-12.0,-20.0,-31.6,-47.6,-67.8,-91.2,-118.8,-147.2,-174.8,-199.2,-217.4,-217.4,-217.4,-217.4,-217.4,-217.4,-217.4,-217.4,-217.4,-217.4,-217.4
ALVE1,0.0,0.0,0.0,0.0,-0.4,-1.2,-2.7,-5.1,-9.4,-16.2,-27.2,-43.0,-64.6,-92.1,-124.2,-161.5,-200.3,-237.8,-271.0,-295.7,-295.7,-295.7,-295.7,-295.7,-295.7,-295.7,-295.7,-295.7,-295.7,-295.7
AMEM_1,0.0,0.0,0.0,0.0,-0.1,-0.3,-0.6,-1.1,-2.0,-3.4,-5.8,-9.1,-13.7,-19.5,-26.3,-34.3,-42.5,-50.4,-57.5,-62.7,-62.7,-62.7,-62.7,-62.7,-62.7,-62.7,-62.7,-62.7,-62.7,-62.7
ARBR_P,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,-0.1,-0.2,-0.3,-0.5,-0.8,-1.3,-1.8,-2.4,-3.1,-3.9,-4.6,-5.3,-5.7,-5.7,-5.7,-5.7,-5.7,-5.7,-5.7,-5.7,-5.7,-5.7,-5.7
ARDK_P;CLAC_P,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,-0.1,-0.2,-0.3,-0.4,-0.6,-0.8,-1.0,-1.3,-1.5,-1.7,-1.9,-1.9,-1.9,-1.9,-1.9,-1.9,-1.9,-1.9,-1.9,-1.9,-1.9
AXMI1,0.0,0.0,0.0,0.0,-0.2,-0.6,-1.4,-2.6,-4.8,-8.3,-13.8,-21.9,-32.9,-46.9,-63.2,-82.3,-102.0,-121.1,-138.0,-150.6,-150.6,-150.6,-150.6,-150.6,-150.6,-150.6,-150.6,-150.6,-150.6,-150.6
AYRR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,-0.2,-0.3,-0.5,-0.7,-1.1,-1.6,-2.1,-2.7,-3.4,-4.0,-4.6,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0
BAGA,0.0,0.0,0.0,0.0,-0.1,-0.2,-0.5,-0.9,-1.7,-3.0,-5.0,-8.0,-12.0,-17.0,-23.0,-29.9,-37.1,-44.0,-50.1,-54.7,-54.7,-54.7,-54.7,-54.7,-54.7,-54.7,-54.7,-54.7,-54.7,-54.7
BAIN,0.0,0.0,0.0,0.0,0.0,-0.1,-0.2,-0.3,-0.5,-0.9,-1.5,-2.5,-3.7,-5.2,-7.1,-9.2,-11.4,-13.6,-15.4,-16.9,-16.9,-16.9,-16.9,-16.9,-16.9,-16.9,-16.9,-16.9,-16.9,-16.9
