GSP,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
ABHA1,132958.4,133827.9,134822.1,135664.8,136364.1,137001,137654.6,138291.8,138900.2,139484.5,140081.4,140674.5,141251.4,141803.5,142337.8,142883.5,143407.6,143912.4,144384.2,144839.2,145312.3,145767.9,146180.2,146593.6,147009.6,147427.7,147847.6,148269.2,148690.5,149115.2
ABNE_P,24152.2,24309.6,24490.2,24643.9,24771.3,24888.2,25007.7,25124,25235.7,25342.9,25451.3,25559.7,25664.4,25764.2,25860.4,25959.5,26055.2,26147,26232.8,26314.3,26401.2,26483.5,26557.5,26632.5,26708.1,26784.6,26860.5,26938.1,27014.5,27090.8
ABTH_1,112823.2,113561.4,114404.2,115119.4,115712.9,116253.9,116808.9,117348.9,117865.5,118360.3,118868.2,119370.3,119859.6,120328.1,120781.5,121245.8,121689.1,122117.4,122517.8,122905.1,123306.5,123693,124042.9,124393.5,124746.5,125101.3,125457.8,125814.1,126173,126532.1
ACTL_2;CBNK_H;GREE_H;PERI_H,56256.2,56623.8,57044.3,57400.8,57697.5,57967.8,58245.3,58512,58770.8,59015.8,59269.4,59520.2,59763.7,59997,60225.5,60457.3,60678.8,60889.8,61089.7,61283.3,61483.2,61675.6,61849.7,62026.9,62202.9,62380.5,62555.2,62734.9,62912.1,63091.7
ALNE_P,13163.1,13247.7,13346,13430.2,13499.6,13562.9,13628.9,13691.5,13752.3,13810.7,13869.6,13928.7,13986.2,14040.3,14092.8,14147.3,14198.7,14248.9,14295.8,14341.1,14387.4,14431.9,14473.7,14513.6,14554.8,14597,14638.8,14680.7,14721.2,14763.6
ALVE1,110462.1,111185.7,112010.6,112710.8,113293,113821.4,114365.2,114894.1,115399.1,115884.4,116381.6,116872.7,117352.5,117811,118255.4,118709.2,119143.6,119563.1,119955.2,120333.1,120727.4,121105.8,121447.3,121791.2,122136.8,122484.5,122832.5,123182,123533.9,123885
AMEM_1,37724.6,37971.1,38253.1,38492.5,38690.5,38872.1,39056.9,39238.2,39410.9,39576.6,39745.3,39913.9,40077.3,40234.5,40385.4,40540,40689.5,40831.9,40966.5,41095.2,41230,41358.4,41476.1,41593.2,41711.2,41829.9,41949.2,42069,42187.6,42308.4
ARBR_P,13381.4,13468,13568.7,13653.8,13724.7,13789,13855.6,13919.8,13981.8,14040.5,14101,14160,14218.2,14274,14328.3,14383.4,14435.2,14485.7,14534.2,14579.8,14627.6,14672.2,14714.3,14756,14797.9,14839.4,14882.1,14924.9,14966.4,15009.9
ARDK_P;CLAC_P,1517.5,1526.2,1537.6,1547.9,1555.2,1563.1,1571.2,1578.1,1584.4,1591.9,1598.2,1605.1,1612.3,1618.3,1624.3,1631.1,1636.9,1641.8,1647.7,1652,1658.6,1663.5,1668.1,1672,1676.7,1682.3,1687.1,1692,1696.9,1701.9
ARMO_P,17021.6,17132.6,17259.9,17367.9,17458.2,17540.3,17623.8,17706.7,17785.1,17860.1,17937.4,18012.7,18087,18157.1,18225.9,18296.3,18362.4,18427.6,18487.2,18546.3,18606.2,18663.8,18717.1,18770.5,18823.8,18877.1,18930.6,18984.2,19038,19093.2
AXMI1,93385.6,93996,94693.8,95286.4,95777.6,96224,96684.4,97131.7,97558.4,97969.2,98388.8,98804.3,99209.6,99598,99972,100356.8,100723.5,101079.1,101410.2,101730.4,102061.9,102382.6,102672.2,102962.7,103254.9,103547.5,103843.3,104138.9,104435.3,104732.4
AYRR,16028.3,16132.1,16253,16353.9,16438.3,16515.1,16593.6,16670.9,16744.5,16813.9,16887.1,16957.4,17027.5,17093.5,17158.9,17223.8,17287.9,17349,17404.7,17459.9,17517.8,17572.2,17621.4,17671.8,17722,17771.7,17822.4,17873.4,17924.5,17976
BAGA,12804.9,12888.7,12983.6,13065.8,13132.1,13193.9,13256.3,13317.7,13376.7,13432.8,13490.7,13547.4,13603.9,13656.1,13707.9,13760,13810.7,13859,13905.5,13949.1,13993.7,14038.1,14078,14117.4,14157.5,14198.4,14238.6,14279,14319.5,14360
BAIN,7069.5,7116.2,7168.4,7213.3,7250.8,7284.3,7319,7353.4,7385.3,7416.5,7448.6,7479.8,7510,7539.8,7568.4,7596.9,7625,7651.5,7677.6,7701.5,7727,7750.2,7772.3,7795.3,7817.4,7838.8,7861,7883.2,7905.6,7929.3
BARKC1;BARKW3,166694.6,167785.1,169031.4,170087.6,170965,171764.5,172584,173381.6,174146.2,174877.7,175626.9,176368.6,177091.8,177785.1,178453.7,179139.2,179794.9,180428.3,181019,181590.3,182184.6,182755.4,183270.9,183792,184313.6,184835.8,185361.3,185890.4,186419.5,186950
BEAU_P;ORRI_P,12540.3,12622.1,12715.1,12795.6,12861.2,12922.3,12984.5,13044.5,13102.7,13157.9,13215.3,13270.3,13324.7,13376.6,13427.8,13479.3,13528.1,13576,13619.4,13662.7,13707.1,13749.9,13789.6,13828.6,13867.8,13906.3,13946.9,13986.2,14025.6,14066.2
BEDDT1,63087.4,63500.1,63971.6,64371.5,64704.1,65005.2,65316.3,65618,65907,66184.2,66466.8,66748.7,67023.2,67284.5,67538.4,67796.6,68045.6,68284.2,68508.7,68724.4,68949.7,69165.2,69361.2,69558.1,69755.5,69953.6,70152.3,70351.9,70552,70753.9
BEDD_1,269007.9,270766.7,272777.6,274483.3,275899.6,277186.8,278509.9,279798.3,281030.5,282212,283420.1,284617.7,285786,286903.8,287983.1,289089.7,290148.2,291168.9,292123,293046,294004,294925.2,295758.9,296596.4,297438.1,298282.6,299132.4,299984.1,300838.3,301695
BERB_P;CAIF_P;DALL_P;GLEF_P;KEIT_P,14630.2,14725.5,14834.5,14927.9,15004.9,15075.6,15148.5,15218.9,15286.5,15351.7,15417,15481.9,15545.7,15606.9,15664.7,15725.1,15783,15837.7,15889.9,15940.5,15991.8,16042.4,16086.8,16132.6,16178.4,16224.3,16270.3,16317.7,16364,16410.4
