GSP,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
ABHA1,6.6,12.4,17.8,22.1,24.4,26.9,29.4,31.9,34.4,36.8,37.6,40.2,42.9,45.7,48.6,45.6,47,49.4,53.4,59.4,61.8,67.5,73.2,79.4,86.2,89.6,96.1,102.8,109.8,116.8
ABNE_P,0.4,0.8,1.1,1.3,1.5,1.9,2,2.2,2.4,2.5,2.9,3.1,3.3,3.5,3.8,3.8,3.9,4.1,4.4,4.9,5.2,5.7,6.1,6.7,7.2,7.4,8,8.5,9.1,9.7
ABTH_1,3,5.6,8,9.9,11,12.5,13.6,14.8,15.9,17,18.4,19.7,21,22.4,23.8,23.2,23.9,25.1,27.1,30.2,33.7,36.8,39.9,43.3,47,52.3,56.1,60,64,68.1
ACTL_2;CBNK_H;GREE_H;PERI_H,1.7,3.3,4.7,5.9,6.7,6.8,7.4,8,8.8,9.3,9.4,10.1,11,11.6,12.4,12.6,13,13.6,14.7,16.4,18.7,20.3,22,23.9,26,28.9,31,33.2,35.5,37.7
ALNE_P,0.4,0.7,1,1.3,1.4,1.4,1.5,1.7,1.8,1.9,1.9,2,2.1,2.3,2.4,2.1,2.2,2.3,2.5,2.8,2.7,2.9,3.2,3.4,3.7,3.6,3.9,4.1,4.4,4.7
ALVE1,4,7.4,10.7,13.3,14.7,16.2,17.7,19.2,20.7,22.1,22.6,24.2,25.8,27.5,29.2,27.4,28.3,29.7,32.1,35.7,37.1,40.6,44,47.8,51.8,53.9,57.8,61.8,66,70.2
AMEM_1,3,5.7,8.2,10.2,11.2,11.7,12.8,13.8,14.9,16,16.6,17.7,18.9,20.2,21.4,22.3,23,24.1,26.1,29,32.9,35.9,39,42.3,45.9,51.1,54.9,58.7,62.6,66.6
ARBR_P,0.7,1.3,1.9,2.3,2.6,3.2,3.5,3.8,4.1,4.4,5,5.3,5.7,6.1,6.4,6.4,6.6,7,7.5,8.4,8.9,9.7,10.5,11.4,12.4,12.7,13.6,14.6,15.6,16.6
ARDK_P;CLAC_P,,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4
ARMO_P,0.6,1.1,1.5,1.9,2.1,2.4,2.6,2.8,3,3.2,3.4,3.7,3.9,4.2,4.5,4.3,4.4,4.6,5,5.6,5.7,6.2,6.8,7.3,8,8,8.6,9.2,9.8,10.4
AXMI1,3.4,6.5,9.3,11.5,12.7,13.3,14.6,15.8,17,18.2,18.6,19.9,21.2,22.6,24,23.4,24.1,25.4,27.4,30.5,33,36.1,39.1,42.5,46.1,49.5,53.1,56.8,60.6,64.5
AYRR,0.9,1.6,2.4,2.9,3.2,4.3,4.7,5.1,5.5,5.8,6.9,7.3,7.8,8.3,8.9,9,9.3,9.8,10.6,11.8,12.6,13.7,14.9,16.2,17.5,18.1,19.4,20.8,22.2,23.6
BAGA,0.7,1.3,1.9,2.4,2.7,3.5,3.8,4.2,4.5,4.8,5.6,6,6.4,6.9,7.3,7.4,7.7,8.1,8.7,9.7,10.4,11.3,12.3,13.3,14.4,14.9,16,17.1,18.3,19.4
BAIN,0.5,0.9,1.3,1.6,1.8,2.3,2.6,2.8,3,3.2,3.8,4,4.3,4.6,4.9,5,5.1,5.4,5.8,6.5,6.9,7.6,8.2,8.9,9.7,10,10.7,11.4,12.2,13
BARKC1;BARKW3,4.1,7.7,11.2,13.9,15.3,15.4,16.9,18.3,19.7,21.1,21.6,23.1,24.7,26.3,28,28.8,29.8,31.3,33.8,37.6,42.5,46.4,50.4,54.7,59.3,66,70.9,75.8,80.9,86.1
BEAU_P;ORRI_P,0.4,0.8,1.1,1.4,1.6,1.8,1.9,2.1,2.3,2.4,2.6,2.8,2.9,3.1,3.3,3.2,3.3,3.5,3.8,4.2,4.3,4.7,5.1,5.5,6,6,6.4,6.9,7.4,7.8
BEDDT1,4.3,8.2,11.8,14.6,16.1,17.3,18.9,20.5,22,23.6,24.8,26.5,28.3,30.2,32.1,33.6,34.7,36.5,39.4,43.8,49.7,54.3,59,64,69.4,77.3,83,88.8,94.7,100.8
BEDD_1,7.8,14.7,21.1,26.2,28.9,31,33.9,36.7,39.6,42.4,44.5,47.7,50.9,54.2,57.6,60.4,62.3,65.5,70.7,78.7,89.3,97.5,105.9,114.9,124.6,138.9,149,159.4,170.1,181
BERB_P;CAIF_P;DALL_P;GLEF_P;KEIT_P,0.5,1,1.4,1.7,1.9,2.1,2.3,2.5,2.7,2.9,3.1,3.4,3.6,3.8,4.1,3.9,4,4.2,4.6,5.1,5.2,5.7,6.2,6.7,7.3,7.3,7.8,8.4,8.9,9.5
BERW,0.3,0.6,0.9,1.1,1.3,1.7,1.8,2,2.1,2.3,2.7,2.9,3.1,3.3,3.5,3.5,3.6,3.8,4.1,4.6,4.9,5.4,5.8,6.3,6.9,7.1,7.6,8.1,8.7,9.2
BESW_1,4.4,8.3,11.9,14.7,16.3,16.7,18.2,19.8,21.3,22.8,23.4,25,26.7,28.4,30.2,30.6,31.6,33.2,35.8,39.9,44.7,48.8,53,57.5,62.3,68.9,73.9,79.1,84.4,89.8
BICF_1,2.9,5.4,7.8,9.7,10.7,12,13.1,14.2,15.3,16.4,16.9,18.1,19.3,20.5,21.8,20.1,20.7,21.8,23.5,26.2,27.1,29.6,32.1,34.9,37.8,39.2,42,44.9,48,51
BIRK_1,3.3,6.3,9,11.2,12.4,13.4,14.7,15.9,17.1,18.3,20.3,21.7,23.1,24.6,26.2,27.1,27.9,29.4,31.7,35.3,39.6,43.2,46.9,50.9,55.2,59.5,63.8,68.3,72.9,77.5
BISW_1,8.5,15.9,22.9,28.3,31.3,32.4,35.4,38.4,41.3,44.3,45.4,48.7,51.9,55.3,58.8,58.3,60.1,63.2,68.3,76,84,91.7,99.6,108,117.2,128.1,137.5,147,156.9,166.9
BLYTB1,1.7,3.2,4.7,5.8,6.4,7.3,8,8.6,9.3,10,11.1,11.9,12.7,13.5,14.3,14.5,14.9,15.7,17,18.9,20.7,22.6,24.6,26.7,28.9,30.6,32.8,35.1,37.5,39.9
BLYTH132,1.1,2.1,3,3.8,4.2,4.8,5.2,5.6,6.1,6.5,7.2,7.7,8.3,8.8,9.4,9.5,9.8,10.3,11.1,12.3,13.5,14.8,16,17.4,18.9,20,21.4,22.9,24.5,26
BOAG_P,0.2,0.4,0.6,0.8,0.9,1,1.1,1.2,1.3,1.4,1.5,1.6,1.7,1.8,1.9,1.8,1.9,2,2.1,2.4,2.4,2.6,2.9,3.1,3.4,3.4,3.6,3.9,4.2,4.4
BOLN_1,11.7,22,31.8,39.3,43.5,44.9,49.1,53.2,57.3,61.4,62.8,67.3,71.8,76.4,81.3,81.6,84.1,88.5,95.6,106.3,117.5,128.4,139.4,151.2,164,179.4,192.5,205.9,219.8,233.8
BONN,1.2,2.2,3.2,4,4.4,5.8,6.4,6.9,7.5,8,9.4,10,10.7,11.4,12.1,12.3,12.7,13.4,14.5,16.1,17.2,18.8,20.4,22.1,24,24.8,26.6,28.4,30.4,32.3
BOTW_1,2,3.7,5.4,6.7,7.4,7.4,8.1,8.8,9.5,10.2,10.3,11.1,11.8,12.6,13.4,13.5,14,14.7,15.9,17.7,19.7,21.5,23.3,25.3,27.4,30.2,32.4,34.6,37,39.3
BRAC_P,0.6,1.1,1.6,2,2.2,2.8,3,3.3,3.5,3.8,4.3,4.6,4.9,5.2,5.6,5.6,5.7,6,6.5,7.2,7.7,8.4,9.1,9.9,10.7,11,11.8,12.6,13.4,14.3
BRAI_1,4.8,9,13,16.1,17.8,18.7,20.5,22.2,23.9,25.6,26,27.9,29.7,31.7,33.7,32,33,34.7,37.4,41.7,44.4,48.5,52.7,57.1,62,65.9,70.7,75.6,80.7,85.9
BRAP,0.6,1.2,1.7,2.1,2.4,3.1,3.4,3.7,4,4.2,5,5.3,5.7,6,6.4,6.5,6.7,7.1,7.7,8.5,9.1,9.9,10.8,11.7,12.7,13.1,14.1,15,16.1,17.1
BRAW_1,5.6,10.4,15,18.6,20.6,22.2,24.2,26.3,28.3,30.3,33.4,35.7,38.1,40.6,43.2,45.7,47.1,49.5,53.5,59.5,67.6,73.9,80.2,87,94.4,102.6,110.1,117.7,125.6,133.7
BRED_1,3.6,6.8,9.8,12.2,13.4,14.1,15.4,16.7,18,19.2,20.8,22.3,23.7,25.3,26.9,28.1,29,30.5,32.9,36.6,41.3,45.1,49,53.2,57.6,62.4,67,71.6,76.5,81.3
BRFO_1;CLT03,9.6,18,26,32.1,35.5,37.3,40.7,44.2,47.5,50.9,51.6,55.3,58.9,62.7,66.8,63.6,65.6,69.1,74.5,83,88.5,96.6,104.9,113.8,123.4,131.4,140.9,150.7,160.9,171.1
BRID_P,0.5,1,1.4,1.7,1.9,2.4,2.6,2.8,3,3.2,3.7,3.9,4.2,4.5,4.8,4.8,4.9,5.2,5.6,6.2,6.6,7.2,7.8,8.5,9.2,9.4,10.1,10.8,11.5,12.3
