GSP,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
ABHA1,1.916534387,1.916535897,1.916529847,1.916532876,1.916534321,1.916524682,1.916523769,1.916523804,1.916517781,1.916527522,1.916519037,1.916515178,1.916539084,1.916530209,1.916540466,1.916538082,1.916519604,1.916537495,1.916533022,1.91653122,1.916529468,1.91652533,1.916516538,1.916528594,1.916531846,1.916524452,1.916532211,1.916525926,1.916531546,1.91652013
ABNE_P,1.553969926,1.705219903,1.7100805,1.714772205,1.719297943,1.723660318,1.727887179,1.731980658,1.735942677,1.739800532,1.743530263,1.747158884,1.750713332,1.754143646,1.757502154,1.760764287,1.763930991,1.767054442,1.770084185,1.773046634,1.775942509,1.778772478,1.781537161,1.784262848,1.786924388,1.789522286,1.79208275,1.794580503,1.797041711,1.79944103
ACTL_2;CBNK_H;GREE_H;PERI_H,0.278853139,0.278853359,0.278852479,0.27885292,0.27885313,0.278851727,0.278851594,0.2788516,0.278850723,0.278852141,0.278850906,0.278850344,0.278853823,0.278852531,0.278854024,0.278853677,0.278850989,0.278853592,0.278852941,0.278852679,0.278852424,0.278851822,0.278850542,0.278852296,0.27885277,0.278851694,0.278852823,0.278851908,0.278852726,0.278851065
ALNE_P,6.367657398,6.770992423,6.783946994,6.796461724,6.808532034,6.82015385,6.831424419,6.842340404,6.852898799,6.863197715,6.873133819,6.882805665,6.89231193,6.901449138,6.910417059,6.919113313,6.927536418,6.935886381,6.943960505,6.951858279,6.95957858,6.967120361,6.974482649,6.981765136,6.988866349,6.995785499,7.002622403,7.009275786,7.015845529,7.022230466
ALVE1,2.485081081,2.48508304,2.485075195,2.485079123,2.485080996,2.485068497,2.485067313,2.485067359,2.485059549,2.48507218,2.485061178,2.485056174,2.485087172,2.485075664,2.485088963,2.485085872,2.485061913,2.485085111,2.485079312,2.485076975,2.485074704,2.485069338,2.485057938,2.485073569,2.485077786,2.485068199,2.48507826,2.48507011,2.485077398,2.485062594
ARDK_P;CLAC_P,45.50026455,45.643557177,45.648149237,45.652600377,45.656890955,45.661003472,45.665005947,45.668884055,45.672624887,45.67630017,45.679815765,45.683245296,45.686662913,45.689894031,45.693097332,45.696182763,45.699143963,45.702140624,45.705001506,45.707804251,45.710544029,45.713216354,45.715817049,45.718424616,45.72095291,45.723398538,45.725840547,45.72819363,45.730537113,45.732786157
ARMO_P,0.139194192,0.139194302,0.139193862,0.139194082,0.139194187,0.139193487,0.139193421,0.139193424,0.139192986,0.139193694,0.139193077,0.139192797,0.139194533,0.139193889,0.139194634,0.13919446,0.139193118,0.139194418,0.139194093,0.139193962,0.139193835,0.139193534,0.139192896,0.139193771,0.139194008,0.139193471,0.139194034,0.139193578,0.139193986,0.139193157
AXMI1,0.048450733,0.048450771,0.048450618,0.048450695,0.048450731,0.048450488,0.048450464,0.048450465,0.048450313,0.048450559,0.048450345,0.048450247,0.048450852,0.048450627,0.048450887,0.048450826,0.048450359,0.048450811,0.048450698,0.048450653,0.048450609,0.048450504,0.048450282,0.048450586,0.048450669,0.048450482,0.048450678,0.048450519,0.048450661,0.048450372
BEAU_P;ORRI_P,20.870904276,20.870908903,20.87089037,20.870899649,20.870904075,20.870874547,20.87087175,20.870871859,20.870853408,20.870883247,20.870857255,20.870845433,20.870918666,20.870891478,20.870922898,20.870915594,20.870858993,20.870913797,20.870900095,20.870894577,20.87088921,20.870876533,20.870849601,20.87088653,20.870896491,20.870873843,20.870897611,20.870878358,20.870895574,20.870860602
BEDD_1,0.836559417,0.836560076,0.836557436,0.836558758,0.836559388,0.836555181,0.836554782,0.836554798,0.836552169,0.836556421,0.836552717,0.836551032,0.836561468,0.836557593,0.83656207,0.83656103,0.836552965,0.836560774,0.836558821,0.836558035,0.83655727,0.836555464,0.836551626,0.836556888,0.836558308,0.836555081,0.836558467,0.836555724,0.836558177,0.836553194
