GSP,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
ABHA1,4.2,5.9,8.5,12.2,17.7,25.2,36.2,52.3,75.7,97.7,126.3,164.1,214,280.1,367.7,483.6,636.1,810.2,1007.6,1317.4,1653.4,2018.4,2412.6,2830.8,3293.8,3659,3915.7,4030.1,4152.1,4280.5
ABNE_P,0.3,0.4,0.5,0.7,0.9,1.3,1.7,2.4,3.3,4.2,5.5,7.1,9.3,12.2,16,21,27.6,35.2,43.7,57.2,71.7,87.6,104.7,122.8,142.9,158.8,169.9,174.9,180.2,185.7
ABTH_1,1.4,2,2.8,4,5.7,8,11.3,16.1,23,29.6,38.3,49.8,64.9,85,111.5,146.7,193,245.8,305.7,399.7,501.6,612.4,732,858.8,999.3,1110.1,1188,1222.7,1259.7,1298.6
ACTL_2;CBNK_H;GREE_H;PERI_H,2.8,4,4.8,6.4,7.6,9.2,10.4,11.6,12.4,15.6,20.4,26.4,34.4,45.2,59.2,78,102.4,130.8,162.4,212.4,266.8,325.6,389.2,456.4,531.2,590,631.6,650,669.6,690.4
ALNE_P,0.1,0.1,0.1,0.2,0.2,0.3,0.5,0.7,1.1,1.4,1.8,2.3,3,3.9,5.2,6.8,8.9,11.4,14.2,18.5,23.3,28.4,33.9,39.8,46.3,51.5,55.1,56.7,58.4,60.2
ALVE1,5.5,7.8,10.8,15.2,21.3,29.5,41.1,57.7,81.4,104.9,135.8,176.4,230,301,395.1,519.7,683.5,870.6,1082.8,1415.7,1776.8,2169,2592.7,3042,3539.6,3932.1,4207.9,4330.9,4462,4599.9
AMEM_1,2.1,2.9,3.8,5,6.4,8,9.9,12.3,15.2,19.6,25.3,32.9,42.8,56.1,73.6,96.8,127.4,162.2,201.8,263.8,331.1,404.2,483.1,566.8,659.5,732.7,784.1,807,831.4,857.1
ARBR_P,0.1,0.1,0.2,0.3,0.4,0.6,0.8,1.1,1.6,2.1,2.7,3.6,4.6,6.1,8,10.5,13.8,17.5,21.8,28.5,35.8,43.7,52.2,61.3,71.3,79.2,84.8,87.3,89.9,92.7
ARDK_P;CLAC_P,,,0.2,0.2,0.2,0.4,0.4,0.6,1,1.2,1.6,2,2.6,3.4,4.6,6,7.8,10,12.4,16.2,20.4,25,29.8,35,40.8,45.2,48.4,49.8,51.4,53
ARMO_P,0.2,0.3,0.4,0.6,1,1.5,2.2,3.4,5.1,6.5,8.5,11,14.4,18.8,24.7,32.4,42.7,54.3,67.6,88.4,110.9,135.4,161.8,189.8,220.9,245.4,262.6,270.3,278.5,287.1
AXMI1,2.6,3.7,5.2,7.4,10.4,14.5,20.3,28.7,40.7,52.4,67.9,88.1,114.9,150.4,197.4,259.7,341.6,435.1,541.1,707.5,887.9,1083.9,1295.6,1520.2,1768.8,1964.9,2102.8,2164.2,2229.7,2298.7
AYRR,0.1,0.1,0.2,0.2,0.3,0.5,0.7,1,1.4,1.8,2.3,3,4,5.2,6.8,9,11.8,15.1,18.7,24.5,30.7,37.5,44.8,52.6,61.2,68,72.8,74.9,77.2,79.5
BAGA,0.7,1,1.5,2.1,3.1,4.4,6.3,9.2,13.3,17.2,22.2,28.9,37.6,49.3,64.7,85.1,111.9,142.5,177.2,231.7,290.9,355.1,424.4,498,579.4,643.7,688.8,708.9,730.4,753
BAIN,0.2,0.3,0.5,0.7,1,1.4,2.1,3,4.4,5.6,7.3,9.5,12.3,16.1,21.2,27.9,36.7,46.7,58.1,75.9,95.3,116.3,139,163.1,189.8,210.9,225.7,232.3,239.3,246.7
BARKC1;BARKW3,5.8,7.8,10.4,13.6,17.6,22.2,28,35,44,56.8,73.6,95.6,124.6,163,214,281.4,370.2,471.6,586.4,766.8,962.4,1174.8,1404.2,1647.6,1917,2129.6,2279,2345.6,2416.6,2491.2
BEAU_P;ORRI_P,,0.2,0.2,0.2,0.4,0.6,0.8,1.2,1.8,2.4,3.2,4,5.2,7,9,12,15.8,20,25,32.6,40.8,50,59.6,70,81.4,90.4,96.8,99.6,102.6,105.8
BEDDT1,3,4.1,5.5,7.1,9.2,11.5,14.4,18,22.4,28.9,37.4,48.6,63.3,82.9,108.8,143.1,188.3,239.8,298.2,389.9,489.4,597.4,714.1,837.9,974.9,1083.1,1159,1192.9,1229,1267
BEDD_1,10.6,14.5,19.4,25.8,33.9,43.6,56.1,72.5,93.9,121.1,156.7,203.6,265.4,347.4,456,599.8,788.9,1004.9,1249.7,1634,2050.8,2503.5,2992.5,3511.1,4085.5,4538.5,4856.8,4998.8,5150,5309.3
BERB_P;CAIF_P;DALL_P;GLEF_P;KEIT_P,0.8,1.1,1.5,2.3,3.1,4.6,6.6,9.6,13.9,17.8,23.1,30,39,51.2,67.1,88.3,116.1,147.7,183.9,240.5,301.8,368.2,440.3,516.6,601.1,667.7,714.4,735.6,757.6,781.1
BERW,0.3,0.4,0.5,0.8,1.1,1.5,2.1,3,4.2,5.4,7,9.1,11.9,15.5,20.4,26.8,35.3,45,55.9,73.1,91.8,112,133.9,157.1,182.8,203.1,217.3,223.7,230.5,237.6
BESW_1,9.9,13.5,18,23.5,30.3,38,47.6,59.5,74.2,95.7,123.8,160.8,209.6,274.3,360.1,473.7,623.1,793.6,987,1290.4,1619.6,1977.1,2363.3,2772.9,3226.4,3584.2,3835.6,3947.7,4067.2,4192.9
BICF_1,2.2,3.2,4.6,6.8,10,14.5,21.2,31,45.4,58.6,75.8,98.4,128.3,168,220.5,290,381.5,485.9,604.3,790.1,991.7,1210.5,1447,1697.8,1975.5,2194.5,2348.5,2417.1,2490.2,2567.2
