GSP,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
ABHA1,0.332790758,0.571707753,0.756649004,0.945834739,1.13926496,1.349673119,1.594214011,1.853964306,2.134406464,2.442437774,2.788315739,3.148341987,3.533127731,3.935598827,4.359292346,4.804208291,5.270346659,5.75770745,6.273364809,6.824477762,7.375505826,7.954830455,8.555377508,9.187758197,9.823675957,10.48081614,11.1719122,11.87149723,12.59230469,13.33433457
ABNE_P,0.02944265,0.050580104,0.066942218,0.08367985,0.100793001,0.119408222,0.141043233,0.16402385,0.188835117,0.21608725,0.24668775,0.278539977,0.312582725,0.34819013,0.385675125,0.425037709,0.466277883,0.509395646,0.555016862,0.603774903,0.652525434,0.703779418,0.756910991,0.812858948,0.869119837,0.927258315,0.988400936,1.050294593,1.114065839,1.179714675
ABTH_1,0.066659161,0.114515076,0.15155946,0.189454029,0.228198783,0.270344278,0.31932668,0.371355579,0.42752913,0.489228886,0.558509461,0.630623986,0.707697925,0.788314303,0.873181607,0.962299837,1.055668994,1.153289076,1.256577061,1.366966926,1.477339787,1.593380551,1.71367224,1.840340319,1.967716885,2.099344378,2.237773353,2.377902698,2.522282969,2.670914167
ACTL_2;CBNK_H;GREE_H;PERI_H,0.017537539,0.030128082,0.039874189,0.049843974,0.060037436,0.071125609,0.084012521,0.097700945,0.112479797,0.128712553,0.146939767,0.165912573,0.186190165,0.207399746,0.229727715,0.253174072,0.277738816,0.303421948,0.330596264,0.359639033,0.388677328,0.419206807,0.450854673,0.484180121,0.517691967,0.552322201,0.588741855,0.625608864,0.663594261,0.702698045
ALNE_P,0.010925518,0.018769161,0.024840781,0.031051747,0.03740206,0.044309758,0.052338034,0.060865634,0.070072548,0.080185213,0.091540384,0.103360043,0.115992556,0.129205679,0.143115534,0.157722121,0.17302544,0.189025491,0.205954518,0.224047552,0.242137799,0.261157022,0.280872978,0.301634031,0.322511206,0.344085113,0.366773791,0.389741163,0.413405266,0.437766101
ALVE1,0.286871852,0.492822766,0.65224558,0.815327219,0.982067684,1.163443449,1.374242267,1.598151875,1.839898255,2.105427001,2.40358027,2.713929623,3.045622124,3.392559729,3.757791461,4.141317319,4.543137302,4.963251411,5.40775769,5.882827353,6.357823841,6.857212497,7.374895278,7.920019249,8.468192241,9.034659359,9.630397078,10.23345245,10.85480194,11.49444557
AMEM_1,0.032087495,0.055123735,0.072955664,0.091196845,0.109847276,0.13013471,0.153713203,0.178758178,0.20579825,0.235498453,0.268847809,0.303561334,0.340662155,0.379468188,0.420320475,0.463219015,0.50816381,0.555154859,0.604874247,0.658012242,0.711142053,0.767000202,0.824904606,0.88587839,0.947193217,1.010554297,1.077189384,1.144642973,1.214142815,1.285688912
ARBR_P,0.02899222,0.049806303,0.065918101,0.082399672,0.099251016,0.117581452,0.13888548,0.161514527,0.185946218,0.212781433,0.242913791,0.274278725,0.307800669,0.342863334,0.379774864,0.418535258,0.459144518,0.501602643,0.546525921,0.594538036,0.642542756,0.693012629,0.745331368,0.800423403,0.855823583,0.913072628,0.973279857,1.034226632,1.097022272,1.161666777
ARDK_P;CLAC_P,0.001046186,0.001797263,0.002378657,0.002973396,0.003581477,0.004242932,0.005011688,0.005828259,0.006709877,0.007678227,0.008765555,0.00989736,0.011107,0.012372238,0.013704192,0.015102863,0.01656825,0.018100353,0.019721411,0.021453931,0.023186183,0.02500739,0.026895314,0.028883313,0.030882431,0.032948265,0.035120845,0.037320112,0.039586096,0.041918796
ARMO_P,0.007377265,0.012673548,0.016773303,0.02096715,0.025255087,0.02991939,0.035340343,0.041098456,0.047315264,0.054143664,0.061811045,0.069792063,0.078321947,0.087243877,0.096636264,0.106499107,0.116832405,0.12763616,0.13906719,0.151284195,0.163499318,0.176341717,0.189654571,0.203673109,0.217770057,0.232337461,0.247657595,0.263165911,0.279144683,0.295593911
AXMI1,0.164996611,0.283450906,0.375144197,0.468941889,0.564843984,0.669163688,0.790406293,0.919189672,1.058232012,1.210952967,1.382438175,1.560938056,1.751713618,1.951257521,2.161323436,2.381911362,2.613021299,2.854653247,3.110314543,3.383554612,3.656752593,3.943979923,4.241729263,4.55526162,4.870547645,5.196355682,5.538998936,5.885850994,6.243225064,6.611121145
AYRR,0.00707702,0.01215775,0.01609065,0.020113812,0.024227236,0.028701707,0.033902034,0.039425799,0.04538959,0.051940084,0.059295411,0.066951612,0.07513434,0.083693158,0.092703286,0.102164724,0.11207747,0.122441525,0.133407326,0.145127114,0.156845097,0.169164825,0.181935862,0.195383863,0.208907083,0.222881611,0.237578234,0.252455381,0.267783836,0.283563601
BAGA,0.019462122,0.033434361,0.044250013,0.05531389,0.066625991,0.078930988,0.093232121,0.108422723,0.124823417,0.142837569,0.163065051,0.184119948,0.206622818,0.230159955,0.254938212,0.28095759,0.308218089,0.336719708,0.366876154,0.399106099,0.431331079,0.465210886,0.500331814,0.537314423,0.574503885,0.612934467,0.653350842,0.694263665,0.736417609,0.779812673
BAIN,0.00570922,0.009807981,0.012980757,0.016226349,0.019544757,0.023154432,0.027349675,0.031805843,0.036616992,0.04190145,0.047835189,0.05401165,0.060612874,0.067517502,0.074786212,0.082419006,0.090415882,0.098776842,0.107623246,0.117077911,0.12653112,0.136469773,0.146772509,0.15762137,0.168530912,0.179804536,0.191660694,0.203662484,0.216028358,0.228758315
BARKC1;BARKW3,0.063925826,0.109819428,0.14534482,0.181685536,0.218841576,0.259258911,0.306232808,0.356128281,0.409998457,0.469168237,0.535607987,0.604765483,0.678679034,0.755989767,0.837377118,0.922841089,1.012381678,1.105998885,1.205051584,1.310914953,1.416762017,1.528044571,1.643403744,1.764877845,1.887031383,2.013261539,2.146014285,2.280397678,2.41885769,2.561394321
BEAU_P;ORRI_P,0.017674428,0.030363246,0.040185427,0.050233031,0.060506058,0.071680779,0.084668281,0.09846355,0.113357758,0.129717219,0.148086705,0.167207603,0.187643471,0.209018604,0.231520854,0.255150221,0.279906705,0.305790307,0.333176732,0.362446194,0.391711147,0.422478924,0.454373817,0.487959387,0.52173281,0.55663335,0.593337277,0.630492052,0.668773943,0.708182952
BEDDT1,0.018412993,0.03163204,0.041864662,0.052332127,0.063034435,0.074676116,0.088206328,0.102578062,0.118094657,0.135137733,0.154274829,0.174194735,0.19548456,0.217752899,0.241195454,0.265812225,0.291603213,0.318568417,0.347099242,0.377591792,0.408079645,0.44013312,0.473360811,0.508349826,0.543534544,0.579893479,0.618131159,0.656838527,0.69672011,0.73777591
BEDD_1,0.078425791,0.134729201,0.178312635,0.222896328,0.268480281,0.318065271,0.375694013,0.436907019,0.502996289,0.575587245,0.65709718,0.741941313,0.832620293,0.92746702,1.027315044,1.132164366,1.242014984,1.356866898,1.478387209,1.60826302,1.738118826,1.874643027,2.016168526,2.16519597,2.315056963,2.469919254,2.632783619,2.797648503,2.967514684,3.142382162
BERB_P;CAIF_P;DALL_P;GLEF_P;KEIT_P,0.022945664,0.039418805,0.05217036,0.06521457,0.078551433,0.093058912,0.109919816,0.127829397,0.147165666,0.168404185,0.192252202,0.217075731,0.243606409,0.271356478,0.300569817,0.331246425,0.363386303,0.396989451,0.432543625,0.470542434,0.50853539,0.548479373,0.589886625,0.633488782,0.677334817,0.722644122,0.770294658,0.818530501,0.868229615,0.919391998
BERW,0.024546327,0.042168615,0.055809704,0.069763862,0.084031089,0.099550593,0.117587694,0.136746626,0.15743177,0.180151864,0.20566349,0.23221868,0.260600107,0.290285988,0.321537215,0.354353788,0.388735706,0.42468297,0.462717361,0.503366923,0.544010223,0.586740652,0.631036425,0.677680217,0.7245849,0.773054929,0.82402951,0.87563023,0.928796296,0.983527707
BESW_1,0.107162081,0.184095835,0.243648838,0.30456861,0.36685515,0.434608763,0.51335347,0.596995763,0.687301051,0.786490332,0.89786663,1.013798821,1.137703827,1.2673037,1.403737414,1.54700497,1.697106366,1.854041603,2.020088628,2.197552723,2.374989483,2.561538031,2.75492042,2.95855357,3.163325694,3.374931659,3.597471769,3.822745416,4.054852903,4.293794232
BICF_1,0.101867626,0.175000387,0.231611112,0.289521078,0.348730286,0.413136461,0.487990703,0.567500561,0.653344221,0.747632952,0.853506586,0.963711026,1.081494375,1.20469123,1.334384294,1.470573565,1.613259044,1.762440731,1.920284029,2.088980324,2.257650634,2.434982555,2.618810684,2.812383125,3.007038267,3.208189617,3.419734899,3.633878665,3.854518638,4.081654819
BIRK_1,0.053127212,0.091268276,0.120792573,0.150994465,0.181873953,0.215463825,0.254502696,0.29596962,0.340739823,0.3899144,0.445130873,0.502605999,0.564033767,0.628284852,0.695923915,0.766950959,0.841365981,0.919168983,1.001489291,1.089469783,1.177436722,1.269920968,1.365793193,1.466747387,1.568266244,1.673173081,1.783500684,1.895183479,2.010254254,2.128713008
BISW_1,0.473138433,0.81281377,1.0757502,1.344721138,1.619726586,1.91887007,2.266541067,2.63583572,3.034548605,3.472485802,3.964230704,4.476090636,5.023151874,5.595356898,6.197734468,6.830284586,7.493007248,8.185902456,8.919027727,9.702561263,10.48597411,11.30961702,12.16343247,13.06250674,13.96660977,14.90088535,15.883437,16.87805766,17.90285088,18.95781664
BLYTB1,0.117583598,0.201999162,0.267343698,0.33418792,0.402531829,0.476874484,0.563277117,0.655053626,0.754141107,0.86297655,0.985184197,1.112390799,1.248345573,1.390549039,1.540250938,1.697451269,1.862150032,2.034347228,2.216542333,2.411264819,2.605957312,2.810647714,3.022836548,3.246273031,3.470959252,3.703143906,3.947326051,4.19450757,4.44918752,4.711365903
BLYTH132,0.033643509,0.057796842,0.076493493,0.09561924,0.115174084,0.136445314,0.161167195,0.187426673,0.215777996,0.246918446,0.281885007,0.31828189,0.357181836,0.397869684,0.440703015,0.485681829,0.532806125,0.582075904,0.634206327,0.689921136,0.745627363,0.804194234,0.864906587,0.928837164,0.993125322,1.059558963,1.129425375,1.200149981,1.27302007,1.348035641
BOAG_P,0.012009401,0.020631185,0.02730515,0.034132285,0.04111259,0.048705577,0.05753031,0.066903905,0.077024205,0.088140113,0.100621792,0.113614038,0.12749978,0.142023731,0.157313535,0.173369192,0.190190701,0.207778062,0.22638656,0.246274541,0.26615946,0.287065515,0.308737422,0.331558108,0.354506436,0.378220617,0.403160161,0.428406046,0.454417784,0.481195374
BOLN_1,0.312094708,0.536153605,0.709593475,0.887013868,1.068414783,1.265737791,1.495070837,1.738667423,2.001669059,2.290544094,2.614912125,2.952548565,3.313404724,3.690846393,4.088190678,4.505437578,4.942587092,5.39963922,5.883228169,6.400067752,6.916827724,7.460124517,8.023323924,8.616377253,9.212747684,9.82902073,10.47713796,11.13321624,11.80919713,12.50508063
BONN,0.017781451,0.030547102,0.040428758,0.050537203,0.060872435,0.072114822,0.085180966,0.099059768,0.114044164,0.130502684,0.148983402,0.168220081,0.188779693,0.210284256,0.232922762,0.25669521,0.281601601,0.307641933,0.335194188,0.364640883,0.394083042,0.425037124,0.457125149,0.490914086,0.524892014,0.560003884,0.596930062,0.634309816,0.672823513,0.712471152
BOTW_1,0.075375196,0.129488524,0.171376655,0.214226138,0.258036972,0.305693213,0.361080321,0.419912271,0.48343081,0.553198133,0.631537506,0.713081385,0.800233146,0.891390539,0.987354688,1.088125596,1.19370326,1.304087681,1.420881112,1.545705032,1.670509725,1.801723427,1.937743887,2.080974482,2.225006204,2.373844682,2.530373973,2.688825966,2.852084716,3.020150224
BRAC_P,0.030298647,0.052050639,0.068888455,0.086112707,0.103723395,0.122879824,0.145143838,0.168792579,0.194325193,0.222369638,0.253859799,0.286638078,0.321670563,0.358313197,0.396888007,0.437394995,0.479834161,0.524205503,0.571153082,0.621328685,0.671496559,0.72424067,0.778916958,0.836491512,0.894388095,0.954216855,1.0171371,1.080830215,1.146455507,1.214012977
BRAI_1,0.114061065,0.195947735,0.2593347,0.324176424,0.390472908,0.462588429,0.546402639,0.635429737,0.731548786,0.837123772,0.955670361,1.079066147,1.21094803,1.34889141,1.494108587,1.64659956,1.80636433,1.973402896,2.150139858,2.33902891,2.527888866,2.726447218,2.932279366,3.149022209,3.366977352,3.592206291,3.829073305,4.068849837,4.315900166,4.570224292
