GSP,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,Comment
Bredbury,184894.3,186104.3,187486.3,188657.9,189631.2,190517.1,191426.4,192311.6,193158.2,193970.1,194800.5,195623.7,196427.5,197195.0,197937.7,198696.6,199425.1,200126.6,200782.5,201416.9,202074.4,202707.8,203280.7,203857.1,204435.7,205017.0,205599.4,206185.6,206772.0,207362.3,
Carrington,183766.2,184967.6,186342.0,187507.0,188474.0,189354.2,190258.2,191137.2,191978.5,192785.8,193611.1,194429.9,195229.0,195990.9,196729.9,197484.5,198207.8,198905.0,199556.8,200187.3,200841.4,201471.3,202040.2,202613.3,203188.3,203765.5,204344.7,204927.6,205510.7,206096.7,
Harker,165680.1,166762.8,168001.0,169052.3,169923.5,170717.2,171532.6,172325.5,173084.8,173811.7,174556.7,175293.4,176013.7,176701.4,177366.5,178048.0,178700.3,179329.5,179916.2,180485.2,181074.5,181642.0,182155.0,182671.6,183190.0,183709.9,184232.7,184757.5,185283.8,185812.0,
Heysham (Barrow WF),2807.8,2827.2,2847.6,2866.0,2880.2,2893.7,2907.7,2921.0,2933.8,2946.8,2959.3,2971.7,2984.0,2995.8,3007.3,3017.5,3028.7,3039.5,3049.6,3059.5,3069.7,3079.5,3088.4,3095.8,3104.5,3114.8,3123.6,3132.4,3141.3,3150.1,
Heysham (NGET),46647.3,46951.7,47300.5,47596.7,47842.4,48065.2,48294.5,48519.0,48732.6,48937.4,49146.9,49354.3,49556.1,49751.0,49937.2,50129.4,50313.4,50490.5,50656.0,50816.0,50981.7,51141.3,51286.1,51430.5,51576.5,51723.4,51871.1,52017.9,52166.7,52315.0,
Hutton,76874.4,77377.0,77950.9,78438.7,78843.3,79211.3,79589.6,79957.9,80308.9,80647.7,80992.2,81334.2,81668.1,81988.5,82296.1,82611.9,82914.9,83207.4,83479.4,83744.0,84017.3,84280.5,84518.9,84758.2,84998.7,85239.9,85482.9,85725.5,85970.3,86214.9,
Kearsley 132kV,329483.4,331637.9,334100.7,336189.9,337923.1,339500.9,341121.4,342699.2,344208.1,345655.2,347134.9,348603.3,350034.2,351401.8,352725.3,354079.0,355377.1,356627.3,357796.0,358926.5,360098.1,361226.6,362247.7,363273.5,364304.4,365340.4,366379.6,367422.8,368469.1,369519.9,
Kearsley 33kV,47827.8,48139.6,48497.9,48800.4,49053.0,49281.4,49516.9,49746.4,49965.1,50175.3,50390.2,50602.4,50810.4,51009.5,51201.0,51397.8,51585.5,51766.9,51936.5,52100.6,52271.3,52435.7,52583.2,52732.4,52882.1,53031.8,53183.0,53334.8,53487.0,53638.6,
Kirkby (_G),22598.6,22746.9,22915.5,23059.6,23177.9,23286.1,23396.8,23505.1,23609.6,23708.7,23810.5,23910.3,24009.2,24102.9,24193.1,24286.6,24375.0,24460.5,24541.7,24618.9,24699.2,24776.5,24846.0,24917.0,24987.7,25058.5,25129.4,25202.0,25273.3,25345.9,
Macclesfield,45834.9,46135.1,46476.7,46767.4,47009.5,47228.4,47453.8,47673.5,47882.7,48084.3,48291.0,48494.7,48694.1,48883.8,49068.3,49257.0,49436.6,49611.1,49772.9,49930.7,50093.1,50250.9,50393.4,50535.0,50678.5,50822.4,50968.2,51113.1,51258.4,51404.0,
