GSP,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
ABHA1,6.5,8.6,11.6,15.8,21.6,29.8,41.1,56.5,77.2,95.0,115.8,139.9,167.3,197.8,231.0,269.7,310.5,352.1,392.8,430.0,462.7,491.1,515.2,534.4,549.0,552.7,555.7,558.0,560.0,561.9
ABNE_P,0.8,1.0,1.3,1.7,2.3,3.0,4.0,5.2,6.8,8.4,10.2,12.3,14.8,17.5,20.4,23.8,27.4,31.1,34.7,38.0,40.8,43.4,45.5,47.2,48.5,48.8,49.1,49.3,49.4,49.6
ABTH_1,2.8,3.7,5.0,6.7,9.1,12.5,17.0,23.2,31.5,38.7,47.2,57.0,68.1,80.6,94.1,109.9,126.5,143.4,160.0,175.1,188.4,200.0,209.8,217.6,223.6,225.1,226.3,227.3,228.1,228.8
ACTL_2;CBNK_H;GREE_H;PERI_H,3.6,4.4,5.6,6.8,8.0,9.2,10.4,10.8,10.4,12.8,15.6,18.8,22.8,26.8,31.2,36.4,42.0,47.6,53.2,58.0,62.8,66.4,69.6,72.4,74.4,74.8,75.2,75.6,75.6,76.0
ACTL_C;WISD_1;WISD_6,15.899999999999999,19.799999999999997,24.299999999999997,29.099999999999998,33.599999999999994,37.5,39.3,38.099999999999994,31.5,38.7,47.099999999999994,57.0,68.1,80.69999999999999,94.19999999999999,109.80000000000001,126.60000000000001,143.39999999999998,160.2,175.2,188.7,200.10000000000002,210.0,217.79999999999998,223.79999999999998,225.29999999999998,226.5,227.39999999999998,228.29999999999998,228.89999999999998
ALNE_P,0.1,0.2,0.2,0.3,0.4,0.6,0.8,1.2,1.6,2.0,2.4,2.9,3.5,4.2,4.9,5.7,6.5,7.4,8.3,9.1,9.7,10.3,10.8,11.3,11.6,11.6,11.7,11.7,11.8,11.8
ALST_3;USKM_1,6.0,7.8,10.6,14.8,20.4,28.6,40.0,55.8,77.2,95.0,115.8,140.0,167.4,197.8,231.0,269.8,310.6,352.2,392.8,430.0,462.8,491.2,515.2,534.4,549.0,552.8,555.8,558.0,560.2,562.0
ALVE1,10.5,13.7,18.1,24.2,32.4,43.6,58.6,78.7,105.1,129.2,157.5,190.3,227.6,269.1,314.2,366.9,422.3,478.9,534.3,584.9,629.3,668.0,700.7,726.8,746.7,751.8,755.8,759.0,761.7,764.3
AMEM_1,4.6,5.8,7.3,9.2,11.3,13.8,16.5,19.4,22.3,27.4,33.4,40.4,48.3,57.1,66.6,77.8,89.6,101.6,113.3,124.1,133.5,141.7,148.6,154.2,158.4,159.5,160.3,161.0,161.6,162.1
ARBR_P,0.2,0.2,0.3,0.4,0.6,0.8,1.1,1.5,2.0,2.5,3.1,3.7,4.4,5.2,6.1,7.1,8.2,9.3,10.4,11.4,12.2,13.0,13.6,14.1,14.5,14.6,14.7,14.7,14.8,14.8
ARDK_P;CLAC_P,0.2,0.2,0.2,0.2,0.4,0.6,0.8,1.0,1.4,1.6,2.0,2.4,2.8,3.4,4.0,4.6,5.4,6.0,6.8,7.4,8.0,8.4,9.0,9.2,9.4,9.6,9.6,9.6,9.6,9.8
AXMI1,5.1,6.6,8.8,11.8,16.0,21.7,29.4,39.7,53.5,65.8,80.2,96.9,115.9,137.0,160.0,186.9,215.1,243.9,272.1,297.9,320.6,340.3,356.9,370.2,380.3,383.0,385.0,386.6,388.0,389.3
AYRR,0.1,0.2,0.3,0.4,0.5,0.7,0.9,1.3,1.8,2.2,2.7,3.2,3.9,4.6,5.3,6.2,7.2,8.1,9.1,9.9,10.7,11.3,11.9,12.3,12.7,12.8,12.8,12.9,12.9,13.0
BAGA,1.5,2.0,2.7,3.8,5.2,7.3,10.1,14.1,19.4,23.9,29.1,35.2,42.1,49.8,58.1,67.9,78.1,88.6,98.8,108.2,116.4,123.6,129.6,134.4,138.1,139.1,139.8,140.4,140.9,141.4
BAIN,0.5,0.6,0.8,1.1,1.6,2.2,3.1,4.3,6.0,7.4,9.0,10.8,13.0,15.3,17.9,20.9,24.1,27.3,30.5,33.3,35.9,38.1,39.9,41.4,42.6,42.9,43.1,43.3,43.4,43.6
BARKC1;BARKW3,8.6,10.8,13.8,17.2,21.4,26.2,31.6,37.4,43.4,53.4,65.0,78.6,94.0,111.2,129.8,151.6,174.4,197.8,220.8,241.6,260.0,276.0,289.6,300.4,308.6,310.6,312.2,313.6,314.8,315.8
BEAU_P;ORRI_P,0.2,0.2,0.4,0.6,0.8,1.0,1.4,2.0,2.8,3.6,4.2,5.2,6.2,7.4,8.6,10.0,11.4,13.0,14.6,16.0,17.2,18.2,19.0,19.8,20.4,20.4,20.6,20.6,20.8,20.8
BEDDT1,4.0,5.0,6.4,8.0,9.8,12.0,14.4,17.1,19.8,24.3,29.6,35.8,42.8,50.6,59.1,69.0,79.4,90.0,100.4,110.0,118.3,125.6,131.7,136.7,140.4,141.4,142.1,142.7,143.2,143.7
BEDD_1,13.1,16.7,21.4,27.1,34.1,42.6,52.7,64.4,77.9,95.8,116.8,141.1,168.7,199.5,232.9,272.0,313.1,355.0,396.1,433.6,466.5,495.2,519.5,538.8,553.5,557.4,560.3,562.6,564.7,566.6
BERB_P;CAIF_P;DALL_P;GLEF_P;KEIT_P,1.5000000000000002,1.9,2.3,3.4000000000000004,4.6,6.200000000000001,8.799999999999999,12.0,16.599999999999998,20.4,25.0,30.099999999999998,36.2,42.8,49.7,58.199999999999996,67.0,75.89999999999999,84.8,92.6,99.79999999999998,106.0,111.0,115.29999999999998,118.39999999999999,119.1,119.9,120.3,120.7,121.1
BERW,0.5,0.7,0.9,1.3,1.7,2.3,3.1,4.2,5.6,6.9,8.4,10.2,12.2,14.4,16.8,19.7,22.6,25.7,28.6,31.4,33.7,35.8,37.6,39.0,40.0,40.3,40.5,40.7,40.8,41.0
BESW_1,21.0,26.7,33.9,42.7,53.0,65.3,79.3,94.9,111.6,137.3,167.4,202.2,241.8,285.9,333.8,389.8,448.7,508.9,567.7,621.4,668.7,709.8,744.5,772.3,793.4,798.8,803.0,806.4,809.3,812.0
BICF_1,3.8,5.0,6.9,9.6,13.4,18.9,26.7,37.5,52.2,64.2,78.3,94.5,113.1,133.7,156.1,182.3,209.8,238.0,265.5,290.6,312.7,331.9,348.2,361.2,371.0,373.6,375.5,377.1,378.5,379.7
BIRK_1,3.3,4.4,6.1,8.6,12.2,17.4,24.8,35.2,49.5,60.9,74.2,89.7,107.3,126.8,148.1,172.9,199.1,225.7,251.8,275.7,296.6,314.8,330.3,342.6,351.9,354.4,356.2,357.7,359.0,360.2
BISW_1,20.1,25.9,33.8,44.0,57.1,74.4,96.4,124.4,159.8,196.5,239.6,289.4,346.1,409.2,477.9,558.0,642.4,728.4,812.6,889.6,957.2,1016.0,1065.8,1105.5,1135.7,1143.5,1149.5,1154.4,1158.5,1162.4
BLYTB1,2.5,3.3,4.4,6.0,8.1,11.1,15.3,20.9,28.4,34.9,42.6,51.4,61.5,72.7,84.9,99.1,114.1,129.4,144.3,158.0,170.0,180.5,189.3,196.4,201.7,203.1,204.2,205.1,205.8,206.5
