GSP,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
BAIN,4.210543933,4.210679172,4.210529947,4.210529947,4.210529947,4.210517058,4.210517058,4.210535123,4.210535123,4.210535123,4.210522985,4.210522985,4.210522985,4.210522985,4.210522985,4.210522985,4.210522985,4.210522985,4.210522985,4.210522985,4.210522985,4.210522985,4.210522985,4.210522985,4.210522985,4.210522985,4.210522985,4.210522985,4.210522985,4.210522985
BEDD_1,53.26265091,53.26436166,55.62321061,55.62321061,55.62321061,57.98376975,57.98376975,60.34475804,60.34475804,60.34475804,62.7053168,62.7053168,62.7053168,62.7053168,62.7053168,62.7053168,62.7053168,62.7053168,62.7053168,62.7053168,62.7053168,62.7053168,62.7053168,62.7053168,62.7053168,62.7053168,62.7053168,62.7053168,62.7053168,62.7053168
BIRK_1,35.61154373,35.61268754,37.18981994,37.18981994,37.18981994,38.76809578,38.76809578,40.34665855,40.34665855,40.34665855,41.92493413,41.92493413,41.92493413,41.92493413,41.92493413,41.92493413,41.92493413,41.92493413,41.92493413,41.92493413,41.92493413,41.92493413,41.92493413,41.92493413,41.92493413,41.92493413,41.92493413,41.92493413,41.92493413,41.92493413
BOLN_1,8.540390577,8.540664887,8.918894115,8.918894115,8.918894115,9.297397563,9.297397563,9.675969824,9.675969824,9.675969824,10.05447321,10.05447321,10.05447321,10.05447321,10.05447321,10.05447321,10.05447321,10.05447321,10.05447321,10.05447321,10.05447321,10.05447321,10.05447321,10.05447321,10.05447321,10.05447321,10.05447321,10.05447321,10.05447321,10.05447321
BRFO_1;CLT03,4.623749092,4.623897603,4.828670093,4.828670093,4.828670093,5.033591046,5.033591046,5.238549254,5.238549254,5.238549254,5.443470174,5.443470174,5.443470174,5.443470174,5.443470174,5.443470174,5.443470174,5.443470174,5.443470174,5.443470174,5.443470174,5.443470174,5.443470174,5.443470174,5.443470174,5.443470174,5.443470174,5.443470174,5.443470174,5.443470174
BRIM_1,20.69437652,20.69504121,21.61153536,21.61153536,21.61153536,22.52869399,22.52869399,23.44601935,23.44601935,23.44601935,24.36317783,24.36317783,24.36317783,24.36317783,24.36317783,24.36317783,24.36317783,24.36317783,24.36317783,24.36317783,24.36317783,24.36317783,24.36317783,24.36317783,24.36317783,24.36317783,24.36317783,24.36317783,24.36317783,24.36317783
CANTN1;RICH_J;RICH1,42.2427921,42.24414891,44.11496014,44.11496014,44.11496014,45.98712773,45.98712773,47.85963569,47.85963569,47.85963569,49.73180298,49.73180298,49.73180298,49.73180298,49.73180298,49.73180298,49.73180298,49.73180298,49.73180298,49.73180298,49.73180298,49.73180298,49.73180298,49.73180298,49.73180298,49.73180298,49.73180298,49.73180298,49.73180298,49.73180298
CAPEA1,191.4986996,101.5019596,105.9970438,105.9970438,105.9970438,110.495387,110.495387,114.994548,114.994548,114.994548,119.4928904,119.4928904,119.4928904,119.4928904,119.4928904,119.4928904,119.4928904,119.4928904,119.4928904,119.4928904,119.4928904,119.4928904,119.4928904,119.4928904,119.4928904,119.4928904,119.4928904,119.4928904,119.4928904,119.4928904
CHTE_1,13.95848782,13.95893616,14.57711726,14.57711726,14.57711726,15.19574655,15.19574655,15.81448831,15.81448831,15.81448831,16.4331175,16.4331175,16.4331175,16.4331175,16.4331175,16.4331175,16.4331175,16.4331175,16.4331175,16.4331175,16.4331175,16.4331175,16.4331175,16.4331175,16.4331175,16.4331175,16.4331175,16.4331175,16.4331175,16.4331175
CONQA1;SASA,6.283252829,6.283454643,6.56172176,6.56172176,6.56172176,6.840190624,6.840190624,7.118710114,7.118710114,7.118710114,7.397178932,7.397178932,7.397178932,7.397178932,7.397178932,7.397178932,7.397178932,7.397178932,7.397178932,7.397178932,7.397178932,7.397178932,7.397178932,7.397178932,7.397178932,7.397178932,7.397178932,7.397178932,7.397178932,7.397178932
