GSP,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
ABHA1,18.2,40.9,67.2,99.7,137.9,280.9,441.5,633.2,885.1,1228.4,1617.0,2085.4,2593.8,3148.8,3754.7,4272.8,5130.6,6085.3,7142.8,8298.3,8988.4,10045.9,11049.8,11975.2,12794.4,12978.0,13596.1,14241.2,14902.2,15592.1
ABNE_P,1.1,2.5,4.1,6.1,8.4,19.4,30.5,43.7,61.2,84.9,124.9,161.1,200.3,243.2,290.0,352.4,423.2,501.9,589.2,684.5,753.9,842.6,926.8,1004.4,1073.1,1073.3,1124.4,1177.9,1232.5,1289.5
ABTH_1,8.2,18.4,30.2,44.8,61.9,130.0,204.3,293.1,409.7,568.6,791.0,1020.1,1268.8,1540.2,1836.6,2172.6,2608.8,3094.2,3632.0,4219.4,4897.9,5474.2,6021.2,6525.5,6971.9,7572.3,7932.9,8309.2,8694.9,9097.5
ACTL_2;CBNK_H;GREE_H;PERI_H,4.9,11.0,18.2,27.1,37.3,71.1,111.6,160.10000000000002,223.9,310.6,409.0,527.5,656.0,796.4000000000001,949.6,1180.2,1417.2999999999997,1680.9,1973.0,2292.1,2703.1000000000004,3021.1,3323.0,3601.3,3847.7999999999997,4191.9,4391.6,4599.9,4813.4,5036.3
ACTL_C;WISD_1;WISD_6,13.3,29.9,49.1,72.89999999999999,100.7,191.79999999999998,301.4,432.2,604.3,838.6,1104.1,1423.8000000000002,1770.9,2149.8,2563.5,3186.2,3825.7,4537.7,5326.299999999999,6187.8,7297.2,8155.700000000001,8970.8,9722.199999999999,10387.300000000001,11316.7,11855.6,12418.1,12994.5,13596.0
ALNE_P,1.1,2.4,3.9,5.8,8.0,14.7,23.1,33.1,46.2,64.2,79.8,102.9,128.0,155.3,185.2,199.9,240.0,284.7,334.1,388.2,388.7,434.4,477.8,517.8,553.2,519.9,544.6,570.5,597.0,624.6
ALST_3;USKM_1,7.8,17.400000000000002,28.7,42.5,58.7,123.39999999999999,193.9,278.09999999999997,388.8,539.5,750.6,967.9,1203.9,1461.3,1742.6,2061.4,2475.3,2936.0,3446.1000000000004,4003.6000000000004,4647.3,5194.1,5713.0,6191.599999999999,6615.200000000001,7184.7,7526.9,7884.1,8250.0,8631.9
ALVE1,10.9,24.6,40.4,60.0,82.9,169.0,265.5,380.8,532.3,738.8,972.5,1254.1,1559.9,1893.7,2258.1,2569.7,3085.5,3659.8,4295.7,4990.6,5405.6,6041.6,6645.4,7201.9,7694.6,7805.0,8176.7,8564.6,8962.2,9377.1
AMEM_1,8.3,18.8,30.9,45.8,63.4,121.8,191.4,274.6,383.8,532.7,712.9,919.4,1143.5,1388.2,1655.3,2086.5,2505.3,2971.6,3488.0,4052.2,4785.6,5348.7,5883.1,6375.8,6812.0,7404.8,7757.5,8125.5,8502.7,8896.3
ARBR_P,1.9,4.3,7.0,10.4,14.4,33.3,52.3,75.0,104.9,145.5,214.1,276.2,343.5,417.0,497.2,604.2,725.5,860.5,1010.0,1173.3,1292.4,1444.5,1588.8,1721.9,1839.7,1840.2,1927.8,2019.3,2112.9,2210.7
