GSP,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
ABHA1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2,-0.3,-0.7,-1.1,-1.8,-2.7,-3.9,-5.5,-7.5,-10.0,-13.1,-16.9,-21.4,-26.1,-31.5,-37.7,-44.5,-51.9
ABNE_P,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,-0.1,-0.2,-0.2,-0.3,-0.5,-0.7,-0.9,-1.2,-1.5,-1.9,-2.3,-2.8,-3.3,-3.9,-4.6
ABTH_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,-0.1,-0.3,-0.5,-0.7,-1.1,-1.6,-2.2,-3.0,-4.1,-5.3,-6.9,-8.7,-10.6,-12.8,-15.4,-18.1,-21.1
ACTL_2;CBNK_H;GREE_H;PERI_H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4,-0.4,-0.4,-0.8,-1.2,-1.2,-1.6,-2.4,-2.8,-3.6,-4.4,-5.2,-6.0,-7.2
ACTL_C;WISD_1;WISD_6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.30000000000000004,-0.6000000000000001,-0.6000000000000001,-1.2000000000000002,-1.5,-2.0999999999999996,-3.0,-4.199999999999999,-5.4,-6.8999999999999995,-8.7,-10.5,-12.899999999999999,-15.299999999999999,-18.299999999999997,-21.299999999999997
ALNE_P,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,-0.1,-0.1,-0.2,-0.2,-0.3,-0.4,-0.4,-0.5,-0.7,-0.8,-0.9,-1.1
ALST_3;USKM_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2,-0.4,-0.6,-1.2,-1.8,-2.6,-3.8,-5.4,-7.4,-10.0,-13.2,-16.8,-21.4,-26.0,-31.6,-37.8,-44.6,-52.0
ALVE1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3,-0.5,-0.9,-1.5,-2.4,-3.6,-5.3,-7.4,-10.2,-13.6,-17.8,-23.0,-29.0,-35.5,-42.9,-51.3,-60.6,-70.6
AMEM_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,-0.1,-0.2,-0.3,-0.5,-0.8,-1.1,-1.6,-2.2,-2.9,-3.8,-4.9,-6.2,-7.5,-9.1,-10.9,-12.8,-15.0
ARBR_P,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,-0.1,-0.1,-0.2,-0.3,-0.3,-0.4,-0.6,-0.7,-0.8,-1.0,-1.2,-1.4
