GSP,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
ABHA1,4134.8,4197.7,4260.5,4323.3,4386.2,4449,4511.8,4574.6,4637.4,4700.2,4763,4825.8,4888.7,4951.4,5014.2,5076.9,5139.5,5202.3,5265.1,5327.9,5390.9,5453.9,5516.7,5579.6,5642.4,5705.2,5768,5830.8,5893.6,5956.4
ABNE_P,414.2,420.5,426.8,433.1,439.4,445.7,451.9,458.2,464.5,470.8,477.1,483.4,489.7,496,502.3,508.5,514.8,521.1,527.4,533.7,540,546.3,552.6,558.9,565.2,571.5,577.8,584.1,590.4,596.6
ABTH_1,3095.5,3142.6,3189.6,3236.6,3283.7,3330.6,3377.7,3424.7,3471.7,3518.8,3565.8,3612.8,3659.8,3706.8,3753.9,3800.7,3847.6,3894.6,3941.6,3988.7,4035.8,4083,4130,4177,4224,4271.1,4318.1,4365.1,4412.2,4459.2
ACTL_2;CBNK_H;GREE_H;PERI_H,1477.3,1499.7,1522.2,1544.6,1567,1589.5,1611.9,1634.3,1656.8,1679.2,1701.7,1724.2,1746.6,1769,1791.5,1813.8,1836.3,1858.6,1881,1903.4,1926,1948.5,1970.9,1993.3,2015.8,2038.1,2060.7,2083.1,2105.6,2128
ALNE_P,348.9,354.2,359.5,364.8,370.1,375.4,380.7,386,391.3,396.6,401.9,407.2,412.5,417.8,423.1,428.4,433.6,439,444.2,449.5,454.9,460.1,465.5,470.8,476.1,481.4,486.7,492,497.3,502.6
ALVE1,3808.3,3866.3,3924.1,3982,4039.8,4097.7,4155.5,4213.4,4271.2,4329.1,4386.9,4444.7,4502.6,4560.4,4618.3,4676,4733.7,4791.5,4849.3,4907.2,4965.2,5023.3,5081.1,5138.9,5196.8,5254.7,5312.5,5370.4,5428.2,5486.1
AMEM_1,1094.1,1110.7,1127.3,1143.9,1160.5,1177.2,1193.8,1210.4,1227.1,1243.7,1260.3,1276.9,1293.5,1310.1,1326.7,1343.3,1359.9,1376.5,1393.1,1409.7,1426.4,1443.1,1459.7,1476.3,1492.9,1509.6,1526.2,1542.8,1559.4,1576
ARBR_P,378.8,384.5,390.3,396,401.8,407.5,413.3,419,424.8,430.6,436.3,442,447.8,453.6,459.3,465,470.8,476.5,482.3,488,493.8,499.6,505.3,511.1,516.8,522.6,528.3,534.1,539.8,545.6
ARDK_P;CLAC_P,42.3,43,43.7,44.3,44.9,45.6,46.2,46.9,47.5,48.1,48.8,49.4,50.1,50.7,51.4,52,52.6,53.3,53.9,54.6,55.2,55.9,56.5,57.2,57.8,58.4,59.1,59.7,60.4,61
ARMO_P,321,325.8,330.7,335.6,340.5,345.4,350.2,355.1,360,364.8,369.7,374.6,379.5,384.3,389.2,394.1,398.9,403.8,408.7,413.6,418.5,423.4,428.3,433.1,438,442.8,447.8,452.6,457.5,462.4
AXMI1,2768.2,2810.3,2852.4,2894.4,2936.5,2978.5,3020.6,3062.6,3104.6,3146.7,3188.8,3230.8,3272.8,3314.9,3356.9,3398.9,3440.8,3482.8,3524.9,3566.9,3609.1,3651.3,3693.3,3735.4,3777.4,3819.5,3861.5,3903.6,3945.7,3987.7
AYRR,546.9,555.2,563.5,571.8,580.1,588.4,596.7,605.1,613.4,621.7,629.9,638.3,646.6,654.9,663.2,671.5,679.7,688.1,696.3,704.7,713,721.3,729.6,737.9,746.3,754.6,762.8,771.2,779.5,787.8
BAGA,415,421.3,427.6,433.9,440.1,446.5,452.8,459.1,465.4,471.7,478,484.3,490.6,496.9,503.2,509.5,515.8,522.1,528.4,534.7,541,547.3,553.6,559.9,566.2,572.5,578.8,585.1,591.4,597.8
