GSP,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
ABHA1,19.1,16.5,27.7,41.6,60.3,69.8,88.3,108.2,125.9,144.9,156.7,176.8,197,217.1,240,253.2,277.4,295,309.1,319.1,322.9,327.9,331.6,337.4,342.1,343.6,346.6,349.1,351.4,350.8
ABNE_P,1,0.9,1.5,2.2,3.2,4.5,5.7,6.9,8.1,9.3,11.3,12.7,14.2,15.6,17.3,18.8,20.6,21.9,22.9,23.7,24.7,25.1,25.4,25.8,26.2,26.3,26.5,26.7,26.9,26.8
ABTH_1,8,6.9,11.7,17.5,25.5,37.6,47.7,58.4,67.9,78.1,96.7,109.1,121.6,134.1,148.2,170.4,186.6,198.5,207.9,214.7,227.3,230.8,233.4,237.5,240.8,243.2,245.3,247.1,248.7,248.3
ACTL_2;CBNK_H;GREE_H;PERI_H,6,5.2,8.8,13.1,19.1,24.2,30.8,37.7,43.7,50.3,55.4,62.3,69.5,76.6,84.7,91.8,100.4,106.8,111.8,115.5,118.2,120.2,121.5,123.6,125.3,127.5,128.6,129.6,130.5,130.2
ALNE_P,0.8,0.7,1.1,1.7,2.4,2.5,3.2,3.9,4.5,5.2,5.6,6.3,7.1,7.8,8.6,8.5,9.4,10,10.4,10.8,11.1,11.2,11.4,11.6,11.7,11.8,11.9,12,12.1,12.1
ALVE1,10.4,9,15.1,22.7,33,38.1,48.3,59.1,68.9,79.2,85.7,96.7,107.7,118.7,131.2,138.4,151.7,161.3,169,174.5,176.6,179.3,181.3,184.5,187.1,187.9,189.5,190.9,192.1,191.8
AMEM_1,9.5,8.2,13.8,20.7,30,37.9,48,58.8,68.5,78.8,86.9,98.1,109.3,120.5,133.2,144,157.7,167.7,175.7,181.5,185.6,188.4,190.5,193.9,196.6,199.5,201.3,202.7,204,203.7
ARBR_P,1.7,1.4,2.4,3.6,5.3,7.3,9.2,11.3,13.1,15.1,18.3,20.6,23,25.3,28,30.4,33.4,35.5,37.2,38.4,40,40.7,41.1,41.8,42.4,42.6,43,43.3,43.5,43.5
ARDK_P;CLAC_P,0.1,0.1,0.1,0.2,0.2,0.2,0.3,0.3,0.4,0.5,0.5,0.5,0.6,0.7,0.7,0.7,0.8,0.8,0.9,0.9,0.9,0.9,0.9,1,1,1,1,1,1,1
ARMO_P,1.3,1.1,1.9,2.8,4,5.1,6.4,7.8,9.1,10.5,12.3,13.9,15.4,17,18.8,19.9,21.8,23.2,24.3,25.1,26.1,26.5,26.8,27.3,27.7,27.9,28.1,28.3,28.5,28.4
AXMI1,8.9,7.7,13,19.5,28.2,34.1,43.2,52.9,61.5,70.8,77.8,87.8,97.9,107.9,119.2,127.8,140,148.9,156,161.1,164,166.5,168.4,171.3,173.7,174.7,176.3,177.5,178.7,178.4
AYRR,2.4,2,3.4,5.1,7.4,10.5,13.3,16.3,19,21.8,26.6,30,33.5,36.9,40.8,44.7,49,52.1,54.5,56.3,59,59.9,60.6,61.6,62.5,62.9,63.5,63.9,64.3,64.2
BAGA,1.9,1.7,2.8,4.2,6.1,8.7,11,13.5,15.7,18,22,24.8,27.7,30.5,33.7,37,40.5,43.1,45.1,46.6,48.8,49.6,50.1,51,51.7,52.1,52.5,52.9,53.2,53.1
BAIN,1.3,1.1,1.9,2.8,4.1,5.8,7.4,9,10.5,12.1,14.7,16.6,18.5,20.4,22.5,24.7,27.1,28.8,30.2,31.2,32.6,33.1,33.5,34.1,34.6,34.8,35.1,35.4,35.6,35.5
BARKC1;BARKW3,13.2,11.3,19,28.6,41.5,50.9,64.4,78.9,91.9,105.6,116.2,131.2,146.2,161.1,178.1,192.7,211.1,224.4,235.2,242.9,249.4,253.2,256.1,260.6,264.2,268.8,271.2,273.2,275,274.5
BEAU_P;ORRI_P,1,0.8,1.4,2.1,3,3.8,4.8,5.9,6.8,7.9,9.2,10.4,11.6,12.8,14.1,14.9,16.4,17.4,18.2,18.8,19.6,19.9,20.1,20.5,20.8,20.9,21.1,21.2,21.4,21.3
BEDDT1,16,13.8,23.2,34.8,50.5,63.8,80.8,99,115.2,132.5,146.6,165.4,184.3,203.1,224.5,243.3,266.6,283.5,297,306.6,314,318.8,322.4,328.1,332.7,337.8,340.8,343.2,345.5,344.9
BEDD_1,25.7,22.2,37.4,56.2,81.5,103,130.4,159.7,185.9,213.8,236.4,266.8,297.3,327.7,362.2,392.5,430,457.2,479,494.6,506.5,514.3,520.1,529.2,536.6,544.8,549.7,553.6,557.2,556.3
BERB_P;CAIF_P;DALL_P;GLEF_P;KEIT_P,1.2,1,1.7,2.5,3.7,4.6,5.8,7.1,8.3,9.6,11.2,12.6,14.1,15.5,17.1,18.2,19.9,21.2,22.2,22.9,23.8,24.2,24.5,24.9,25.2,25.4,25.6,25.8,26,25.9
BERW,0.9,0.8,1.3,2,2.9,4.1,5.2,6.4,7.4,8.5,10.4,11.7,13.1,14.4,16,17.5,19.2,20.4,21.3,22,23.1,23.4,23.7,24.1,24.5,24.6,24.8,25,25.2,25.1
BESW_1,13,11.2,18.8,28.3,41.1,50.8,64.3,78.8,91.7,105.5,115.5,130.4,145.3,160.1,177,190,208.2,221.4,231.9,239.5,244.2,247.9,250.7,255.1,258.7,262.3,264.6,266.5,268.2,267.8
BICF_1,8,6.9,11.6,17.5,25.3,28.4,35.9,44,51.2,58.9,61.9,69.8,77.8,85.7,94.8,97.7,107.1,113.8,119.3,123.1,123.4,125.3,126.7,128.9,130.7,132,133.2,134.2,135,134.8
