GSP,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
ABHA1,,970.3,915.1,873.8,841.6,809.0,777.3,742.9,713.6,681.2,648.2,615.0,588.2,562.8,537.4,521.6,498.0,489.3,480.0,467.1,439.4,423.0,414.8,408.2,407.8,400.4,388.3,386.5,384.2,381.6,374.7
ABNE_P,,146.6,138.9,132.9,128.0,125.8,121.5,117.6,115.3,112.8,111.9,113.3,114.7,116.8,119.0,122.7,126.3,128.4,129.3,129.0,127.8,130.7,130.4,130.1,130.4,131.2,137.5,138.3,139.0,139.6,139.6
ABTH_1,,1030.2,965.0,915.7,878.2,842.4,811.7,780.5,755.4,731.8,716.5,706.4,699.7,694.7,689.1,694.8,693.3,691.2,685.1,673.2,657.9,654.5,646.8,640.8,639.5,642.0,647.3,649.2,650.4,651.4,648.8
ACTL_2,,91.5,86.5,82.8,79.9,76.8,73.5,70.1,67.0,63.4,59.7,55.4,51.4,47.1,42.7,39.7,35.4,33.2,31.3,29.4,27.0,25.5,24.5,23.7,23.4,23.2,22.8,22.7,22.5,22.2,21.6
ACTL_C,,144.2,136.0,129.8,125.2,120.6,116.0,112.2,109.8,108.2,108.1,108.9,112.3,116.8,121.7,127.0,128.5,131.8,133.5,133.4,131.0,129.2,128.8,128.5,129.0,128.7,128.0,128.4,128.7,128.9,128.5
ALNE_P,,89.0,84.9,81.7,78.7,77.4,74.6,72.1,70.4,68.3,67.0,66.3,65.7,65.4,64.9,65.7,65.5,65.5,65.2,64.3,63.3,64.7,64.2,63.8,63.9,64.4,66.6,66.9,67.2,67.4,67.3
ALST_3,,6.4,6.1,5.8,5.6,5.5,5.3,5.1,5.0,5.0,4.9,5.0,5.3,5.8,6.3,6.7,6.9,7.3,7.5,7.6,7.3,7.0,7.0,7.0,7.1,6.9,6.5,6.5,6.5,6.4,6.4
ALVE1,,807.5,762.2,728.4,702.2,675.6,651.8,626.1,605.4,584.6,567.1,552.3,542.7,535.2,528.1,529.2,524.2,525.3,523.8,517.4,501.9,495.1,491.1,487.8,488.8,487.6,483.3,484.4,485.0,485.2,481.9
AMEM_1,,306.9,291.4,280.5,272.2,263.5,251.4,238.2,226.1,210.7,191.9,169.0,149.1,128.8,108.4,91.8,69.4,61.1,54.6,48.5,34.9,23.4,19.7,16.6,16.2,10.4,0.0,-2.1,-4.4,-6.8,-10.8
ARBR_P,,121.6,116.5,112.5,108.8,107.2,103.4,99.8,97.4,94.3,91.9,91.1,90.4,90.1,90.0,91.0,92.3,93.4,93.8,93.3,91.2,93.4,93.1,92.9,93.3,93.3,98.6,99.1,99.5,99.8,99.5
ARDK_P,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.1,-3.1,-3.2,-3.2,-3.2,-3.3,-3.3,-3.3,-3.3,-3.3,-3.4,-3.4
ARMO_P,,81.3,77.2,73.9,71.2,69.8,67.0,64.4,62.5,60.0,57.9,56.1,54.6,53.2,51.8,51.2,49.7,49.1,48.3,47.2,45.3,45.4,44.7,44.1,44.0,43.7,44.6,44.6,44.5,44.5,44.1
AXMI1,,766.5,721.8,688.7,663.6,638.9,616.4,592.0,572.6,553.2,537.4,524.4,516.1,509.7,503.6,505.3,502.1,503.1,501.4,495.2,480.7,474.5,470.3,466.9,467.6,466.3,462.5,463.4,463.9,464.0,460.9
AYRR,,184.7,177.2,171.1,165.2,162.6,156.7,151.0,146.8,141.4,136.8,133.5,130.4,127.7,125.0,124.5,123.7,123.4,122.5,120.7,117.1,118.6,117.6,116.8,117.0,117.0,121.8,122.3,122.6,122.7,122.0
BAGA,,142.9,137.0,132.4,127.9,125.9,121.2,116.4,112.6,107.4,102.5,98.5,93.9,89.3,84.6,82.0,80.0,78.5,77.0,75.2,72.2,73.8,72.9,72.2,72.3,72.1,77.4,77.6,77.8,77.8,77.2
