GSP,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
ABHA1,548.5,529.4,514.4,505.9,496.2,492.5,489.1,489.8,489.3,489.1,488.4,490.9,497.8,503.8,511.4,513.8,518.1,520.6,516.9,506,497,486.3,476.5,471,467.2,466.9,468.3,471.3,472.3,472.6
ABNE_P,92.8,89.3,86.7,85.2,83.3,82.4,81.5,81.4,81.3,81.5,82.2,83.1,84.8,86.3,88.3,92.4,94.2,95.6,95.8,94.7,97.3,96.3,95.1,94.6,94.3,96.9,97.5,98.4,99,99
ABTH_1,410.8,396.6,385.5,379.3,372.1,369,366.4,367,366.7,366.6,366,367.9,373.1,377.6,383.4,384.7,387.8,389.7,387,378.8,372.1,364.1,356.7,352.6,349.8,349.6,350.6,352.8,353.6,353.8
ACTL_2;CBNK_H;GREE_H;PERI_H,261.7,253.2,246.7,243.4,239.5,238,236.4,237.4,237.8,238.5,238.2,240.3,244.3,247.9,253.3,254.1,257.5,259.9,259,254.4,248.7,244.1,239.7,237.2,235.6,234.7,235.6,237.4,238.2,238.2
ALNE_P,78.3,75.3,73.2,71.9,70.4,69.7,68.9,68.9,68.9,69.1,69.8,70.6,72.1,73.4,75.3,79.1,80.8,82.1,82.3,81.5,84.1,83.3,82.3,82,81.7,84.1,84.7,85.5,86,86
ALVE1,505.2,487.6,473.7,466,457,453.6,450.4,451.1,450.6,450.5,449.8,452,458.4,463.9,470.9,473.1,477,479.3,475.9,465.8,457.6,447.7,438.6,433.6,430.1,429.9,431.1,433.8,434.8,435
AMEM_1,146.8,143.1,140.7,140.1,139,138.7,138.3,139.8,141,142.8,143.3,145.8,149.5,153,158.8,159.9,164.3,167.9,169.1,167.8,163.6,161.9,159.9,159.1,158.4,156.8,157.8,159.4,160.4,160.5
ARBR_P,84.7,81.3,78.7,77.1,75.2,74.2,73.3,73.1,72.8,72.8,72.7,73.2,74.5,75.5,76.7,77.3,77.9,78.3,77.8,76.3,75.3,73.8,72.5,71.8,71.3,71.6,71.8,72.2,72.4,72.4
ARDK_P;CLAC_P,9.5,9.1,8.9,8.7,8.5,8.4,8.3,8.3,8.3,8.3,8.4,8.5,8.6,8.8,9,9.3,9.5,9.6,9.6,9.5,9.6,9.5,9.4,9.3,9.3,9.5,9.5,9.6,9.7,9.7
ARMO_P,72,69.3,67.2,66.1,64.6,64,63.3,63.2,63.2,63.4,63.9,64.7,66,67.2,68.8,71.9,73.4,74.5,74.6,73.8,75.8,75,74.1,73.8,73.5,75.4,75.9,76.6,77.1,77.1
AXMI1,367.3,354.5,344.5,338.9,332.4,330,327.7,328.2,327.9,327.9,327.3,329,333.7,337.8,343,344.4,347.2,349,346.5,339.2,332.8,325.6,319,315.3,312.8,312.5,313.4,315.4,316.1,316.3
AYRR,122.5,117.8,114.3,112.2,109.6,108.4,107.2,107,106.8,107,107.7,108.8,110.9,112.8,115.2,119.5,121.6,123.1,123.1,121.4,123.7,122.1,120.5,119.8,119.3,122,122.7,123.7,124.4,124.4
BAGA,93,89.5,86.8,85.3,83.4,82.5,81.6,81.6,81.4,81.7,82.3,83.3,84.9,86.4,88.5,92.6,94.4,95.8,95.9,94.8,97.5,96.4,95.2,94.8,94.4,97.1,97.7,98.6,99.2,99.2
BAIN,41.6,40,38.9,38.3,37.5,37.1,36.7,36.8,36.7,36.9,37.4,37.9,38.7,39.5,40.5,43.2,44.3,45.1,45.4,45,47.1,46.8,46.3,46.2,46.1,47.8,48.2,48.7,49,49
BARKC1;BARKW3,754.1,729.5,710.7,700.9,689.3,684.8,680.8,683.2,684.1,685.9,685.3,690.8,702.4,712.7,727.4,730.1,739.5,745.9,743.2,730,713.8,700.1,687.3,680.3,675.6,673.4,675.9,680.8,683,683.3
BEAU_P;ORRI_P,73.1,70.3,68.2,66.9,65.4,64.7,64,63.9,63.8,63.9,64.3,65,66.2,67.3,68.8,71.2,72.5,73.4,73.3,72.4,73.6,72.6,71.7,71.2,70.9,72.4,72.8,73.4,73.8,73.8
BEDDT1,245.3,238.1,232.9,230.7,227.8,226.8,225.8,227.4,228.5,230.2,230.5,233.4,238.3,242.7,249.8,251.3,256.4,260.2,260.7,257.5,251.5,247.8,244,242.2,240.9,239.2,240.5,242.5,243.7,243.8
BEDD_1,903.2,873.2,850.2,838,823.6,818.3,813.3,815.8,816.5,818.2,817.4,823.4,836.8,848.5,865.1,868.8,879.1,886.1,882.4,866,847.8,831.2,815.6,807.2,801.4,799.1,802,807.6,810.1,810.5
BERB_P;CAIF_P;DALL_P;GLEF_P;KEIT_P,118.9,114.3,110.8,108.8,106.3,105,103.8,103.6,103.4,103.5,104,104.9,106.9,108.6,110.8,113.9,115.6,116.8,116.6,114.8,115.9,114.2,112.5,111.7,111.2,113,113.5,114.4,114.9,115
BERW,118.1,113.4,109.8,107.7,105.1,103.8,102.6,102.3,102,102,102.2,103.1,104.8,106.4,108.3,110.3,111.6,112.4,112,110,109.8,108,106.2,105.3,104.8,105.9,106.3,107,107.4,107.4
BESW_1,733.7,709.7,691.3,681.7,670.3,666,662,664.4,665.2,666.9,666.4,671.7,682.9,692.8,707,710.1,719.1,725.4,722.8,709.9,695,681.8,669.2,662.5,657.9,655.7,658.2,662.9,665.1,665.4
BICF_1,310.8,301.2,294.2,291,286.9,285.5,284.1,285.7,286.7,288.4,288.6,291.8,297.5,302.6,310.5,312.5,318,322.1,322.1,317.5,310.6,305.6,300.7,298.2,296.4,294.7,296.1,298.5,299.9,300
