GSP,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
ABHA1,,39.2,42.4,49.0,53.1,55.8,58.0,59.2,60.4,61.6,61.3,60.0,55.9,47.0,27.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABNE_P,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABTH_1,,21.4,23.2,26.8,29.1,30.5,31.7,32.4,33.0,33.7,33.5,32.8,30.6,25.7,15.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AXMI1,,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BIRK_1,,26.8,29.0,33.5,36.3,38.1,39.7,40.5,41.3,42.1,41.9,41.0,38.2,32.1,19.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BOTW_1,,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BRAI_1,,18.3,19.8,22.9,24.8,26.0,27.1,27.6,28.2,28.7,28.6,28.0,26.1,21.9,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BRED_1,,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BRLE_1,,33.2,35.9,41.5,45.0,47.3,49.2,50.2,51.2,52.2,52.0,50.8,47.4,39.8,23.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BRWA1,,53.6,58.0,67.0,72.6,76.3,79.3,80.9,82.5,84.2,83.8,82.0,76.4,64.3,38.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CAPEA1,,51.8,56.1,64.8,70.3,73.8,76.8,78.3,79.9,81.5,81.1,79.4,73.9,62.2,36.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CARE_1,,13.8,15.0,17.3,18.7,19.7,20.5,20.9,21.3,21.7,21.6,21.2,19.7,16.6,9.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CARR_1,,77.7,84.0,97.1,105.3,110.6,115.0,117.3,119.7,122.1,121.6,118.9,110.8,93.2,55.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CELL_1,,21.8,23.5,27.2,29.5,31.0,32.2,32.9,33.5,34.2,34.1,33.3,31.0,26.1,15.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHTE_1,,156.7,169.5,195.9,212.5,223.1,232.0,236.7,241.4,246.2,245.2,239.9,223.4,188.0,111.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CONQA1,,60.3,65.2,75.4,81.7,85.8,89.2,91.0,92.9,94.7,94.3,92.3,86.0,72.3,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
COVE_1,,21.4,23.2,26.8,29.1,30.5,31.7,32.4,33.0,33.7,33.5,32.8,30.6,25.7,15.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
COWL_1,,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CREB_1,,72.3,78.2,90.4,98.1,103.0,107.1,109.2,111.4,113.6,113.2,110.7,103.1,86.8,51.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CUMB,,10.7,11.6,13.4,14.5,15.3,15.9,16.2,16.5,16.8,16.8,16.4,15.3,12.9,7.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DRAX_1,,21.4,23.2,26.8,29.1,30.5,31.7,32.4,33.0,33.7,33.5,32.8,30.6,25.7,15.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Direct(NGET),,1.0,1.0,50.5,50.5,50.5,50.5,50.5,49.5,49.5,49.5,49.5,49.5,49.5,49.5,49.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Direct(SPTL),,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EASO_1,,72.3,78.2,90.4,98.1,103.0,107.1,109.2,111.4,113.7,113.2,110.7,103.1,86.8,51.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ECLA_H,,34.8,37.7,43.5,47.2,49.6,51.6,52.6,53.6,54.7,54.5,53.3,49.7,41.8,24.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ELDE,,5.4,5.8,6.7,7.3,7.6,7.9,8.1,8.3,8.4,8.4,8.2,7.6,6.4,3.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ELST_1,,6.7,7.2,8.4,9.1,9.5,9.9,10.1,10.3,10.5,10.5,10.3,9.6,8.0,4.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FECK_6,,42.9,46.4,53.6,58.1,61.0,63.5,64.7,66.0,67.3,67.1,65.6,61.1,51.4,30.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FERRA2,,7.3,7.9,9.2,9.9,10.4,10.8,11.1,11.3,11.5,11.5,11.2,10.4,8.8,5.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FERRB_M,,14.4,15.6,18.0,19.6,20.5,21.4,21.8,22.2,22.7,22.6,22.1,20.6,17.3,10.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FIDF_1,,75.0,81.1,93.8,101.7,106.8,111.1,113.3,115.6,117.9,117.4,114.8,107.0,90.0,53.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FLEE_1,,78.4,84.8,98.0,106.3,111.6,116.1,118.4,120.7,123.2,122.7,120.0,111.8,94.0,55.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GREN_1,,33.5,36.2,41.9,45.4,47.7,49.6,50.6,51.6,52.6,52.4,51.3,47.8,40.2,23.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GRIW_1,,91.1,98.5,113.9,123.5,129.7,134.9,137.6,140.3,143.1,142.5,139.4,129.9,109.3,64.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HARK_1,,28.1,30.4,35.2,38.1,40.0,41.6,42.5,43.3,44.2,44.0,43.1,40.1,33.8,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IMPK_1,,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IRONB1,,5.4,5.8,6.7,7.3,7.6,7.9,8.1,8.3,8.4,8.4,8.2,7.6,6.4,3.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KEAD_1,,92.4,100.0,115.6,125.3,131.6,136.8,139.6,142.4,145.2,144.6,141.5,131.8,110.9,65.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KEAR_1,,53.6,58.0,67.0,72.6,76.3,79.3,80.9,82.5,84.2,83.8,82.0,76.4,64.3,38.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
