GSP,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
BAGA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BARKC1;BARKW3,2.639976587,0.929617714,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BEDD_1,0.999991132,0.352127922,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOLN_1,463.099972508,461.091596558,460,460,460,420,420,420,,,,,,,,,,,,,,,,,,,,,,
BRFO_1;CLT03,12.26989118,4.320609604,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRIM_1,5.199953884,1.831065195,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BURM_1,5.99994679,2.112767532,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CANTN1;RICH1;RICH_J,30.69972774,10.81032721,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CITR_1,5.05495517,1.780006646,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EASO_1,11.65289666,4.103346676,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ELST_1,37.09967098,13.06394591,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GREN_1,401,401,401,,,,,,,,,,,,,,,,,,,,,,,,,,,
HACK_1;HACK_6,3.399969847,1.197234935,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HURS_1,2.745575651,0.966802423,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KINO_1,11.95989393,4.211449948,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LITT_C,16.1698566,5.6939085,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LODR_6,6.693940635,2.35714431,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MILH_1,1.199989358,0.422553506,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEWX_6,12.72088718,4.479419297,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NORM_1;SALL1,444.00378712,428.452478641,420,420,420,420,420,420,420,420,420,420,420,,,,,,,,,,,,,,,,,
PELH_1,4.669958585,1.644437396,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RATS_1,26.21976747,9.232794117,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RAYL_1,9.099919297,3.204364091,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RYEH_1,26.49976499,9.331389935,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SJOW_1,20.38861918,7.179465778,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SUND_1,2.759975523,0.971873065,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TILBB_1,25.4497743,8.961655617,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WALP_1,404.165918712,398.227604534,395,395,395,395,395,395,395,395,395,395,395,395,,,,,,,,,,,,,,,,
WARL_1,17.41984551,6.134068403,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WHAM_1;ISLI_1,29.52373817,10.39622477,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WIMBS1;WIMBN1,10.51190678,3.701568717,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WYMOM_1,8.059928521,2.838151052,,,,,,,,,,,,,,,,,,,,,,,,,,,,
