GSP,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
ABHA1,591.3,612.4,633.6,657.6,686.8,704.1,741.2,806.3,886,987.3,1188.6,1350.2,1537.1,1753.6,2105.2,2565.8,2950.3,3323.3,3700.3,4065.7,4745.3,5121.7,5456.4,5747.9,5989.8,5953.4,6135.6,6316.2,6485.3,6525.9
ABNE_P,476.1,489.1,510.3,529.6,553.1,641.1,674.6,735.2,806,899.3,1251.2,1421.7,1618,1846,2216.3,4073.8,4684.3,5275.9,5873.9,6456,8950.3,9662,10292.5,10843,11299.5,13131.6,13532.2,13932.2,14304.1,14393.6
ABTH_1,721.9,740,768.4,798.8,835.1,660.3,695.1,757.3,830.1,926.3,1032,1172.1,1334.8,1522.7,1828,1920.7,2208.4,2487.7,2768.6,3043.2,3565.8,3849.4,4101,4320.9,4502.9,4484.7,4622.3,4758.3,4886.1,4916.7
ACTL_2;CBNK_H;GREE_H;PERI_H,1766.3,1820.2,1889.5,1961.7,2049.3,2101.9,2213.5,2409.5,2642.9,2947.8,3165.8,3594.9,4092.3,4668.8,5606.3,5879,6761.1,7616.4,8477.9,9319.8,9070.5,9791.5,10432.2,10989.9,11452.2,11084.9,11422.2,11761.7,12074.9,12150.5
ALNE_P,506.9,518.9,539,560.5,584.2,667.3,703.7,766.8,840.7,937.6,1282.6,1456.7,1658.4,1892.2,2272.6,4008.8,4612,5192.8,5781.9,6354.9,8702.2,9395.2,10008.2,10542.9,10987.9,12653.5,13039.3,13424.5,13782.8,13869
ALVE1,529.9,548.6,567.7,591.4,617.2,632.3,666.1,724.1,793.9,886.5,1066.2,1211.4,1379.4,1573.1,1888.5,2301.7,2646.6,2982.1,3319,3648,4256.8,4595.8,4895.7,5157.3,5374.6,5341,5504.2,5667.1,5818.6,5855
AMEM_1,3455.9,3555.5,3687.1,3830.7,4003.4,4203.7,4432.1,4820.5,5287.3,5898.5,6401.4,7268.3,8276.7,9441.2,11339.3,12104.4,13922.7,15678.9,17457.1,19186.9,18966,20474.5,21810,22977.2,23944.7,23252,23960.3,24668.8,25328,25486.4
ARBR_P,30.7,34,34.4,35.3,36.6,43.8,46.1,49,54.3,61.1,84,95.3,108.8,124.6,149.2,274.2,315.3,354.4,394.7,434.3,601.2,649.3,691.1,729.5,759.7,882.5,909.9,937,960.8,966.9
ARDK_P;CLAC_P,46.1,46.8,48.7,50.8,53.1,59.6,63.2,68,75.5,83.8,113.9,129,146.5,166.5,201.2,342,394.8,443.3,494.1,542.9,736.6,795.8,846.6,892.3,930.1,1061,1094.6,1126.8,1156.4,1163.6
ARMO_P,414.7,425.3,441.5,459,479.8,551.7,582.4,632.4,694.3,774.2,1059.1,1203,1369.7,1561.9,1875.8,3304.6,3800.6,4281.4,4765.6,5237.5,7162.1,7731.1,8236.5,8676.9,9041.6,10382.5,10698.5,11016.2,11309.6,11380.3
AXMI1,483.8,501.8,518.9,540.6,564.1,595.5,628.5,683,748.6,835.3,943.8,1071.2,1219,1391.1,1670.4,1887.5,2170.8,2445.5,2722.6,2992,3170.1,3422.2,3645.5,3840.4,4003,3928,4047,4167.5,4277.9,4304.6
AYRR,491.5,506.1,524.7,547.2,571.4,658.6,693.4,754.1,827.1,923.4,1282.6,1456.7,1658.4,1892.2,2272.6,4173.3,4800,5407.1,6019.3,6615.8,9166.4,9896.4,10542.2,11106.3,11573.9,13441,13850.3,14260,14641.7,14733.2
BAGA,468.5,484.8,504.6,523,547.6,634.1,669.5,727.3,798.4,890.7,1242.7,1411.9,1606.8,1833.4,2202.3,4068,4679.9,5270.1,5868,6448.4,8951.8,9663.5,10295.6,10846.1,11302.8,13141.4,13542.1,13942.1,14314.1,14403.7
BAIN,314.9,323.2,335.5,350.9,366.3,423.9,447.5,486.9,534.3,595.2,831.3,943.6,1074,1226,1471.9,2720.2,3129.6,3524.6,3922.9,4311.5,5985.7,6461.9,6884.1,7251.5,7557.9,8787.7,9055,9323.6,9571.7,9631.6
BARKC1;BARKW3,4607.8,4737.8,4911.3,5103.9,5334.8,5555.9,5856.5,6369.8,6988.3,7795.1,8392.8,9529.8,10851.4,12378.9,14865.7,15697.6,18054.5,20332.1,22638.2,24881.3,24269.9,26199.2,27908.9,29400.3,30639.1,29740.9,30648.1,31554.2,32394.8,32597.4
BEAU_P;ORRI_P,314.9,319,332.6,344.2,360.8,413.4,435.5,474.3,520.7,581,794.3,901.5,1026.6,1171.4,1407.2,2477.7,2850.5,3211,3574.2,3928.5,5370.8,5798.7,6177.4,6507.7,6782,7787.2,8024.7,8261.8,8482.2,8535.3
BEDDT1,3440.5,3534.2,3667,3808.6,3981.4,4194.9,4421.8,4809.4,5276.7,5885.7,6398.5,7264.1,8271.1,9435.6,11332.2,12149.1,13973.3,15737.3,17520.9,19256.3,19072.5,20588.6,21932.5,23104.9,24077.8,23397.8,24112,24825.2,25488.4,25647.8
BEDD_1,4484.9,4614.4,4785.2,4971.5,5195.6,5475.3,5771.1,6278.1,6885.7,7681.4,8350.1,9480.8,10795.7,12314.5,14789.7,15854.9,18235.3,20537.8,22865.2,25130.1,24890.7,26870.1,28623.5,30153.7,31424.7,30536.6,31467.4,32398,33262.1,33470.1
BERB_P;CAIF_P;DALL_P;GLEF_P;KEIT_P,381,389.3,404.7,419.1,438.7,503.4,530.3,576.1,632.7,706.1,965.6,1096.2,1248,1424.7,1710.6,3013.3,3465.2,3903.2,4345.7,4775.7,6530.2,7048.8,7509.3,7911.3,8244,9466.9,9755.4,10042.9,10312.1,10376.6
BERW,192,199.9,206.4,214,223.4,257.5,271.6,295.6,323,360.8,502.5,570.6,648.6,740.4,889.4,1633.5,1878.6,2115.9,2354.6,2587.8,3587.1,3872.5,4124.5,4344.8,4527.3,5259.2,5418.5,5578.9,5728.3,5764.2
BESW_1,4308.3,4431.6,4593.1,4772.9,4988.7,5207.3,5489.3,5969.8,6549.1,7304.9,7958.7,9036.3,10288,11736.5,14094.6,15105.9,17374.8,19568.1,21786.5,23944.8,23865,25762.8,27443.9,28911.9,30129.4,29241.5,30133.8,31023.2,31851.7,32051
BICF_1,3394.4,3487.4,3618.3,3757.9,3928.3,4194.9,4421.8,4809.4,5275.2,5885.7,6431.3,7303.4,8315.7,9486,11391.3,12315.1,14164.2,15951.6,17759.8,19520.2,19465.2,21012.7,22384.9,23582.2,24574.6,23902.1,24632.9,25359.5,26038.2,26201
BIRK_1,1612.7,1654.4,1717.4,1785.2,1866.2,1828.6,1926.5,2096.4,2298.7,2564.3,2825.6,3207.9,3652.9,4166.4,5004,5363.8,6169.5,6948.5,7736,8502.4,8833.1,9535.5,10157.4,10700.9,11151.8,11163.5,11504.6,11845.1,12160.2,12236.2
BISW_1,4469.6,4597.4,4768,4953.9,5177.3,5501.6,5798.4,6306.6,6917.4,7716.9,8404.2,9542.5,10865.4,12394.3,14885.4,16006.4,18410.3,20734.6,23084.8,25372.9,25164.7,27166.2,28939.2,30487.3,31770.5,30903.4,31846.6,32787.4,33663.1,33873.7
BLYTB1,1390,1429,1482.3,1540.2,1609.8,1600.9,1689.1,1837.1,2015,2247.5,2509.6,2849,3244.3,3701.8,4445.4,4874.7,5607,6314.2,7029.7,7727.2,8125.4,8772.1,9343.8,9843.7,10259,10411.9,10729.8,11046.2,11341.4,11412.3
BLYTH132,960,986.7,1023.6,1063.6,1111.6,1105.2,1164.8,1268,1390.1,1551.3,1732.4,1967.1,2238.6,2554.1,3067.7,3363.8,3868.6,4357.2,4851.7,5332.5,5608.2,6053.2,6449.1,6793.4,7079,7184.7,7404.9,7622.7,7827.2,7876.1
BOAG_P,176.6,182.9,189.2,194.2,203.3,234.7,247.6,268.8,294.3,328.2,449.8,510.4,581.6,663.4,796.5,1402.7,1614,1817,2023.8,2224.4,3040.8,3281.8,3496.3,3684,3839,4407.8,4541.5,4676.8,4800.9,4830.9
BOLN_1,4953.4,5090.8,5278.4,5485.7,5732.2,5999,6324.5,6878.9,7545.3,8417.3,9271.1,10526.7,11986.8,13673.4,16420.7,17924.2,20614.3,23218,25848.9,28410.2,28940.5,31240.7,33280.5,35060.4,36536.4,35651.7,36739.2,37825.4,38835,39077.9
BONN,783.3,808.1,837.2,869.4,908.4,1054.4,1111.9,1209.5,1326.7,1480.3,2066.9,2345.7,2671,3046.8,3660.1,6762.2,7777.7,8759.6,9752.3,10719.2,14879.7,16063.8,17112.2,18027.4,18786,21842.3,22509.7,23174.2,23794,23942.8
BOTW_1,3240.8,3334.3,3460.6,3594.6,3758,3960.2,4175.9,4542.2,4980.9,5557.5,6076.8,6901,7856.8,8962.6,10763.7,11623.8,13368.8,15056.3,16762.8,18423.9,18466.8,19934.7,21236.7,22372.3,23314.9,22700.3,23391.6,24082.9,24726.4,24881.1
BRAC_P,483.8,497.6,518.9,538.4,562.2,651.6,686.6,746.2,819.6,913.5,1272.6,1445.5,1645.8,1876.8,2254.3,4141.6,4763.8,5364.8,5973.3,6566.1,9101,9823.9,10465.2,11024.9,11489.4,13352.6,13759.7,14166.8,14544.8,14635.7
BRAI_1,3455.9,3555.5,3687.1,3830.7,4003.4,4258,4488.4,4880.5,5353.7,5972.4,6539.5,7425.3,8455.2,9644.2,11582.7,12560.4,14446.2,16269.5,18114.4,19909.3,19944.6,21530.9,22936.2,24163.2,25181.7,24491.5,25239.5,25985.3,26678.2,26845
BRAP,360.9,365.8,381.3,397.2,413.9,476.4,502.1,547,599.2,669.1,929.5,1055.8,1202.3,1371.5,1647.8,3026.1,3479.6,3919.7,4363.5,4795.6,6646.2,7174.4,7642.8,8051.2,8390.6,9743.9,10040.8,10338.9,10614.5,10680.8
BRAW_1,2680.2,2751.6,2855.6,2967.9,3100.5,2946.1,3105,3377,3705.5,4132.6,4518.1,5130.2,5841.4,6663.2,8002.8,8439,9705.5,10930.9,12170.7,13376.4,13954.3,15064.4,16047.3,16905.3,17617.3,17881.5,18428.1,18971.8,19479.3,19601.2
BRED_1,1751,1803.2,1869.4,1941.8,2031,1970.5,2078.6,2260.8,2479.9,2766,3044.8,3457.5,3936.1,4491.1,5393.8,5789.5,6658.4,7499.7,8348.7,9176.5,9595.6,10359.1,11035.4,11625.1,12114.4,12262.1,12635.4,13008.4,13356.6,13440.2
BRFO_1;CLT03,4423.5,4546.3,4710.7,4896.5,5116.9,5238.9,5521.7,6006.2,6588.3,7349,7995.7,9078.4,10336.8,11791,14162.1,15092.9,17358.9,19550.6,21767.2,23923.7,23913.7,25815.2,27498.9,28970.9,30191,29244.7,30137.1,31028.2,31856.7,32056
BRID_P,84.5,85.1,88.9,92.7,97.1,112.1,117.8,128.1,140.4,156.3,217.8,246.8,281.7,320.5,385.6,708.5,814.2,917.2,1020.8,1122,1555.4,1679.5,1789,1885.1,1964.1,2282.5,2352.3,2421.6,2486.5,2502.1
BRIM_1,3486.6,3581,3715.8,3859.4,4034.5,4300,4532.8,4929.5,5406.5,6032,6580.7,7473,8508.2,9705.8,11655.9,12576.3,14465,16291.4,18138.1,19934.9,19833.5,21412.2,22808.9,24029.1,25040.4,24357.3,25101.1,25842.1,26532.8,26698.8
BROA_P,107.5,110.6,114.7,117,122.7,141.9,148.6,161.3,178.1,198.9,271.9,308.5,350.1,400.3,479.9,845.6,973.3,1096.6,1219.6,1340.7,1833.9,1980.2,2109.4,2221.9,2314.8,2659.1,2739.7,2821,2895.9,2914
BROR_P,99.8,106.3,109,112.5,117.2,134.9,141.8,153.4,169,187.5,257.6,293,333.4,379.3,455.9,805.2,925.6,1042.6,1161.7,1275.8,1747.1,1886.1,2010.4,2116.6,2206,2541.2,2617.8,2696.2,2767.2,2784.6
BROX,622.1,642.2,665.2,690.7,721.6,832,876.2,953.3,1046,1166.3,1621.3,1840.9,2096.4,2390.4,2872.1,5274.4,6066.9,6831.8,7606.9,8360.6,11583.2,12504.3,13320.7,14033.8,14624,16984.3,17503.3,18019.8,18501.8,18617.5
BRWA1,499.2,510.4,530.4,551.7,575.1,595.5,628.5,683,750.1,836.8,1006.4,1142.7,1301.3,1484.9,1782.9,2164.6,2490.4,2804.2,3123.2,3432.3,3982.8,4299.7,4581.6,4825.3,5028.9,4989,5141.5,5294.3,5435.9,5469.9
BUMU_P,499.2,514.6,533.3,553.9,578.7,669.1,705.4,766.8,842.2,939,1308.2,1484.8,1690.5,1928.6,2316.3,4255.6,4895.4,5513.6,6138,6745.5,9352.1,10095.4,10754.2,11329.8,11806,13721,14138.8,14557.9,14945.8,15039.3
BURM_1,4254.6,4380.5,4541.5,4717.8,4931.9,5098.7,5374.9,5846.5,6413.2,7154.3,7769.4,8821.8,10043.9,11458,13761.1,14647,16846.9,18973.1,21123.3,23216.4,23061.4,24896,26520.4,27938.2,29114.8,28219.8,29080.5,29939.7,30738.8,30931.1
BUSH_1,3448.2,3546.9,3675.6,3819.7,3992.4,4242.2,4471.4,4863.1,5334.1,5951.1,6479.7,7358,8378.5,9557.4,11477.2,12342.5,14196,15988.1,17799.9,19563.9,19404.3,20948,22314.2,23507.2,24498.3,23828.4,24555.4,25282.9,25958,26120.3
BUST_1,3333,3423.6,3552.4,3689.5,3856.9,4025,4242.5,4614.9,5062.4,5647,6150.9,6985.1,7953.1,9071.8,10896,11677.2,13431,15126.3,16839.9,18508.3,18447,19914.7,21214.7,22348.3,23290.6,22603.7,23292.7,23981.4,24621.1,24775.1
CAAD_P,245.8,255.2,263.8,273.6,287.5,322.3,339.9,368.4,404.5,451.8,609.2,691.2,788.1,898.5,1079.3,1842.8,2120.1,2388.6,2658.8,2922.6,3963,4278.1,4556.4,4801.4,5002.9,5709.4,5885,6058.2,6219.6,6258.5
CAMB_01,913.9,939.9,977.7,1015,1060.4,980.9,1033.3,1124.1,1233.1,1375.2,1446.3,1643.2,1870.4,2134.3,2562.5,2503.7,2879.4,3243.1,3611.3,3969.2,3938.7,4251.9,4529.7,4771,4972.1,5064.3,5219,5374.1,5516.1,5550.6
CANTN1;RICH1;RICH_J,8286.4,8518.6,8839.3,9184,9598.3,9961,10500.4,11421.1,12527.6,13974.9,15137.3,17187.9,19571.7,22324,26811.5,28406.6,32672.8,36797.1,40967.7,45028.9,44464,48000,51132.4,53866.8,56135.7,54428.9,56088.8,57747.4,59288.6,59659.4
CAPEA1,1666.5,1713.9,1777.6,1846.9,1932.1,1891.7,1994.9,2169.1,2380.3,2655.2,2925.3,3321.5,3782.7,4314.8,5181.3,5554.3,6387.9,7193.5,8009,8802.5,9145.1,9871.7,10515.5,11079.2,11544.6,11558.1,11911.8,12262.8,12591.3,12670.1
CARE_1,268.8,280.7,289.6,300.1,313.2,248.7,261.3,284.6,312.4,348.1,387.2,440.2,500.7,572.4,686.7,721.5,830.1,934.7,1040.1,1143.1,1340.8,1446.6,1540.8,1623.3,1691.4,1684.8,1737.5,1787.5,1836.5,1848
CARR_1,1466.8,1514,1568.3,1628.5,1703.2,1653.5,1743.8,1895.6,2079.9,2319.9,2553.7,2899.5,3301.5,3766.1,4524.2,4855.9,5585.3,6290.8,7003,7697.1,8049.4,8688.9,9255.8,9751.2,10161.6,10284.2,10597.9,10911.4,11202.7,11272.7
CASS_P,15.4,12.8,14.3,13.2,14.7,17.5,17.1,19,21.1,24.2,32.7,36.5,41.8,47.6,56.3,101,115.7,129.8,145.4,159.9,217.6,236,251.3,265,276,317.6,326.4,336.2,345.9,348.1
CATY,238.1,246.7,258,267,278.4,320.5,338.2,368.4,403,450.3,626.3,710.8,809,923.7,1108.9,2036.2,2342.9,2637.9,2937.7,3228.7,4472.9,4828.7,5143.9,5419.1,5647.3,6559.2,6758.7,6958.6,7143.7,7188.4
CEAN_P,15.4,17,17.2,17.7,18.3,21,22.2,23.7,27.2,29.8,39.9,46.3,51.6,60.2,71.8,125.5,144.6,163.3,181,199.1,272.4,294.6,314.1,330.4,344.1,396.2,407.2,419.4,431.1,433.8
CELL_1,4753.7,4890.9,5071.9,5269.4,5507,5802.9,6117.8,6652.8,7297.7,8141.7,8878.2,10080.8,11479.1,13094,15725.5,16896.8,19432.8,21886.6,24366.7,26781.5,26730.7,28856.5,30739.1,32383.6,33747.6,32891.1,33895.6,34897.8,35828.8,36052.9
CHAP,468.5,480.6,291,302,315.5,362.7,382.4,416.3,456.1,509.2,707.6,803.4,915,1043.9,1253.7,2302.5,2648.1,2982.2,3320,3649.1,5056.1,5458.2,5814.8,6125,6383.3,7413.1,7639.3,7865.4,8075.4,8125.9
CHAR_P,468.5,480.6,498.9,518.6,542.1,628.8,662.7,720.9,789.4,880.8,1227,1393.7,1587.3,1809.6,2174.1,3994.4,4594.6,5175.3,5761.2,6332.3,8776.8,9475.4,10094.6,10633.9,11082,12877.8,13271.7,13664.2,14028.4,14116.1
CHAS,238.1,246.7,255.2,267,278.4,320.5,338.2,366.8,403,448.9,624.9,709.4,807.6,920.9,1106.1,2030.4,2335.6,2630.7,2928.8,3219.7,4460.7,4814.8,5129.7,5403.1,5631.1,6539.6,6738.9,6938.6,7123.7,7168.2
CHIC_1,499.2,518.9,536.2,558.3,582.4,614.8,649,705.1,774.3,862.3,973.7,1106.2,1259.5,1435.9,1725.2,1949.6,2241.6,2525.7,2811.6,3090,3273.6,3534.8,3764.8,3966.5,4132.8,4055.7,4178.8,4302.3,4418.2,4445.9
CHSI_1,4316,4435.8,4598.9,4779.5,4996,5265.1,5549.1,6036.2,6620,7385.9,8028.4,9116.2,10380,11840,14219.8,15244.5,17533.9,19747.4,21985.4,24163.5,23931.9,25835.3,27522.5,28993.3,30215.4,29361,30257.5,31151.4,31983.8,32183.8
CHTE_1,3978.1,4091.3,4240.5,4406.6,4605.9,4666.1,4917.1,5348.5,5866.9,6544.9,7064.7,8022.6,9134.5,10419.5,12512.9,13117.4,15086.9,16991.4,18917.1,20791.5,20795.3,22448.5,23913.1,25192.8,26253,26174.7,26972.1,27769.4,28511.3,28689.6
CITR_1,4845.9,4984.4,5169.4,5370.9,5613.2,5752.1,6063.1,6594.3,7234.3,8069.2,8663.3,9835.5,11200.1,12774.9,15342.8,16090.1,18507.2,20842.6,23204.9,25504.1,24823.8,26797.6,28546.5,30073.9,31340.3,30338.5,31263,32188.3,33046.5,33253.2
CLAY_P,199.7,208.4,215,225.1,234.4,273.2,288.6,313,344.1,383.6,535.2,608.5,691.8,789.3,948.5,1747.5,2010.2,2264.6,2520.8,2770.3,3841.3,4147,4418.2,4654.5,4850.3,5639,5810.8,5981.6,6142.8,6181.2
