GSP,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
ABHA1,,,,20.00002719,20.00002398,20.00002143,20.00002299,20.00002043,20,20.00003017,20.00002647,20.00002415,19.99999467,19.9999934,19.99999234,19.99999415,19.99999579,19.9999947,69.49998703,69.49998422,69.50001835,69.49997775,69.50001067,69.49997143,69.50000343,69.50003437,69.49999667,69.50002669,69.49999033,169.5000476
ABNE_P,,,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49
ALVE1,3.7500073,3.749961557,3.749999277,3.750005098,3.750004496,3.750004018,3.75000431,3.750003831,3.75,3.750005657,3.750004963,3.750004529,3.749999001,3.749998763,3.749998564,3.749998903,3.749999211,3.749999006,3.7499993,3.749999149,3.75000099,3.7499988,3.750000576,3.749998458,53.75000265,53.75002658,62.24999702,62.25002391,62.24999134,62.25001747
AMEM_1,13.30002589,13.29986366,53.29998973,102.8001397,102.8001232,152.3001632,152.300175,152.3001556,152.3002551,152.3002298,152.3002016,152.3001839,152.2999594,152.2999497,152.2999417,152.2999554,152.299968,152.2999596,159.4999702,159.4999638,159.5000421,159.4999489,159.5000245,159.4999344,159.5000079,159.5000789,159.4999924,159.5000613,159.4999778,159.5000448
ARBR_P,,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35
ARMO_P,0.30300059,0.302996894,0.302999942,0.303000412,0.303000363,0.303000325,0.303000348,0.30300031,0.303000507,0.303000457,0.303000401,0.303000366,0.302999919,0.3029999,0.302999884,0.302999911,0.302999936,0.30299992,0.302999943,0.302999931,0.30300008,0.302999903,0.303000047,0.302999875,0.303000015,0.30300015,0.302999986,0.303000116,0.302999958,0.303000085
AXMI1,0.040000078,0.03999959,0.039999992,0.040000054,0.040000048,0.040000043,0.040000046,0.040000041,0.040000067,50.04007549,50.04006622,50.04006043,50.03998666,50.03998349,50.03998083,50.03998536,50.03998947,50.03998673,50.03999066,50.03998864,50.04001321,50.03998398,50.04000768,50.03997943,50.04000247,50.04002474,50.03999761,50.04001922,50.03999304,50.04001404
BESW_1,,,,,,,,,,,,,5.999998401,5.99999802,5.999997702,5.999998245,5.999998738,5.999998409,5.999998881,5.999998638,6.000001584,5.999998079,6.000000921,5.999997533,6.000000296,6.000002967,5.999999713,6.000002304,5.999999165,6.000001684
BICF_1,6.650012946,6.649931828,6.649998718,6.65000904,6.650007972,6.650007126,6.650007643,6.650006794,6.650011138,6.650010032,6.650008801,6.650008031,6.649998228,6.649997806,6.649997453,6.649998054,6.649998601,6.649998236,6.649998759,6.64999849,6.650001756,6.649997871,6.650001021,6.649997266,6.650000328,6.650003288,6.649999682,6.650002554,6.649999075,6.650001866
BISW_1,39.23507638,79.23418772,107.2349793,107.2351458,107.2351286,107.2351149,107.2351232,107.2351096,107.2351796,107.2351618,107.2351419,107.2351295,107.2349714,107.2349646,107.2349589,107.2349686,107.2349774,107.2349716,107.23498,107.2349757,135.7350358,135.7349565,135.7350208,135.7349442,135.7350067,135.7350671,135.7349935,135.7350521,135.7349811,165.7350465
