GSP,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
ABHA1,0.5,1.0,1.6,2.2,3.2,4.6,6.2,8.1,10.2,12.5,15.2,18.2,21.4,24.9,28.7,32.7,37.0,41.6,46.5,51.6,57.1,62.9,68.9,75.2,81.8,88.7,95.9,103.3,111.0,119.0
ABNE_P,0.0,0.1,0.1,0.2,0.3,0.4,0.5,0.7,0.9,1.1,1.3,1.6,1.9,2.2,2.5,2.9,3.3,3.7,4.1,4.6,5.1,5.6,6.1,6.7,7.2,7.8,8.5,9.1,9.8,10.5
ABTH_1,0.1,0.2,0.3,0.4,0.6,0.9,1.2,1.6,2.0,2.5,3.0,3.6,4.3,5.0,5.7,6.6,7.4,8.3,9.3,10.3,11.4,12.6,13.8,15.1,16.4,17.8,19.2,20.7,22.2,23.8
ACTL_2,0.0,0.1,0.1,0.1,0.2,0.2,0.3,0.4,0.5,0.7,0.8,1.0,1.1,1.3,1.5,1.7,2.0,2.2,2.4,2.7,3.0,3.3,3.6,4.0,4.3,4.7,5.1,5.4,5.9,6.3
ALNE_P,0.0,0.0,0.1,0.1,0.1,0.2,0.2,0.3,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1.1,1.2,1.4,1.5,1.7,1.9,2.1,2.3,2.5,2.7,2.9,3.1,3.4,3.6,3.9
ALVE1,0.5,0.9,1.3,1.9,2.8,4.0,5.4,7.0,8.8,10.8,13.1,15.7,18.5,21.5,24.7,28.2,31.9,35.9,40.1,44.5,49.2,54.2,59.4,64.9,70.5,76.5,82.7,89.1,95.7,102.6
AMEM_1,0.1,0.1,0.2,0.2,0.3,0.4,0.6,0.8,1.0,1.2,1.5,1.8,2.1,2.4,2.8,3.2,3.6,4.0,4.5,5.0,5.5,6.1,6.6,7.3,7.9,8.6,9.2,10.0,10.7,11.5
ARBR_P,0.0,0.1,0.1,0.2,0.3,0.4,0.5,0.7,0.9,1.1,1.3,1.6,1.9,2.2,2.5,2.9,3.2,3.6,4.0,4.5,5.0,5.5,6.0,6.6,7.1,7.7,8.4,9.0,9.7,10.4
ARMO_P,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.2,0.2,0.3,0.3,0.4,0.5,0.6,0.6,0.7,0.8,0.9,1.0,1.1,1.3,1.4,1.5,1.7,1.8,2.0,2.1,2.3,2.5,2.6
AXMI1,0.3,0.5,0.8,1.1,1.6,2.3,3.1,4.0,5.0,6.2,7.5,9.0,10.6,12.4,14.2,16.2,18.4,20.6,23.0,25.6,28.3,31.2,34.2,37.3,40.6,44.0,47.5,51.2,55.0,59.0
AYRR,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.2,0.2,0.3,0.3,0.4,0.5,0.5,0.6,0.7,0.8,0.9,1.0,1.1,1.2,1.3,1.5,1.6,1.7,1.9,2.0,2.2,2.4,2.5
BAGA,0.0,0.1,0.1,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.9,1.1,1.3,1.5,1.7,1.9,2.2,2.4,2.7,3.0,3.3,3.7,4.0,4.4,4.8,5.2,5.6,6.0,6.5,7.0
BAIN,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.2,0.2,0.3,0.3,0.4,0.4,0.5,0.6,0.6,0.7,0.8,0.9,1.0,1.1,1.2,1.3,1.4,1.5,1.6,1.8,1.9,2.0
BARKC1,0.1,0.2,0.3,0.4,0.6,0.9,1.2,1.5,2.0,2.4,2.9,3.5,4.1,4.8,5.5,6.3,7.1,8.0,8.9,9.9,11.0,12.1,13.2,14.5,15.7,17.0,18.4,19.8,21.3,22.9
BEAU_P,0.0,0.1,0.1,0.1,0.2,0.2,0.3,0.4,0.5,0.7,0.8,1.0,1.1,1.3,1.5,1.7,2.0,2.2,2.5,2.7,3.0,3.3,3.7,4.0,4.3,4.7,5.1,5.5,5.9,6.3
BEDDT1,0.0,0.1,0.1,0.1,0.2,0.3,0.3,0.4,0.6,0.7,0.8,1.0,1.2,1.4,1.6,1.8,2.0,2.3,2.6,2.9,3.2,3.5,3.8,4.2,4.5,4.9,5.3,5.7,6.1,6.6
BEDD_1,0.1,0.2,0.4,0.5,0.8,1.1,1.5,1.9,2.4,3.0,3.6,4.3,5.0,5.9,6.8,7.7,8.7,9.8,11.0,12.2,13.5,14.8,16.2,17.7,19.3,20.9,22.6,24.3,26.2,28.0
BERW,0.0,0.1,0.1,0.2,0.2,0.3,0.5,0.6,0.8,0.9,1.1,1.3,1.6,1.8,2.1,2.4,2.7,3.1,3.4,3.8,4.2,4.6,5.1,5.5,6.0,6.5,7.1,7.6,8.2,8.8
BESW_1,0.2,0.3,0.5,0.7,1.0,1.5,2.0,2.6,3.3,4.0,4.9,5.9,6.9,8.0,9.2,10.5,11.9,13.4,15.0,16.6,18.4,20.2,22.2,24.2,26.4,28.6,30.9,33.3,35.8,38.3
BICF_1,0.2,0.3,0.5,0.7,1.0,1.4,1.9,2.5,3.1,3.8,4.7,5.6,6.6,7.6,8.8,10.0,11.3,12.7,14.2,15.8,17.5,19.2,21.1,23.0,25.1,27.2,29.3,31.6,34.0,36.4
BIRK_1,0.1,0.2,0.2,0.4,0.5,0.7,1.0,1.3,1.6,2.0,2.4,2.9,3.4,4.0,4.6,5.2,5.9,6.6,7.4,8.2,9.1,10.0,11.0,12.0,13.1,14.2,15.3,16.5,17.7,19.0
BISW_1,0.8,1.4,2.2,3.2,4.6,6.5,8.8,11.5,14.5,17.8,21.6,25.8,30.4,35.4,40.8,46.5,52.7,59.2,66.1,73.4,81.2,89.4,98.0,107.0,116.4,126.1,136.3,146.9,157.8,169.2
BLYTB1,0.2,0.4,0.6,0.8,1.1,1.6,2.2,2.9,3.6,4.4,5.4,6.4,7.6,8.8,10.1,11.6,13.1,14.7,16.4,18.2,20.2,22.2,24.4,26.6,28.9,31.3,33.9,36.5,39.2,42.1
BLYTH132,0.1,0.1,0.2,0.2,0.3,0.5,0.6,0.8,1.0,1.3,1.5,1.8,2.2,2.5,2.9,3.3,3.7,4.2,4.7,5.2,5.8,6.4,7.0,7.6,8.3,9.0,9.7,10.4,11.2,12.0
BOAG_P,0.0,0.0,0.1,0.1,0.1,0.2,0.2,0.3,0.4,0.5,0.5,0.7,0.8,0.9,1.0,1.2,1.3,1.5,1.7,1.9,2.1,2.3,2.5,2.7,3.0,3.2,3.5,3.7,4.0,4.3
BOLN_1,0.5,0.9,1.5,2.1,3.0,4.3,5.8,7.6,9.5,11.8,14.3,17.0,20.1,23.4,26.9,30.7,34.7,39.0,43.6,48.4,53.6,59.0,64.6,70.6,76.7,83.2,89.9,96.9,104.1,111.6
BONN,0.0,0.1,0.1,0.1,0.2,0.2,0.3,0.4,0.5,0.7,0.8,1.0,1.1,1.3,1.5,1.7,2.0,2.2,2.5,2.8,3.1,3.4,3.7,4.0,4.4,4.7,5.1,5.5,5.9,6.4
BOTW_1,0.1,0.2,0.4,0.5,0.7,1.0,1.4,1.8,2.3,2.8,3.4,4.1,4.9,5.6,6.5,7.4,8.4,9.4,10.5,11.7,12.9,14.2,15.6,17.0,18.5,20.1,21.7,23.4,25.1,27.0
