GSP,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
ABHA1,,0.0,0.0,0.0,0.0,0.9,2.0,4.3,8.7,16.1,28.5,47.9,75.8,115.0,165.4,225.2,290.3,353.7,410.8,457.8,486.2,501.1,504.5,497.5,481.7,463.3,442.0,417.6,389.7,358.0,322.1
ABNE_P,,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.2,0.5,0.8,1.4,2.1,3.2,4.7,6.4,8.2,10.0,11.6,12.9,13.7,14.1,14.2,14.0,13.6,13.1,12.5,11.8,11.0,10.1,9.1
ABTH_1,,0.0,0.0,0.0,0.0,0.3,0.8,1.7,3.4,6.4,11.3,19.0,30.1,45.7,65.7,89.4,115.3,140.4,163.1,181.8,193.0,199.0,200.3,197.5,191.3,184.0,175.5,165.8,154.7,142.1,127.9
ACTL_2,,0.0,0.0,0.0,0.0,0.1,0.2,0.5,1.0,1.8,3.2,5.4,8.5,13.0,18.7,25.4,32.7,39.9,46.3,51.6,54.8,56.5,56.9,56.1,54.3,52.3,49.9,47.1,44.0,40.4,36.3
ACTL_C,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ALNE_P,,0.0,0.0,0.0,0.0,0.0,0.1,0.2,0.3,0.6,1.1,1.9,3.0,4.5,6.5,8.9,11.5,14.0,16.2,18.1,19.2,19.8,19.9,19.7,19.0,18.3,17.5,16.5,15.4,14.2,12.7
ALST_3,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ALVE1,,0.0,0.0,0.0,0.0,0.5,1.1,2.4,4.8,8.9,15.8,26.5,42.0,63.8,91.7,124.9,161.0,196.1,227.8,253.9,269.6,277.9,279.7,275.9,267.1,256.9,245.1,231.6,216.1,198.5,178.6
AMEM_1,,0.0,0.0,0.0,0.0,0.5,1.2,2.6,5.3,9.8,17.4,29.3,46.3,70.3,101.1,137.6,177.4,216.2,251.1,279.8,297.2,306.3,308.3,304.1,294.4,283.2,270.2,255.2,238.2,218.8,196.9
ARBR_P,,0.0,0.0,0.0,0.0,0.1,0.2,0.3,0.7,1.3,2.2,3.7,5.9,9.0,12.9,17.6,22.7,27.6,32.1,35.8,38.0,39.1,39.4,38.9,37.6,36.2,34.5,32.6,30.4,28.0,25.2
ARDK_P,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.2,0.3,0.5,0.7,1.0,1.4,1.8,2.2,2.6,2.9,3.0,3.1,3.1,3.1,3.0,2.9,2.8,2.6,2.4,2.2,2.0
ARMO_P,,0.0,0.0,0.0,0.0,0.0,0.1,0.3,0.5,1.0,1.7,2.9,4.6,7.0,10.0,13.7,17.6,21.5,24.9,27.8,29.5,30.4,30.6,30.2,29.2,28.1,26.8,25.3,23.6,21.7,19.5
AXMI1,,0.0,0.0,0.0,0.0,0.4,1.0,2.1,4.3,7.9,14.1,23.6,37.4,56.8,81.7,111.2,143.3,174.6,202.8,226.1,240.1,247.4,249.1,245.6,237.8,228.8,218.3,206.2,192.4,176.7,159.1
AYRR,,0.0,0.0,0.0,0.0,0.1,0.3,0.6,1.2,2.3,4.1,6.9,10.9,16.5,23.7,32.3,41.7,50.8,59.0,65.7,69.8,71.9,72.4,71.4,69.2,66.5,63.5,59.9,55.9,51.4,46.2
BAGA,,0.0,0.0,0.0,0.0,0.1,0.3,0.7,1.4,2.5,4.5,7.5,11.9,18.0,25.9,35.2,45.4,55.3,64.3,71.6,76.1,78.4,78.9,77.8,75.4,72.5,69.1,65.3,61.0,56.0,50.4
BAIN,,0.0,0.0,0.0,0.0,0.1,0.3,0.6,1.3,2.3,4.1,6.9,11.0,16.7,24.0,32.6,42.1,51.3,59.5,66.3,70.5,72.6,73.1,72.1,69.8,67.1,64.1,60.5,56.5,51.9,46.7
BARKC1,,0.0,0.0,0.0,0.0,0.3,0.7,1.4,2.9,5.4,9.5,16.0,25.3,38.4,55.2,75.1,96.8,118.0,137.0,152.7,162.1,167.1,168.2,165.9,160.6,154.5,147.4,139.3,129.9,119.4,107.4
BARKW3,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BEAU_P,,0.0,0.0,0.0,0.0,0.1,0.1,0.3,0.6,1.0,1.8,3.1,4.9,7.4,10.7,14.5,18.7,22.8,26.5,29.6,31.4,32.4,32.6,32.1,31.1,29.9,28.5,27.0,25.2,23.1,20.8
BEDDT1,,0.0,0.0,0.0,0.0,0.5,1.1,2.2,4.5,8.3,14.8,24.8,39.3,59.6,85.7,116.6,150.4,183.2,212.8,237.2,251.9,259.6,261.3,257.7,249.5,240.0,229.0,216.3,201.8,185.4,166.9
BEDD_1,,0.0,0.0,0.0,0.0,1.1,2.8,6.2,12.4,23.0,40.8,68.5,108.5,164.7,236.8,322.4,415.6,506.4,588.2,655.5,696.1,717.5,722.3,712.3,689.7,663.4,632.9,597.9,557.9,512.5,461.2
BERB_P,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BERW,,0.0,0.0,0.0,0.0,0.0,0.1,0.2,0.4,0.8,1.5,2.5,3.9,5.9,8.5,11.6,14.9,18.2,21.1,23.5,25.0,25.7,25.9,25.5,24.7,23.8,22.7,21.4,20.0,18.4,16.5
BESW_1,,0.0,0.0,0.0,0.0,0.7,1.6,3.4,7.0,12.9,22.8,38.4,60.8,92.2,132.6,180.5,232.7,283.5,329.3,367.0,389.7,401.6,404.3,398.8,386.1,371.4,354.3,334.7,312.3,286.9,258.2
BICF_1,,0.0,0.0,0.0,0.0,0.3,0.7,1.5,3.0,5.6,9.9,16.6,26.2,39.8,57.2,77.9,100.5,122.4,142.2,158.4,168.3,173.4,174.6,172.2,166.7,160.3,153.0,144.5,134.9,123.9,111.5
BIRK_1,,0.0,0.0,0.0,0.0,0.5,1.3,2.8,5.6,10.4,18.4,30.9,49.0,74.3,106.9,145.5,187.6,228.6,265.5,295.9,314.2,323.8,326.0,321.5,311.3,299.4,285.7,269.9,251.8,231.3,208.2
BISW_1,,0.0,0.0,0.0,0.0,1.3,2.9,6.2,12.6,23.3,41.2,69.2,109.6,166.4,239.3,325.7,419.9,511.6,594.2,662.2,703.2,724.8,729.6,719.6,696.7,670.1,639.3,604.0,563.6,517.7,465.9
BLYTB1,,0.0,0.0,0.0,0.0,0.3,0.7,1.4,2.9,5.3,9.4,15.9,25.1,38.1,54.8,74.6,96.2,117.2,136.1,151.7,161.1,166.0,167.1,164.8,159.6,153.5,146.5,138.4,129.1,118.6,106.7
BLYTH132,,0.0,0.0,0.0,0.0,0.1,0.2,0.5,1.0,1.9,3.3,5.5,8.8,13.3,19.1,26.1,33.6,40.9,47.5,53.0,56.3,58.0,58.4,57.6,55.8,53.6,51.2,48.3,45.1,41.4,37.3
BOAG_P,,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.2,0.4,0.8,1.3,2.0,3.1,4.4,6.0,7.8,9.5,11.0,12.3,13.1,13.5,13.5,13.4,12.9,12.4,11.9,11.2,10.5,9.6,8.7
BOLN_1,,0.0,0.0,0.0,0.0,1.7,3.9,8.3,16.8,31.2,55.1,92.6,146.7,222.6,320.1,435.8,561.8,684.6,795.1,886.1,941.0,969.8,976.3,962.8,932.3,896.7,855.5,808.2,754.1,692.8,623.4
BONN,,0.0,0.0,0.0,0.0,0.1,0.2,0.4,0.8,1.5,2.7,4.6,7.3,11.1,15.9,21.7,27.9,34.0,39.5,44.0,46.8,48.2,48.5,47.9,46.3,44.6,42.5,40.2,37.5,34.4,31.0
BOTW_1,,0.0,0.0,0.0,0.0,0.3,0.8,1.8,3.6,6.8,11.9,20.1,31.8,48.3,69.4,94.4,121.8,148.4,172.3,192.0,203.9,210.2,211.6,208.7,202.1,194.3,185.4,175.2,163.4,150.1,135.1
BRAC_P,,0.0,0.0,0.0,0.0,0.1,0.2,0.4,0.9,1.6,2.8,4.7,7.5,11.4,16.4,22.3,28.8,35.1,40.7,45.4,48.2,49.7,50.0,49.3,47.8,46.0,43.8,41.4,38.6,35.5,31.9
BRAI_1,,0.0,0.0,0.0,0.0,0.7,1.7,3.7,7.5,13.9,24.5,41.2,65.3,99.1,142.5,194.0,250.1,304.7,353.9,394.4,418.8,431.7,434.6,428.6,415.0,399.1,380.8,359.7,335.7,308.4,277.5
