GSP,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,Comment
BRED_1,4752.2,4824.5,4896.7,4968.8,5041.1,5113.2,5185.4,5257.6,5329.8,5401.9,5474.1,5546.4,5618.6,5690.7,5762.9,5834.9,5906.8,5979.0,6051.2,6123.4,6195.8,6268.2,6340.4,6412.6,6484.8,6557.0,6629.2,6701.3,6773.5,6845.7,
CARR_1,5099.9,5177.5,5255.0,5332.4,5409.9,5487.4,5564.8,5642.3,5719.8,5797.2,5874.7,5952.2,6029.7,6107.1,6184.6,6261.8,6339.1,6416.5,6494.0,6571.5,6649.2,6726.8,6804.3,6881.8,6959.3,7036.8,7114.2,7191.7,7269.1,7346.6,
HARK_1,7249.5,7359.7,7469.8,7579.9,7690.1,7800.2,7910.4,8020.4,8130.6,8240.7,8350.8,8461.0,8571.0,8681.2,8791.3,8901.1,9010.9,9121.0,9231.1,9341.2,9451.7,9562.1,9672.3,9782.4,9892.5,10002.7,10112.7,10222.9,10333.0,10443.1,
HEYS1,94.5,95.9,97.3,98.8,100.2,101.6,103.1,104.5,105.9,107.3,108.8,110.2,111.6,113.1,114.5,115.9,117.4,118.8,120.2,121.7,123.2,124.6,126.0,127.4,128.9,130.3,131.7,133.2,134.6,136.0,
HEYS_1,1523.5,1546.6,1569.8,1592.9,1616.1,1639.2,1662.4,1685.5,1708.6,1731.8,1754.9,1778.1,1801.2,1824.3,1847.5,1870.6,1893.6,1916.8,1939.9,1963.0,1986.3,2009.5,2032.6,2055.8,2078.9,2102.1,2125.2,2148.3,2171.5,2194.7,
HUTT_1,3698.3,3754.5,3810.7,3866.9,3923.1,3979.3,4035.4,4091.6,4147.8,4204.0,4260.1,4316.3,4372.5,4428.7,4484.9,4540.9,4596.9,4653.1,4709.3,4765.4,4821.7,4878.1,4934.3,4990.5,5046.7,5102.8,5159.0,5215.2,5271.4,5327.6,
KEAR_1,7968.0,8089.1,8210.2,8331.2,8452.2,8573.3,8694.3,8815.3,8936.4,9057.4,9178.5,9299.5,9420.5,9541.6,9662.6,9783.3,9904.0,10025.0,10146.0,10267.0,10388.4,10509.8,10630.9,10751.9,10872.9,10994.0,11115.1,11236.1,11357.1,11478.2,
KEAR_3,1608.3,1632.7,1657.2,1681.6,1706.0,1730.5,1754.9,1779.3,1803.7,1828.2,1852.6,1877.0,1901.5,1925.9,1950.3,1974.7,1999.1,2023.5,2047.9,2072.3,2096.8,2121.4,2145.8,2170.2,2194.7,2219.0,2243.5,2267.9,2292.3,2316.8,
KIBY_G,596.3,605.4,614.5,623.5,632.6,641.7,650.7,659.8,668.8,677.9,686.9,696.0,705.1,714.2,723.2,732.2,741.2,750.3,759.3,768.4,777.5,786.6,795.6,804.7,813.8,822.8,831.9,841.0,850.0,859.0,
MACC_3,1941.1,1970.6,2000.1,2029.5,2059.1,2088.5,2118.0,2147.5,2177.0,2206.5,2236.0,2265.4,2294.9,2324.4,2353.9,2383.3,2412.7,2442.1,2471.7,2501.1,2530.7,2560.3,2589.7,2619.3,2648.7,2678.2,2707.7,2737.2,2766.7,2796.1,
ORMO,289.3,293.7,298.0,302.4,306.8,311.2,315.6,320.0,324.4,328.8,333.2,337.6,342.0,346.4,350.8,355.2,359.5,363.9,368.3,372.7,377.1,381.5,385.9,390.3,394.7,399.1,403.5,407.9,412.3,416.7,
PADIB1,4040.8,4102.3,4163.7,4225.1,4286.5,4347.8,4409.2,4470.6,4532.0,4593.4,4654.7,4716.1,4777.5,4838.9,4900.3,4961.5,5022.7,5084.0,5145.4,5206.8,5268.4,5329.9,5391.3,5452.7,5514.1,5575.4,5636.8,5698.3,5759.6,5821.0,
PENE_1,6784.2,6887.4,6990.5,7093.5,7196.6,7299.6,7402.6,7505.7,7608.8,7711.8,7814.9,7917.9,8021.0,8124.0,8227.1,8329.9,8432.6,8535.6,8638.7,8741.7,8845.1,8948.5,9051.5,9154.6,9257.6,9360.7,9463.7,9566.8,9669.8,9772.9,
PENW_1,4627.2,4697.5,4767.8,4838.1,4908.4,4978.7,5049.0,5119.2,5189.5,5259.8,5330.1,5400.4,5470.7,5540.9,5611.2,5681.3,5751.4,5821.7,5892.0,5962.3,6032.7,6103.2,6173.6,6243.8,6314.1,6384.4,6454.7,6525.0,6595.3,6665.6,
RRIG,150.7,153.0,155.3,157.5,159.8,162.1,164.4,166.7,169.0,171.3,173.6,175.9,178.2,180.5,182.7,185.0,187.3,189.6,191.9,194.2,196.5,198.8,201.1,203.3,205.7,207.9,210.3,212.5,214.8,217.1,
ROCH_1,4251.8,4316.4,4381.1,4445.6,4510.2,4574.8,4639.4,4704.0,4768.5,4833.1,4897.7,4962.3,5026.9,5091.5,5156.1,5220.5,5284.9,5349.5,5414.0,5478.6,5543.4,5608.2,5672.7,5737.4,5801.9,5866.5,5931.1,5995.7,6060.3,6124.9,
SMAN_1,5686.7,5773.2,5859.6,5945.9,6032.3,6118.7,6205.1,6291.5,6377.8,6464.2,6550.6,6637.0,6723.4,6809.8,6896.1,6982.3,7068.4,7154.8,7241.1,7327.5,7414.2,7500.8,7587.2,7673.6,7760.0,7846.4,7932.8,8019.1,8105.5,8191.9,
STAL_1,5668.0,5754.2,5840.2,5926.4,6012.4,6098.6,6184.7,6270.7,6356.8,6443.0,6529.1,6615.1,6701.2,6787.4,6873.5,6959.3,7045.1,7131.2,7217.3,7303.4,7389.7,7476.1,7562.2,7648.4,7734.4,7820.5,7906.6,7992.7,8078.8,8164.9,
STAH_1,2303.0,2338.0,2373.0,2408.0,2443.0,2477.9,2512.9,2547.9,2582.9,2617.9,2652.8,2687.8,2722.8,2757.8,2792.8,2827.6,2862.5,2897.5,2932.5,2967.4,3002.5,3037.6,3072.6,3107.6,3142.6,3177.6,3212.5,3247.5,3282.5,3317.5,
WABO,628.4,637.9,647.5,657.1,666.6,676.1,685.7,695.3,704.8,714.3,723.9,733.4,743.0,752.5,762.1,771.6,781.1,790.6,800.2,809.7,819.3,828.9,838.4,848.0,857.5,867.1,876.6,886.1,895.7,905.2,
WASF_1,2530.4,2568.8,2607.3,2645.7,2684.2,2722.6,2761.0,2799.4,2837.9,2876.3,2914.8,2953.2,2991.6,3030.1,3068.5,3106.9,3145.2,3183.6,3222.0,3260.5,3299.0,3337.6,3376.0,3414.5,3452.9,3491.3,3529.8,3568.2,3606.6,3645.1,
WHGA_1,4398.6,4465.5,4532.3,4599.1,4665.9,4732.8,4799.6,4866.4,4933.2,5000.0,5066.8,5133.7,5200.5,5267.3,5334.1,5400.7,5467.3,5534.1,5601.0,5667.8,5734.8,5801.8,5868.6,5935.5,6002.3,6069.1,6135.9,6202.7,6269.5,6336.4,
BLYTH132,1007.4,1022.7,1038.0,1053.3,1068.6,1083.9,1099.2,1114.5,1129.8,1145.1,1160.4,1175.7,1191.0,1206.4,1221.6,1236.9,1252.1,1267.4,1282.8,1298.0,1313.4,1328.8,1344.0,1359.4,1374.7,1390.0,1405.3,1420.6,1435.9,1451.2,
BLYTB1,7777.7,7896.0,8014.2,8132.3,8250.4,8368.5,8486.7,8604.9,8723.0,8841.1,8959.3,9077.4,9195.6,9313.7,9431.9,9549.7,9667.5,9785.6,9903.8,10021.9,10140.4,10258.8,10377.1,10495.2,10613.3,10731.5,10849.6,10967.7,11085.9,11204.1,
BRAW_1,6910.3,7015.4,7120.4,7225.4,7330.3,7435.3,7540.3,7645.2,7750.2,7855.2,7960.2,8065.1,8170.1,8275.0,8380.1,8484.7,8589.3,8694.3,8799.3,8904.2,9009.5,9114.8,9219.8,9324.7,9429.7,9534.7,9639.7,9744.6,9849.6,9954.6,
CAMB_01,587.4,596.3,605.3,614.1,623.1,632.0,640.9,649.9,658.8,667.7,676.6,685.6,694.5,703.4,712.3,721.2,730.1,739.1,748.0,756.9,765.8,774.8,783.7,792.6,801.6,810.5,819.4,828.3,837.3,846.1,
