GSP,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
ABHA1,6.6,11.0,16.3,21.8,28.4,33.3,44.0,55.0,66.6,78.3,84.9,95.4,105.8,116.1,126.3,130.5,140.2,150.1,159.9,169.0,172.3,176.6,180.5,183.7,186.5,187.9,190.7,193.4,196.3,199.4
ABNE_P,0.4,0.6,0.9,1.2,1.5,2.1,2.8,3.5,4.3,5.0,6.1,6.9,7.6,8.3,9.1,9.7,10.4,11.1,11.9,12.5,13.2,13.5,13.8,14.1,14.3,14.4,14.6,14.8,15.0,15.2
ABTH_1,2.8,4.6,6.9,9.2,12.0,18.0,23.7,29.7,35.9,42.2,52.4,58.9,65.3,71.7,78.0,87.8,94.3,101.0,107.6,113.7,121.3,124.3,127.1,129.3,131.3,133.0,134.9,136.9,139.0,141.1
ACTL_2;CBNK_H;GREE_H;PERI_H,2.1,3.5,5.1,6.9,9.0,11.600000000000001,15.3,19.099999999999998,23.1,27.1,30.0,33.7,37.3,41.0,44.5,47.199999999999996,50.7,54.3,57.89999999999999,61.2,63.099999999999994,64.7,66.1,67.4,68.30000000000001,69.8,70.8,71.9,72.9,74.1
ACTL_C;WISD_1;WISD_6,5.6,9.5,13.899999999999999,18.599999999999998,24.299999999999997,31.200000000000003,41.3,51.699999999999996,62.6,73.5,81.0,90.89999999999999,100.8,110.6,120.4,127.5,137.0,146.8,156.3,165.2,170.39999999999998,174.7,178.6,181.7,184.5,188.5,191.1,194.0,196.79999999999998,200.0
ALNE_P,0.3,0.4,0.6,0.9,1.1,1.2,1.6,2.0,2.4,2.8,3.0,3.4,3.8,4.2,4.5,4.4,4.7,5.1,5.4,5.7,5.9,6.1,6.2,6.3,6.4,6.5,6.6,6.7,6.8,6.9
ALST_3;USKM_1,2.7,4.3999999999999995,6.5,8.7,11.399999999999999,17.1,22.5,28.099999999999998,34.1,40.1,49.800000000000004,55.8,61.9,68.0,74.0,83.19999999999999,89.4,95.80000000000001,102.1,107.9,115.1,118.0,120.5,122.69999999999999,124.60000000000001,126.2,128.0,129.8,131.8,134.0
ALVE1,3.6,6.0,8.9,11.9,15.5,18.2,24.1,30.1,36.4,42.8,46.4,52.1,57.8,63.5,69.1,71.3,76.6,82.1,87.4,92.4,94.2,96.6,98.7,100.5,102.0,102.8,104.2,105.7,107.4,109.0
AMEM_1,3.3,5.5,8.1,10.8,14.1,18.1,23.9,29.9,36.2,42.6,47.1,52.9,58.7,64.4,70.1,74.2,79.7,85.3,90.9,96.1,99.0,101.5,103.7,105.6,107.2,109.1,110.7,112.3,114.0,115.8
ARBR_P,0.6,1.0,1.4,1.9,2.5,3.5,4.6,5.7,6.9,8.1,9.9,11.1,12.3,13.5,14.7,15.7,16.9,18.0,19.2,20.3,21.4,21.9,22.4,22.8,23.1,23.3,23.6,24.0,24.3,24.7
