GSP,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
ABHA1,548.5,529.4,514.4,505.9,496.2,492.5,489.1,489.8,489.3,489.1,488.4,490.9,497.8,503.8,511.4,513.8,518.1,520.6,516.9,506.0,497.0,486.3,476.5,471.0,467.2,466.9,468.3,471.3,472.3,472.6
ABNE_P,92.8,89.3,86.7,85.2,83.3,82.4,81.5,81.4,81.3,81.5,82.2,83.1,84.8,86.3,88.3,92.4,94.2,95.6,95.8,94.7,97.3,96.3,95.1,94.6,94.3,96.9,97.5,98.4,99.0,99.0
ABTH_1,410.8,396.6,385.5,379.3,372.1,369.0,366.4,367.0,366.7,366.6,366.0,367.9,373.1,377.6,383.4,384.7,387.8,389.7,387.0,378.8,372.1,364.1,356.7,352.6,349.8,349.6,350.6,352.8,353.6,353.8
ACTL_2;CBNK_H;GREE_H;PERI_H,261.7,253.2,246.70000000000002,243.4,239.5,238.0,236.4,237.39999999999998,237.8,238.5,238.20000000000002,240.3,244.29999999999998,247.9,253.3,254.1,257.5,259.9,259.0,254.39999999999998,248.7,244.1,239.70000000000002,237.20000000000002,235.60000000000002,234.7,235.60000000000002,237.4,238.2,238.2
ACTL_C;WISD_1;WISD_6,798.7,772.5,752.6,742.2,729.8,724.9,720.7,723.2,724.1,726.0,725.1,730.8,743.1,753.6999999999999,769.2,771.8,781.4,788.1000000000001,785.0999999999999,771.0,753.8,739.3000000000001,725.6,718.3,713.2,710.9000000000001,713.5,718.5,720.9000000000001,721.2
ALNE_P,78.3,75.3,73.2,71.9,70.4,69.7,68.9,68.9,68.9,69.1,69.8,70.6,72.1,73.4,75.3,79.1,80.8,82.1,82.3,81.5,84.1,83.3,82.3,82.0,81.7,84.1,84.7,85.5,86.0,86.0
ALST_3;USKM_1,517.6,499.6,485.5,477.5,468.4,464.5,461.4,462.0,461.5,461.29999999999995,460.4,462.7,469.2,474.8,481.90000000000003,483.5,487.20000000000005,489.5,486.0,475.59999999999997,466.90000000000003,456.70000000000005,447.40000000000003,442.20000000000005,438.6,438.4,439.6,442.40000000000003,443.40000000000003,443.6
ALVE1,505.2,487.6,473.7,466.0,457.0,453.6,450.4,451.1,450.6,450.5,449.8,452.0,458.4,463.9,470.9,473.1,477.0,479.3,475.9,465.8,457.6,447.7,438.6,433.6,430.1,429.9,431.1,433.8,434.8,435.0
AMEM_1,146.8,143.1,140.7,140.1,139.0,138.7,138.3,139.8,141.0,142.8,143.3,145.8,149.5,153.0,158.8,159.9,164.3,167.9,169.1,167.8,163.6,161.9,159.9,159.1,158.4,156.8,157.8,159.4,160.4,160.5
ARBR_P,84.7,81.3,78.7,77.1,75.2,74.2,73.3,73.1,72.8,72.8,72.7,73.2,74.5,75.5,76.7,77.3,77.9,78.3,77.8,76.3,75.3,73.8,72.5,71.8,71.3,71.6,71.8,72.2,72.4,72.4
ARDK_P;CLAC_P,9.5,9.1,8.9,8.7,8.5,8.4,8.3,8.3,8.3,8.3,8.4,8.5,8.6,8.8,9.0,9.3,9.5,9.6,9.6,9.5,9.6,9.5,9.4,9.3,9.3,9.5,9.5,9.6,9.7,9.7
