GSP,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,Comment
Abham,20.9,20.9,20.9,20.9,20.9,20.9,20.9,20.9,20.9,20.9,20.9,20.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
City Road,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Direct(NGET),41.8,41.8,41.8,41.8,41.8,41.8,41.8,41.8,41.8,41.8,41.8,41.8,41.8,41.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Direct(NGET),921.8,921.8,1394.8,1444.8,1444.8,1444.8,1444.8,1444.8,35.8,35.8,35.8,35.8,35.8,35.8,35.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Direct(SPTL),136.0,136.0,136.0,136.0,136.0,136.0,136.0,136.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Exeter,20.9,20.9,20.9,20.9,20.9,20.9,20.9,20.9,20.9,20.9,20.9,20.9,20.9,20.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Fawley,158.0,158.0,158.0,158.0,158.0,158.0,158.0,158.0,158.0,158.0,158.0,158.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Landulph,40.6,40.6,40.6,40.6,40.6,40.6,40.6,40.6,40.6,40.6,40.6,40.6,40.6,40.6,40.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Ratcliffe,41.8,41.8,41.8,41.8,41.8,41.8,41.8,41.8,41.8,41.8,41.8,41.8,41.8,41.8,41.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Direct(NGET),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Willington,162.0,162.0,162.0,162.0,162.0,162.0,162.0,162.0,162.0,162.0,162.0,162.0,162.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Abham,2.576002373,2.550312787,2.524520349,2.490198999,2.458623368,2.421556311,2.378654624,2.335752938,2.292842186,2.136863959,1.949693519,1.715726178,1.403786884,0.935852202,,,,,,,,,,,,,,,,,
Berkswell,8.575122995,8.489606244,8.40374711,8.28949652,8.184386009,8.060995373,7.918182135,7.775368898,7.632525484,7.113297514,6.490235375,5.71139342,4.672994605,3.115310695,,,,,,,,,,,,,,,,,
Birkenhead,10.84227259,10.73414634,10.62558718,10.48113024,10.34822989,10.1922164,10.01164522,9.831074045,9.650464713,8.993959705,8.206168141,7.221410629,5.908472842,3.938957819,,,,,,,,,,,,,,,,,
Bishops Wood,3.65800038,3.621520401,3.584894367,3.536157025,3.491318684,3.438682355,3.377760677,3.316839,3.25590445,3.034410704,2.768623083,2.436382465,1.993419342,1.328938105,,,,,,,,,,,,,,,,,
Bonnybridge,0.667529766,0.660872721,0.654189024,0.645295196,0.637112877,0.627507542,0.616390257,0.605272972,0.594153338,0.553734078,0.505231855,0.444602966,0.363768893,0.242511113,,,,,,,,,,,,,,,,,
Bradford West,13.83109196,13.69315924,13.55467428,13.37039582,13.2008597,13.00183897,12.7714909,12.54114283,12.31074609,11.47326658,10.46830959,9.21209033,7.537223449,5.02478492,,,,,,,,,,,,,,,,,
Bramley,1.25103613,1.238559977,1.226033873,1.209365702,1.19403099,1.176029365,1.155194152,1.134358938,1.113519322,1.037768461,0.946869094,0.833242803,0.681749415,0.454496832,,,,,,,,,,,,,,,,,
Bredbury,4.821822079,4.773735707,4.725456811,4.661213299,4.602109286,4.532726293,4.452421903,4.372117514,4.291796155,3.999832426,3.649482375,3.21153678,2.627641443,1.751750255,,,,,,,,,,,,,,,,,
Bridge of Dun,1.140093458,1.128723698,1.117308417,1.10211839,1.08814357,1.071738341,1.052750807,1.033763273,1.014771727,0.9457385,0.862900147,0.759350306,0.621291448,0.414191767,,,,,,,,,,,,,,,,,
Bridgewater,2.029227579,2.008990791,1.98867298,1.961636581,1.936763101,1.90756379,1.873768292,1.839972793,1.806170153,1.683299412,1.535857226,1.351551115,1.105823151,0.737210928,,,,,,,,,,,,,,,,,
Camblesforth,9.703327323,9.606559378,9.509404004,9.380121792,9.261182193,9.121557404,8.959954639,8.798351874,8.636714962,8.049173657,7.34413702,6.462825064,5.287807097,3.525183184,,,,,,,,,,,,,,,,,
Capenhurst,2.026593008,2.006382493,1.986091062,1.959089764,1.934248578,1.905087177,1.871335555,1.837583934,1.80382518,1.681113964,1.533863204,1.349796379,1.104387447,0.736253798,,,,,,,,,,,,,,,,,
Carntyne,0.953613952,0.944103888,0.934555749,0.92185028,0.910161252,0.896439346,0.88055751,0.864675675,0.848790483,0.791048683,0.721759794,0.635147094,0.519669847,0.346444447,,,,,,,,,,,,,,,,,
Carrington,49.57553146,49.08113174,48.5847526,47.92423336,47.31655585,46.60319507,45.77754602,44.95189698,44.12607346,41.12425033,37.52212863,33.01939393,27.01607793,18.01060853,,,,,,,,,,,,,,,,,
Charleston,3.915973182,3.876920529,3.837711521,3.78553708,3.737536609,3.681188214,3.615970163,3.550752112,3.48552028,3.248406153,2.963874418,2.608203227,2.134001059,1.422658677,,,,,,,,,,,,,,,,,
Chesterfield,5.895156401,5.836366035,5.77734029,5.698796215,5.62653569,5.54170809,5.443527997,5.345347904,5.247147066,4.890192409,4.461854674,3.926422688,3.212552645,2.141688673,,,,,,,,,,,,,,,,,
Connah's Quay,15.72636174,15.56952815,15.41206664,15.20253657,15.00976897,14.78347649,14.52156391,14.25965132,13.9976834,13.04544436,11.90277846,10.4744199,8.57004659,5.713329471,,,,,,,,,,,,,,,,,
Coventry,2.652050275,2.62560229,2.599048416,2.563713843,2.531206046,2.493044707,2.448876491,2.404708275,2.360530726,2.199947761,2.007251735,1.766377287,1.445229023,0.963480126,,,,,,,,,,,,,,,,,
Creyke Beck,29.49599727,29.20184384,28.90651271,28.513523,28.15197258,27.72754369,27.23630656,26.74506942,26.25372849,24.46773115,22.32457366,19.64557766,16.07377949,10.71578749,,,,,,,,,,,,,,,,,
Cumbernauld,1.370820055,1.357149339,1.343423889,1.325159777,1.3083568,1.28863156,1.265801421,1.242971282,1.220136319,1.137132482,1.037529703,0.913023947,0.747025404,0.498013892,,,,,,,,,,,,,,,,,
Devonside,0.715210464,0.708077916,0.700916811,0.69138771,0.682620939,0.67232951,0.660418133,0.648506756,0.636592862,0.593286512,0.541319845,0.47636032,0.389752385,0.259833335,,,,,,,,,,,,,,,,,
Drax,7.773250807,7.695730851,7.617900529,7.514333677,7.419052203,7.307200004,7.17774144,7.048282875,6.918796956,6.448122746,5.883324052,5.177312737,4.236016102,2.823993473,,,,,,,,,,,,,,,,,
Dudhope,4.114250305,4.073220303,4.032026028,3.977209844,3.926778969,3.86757749,3.79905726,3.730537029,3.66200232,3.412882414,3.113944008,2.740264149,2.242051746,1.494692028,,,,,,,,,,,,,,,,,
East Claydon (_B),5.48700057,5.432280601,5.37734155,5.304235537,5.236978026,5.158023532,5.066641016,4.9752585,4.883856675,4.551616056,4.152934625,3.654573697,2.990129013,1.993407158,,,,,,,,,,,,,,,,,
Elland,50.3697026,49.86738288,49.36305204,48.69195166,48.07453951,47.34975111,46.51087564,45.67200018,44.83294746,41.78303687,38.12321127,33.54834539,27.44885976,18.29912799,,,,,,,,,,,,,,,,,
Enderby,2.926400304,2.89721632,2.867915493,2.82892562,2.793054947,2.750945884,2.702208542,2.6534712,2.60472356,2.427528563,2.214898466,1.949105972,1.594735474,1.063150484,,,,,,,,,,,,,,,,,
Exeter,8.227612959,8.145561806,8.063182145,7.953561602,7.852710735,7.734320549,7.597294871,7.460269193,7.323214561,6.825028497,6.227216182,5.479937086,4.483619767,2.989061575,,,,,,,,,,,,,,,,,
Feckenham,2.737724495,2.71042211,2.683010415,2.646534363,2.612976404,2.573582268,2.527987202,2.482392136,2.436787436,2.271016853,2.072095802,1.823439929,1.491917002,0.994605256,,,,,,,,,,,,,,,,,
Ferrybridge A,9.145000949,9.053801001,8.962235917,8.840392562,8.72829671,8.596705887,8.444401694,8.2920975,8.139761125,7.58602676,6.921557708,6.090956162,4.983548355,3.322345263,,,,,,,,,,,,,,,,,
