GSP,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
ABHA1,83.17334897,92.12746606,105.6075481,127.4061397,149.0869645,170.6500223,192.0953134,213.4228376,234.6325949,256.5487199,282.0748507,310.0753215,335.6412533,362.138531,381.6502098,393.3170052,399.7039206,404.746026,419.3316084,438.0465402,455.5193558,474.3442773,493.0367188,498.8937803,498.3704117,497.8387632,497.2988347,496.7506262,496.1941377,495.6293691
ABNE_P,14.7512,18.34953329,23.35104204,24.39571127,25.55440348,26.82711867,28.21385685,29.714618,31.32940214,32.26027439,34.33239448,36.68283598,39.08288038,41.69542868,44.07508263,46.10708012,47.8833228,49.61819339,52.06085238,54.90621043,57.78499165,60.89260373,64.120571,66.37817447,68.11674615,69.86284002,71.61645609,73.37759436,75.14625484,76.92243751
ABTH_1,60.60889603,67.13381247,76.95682553,78.2731656,79.58239414,80.88451117,82.17951666,83.46741064,84.74819309,86.07163059,87.6130636,89.30391329,90.84774975,92.4478269,93.62606838,94.33058501,94.71626831,95.02074327,95.90151515,97.03164388,98.0867656,99.22353622,100.3523068,100.7059941,100.6743898,100.6422854,100.609681,100.5765766,100.5429722,100.5088679
ACTL_2;CBNK_H;GREE_H;PERI_H,0.0,0.0,0.0,2.8720147,5.728513348,8.56949594,11.394962484,14.204912968,16.999347404,19.886847404,23.249973992,26.939100576,30.30747104,33.798548464,36.369257132,37.906384328,38.74787516,39.412184176,41.33386828,43.79960368,46.10168744,48.58191424,51.04468652,51.81636788,51.74741284,51.67736696,51.60623012,51.53400236,51.46068372,51.38627416
ACTL_C;WISD_1;WISD_6,0.0,0.0,0.0,2.154011025,4.296385011,6.427121955,8.546221863,10.653684726,12.749510553,14.915135553,17.437480494,20.204325432,22.73060328,25.348911348,27.276942849,28.429788246,29.060906369999998,29.559138131999998,31.00040121,32.84970276,34.57626558,36.43643568,38.28351489,38.86227591,38.81055963,38.75802522,38.70467259,38.650501770000005,38.59551279,38.53970562
ALNE_P,0.48576,0.604253843,0.768954538,1.815706942,2.976709699,4.25196281,5.641466275,7.145220094,8.763224267,9.695952767,11.77220487,14.12733338,16.5321637,19.14992167,21.53432089,23.57037038,25.35015506,27.08848515,29.53601504,32.38704702,35.27156881,38.38537776,41.61978192,43.88188727,45.62392582,47.37350158,49.13061453,50.89526469,52.66745204,54.44717659
ALST_3;USKM_1,41.98594099,46.505983,53.31073402,55.943414161,58.561871258000004,61.1661053,63.756116298,66.331904241,68.89346914000001,71.54034414,74.62321018,78.00490954,81.09258247,84.29273678,86.64921972,88.05825298,88.82961958,89.43856952,91.20011328,93.46037073999999,95.57061417999999,97.84415542,100.10169666,100.80907123,100.74586248,100.68165372,100.61644496,100.5502362,100.48302744,100.41481868
ALVE1,168.2201914,186.3301186,213.5939238,235.3925154,257.0733402,278.636398,300.0816891,321.4092133,342.6189706,364.5350956,390.0612264,418.0616972,443.627629,470.1249067,489.6365855,501.3033809,507.6902963,512.7324017,527.3179841,546.0329159,563.5057315,582.330653,601.0230945,606.880156,606.3567874,605.8251389,605.2852104,604.7370019,604.1805134,603.6157448
AMEM_1,35.47233432,39.29114694,45.04022383,45.91778388,46.79060291,47.65868092,48.52201792,49.3806139,50.23446887,51.11676053,52.14438255,53.27161567,54.30083998,55.36755808,56.1530524,56.62273015,56.87985235,57.08283566,57.67001691,58.42343607,59.12685055,59.88469763,60.63721137,60.8730029,60.85193331,60.83053039,60.80879414,60.78672455,60.76432163,60.74158538
ARBR_P,24.23438,30.14599236,38.36284683,38.36284683,38.36284683,38.36284683,38.36284683,38.36284683,38.36284683,38.36284683,38.36284683,38.36284683,38.36284683,38.36284683,38.36284683,38.36284683,38.36284683,38.36284683,38.36284683,38.36284683,38.36284683,38.36284683,38.36284683,38.36284683,38.36284683,38.36284683,38.36284683,38.36284683,38.36284683,38.36284683
