GSP,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
ABHA1,7.1,14.0,23.2,39.2,65.7,109.4,150.7,205.7,278.6,374.9,500.9,665.6,878.5,1150.4,1482.3,1839.1,2221.3,2627.6,3051.0,3488.3,3907.1,4291.9,4592.0,4664.9,4643.1,4613.2,4576.9,4533.7,4484.2,4421.7
ABNE_P,0.4,0.8,1.2,2.0,3.1,4.7,6.5,8.9,12.1,16.3,21.7,28.9,38.1,49.9,64.3,79.8,96.4,114.0,132.4,151.4,169.5,186.2,199.3,202.4,201.5,200.2,198.6,196.7,194.6,191.9
ABTH_1,2.4,4.7,7.6,12.4,20.4,33.2,45.7,62.4,84.5,113.7,152.0,201.9,266.5,349.0,449.7,558.0,673.9,797.2,925.6,1058.3,1185.4,1302.1,1393.2,1415.3,1408.6,1399.6,1388.6,1375.5,1360.5,1341.5
ACTL_2;CBNK_H;GREE_H;PERI_H,4.8,8.4,11.2,14.0,16.8,17.6,24.4,33.2,44.8,60.4,80.8,107.2,141.6,185.6,239.2,296.8,358.4,423.6,492.0,562.4,630.0,692.0,740.4,752.4,748.8,744.0,738.0,731.2,723.2,713.2
ACTL_C;WISD_1;WISD_6,19.799999999999997,33.599999999999994,44.099999999999994,53.699999999999996,58.5,51.900000000000006,71.69999999999999,97.80000000000001,132.60000000000002,178.2,238.20000000000002,316.5,417.90000000000003,547.2,705.0,874.5,1056.3000000000002,1249.5,1450.8000000000002,1658.6999999999998,1857.8999999999999,2040.8999999999999,2183.7,2218.2,2208.0,2193.8999999999996,2176.5,2156.1000000000004,2132.3999999999996,2102.7
ALNE_P,0.1,0.2,0.3,0.5,0.9,1.5,2.1,2.9,3.9,5.3,7.0,9.4,12.4,16.2,20.8,25.9,31.2,37.0,42.9,49.1,54.9,60.4,64.6,65.6,65.3,64.9,64.4,63.8,63.1,62.2
ALST_3;USKM_1,4.2,8.4,14.2,24.2,41.2,69.4,95.6,130.6,176.8,238.0,318.0,422.6,557.8,730.6,941.2,1167.8,1410.6,1668.6,1937.4,2215.0,2481.0,2725.2,2915.8,2962.2,2948.2,2929.4,2906.2,2878.8,2847.4,2807.8
ALVE1,9.4,17.9,28.4,45.8,73.5,117.6,161.9,221.0,299.4,402.8,538.3,715.3,944.0,1236.3,1592.9,1976.4,2387.1,2823.7,3278.6,3748.6,4198.7,4612.2,4934.7,5013.0,4989.6,4957.5,4918.5,4872.1,4818.9,4751.7
AMEM_1,3.6,6.3,9.0,12.4,16.7,21.9,30.2,41.2,55.8,75.1,100.3,133.3,175.9,230.4,296.8,368.3,444.8,526.1,610.9,698.5,782.3,859.4,919.5,934.1,929.7,923.7,916.5,907.8,897.9,885.4
ARBR_P,0.2,0.3,0.5,0.9,1.5,2.4,3.3,4.5,6.0,8.1,10.8,14.4,19.0,24.9,32.1,39.8,48.1,56.9,66.1,75.5,84.6,92.9,99.4,101.0,100.5,99.9,99.1,98.2,97.1,95.7
ARDK_P;CLAC_P,0.0,0.2,0.4,0.6,0.8,1.4,1.8,2.6,3.4,4.6,6.2,8.2,10.8,14.2,18.4,22.8,27.4,32.4,37.8,43.2,48.2,53.0,56.8,57.6,57.4,57.0,56.6,56.0,55.4,54.6
AXMI1,4.5,8.6,13.8,22.5,36.4,58.8,80.9,110.4,149.6,201.3,269.0,357.4,471.8,617.8,796.0,987.6,1192.9,1411.1,1638.4,1873.2,2098.2,2304.8,2466.0,2505.1,2493.4,2477.3,2457.9,2434.7,2408.1,2374.5
AYRR,0.1,0.3,0.4,0.7,1.2,2.0,2.8,3.8,5.2,7.0,9.3,12.4,16.3,21.4,27.5,34.2,41.3,48.8,56.7,64.8,72.6,79.8,85.3,86.7,86.3,85.7,85.1,84.2,83.3,82.2
BAGA,1.2,2.4,4.0,6.8,11.5,19.2,26.5,36.2,49.0,65.9,88.1,117.1,154.5,202.4,260.8,323.5,390.8,462.2,536.7,613.6,687.3,755.0,807.8,820.6,816.8,811.5,805.1,797.5,788.8,777.8
BAIN,0.4,0.8,1.3,2.2,3.8,6.3,8.7,11.9,16.1,21.6,28.9,38.4,50.6,66.3,85.4,106.0,128.0,151.4,175.8,201.0,225.2,247.4,264.7,268.8,267.6,265.9,263.8,261.3,258.4,254.8
BARKC1;BARKW3,9.6,17.0,24.4,34.4,47.4,63.6,87.6,119.6,162.2,218.2,291.6,387.4,511.2,669.6,862.8,1070.4,1292.8,1529.2,1775.6,2030.2,2274.0,2497.8,2672.6,2715.0,2702.2,2685.0,2663.8,2638.6,2609.8,2573.4
BEAU_P;ORRI_P,0.2,0.4,0.6,1.0,1.6,2.8,3.8,5.0,6.8,9.2,12.4,16.4,21.8,28.4,36.6,45.4,55.0,65.0,75.4,86.2,96.6,106.2,113.6,115.4,114.8,114.0,113.2,112.0,110.8,109.4
BEDDT1,5.1,9.0,12.8,17.9,24.4,32.4,44.6,60.9,82.5,111.0,148.3,197.0,260.0,340.5,438.8,544.4,657.5,777.8,903.1,1032.5,1156.5,1270.4,1359.2,1380.8,1374.3,1365.5,1354.7,1342.0,1327.3,1308.8
BEDD_1,17.7,32.0,46.8,67.7,96.4,135.7,186.9,255.1,345.5,465.0,621.3,825.6,1089.6,1426.9,1838.6,2281.2,2755.2,3259.2,3784.3,4326.7,4846.2,5323.4,5695.7,5786.1,5759.0,5722.0,5677.0,5623.4,5562.0,5484.5
BERB_P;CAIF_P;DALL_P;GLEF_P;KEIT_P,1.2,2.6999999999999997,4.2,7.0,12.0,20.0,27.4,37.4,50.89999999999999,68.3,91.39999999999999,121.4,160.4,210.1,270.6,335.5,405.19999999999993,479.6,556.7,636.5,712.9000000000001,783.0999999999999,837.8000000000001,851.3000000000001,847.4000000000001,841.7,835.0999999999999,827.4,818.1999999999999,806.9000000000001
BERW,0.5,0.9,1.4,2.3,3.8,6.1,8.4,11.4,15.5,20.8,27.8,36.9,48.8,63.9,82.3,102.1,123.3,145.8,169.3,193.6,216.9,238.2,254.9,258.9,257.7,256.1,254.0,251.6,248.9,245.4
BESW_1,16.6,29.6,42.3,59.1,80.5,107.2,147.6,201.4,272.9,367.2,490.7,652.0,860.5,1126.9,1452.0,1801.5,2175.9,2573.9,2988.6,3416.9,3827.2,4204.1,4498.1,4569.5,4548.1,4518.9,4483.3,4441.0,4392.5,4331.3
BICF_1,3.8,7.7,13.0,22.5,38.7,65.6,90.4,123.3,167.1,224.8,300.4,399.2,526.9,690.0,889.0,1103.0,1332.3,1575.9,1829.8,2092.1,2343.3,2574.1,2754.1,2797.8,2784.7,2766.8,2745.0,2719.1,2689.4,2652.0
BIRK_1,4.2,8.6,14.9,26.1,45.3,77.7,106.9,146.0,197.7,266.1,355.5,472.4,623.5,816.6,1052.1,1305.4,1576.7,1865.1,2165.6,2476.0,2773.3,3046.4,3259.4,3311.1,3295.6,3274.5,3248.7,3218.0,3182.9,3138.5
BISW_1,18.4,34.2,52.1,79.9,121.7,184.8,254.5,347.3,470.5,633.1,846.0,1124.1,1483.7,1943.0,2503.5,3106.1,3751.6,4437.8,5152.7,5891.3,6598.7,7248.5,7755.4,7878.5,7841.6,7791.2,7729.9,7657.0,7573.4,7467.8
BLYTB1,2.2,4.4,7.2,11.9,19.7,32.4,44.6,60.9,82.5,111.0,148.3,197.1,260.1,340.6,438.9,544.5,657.7,778.0,903.3,1032.8,1156.8,1270.7,1359.6,1381.2,1374.7,1365.9,1355.1,1342.4,1327.7,1309.2
BLYTH132,2.0,3.8,6.2,10.0,16.3,26.4,36.3,49.6,67.2,90.4,120.8,160.5,211.8,277.4,357.4,443.5,535.6,633.6,735.6,841.1,942.1,1034.8,1107.2,1124.8,1119.5,1112.3,1103.6,1093.2,1081.2,1066.2
BOAG_P,0.6,1.2,2.0,3.5,6.0,10.2,14.1,19.2,26.0,35.0,46.8,62.2,82.1,107.6,138.6,172.0,207.7,245.7,285.3,326.1,365.3,401.3,429.3,436.2,434.1,431.3,427.9,423.9,419.3,413.4
BOLN_1,23.9,43.9,65.7,98.1,145.3,213.9,294.6,402.1,544.7,733.0,979.5,1301.5,1717.8,2249.5,2898.5,3596.2,4343.5,5138.0,5965.8,6820.9,7639.9,8392.2,8979.1,9121.6,9078.9,9020.6,8949.6,8865.1,8768.3,8646.1
BONN,1.4,2.7,4.5,7.7,13.0,21.8,30.0,41.0,55.6,74.8,99.9,132.7,175.2,229.4,295.6,366.8,443.0,524.0,608.4,695.6,779.2,855.9,915.7,930.3,925.9,920.0,912.7,904.1,894.2,881.8
BOTW_1,3.5,6.6,10.2,15.8,24.5,37.9,52.2,71.3,96.6,129.9,173.6,230.7,304.5,398.7,513.8,637.4,769.9,910.7,1057.4,1209.0,1354.2,1487.5,1591.5,1616.8,1609.2,1598.9,1586.3,1571.3,1554.2,1532.5
BRAC_P,3.0,5.2,7.0,8.9,10.5,11.1,15.2,20.8,28.2,37.9,50.7,67.4,88.9,116.4,150.0,186.1,224.8,265.9,308.7,353.0,395.4,434.3,464.7,472.0,469.8,466.8,463.1,458.8,453.8,447.4
BRAI_1,3.4,6.5,10.2,16.2,25.8,40.8,56.2,76.7,103.9,139.8,186.9,248.3,327.7,429.2,553.0,686.1,828.6,980.2,1138.1,1301.3,1457.5,1601.0,1713.0,1740.2,1732.1,1720.9,1707.4,1691.3,1672.8,1649.5
BRAP,1.6,2.7,3.5,4.2,4.4,3.5,4.9,6.6,9.0,12.1,16.2,21.5,28.3,37.1,47.8,59.3,71.6,84.7,98.4,112.5,126.0,138.4,148.1,150.4,149.7,148.8,147.6,146.2,144.6,142.6
BRAW_1,14.3,26.3,39.5,59.2,88.0,130.2,179.3,244.7,331.5,446.0,596.0,791.9,1045.2,1368.8,1763.7,2188.2,2643.0,3126.4,3630.1,4150.4,4648.8,5106.5,5463.7,5550.3,5524.4,5488.9,5445.7,5394.3,5335.4,5261.0
BRED_1,123.1,206.2,261.5,298.9,282.6,157.3,216.7,295.7,400.6,539.0,720.3,957.1,1263.3,1654.3,2131.6,2644.7,3194.3,3778.6,4387.3,5016.1,5618.5,6171.7,6603.4,6708.1,6676.7,6633.8,6581.6,6519.5,6448.3,6358.5
BRFO_1;CLT03,17.2,33.4,54.4,89.8,147.8,242.0,333.2,454.8,616.0,829.0,1107.8,1472.0,1942.8,2544.2,3278.2,4067.4,4912.4,5811.0,6747.2,7714.4,8640.8,9491.6,10155.4,10316.4,10268.2,10202.2,10122.0,10026.4,9917.0,9778.8
BRID_P,0.7,1.3,2.2,3.6,5.8,9.5,13.0,17.8,24.1,32.4,43.3,57.6,76.0,99.5,128.2,159.1,192.1,227.3,263.9,301.7,337.9,371.2,397.2,403.5,401.6,399.0,395.9,392.1,387.8,382.4
BRIM_1,15.9,28.1,39.4,53.7,70.7,89.8,123.6,168.7,228.6,307.6,411.0,546.1,720.8,943.9,1216.2,1508.9,1822.5,2155.9,2503.2,2862.0,3205.6,3521.3,3767.6,3827.3,3809.4,3785.0,3755.2,3719.7,3679.1,3627.9
BRLE_1;FLEE_1,69.6,125.4,182.0,260.6,366.4,507.8,699.4,954.6,1293.0,1739.8,2324.8,3089.2,4077.4,5339.6,6880.0,8536.0,10309.8,12195.8,14160.4,16190.2,18134.2,19920.0,21313.2,21651.2,21550.0,21411.4,21243.0,21042.4,20812.8,20522.6
BROA_P,0.2,0.3,0.6,1.0,1.7,2.8,3.9,5.3,7.2,9.7,13.0,17.3,22.8,29.8,38.4,47.7,57.6,68.1,79.1,90.5,101.3,111.3,119.1,121.0,120.4,119.6,118.7,117.6,116.3,114.7
BROR_P,0.1,0.2,0.4,0.7,1.1,1.9,2.7,3.6,4.9,6.6,8.8,11.8,15.5,20.3,26.2,32.5,39.2,46.4,53.9,61.6,69.0,75.8,81.1,82.4,82.0,81.4,80.8,80.0,79.2,78.1
BROX,2.3,4.2,6.3,9.4,13.9,20.4,28.1,38.3,51.9,69.8,93.3,124.0,163.7,214.3,276.2,342.6,413.8,489.5,568.4,649.9,727.9,799.6,855.5,869.1,865.0,859.4,852.7,844.6,835.4,823.8
BRWA1,7.7,14.7,23.2,37.0,58.9,93.3,128.5,175.5,237.7,319.8,427.4,567.9,749.5,981.5,1264.7,1569.1,1895.1,2241.8,2603.0,2976.0,3333.4,3661.6,3917.7,3979.9,3961.3,3935.8,3904.8,3868.0,3825.8,3772.4
BUMU_P,0.2,0.4,0.7,1.1,1.6,2.5,3.5,4.8,6.5,8.7,11.7,15.5,20.5,26.8,34.5,42.9,51.8,61.2,71.1,81.3,91.1,100.0,107.0,108.7,108.2,107.5,106.7,105.7,104.5,103.0
BURM_1,6.5,11.9,17.8,26.5,39.2,57.7,79.5,108.5,147.0,197.7,264.2,351.1,463.4,606.9,781.9,970.2,1171.8,1386.1,1609.4,1840.1,2061.1,2264.0,2422.3,2460.8,2449.3,2433.5,2414.4,2391.6,2365.5,2332.5
BUSH_1,2.8,5.5,9.1,15.4,25.9,43.2,59.5,81.2,110.0,148.0,197.8,262.8,346.9,454.2,585.3,726.2,877.0,1037.5,1204.6,1377.3,1542.7,1694.6,1813.1,1841.8,1833.2,1821.4,1807.1,1790.1,1770.5,1745.8
BUST_1,5.4,10.8,18.2,31.2,53.0,89.2,122.8,167.6,227.0,305.5,408.2,542.4,715.9,937.5,1207.9,1498.7,1810.1,2141.2,2486.2,2842.5,3183.9,3497.4,3742.0,3801.3,3783.6,3759.2,3729.7,3694.5,3654.1,3603.2
CAAD_P,0.7,1.4,2.6,4.7,8.5,14.9,20.5,28.0,37.9,51.0,68.2,90.6,119.6,156.6,201.7,250.3,302.3,357.6,415.2,474.7,531.8,584.1,625.0,634.9,631.9,627.8,622.9,617.0,610.3,601.8
CAFA;EAST;GLLE;KEOO;TONG,0.5,0.5,1.0,2.0,4.0,7.0,9.5,13.0,17.5,23.5,31.0,41.5,55.0,71.5,92.5,114.5,138.5,164.0,190.0,217.5,243.5,267.5,286.5,291.0,289.5,287.5,285.5,282.5,279.5,275.5
CAMB_01,0.6,1.3,2.2,3.8,6.5,11.0,15.2,20.7,28.0,37.7,50.4,67.0,88.4,115.7,149.1,185.0,223.5,264.3,306.9,350.9,393.0,431.7,461.9,469.3,467.1,464.1,460.4,456.1,451.1,444.8
