GSP,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
ABHA1,0.332790758,0.846592715,1.396967874,2.076092405,3.05728277,4.414817454,6.023484154,7.87620873,9.987224353,12.33513882,14.99219327,17.96616924,21.20047362,24.70218053,28.47128999,32.507802,36.81171654,41.38303362,46.22175324,51.37739441,56.85738494,62.62175596,68.65635917,74.97534288,81.56455877,88.44169221,95.59825424,103.0193892,110.7284416,118.7183375
ABNE_P,0.02944265,0.074899714,0.123592482,0.183675958,0.27048379,0.39058754,0.532909431,0.6968236,0.883589284,1.091313872,1.326388678,1.589502153,1.87564739,2.185450254,2.518910744,2.876028861,3.256804603,3.661237971,4.089328966,4.54545863,5.030284117,5.540269301,6.074162457,6.633215312,7.216176137,7.824609592,8.45776464,9.11432697,9.796361928,10.50324365
ABTH_1,0.066659161,0.169575502,0.279817584,0.415848619,0.612384504,0.884303481,1.206525086,1.577632342,2.000476205,2.47077174,3.002989102,3.598686961,4.246529516,4.947933742,5.702899638,6.511427207,7.373516444,8.289167352,9.25837993,10.29107301,11.38873441,12.54335822,13.75211049,15.01782518,16.33766833,17.71518237,19.14866694,20.6351464,22.17929675,23.77970103
ACTL_2;CBNK_H;GREE_H;PERI_H,0.017537539,0.044614078,0.073617966,0.10940674,0.161113899,0.232653799,0.317427954,0.415063568,0.526310705,0.650042032,0.79006454,0.946788304,1.117230957,1.301765295,1.500391319,1.713109028,1.939918421,2.180819499,2.435812263,2.707506284,2.996292996,3.300066103,3.618080014,3.95108032,4.29832143,4.660735332,5.037874673,5.428956581,5.835211282,6.25626598
ACTL_C;WISD_1;WISD_6,0.017417308,0.044308218999999996,0.073113265,0.108656682,0.160009352,0.231058799,0.315251768,0.412218023,0.522702486,0.64558555,0.784648108,0.9402974239999999,1.109571575,1.292840805,1.4901051109999999,1.701364495,1.926618955,2.165868492,2.419113106,2.6889444780000002,2.97575136,3.277441895,3.593275604,3.923992966,4.2688535,4.628782808,5.0033366,5.391737375,5.795206922,6.213375002
ALNE_P,0.010925518,0.027793632,0.045862445,0.068158098,0.10037057,0.144938423,0.197750938,0.258575872,0.327880498,0.404962512,0.492193589,0.589829198,0.696011385,0.810972396,0.934712231,1.067230889,1.20852837,1.358604675,1.517459802,1.686719462,1.866627509,2.055871765,2.253987742,2.461439928,2.677763835,2.903540073,3.138489949,3.382125752,3.635213885,3.897522105
ALST_3;USKM_1,0.135947753,0.345840065,0.57067283,0.84810077,1.248925079,1.803489128,2.460642664,3.217495845,4.079863035,5.039005347,6.124433873,7.339327443,8.660567299,10.09104329,11.6307554,13.27970365,15.03788803,16.90530854,18.88196518,20.98808687,23.22670793,25.58150076,28.04668565,30.6280423,33.31979102,36.12915642,39.05267069,42.08426515,45.23347629,48.49741426
ALVE1,0.286871852,0.729778739,1.204212411,1.789630447,2.635434876,3.805655141,5.192355896,6.789439101,8.609174015,10.63312016,12.92355074,15.4871736,18.27520441,21.29374121,24.54278399,28.02233277,31.73238752,35.67294827,39.844015,44.28827402,49.01212826,53.98112379,59.18306452,64.63014656,70.31017378,76.23839132,82.40748151,88.80463849,95.44998576,102.3374253
AMEM_1,0.032087495,0.081627985,0.134694843,0.200175642,0.294781456,0.425674174,0.580780897,0.759419541,0.962962459,1.18934703,1.445538699,1.732287762,2.04413754,2.381770117,2.745185495,3.134383674,3.549364653,3.990128431,4.456675009,4.953778981,5.482156534,6.03795389,6.61980688,7.229079675,7.864408102,8.527497375,9.217528992,9.933070577,10.67637301,11.4467542
ARBR_P,0.02899222,0.073753859,0.121701699,0.180865986,0.266345786,0.384612126,0.524756702,0.686163225,0.870071669,1.074618376,1.306096885,1.56518511,1.846952747,2.152016084,2.480375119,2.832029855,3.206980289,3.605226422,4.026768254,4.475919806,4.953328177,5.455511339,5.981236716,6.531736886,7.105779269,7.704904587,8.328373295,8.974891188,9.646492016,10.34255949
ARDK_P;CLAC_P,0.001046186,0.002661411,0.004391611,0.006526557,0.009611099,0.013878745,0.018935868,0.024760229,0.031396574,0.03877765,0.047130562,0.056479772,0.066647369,0.077655593,0.089504443,0.102193919,0.115724021,0.13009475,0.145306105,0.161513758,0.17874106,0.196862361,0.215833184,0.235698006,0.25641235,0.278031813,0.300529708,0.323859334,0.348094079,0.373211703
AXMI1,0.164996611,0.419738005,0.692612278,1.029320085,1.515791183,2.18885261,2.9864245,3.904999519,4.951634426,6.115723036,7.433082273,8.907570208,10.51112815,12.24726342,14.11597604,16.117266,18.25113329,20.51757792,22.9165999,25.47275057,28.18971265,31.04766967,34.03960696,37.17253921,40.43945173,43.84911286,47.39731381,51.07668917,54.89881313,58.86017838
AYRR,0.00707702,0.018003364,0.029707462,0.044149503,0.065015176,0.093884065,0.128093446,0.167492881,0.212385049,0.262315031,0.318819083,0.382062684,0.450842344,0.525308498,0.605461148,0.691300294,0.782825934,0.880038069,0.982936699,1.092574879,1.209110567,1.331693797,1.460023697,1.59440114,1.734525251,1.880772124,2.032961233,2.190776663,2.354714853,2.524625368
BAGA,0.019462122,0.049510062,0.081696859,0.12141312,0.178794663,0.258185407,0.352262744,0.460612965,0.58406845,0.721378148,0.876766834,1.050689586,1.239836748,1.444622027,1.665045424,1.901106939,2.152806571,2.42014432,2.703120187,3.00463012,3.32510851,3.662217913,4.015130916,4.384674935,4.770022552,5.172208037,5.590734941,6.024734481,6.475571887,6.942833453
BAIN,0.00570922,0.014523794,0.023965802,0.035616581,0.052449476,0.075738778,0.103336397,0.135120971,0.17133668,0.211616527,0.257199852,0.30822015,0.363706535,0.423780367,0.488441646,0.557690373,0.631526546,0.709950166,0.792961234,0.881409276,0.975421722,1.074312881,1.177840031,1.286245896,1.399287752,1.517269002,1.640044012,1.767357926,1.899611234,2.036682575
BARKC1;BARKW3,0.063925826,0.162622121,0.268343768,0.3987969,0.587273904,0.848042945,1.157051971,1.512942112,1.918447419,2.36945866,2.879852646,3.451124135,4.072402146,4.745045551,5.46905435,6.244428545,7.071168133,7.949273114,8.87874349,9.869091372,10.92174357,12.02902246,13.1882103,14.40202482,15.66774829,16.98877788,18.36348295,19.78900986,21.2698429,22.8046232
BEAU_P;ORRI_P,0.017674428,0.044962313,0.074192591,0.110260714,0.162371472,0.234469777,0.319905637,0.418303345,0.530418822,0.655115933,0.796231386,0.954178456,1.125951499,1.311926219,1.512102617,1.726480693,1.955060447,2.197841877,2.454824986,2.728639713,3.019680549,3.325824756,3.646320923,3.981920462,4.331871961,4.697114683,5.077197784,5.47133228,5.880758,6.305099239
BEDDT1,0.018412993,0.046841161,0.077292889,0.114868196,0.169156516,0.244267605,0.333273586,0.435783055,0.55258352,0.68249137,0.829503637,0.994050868,1.173001819,1.366747896,1.575289097,1.798625426,2.036756878,2.289683457,2.557405161,2.842661829,3.145864436,3.464801541,3.798690334,4.148313626,4.512888605,4.893393786,5.289359481,5.699963741,6.1264982,6.568571456
BEDD_1,0.078425791,0.199508857,0.329210798,0.489253941,0.72048221,1.040400145,1.419500093,1.856114956,2.353598936,2.906910728,3.533074744,4.233924794,4.996124087,5.821339721,6.709571695,7.660820014,8.675084671,9.752365669,10.89266301,12.10764639,13.39906625,14.75750349,16.17962391,17.66876171,19.22158269,20.8422546,22.52877692,24.27764874,26.09437149,27.97727807
BERB_P;CAIF_P;DALL_P;GLEF_P;KEIT_P,0.022945664,0.058371909,0.096319848,0.143144957,0.210797269,0.30439823,0.415314548,0.543058466,0.688611352,0.850498228,1.033700066,1.238753396,1.461756168,1.703196136,1.963073302,2.241387665,2.538139226,2.853327983,3.186953938,3.542431387,3.920272472,4.31772137,4.733802568,5.169491581,5.623812892,6.097985894,6.59142528,7.103106761,7.634639933,8.185537039
BERW,0.024546327,0.062443865,0.103039008,0.153130581,0.22550224,0.325632694,0.444286404,0.580941589,0.736648073,0.909827988,1.105809771,1.325167382,1.563726565,1.822009103,2.100014995,2.397744243,2.715196844,3.0523728,3.40927211,3.78954725,4.193746086,4.618920554,5.064027089,5.530109256,6.01612349,6.523374245,7.051235384,7.598611166,8.167223469,8.756550512
BESW_1,0.107162081,0.272611647,0.449838165,0.668523318,0.984476807,1.421617076,1.939624462,2.536221019,3.215989976,3.972042823,4.827641952,5.785293105,6.826772708,7.954358707,9.1680511,10.46784989,11.85375508,13.32576666,14.88388464,16.54405464,18.30866851,20.16485585,22.10806077,24.14283916,26.26463511,28.47914351,30.78363082,33.17331335,35.65570831,38.22853777
BICF_1,0.101867626,0.259142983,0.427613438,0.635494222,0.935837697,1.351380592,1.843795279,2.410916357,3.057100615,3.775799876,4.589127232,5.499464625,6.489488835,7.561365263,8.715093909,9.950674779,11.26810786,12.66739317,14.14853069,15.72667825,17.40410952,19.16858998,21.01578881,22.95003684,24.96700324,27.07210153,29.26273322,31.53435097,33.89410061,36.33981673
