GSP,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
ABHA1,-5.708,-5.585,-6.206,-7.026,-8.337,-9.538,-10.329,-11.108,-12.052,-13.71,-15.441,-17.119,-18.711,-20.439,-22.531,-24.632,-26.37,-27.629,-28.381,-28.773,-29.203,-29.772,-30.441,-30.997,-31.737,-32.492,-33.139,-33.561,-33.992,-34.4
ABNE_P,-0.964,-0.939,-1.039,-1.173,-1.385,-1.574,-1.696,-1.816,-1.965,-2.236,-2.522,-2.803,-3.071,-3.363,-3.713,-4.064,-4.354,-4.564,-4.692,-4.767,-4.85,-4.956,-5.08,-5.183,-5.316,-5.449,-5.558,-5.627,-5.698,-5.767
ABTH_1,-4.273,-4.181,-4.646,-5.26,-6.242,-7.14,-7.732,-8.316,-9.022,-10.264,-11.56,-12.816,-14.008,-15.301,-16.867,-18.44,-19.741,-20.684,-21.247,-21.541,-21.863,-22.289,-22.789,-23.205,-23.759,-24.325,-24.809,-25.125,-25.447,-25.753
ACTL_2;CBNK_H;GREE_H;PERI_H,-2.713,-2.657,-2.951,-3.342,-3.965,-4.5360000000000005,-4.912,-5.282,-5.730999999999999,-6.52,-7.343,-8.142,-8.898,-9.719999999999999,-10.713999999999999,-11.713000000000001,-12.539,-13.139,-13.495999999999999,-13.682,-13.887,-14.157,-14.475999999999999,-14.740000000000002,-15.092999999999998,-15.452,-15.758999999999999,-15.959,-16.164,-16.358999999999998
ACTL_C;WISD_1;WISD_6,-8.29,-8.112,-9.014,-10.205,-12.108999999999998,-13.853,-15.001,-16.133,-17.505000000000003,-19.913,-22.427,-24.864000000000004,-27.177,-29.686,-32.724999999999994,-35.776,-38.301,-40.129999999999995,-41.221000000000004,-41.791000000000004,-42.417,-43.242999999999995,-44.214,-45.022,-46.096000000000004,-47.193,-48.133,-48.746,-49.372,-49.963
ALNE_P,-0.812,-0.791,-0.875,-0.988,-1.166,-1.326,-1.429,-1.53,-1.655,-1.884,-2.125,-2.361,-2.587,-2.832,-3.127,-3.423,-3.667,-3.845,-3.952,-4.015,-4.085,-4.175,-4.279,-4.366,-4.478,-4.59,-4.682,-4.74,-4.8,-4.858
ALST_3;USKM_1,-5.385,-5.269,-5.8549999999999995,-6.6290000000000004,-7.864999999999999,-8.997,-9.744,-10.479,-11.369,-12.934,-14.566999999999998,-16.15,-17.651,-19.281,-21.255,-23.237,-24.877000000000002,-26.065,-26.774,-27.144000000000002,-27.55,-28.087,-28.717,-29.241999999999997,-29.94,-30.652,-31.262,-31.66,-32.067,-32.452
ALVE1,-5.257,-5.144,-5.716,-6.471,-7.679,-8.784,-9.513,-10.231,-11.1,-12.627,-14.222,-15.767,-17.234,-18.825,-20.752,-22.687,-24.288,-25.447,-26.14,-26.501,-26.897,-27.421,-28.037,-28.549,-29.231,-29.927,-30.522,-30.911,-31.308,-31.683
AMEM_1,-1.51,-1.478,-1.642,-1.859,-2.206,-2.524,-2.733,-2.939,-3.189,-3.628,-4.086,-4.53,-4.951,-5.408,-5.962,-6.517,-6.977,-7.31,-7.509,-7.613,-7.727,-7.878,-8.054,-8.202,-8.397,-8.597,-8.768,-8.88,-8.994,-9.102
ARBR_P,-0.882,-0.858,-0.95,-1.073,-1.266,-1.44,-1.551,-1.661,-1.797,-2.045,-2.306,-2.563,-2.809,-3.075,-3.395,-3.716,-3.981,-4.174,-4.29,-4.359,-4.435,-4.532,-4.645,-4.739,-4.861,-4.983,-5.083,-5.146,-5.211,-5.274
