GSP,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
ABHA1,,127499.1,128017.4,128534.6,129051.5,129570.1,130087.4,130604.6,131121.3,131638.7,132156.4,132674.3,133191.1,133708.6,134226.8,134743.5,135308.3,135826.9,136346.1,136867.8,137389.0,137910.8,138439.2,138969.0,139497.4,140025.7,140552.2,141075.9,141602.2,142128.3,142657.0
ABNE_P,,23711.2,23807.0,23904.5,23999.8,24096.1,24192.6,24290.2,24386.7,24481.7,24579.4,24675.2,24771.8,24867.9,24964.0,25059.9,25165.5,25261.2,25358.4,25454.7,25552.7,25649.0,25747.5,25846.0,25944.3,26042.8,26140.1,26236.9,26335.2,26432.7,26531.4
ABTH_1,,146367.7,146962.9,147555.7,148149.8,148745.0,149337.8,149932.0,150526.6,151120.5,151714.5,152309.0,152902.2,153497.5,154090.7,154685.4,155332.2,155928.9,156524.2,157122.8,157721.6,158321.1,158927.3,159534.1,160141.6,160747.6,161353.1,161953.0,162557.7,163162.5,163767.4
ACTL_2,,10151.4,10193.8,10234.6,10276.0,10316.5,10358.6,10398.6,10440.6,10482.0,10522.5,10563.8,10605.5,10646.4,10688.2,10728.6,10773.8,10815.7,10856.4,10898.5,10939.3,10980.3,11022.3,11065.7,11107.8,11148.6,11191.0,11233.1,11274.3,11316.8,11358.3
ACTL_C,,18064.1,18136.5,18210.2,18283.9,18356.6,18430.6,18504.3,18576.6,18649.8,18723.0,18796.2,18870.8,18943.8,19017.1,19090.0,19170.5,19243.7,19316.9,19390.6,19465.1,19538.9,19614.2,19688.8,19763.6,19838.4,19912.7,19987.1,20061.7,20136.1,20211.1
ALNE_P,,11051.1,11095.1,11140.7,11184.9,11230.5,11275.0,11320.5,11365.4,11410.4,11455.4,11499.1,11544.8,11589.6,11633.6,11679.6,11728.6,11772.4,11818.0,11863.8,11908.0,11953.1,11999.1,12045.1,12091.6,12137.1,12182.7,12226.8,12273.8,12319.1,12363.9
ALST_3,,803.1,806.3,809.5,812.9,815.4,818.3,821.6,825.7,828.9,831.9,835.3,838.7,841.9,845.2,848.7,851.8,854.9,857.9,861.1,864.2,868.1,872.1,874.6,878.9,881.8,884.9,888.3,892.2,894.7,897.6
ALVE1,,99552.3,99955.3,100360.1,100764.0,101168.4,101571.9,101975.6,102380.4,102783.8,103188.8,103592.2,103996.0,104399.6,104804.2,105207.9,105648.5,106054.7,106459.4,106866.3,107273.1,107682.0,108093.4,108507.1,108919.0,109332.1,109742.5,110151.8,110563.0,110974.8,111386.2
AMEM_1,,41881.9,42052.5,42222.6,42392.4,42562.6,42733.0,42902.3,43071.7,43241.9,43412.8,43582.7,43752.7,43922.5,44092.6,44262.0,44447.2,44618.2,44788.9,44959.3,45130.6,45302.4,45476.4,45649.6,45824.4,45997.9,46169.6,46342.8,46516.0,46688.3,46862.3
ARBR_P,,14701.2,14760.4,14819.7,14879.8,14939.2,14999.2,15059.0,15118.3,15178.6,15237.6,15297.8,15357.9,15416.9,15476.5,15536.0,15601.6,15661.5,15720.6,15780.9,15840.8,15902.0,15962.8,16024.1,16084.9,16146.1,16206.3,16266.7,16327.0,16387.4,16448.6
