GSP,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
ABHA1,,1009.0,1016.1,1020.2,1022.1,1022.1,1015.3,1006.7,1000.4,994.5,991.6,989.0,987.6,987.6,985.7,981.4,981.7,983.3,983.8,984.1,980.8,972.8,973.3,974.4,977.0,976.0,973.6,980.4,991.3,1003.6,1018.1
ABNE_P,,151.7,154.2,155.2,154.8,156.3,154.3,152.6,151.6,149.9,148.8,148.2,147.6,147.3,147.0,146.9,147.7,148.7,149.9,151.1,152.5,154.0,155.5,156.8,158.1,159.3,159.7,160.4,161.5,162.6,163.8
ABTH_1,,1068.8,1074.9,1076.2,1074.5,1068.7,1055.2,1041.6,1029.3,1017.5,1009.4,1003.7,997.6,993.1,987.9,984.6,985.3,986.5,987.2,987.3,989.8,994.3,997.2,999.6,1002.0,1006.5,1011.4,1015.0,1021.1,1027.5,1034.9
ACTL_2,,95.0,95.5,95.8,96.0,95.8,95.1,94.2,93.4,92.7,92.1,91.6,91.0,90.5,89.8,88.9,88.7,88.0,87.0,85.8,84.6,83.4,82.5,81.6,80.9,80.4,80.6,81.1,81.8,82.7,83.8
ACTL_C,,149.7,150.6,151.2,151.5,151.3,150.2,148.8,147.6,146.6,146.1,145.9,146.0,146.4,146.9,147.5,149.5,151.2,153.3,155.6,157.9,160.2,162.9,165.5,168.0,169.6,170.1,171.0,172.3,173.7,175.3
ALNE_P,,91.9,93.3,94.0,93.8,95.0,94.0,93.2,92.7,91.8,91.2,90.7,90.2,89.9,89.5,89.2,89.3,89.5,89.7,89.8,90.1,90.3,90.6,90.9,91.2,91.5,91.7,92.1,92.6,93.3,94.0
ALST_3,,6.7,6.7,6.8,6.8,6.8,6.8,6.7,6.7,6.7,6.7,6.7,6.8,6.9,6.9,7.0,7.0,7.2,7.3,7.5,7.7,7.8,8.0,8.2,8.4,8.4,8.4,8.5,8.6,8.7,8.8
ALVE1,,838.5,844.5,848.7,851.5,851.7,845.3,837.4,830.8,824.8,821.3,818.9,817.0,816.3,814.8,812.8,814.4,815.7,816.5,817.6,817.8,816.9,819.6,822.4,826.0,828.0,828.5,833.1,840.4,848.4,857.9
AMEM_1,,320.4,325.4,329.9,334.1,338.7,338.3,336.3,335.0,333.5,332.7,331.9,331.4,331.0,329.3,326.1,325.0,320.9,315.6,310.0,302.6,295.6,291.2,287.4,285.0,281.7,282.1,284.6,289.0,294.0,300.2
ARBR_P,,125.9,127.8,128.6,128.3,129.8,128.6,127.6,127.2,126.2,125.6,125.1,124.7,124.5,124.1,123.7,124.1,124.7,125.3,125.9,126.2,126.3,126.8,127.4,127.9,128.2,128.1,128.8,130.0,131.2,132.6
ARDK_P,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7,-0.8,-1.0,-1.1,-1.2,-1.4,-1.4,-1.5,-1.5,-1.5,-1.5,-1.5
ARMO_P,,84.3,85.6,86.1,85.9,86.8,85.9,85.1,84.7,83.9,83.4,83.0,82.6,82.4,82.1,81.7,81.7,82.0,82.2,82.3,82.3,82.1,82.3,82.4,82.6,82.7,82.6,83.1,83.8,84.7,85.6
AXMI1,,797.4,804.3,808.9,811.9,812.9,806.3,798.3,791.7,785.3,781.4,778.8,776.7,775.8,774.1,772.4,774.2,775.0,775.4,776.0,776.4,777.2,780.1,783.0,786.5,789.0,790.8,795.0,801.7,809.1,817.8
AYRR,,191.2,193.9,195.3,195.0,197.3,195.6,194.2,193.5,191.9,191.0,190.2,189.4,188.8,188.0,187.1,187.3,187.7,187.9,188.1,187.9,187.5,187.6,187.7,187.9,188.0,187.9,188.9,190.5,192.3,194.4
BAGA,,147.8,150.0,151.0,150.7,152.5,151.1,150.0,149.5,148.2,147.4,146.7,145.9,145.2,144.2,143.0,142.6,142.4,141.7,140.9,139.9,138.5,137.6,136.8,136.2,135.7,135.5,136.3,137.6,139.0,140.8
BAIN,,105.3,106.9,107.6,107.4,108.6,107.5,106.6,106.1,105.0,104.3,103.6,102.8,102.1,101.0,99.8,99.1,98.3,97.1,95.7,94.1,92.3,90.9,89.6,88.5,87.6,87.6,88.0,88.9,90.0,91.2
BARKC1,,578.4,581.7,583.6,584.5,583.0,578.4,572.4,567.0,562.1,558.9,556.7,554.5,553.1,551.1,549.4,551.5,551.9,551.9,551.8,551.9,552.9,554.3,555.7,557.5,559.1,561.1,563.8,568.2,573.0,578.6
BARKW3,,811.1,815.9,818.6,819.7,817.6,811.2,802.8,795.6,789.4,786.0,784.2,783.4,784.4,785.8,788.4,797.2,805.0,814.2,824.8,835.8,848.1,860.7,872.7,884.1,892.7,895.9,900.3,906.4,913.0,920.4
BEAU_P,,131.0,133.0,133.9,133.6,135.2,133.7,132.5,131.8,130.5,129.6,128.9,128.2,127.7,127.1,126.6,126.8,127.0,127.2,127.3,127.5,127.8,128.1,128.4,128.7,129.1,129.4,129.9,130.8,131.7,132.8
BEDDT1,,460.3,464.1,466.5,467.8,469.2,467.6,464.6,463.0,461.5,461.4,461.6,462.6,464.4,465.2,464.0,467.2,470.2,472.9,476.1,475.9,474.9,477.7,480.9,484.9,484.6,484.6,489.1,496.0,503.7,512.8
BEDD_1,,1858.2,1871.4,1876.0,1875.4,1870.7,1853.4,1833.6,1817.5,1801.6,1791.6,1784.0,1777.5,1773.4,1766.8,1758.8,1762.8,1765.2,1765.7,1765.5,1762.9,1762.1,1764.6,1767.4,1771.9,1773.4,1778.8,1789.4,1806.4,1825.2,1847.2
BERB_P,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BERW,,96.2,97.5,98.2,98.2,99.5,98.8,98.2,98.0,97.3,96.9,96.6,96.2,95.9,95.6,95.3,95.6,95.9,96.2,96.5,96.8,97.0,97.3,97.6,97.9,98.2,98.3,98.7,99.4,100.2,101.2
BESW_1,,1283.0,1290.3,1295.4,1298.5,1296.3,1285.6,1272.8,1261.8,1251.6,1245.3,1240.5,1236.0,1233.4,1229.3,1225.4,1227.4,1228.1,1228.0,1227.6,1227.2,1229.1,1231.8,1234.6,1238.2,1241.2,1245.3,1251.4,1261.6,1272.7,1285.8
BICF_1,,858.5,865.0,869.7,872.9,873.1,866.0,857.5,850.4,843.8,840.1,838.0,836.3,836.3,835.8,835.6,839.3,842.5,846.2,850.4,854.6,858.0,864.4,870.7,877.1,882.0,883.0,887.4,894.3,901.7,910.3
BIRK_1,,922.5,928.8,931.3,931.2,928.6,917.4,906.9,898.1,889.4,883.7,878.8,874.6,871.6,867.5,863.3,860.7,861.2,860.7,859.5,858.1,858.5,858.8,859.2,860.2,861.1,864.6,869.1,876.4,884.5,894.0
BISW_1,,1846.1,1856.2,1859.5,1858.1,1851.3,1832.5,1813.1,1797.1,1781.9,1772.3,1764.8,1757.7,1753.0,1745.7,1737.1,1736.3,1738.2,1737.9,1736.5,1733.0,1729.4,1729.7,1730.3,1732.6,1733.0,1736.5,1746.2,1762.3,1780.1,1801.0
BLYTB1,,2122.6,2137.7,2141.2,2138.0,2128.0,2098.9,2070.8,2046.0,2021.8,2005.6,1994.9,1984.5,1977.9,1971.2,1969.2,1974.7,1983.5,1993.1,2002.9,2018.0,2038.8,2054.5,2068.8,2082.0,2097.2,2107.8,2115.6,2127.4,2139.8,2153.9
BLYTH132,,280.9,283.1,284.7,285.9,286.0,282.7,279.8,277.4,275.2,273.9,272.6,271.9,271.7,271.4,271.2,270.3,271.5,272.8,274.2,275.6,277.4,279.3,281.2,283.2,284.6,285.7,287.1,289.4,291.8,294.6
BOAG_P,,106.1,107.6,108.4,108.3,109.6,108.6,107.7,107.2,106.2,105.6,105.1,104.6,104.3,103.9,103.8,104.2,104.6,105.1,105.6,106.3,107.1,107.7,108.4,108.9,109.6,109.9,110.3,110.9,111.6,112.4
BOLN_1,,3466.6,3483.1,3487.4,3483.2,3466.5,3433.2,3395.7,3363.7,3333.9,3315.2,3300.9,3287.8,3279.9,3268.8,3258.3,3267.1,3276.8,3284.7,3291.8,3298.3,3306.3,3318.4,3329.9,3342.7,3352.5,3361.4,3378.5,3405.8,3435.7,3470.6
BONN,,246.9,250.7,252.3,251.6,254.3,251.5,249.3,248.2,246.0,244.8,244.1,243.5,243.4,243.1,242.9,244.3,246.4,248.7,251.0,253.1,254.6,257.0,259.2,261.4,262.8,262.7,264.2,266.4,268.8,271.5
BOTW_1,,637.8,643.9,647.7,650.2,651.2,645.6,638.7,632.8,626.9,623.1,620.5,618.1,616.5,614.1,612.0,613.0,612.0,610.5,608.9,607.6,607.8,608.4,609.2,610.5,611.9,614.4,617.3,622.3,627.7,634.1
BRAC_P,,97.6,99.0,99.6,99.4,100.6,99.7,99.0,98.6,97.8,97.3,96.9,96.4,96.1,95.5,94.8,94.7,94.7,94.5,94.2,93.7,92.8,92.5,92.1,91.9,91.7,91.5,92.0,92.9,94.0,95.2
BRAI_1,,933.8,940.7,945.1,947.7,947.7,940.7,932.0,925.1,918.4,914.3,911.0,908.2,906.6,903.4,899.0,898.5,897.5,895.3,892.7,888.4,882.5,881.3,880.6,881.1,880.4,880.4,885.6,894.4,904.2,915.7
BRAP,,128.1,129.9,130.8,130.6,132.1,130.9,129.9,129.5,128.5,127.9,127.6,127.2,127.1,126.8,126.6,127.1,128.0,128.8,129.7,130.4,130.8,131.7,132.5,133.3,133.8,133.7,134.4,135.6,136.8,138.2
BRAW_1,,1604.8,1612.1,1614.3,1612.9,1604.9,1587.3,1569.8,1554.5,1540.3,1531.1,1523.3,1516.4,1511.8,1505.6,1499.9,1499.7,1503.4,1505.9,1507.8,1509.7,1515.4,1519.6,1523.6,1528.1,1531.9,1538.8,1546.4,1558.8,1572.2,1588.0
BRED_1,,1078.3,1085.9,1088.4,1087.8,1084.6,1071.0,1058.0,1046.7,1034.7,1025.7,1016.7,1007.3,997.9,985.4,971.7,958.9,946.4,929.4,909.0,888.6,871.2,852.9,835.8,821.2,811.5,815.9,819.7,827.9,837.2,848.6
BRFO_1,,2983.5,2999.1,3003.6,3000.6,2986.9,2956.9,2923.8,2895.5,2868.7,2851.6,2838.7,2826.6,2818.9,2808.6,2799.4,2805.0,2811.8,2816.9,2821.2,2826.1,2830.2,2839.3,2847.9,2857.5,2866.2,2872.4,2886.1,2908.4,2932.6,2960.9
BRID_P,,97.7,99.2,99.8,99.6,100.8,99.9,99.1,98.7,97.8,97.3,96.8,96.3,95.9,95.4,94.8,94.7,94.7,94.5,94.3,93.9,93.3,93.1,92.8,92.7,92.6,92.5,93.0,93.8,94.8,95.9
BRIM_1,,1295.5,1306.5,1311.7,1313.7,1312.0,1297.9,1282.1,1268.2,1254.6,1245.7,1240.7,1235.3,1232.1,1228.5,1226.9,1232.4,1234.9,1237.8,1240.8,1246.5,1256.2,1264.0,1271.3,1278.6,1286.6,1292.7,1298.0,1306.2,1314.9,1325.0
BRLE_1,,2453.5,2466.2,2471.2,2470.8,2459.4,2432.8,2403.6,2377.4,2353.1,2337.5,2327.9,2317.7,2311.9,2306.0,2304.7,2315.3,2325.3,2336.3,2348.1,2365.2,2386.7,2405.3,2422.5,2438.5,2455.8,2465.5,2474.8,2489.0,2504.0,2521.3
BROA_P,,49.5,50.2,50.6,50.5,51.1,50.6,50.2,50.0,49.5,49.1,48.8,48.5,48.2,47.9,47.6,47.5,47.4,47.2,46.9,46.7,46.5,46.4,46.2,46.0,46.0,46.1,46.3,46.6,47.0,47.4
BROR_P,,29.5,29.9,30.2,30.1,30.5,30.2,30.0,29.8,29.5,29.3,29.1,28.9,28.8,28.6,28.5,28.4,28.4,28.4,28.3,28.3,28.3,28.2,28.2,28.2,28.2,28.3,28.4,28.6,28.8,29.0
BROX,,201.1,204.0,205.3,204.9,207.2,205.2,203.7,203.0,201.5,200.7,200.3,200.0,200.1,200.1,200.1,201.5,203.6,205.8,208.3,210.3,211.8,214.1,216.3,218.4,219.7,219.6,220.8,222.7,224.7,227.1
BRWA1,,928.0,934.8,939.4,942.2,942.0,934.5,925.6,918.2,911.2,906.9,903.8,901.1,899.8,897.3,894.3,895.3,895.7,895.5,895.1,893.9,891.6,893.1,894.8,897.4,898.9,899.5,904.4,912.4,921.3,931.7
