GSP,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
ABHA1,,5572.8,7908.5,10181.6,12957.7,16244.4,20080.9,24567.7,29893.9,36290.3,44003.5,51923.2,64161.4,78202.9,94077.1,111384.3,131668.1,153072.7,174823.8,196196.6,218121.1,238374.0,256214.1,271741.4,285099.0,295658.1,299996.1,304247.7,308320.6,312452.5,316398.1
ABNE_P,,113.1,164.5,220.0,290.5,377.7,484.7,615.3,773.7,967.1,1201.3,1466.3,1811.6,2207.8,2656.1,3145.4,3717.8,4321.6,4936.3,5539.7,6158.7,6729.9,7234.1,7672.4,8049.2,8345.8,8470.3,8589.6,8704.2,8820.9,8932.2
ABTH_1,,796.5,1272.9,1889.9,2745.2,3886.5,5365.5,7248.4,9620.0,12568.6,16160.7,20615.1,25474.7,31050.1,37352.0,44223.8,52277.0,60775.0,69411.2,77897.2,86600.9,94642.6,101724.8,107890.0,113193.1,117385.2,119108.4,120796.9,122413.0,124053.3,125620.4
ACTL_2,,59.4,141.5,283.1,496.8,801.2,1215.8,1763.7,2467.8,3352.5,4436.1,5856.8,7236.3,8820.5,10611.9,12563.8,14850.9,17265.4,19718.2,22128.9,24601.5,26887.0,28900.1,30650.1,32156.2,33348.7,33837.3,34316.8,34777.4,35242.1,35687.0
ACTL_C,,523.3,689.3,795.0,886.3,946.5,963.5,925.3,831.1,680.0,484.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ALNE_P,,55.3,94.7,150.9,232.6,343.1,489.4,679.0,919.0,1219.8,1586.6,2052.6,2537.5,3091.5,3718.9,4402.9,5205.5,6052.6,6911.6,7755.9,8624.1,9423.5,10128.9,10743.6,11271.6,11688.8,11860.3,12028.6,12189.5,12353.0,12509.7
ALST_3,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ALVE1,,3531.7,4967.5,6316.9,7933.5,9807.9,11949.3,14406.0,17278.3,20698.6,24810.8,28792.7,35579.1,43365.9,52167.9,61765.8,73013.5,84884.6,96945.7,108795.9,120954.6,132185.3,142079.2,150688.6,158096.6,163950.9,166357.9,168715.2,170972.3,173264.0,175452.9
AMEM_1,,1409.7,2200.2,3188.0,4535.7,6313.6,8596.4,11482.9,15101.2,19585.9,25049.5,31736.7,39217.1,47799.7,57502.1,68080.9,80479.2,93562.5,106858.0,119921.9,133322.8,145702.5,156606.8,166097.1,174260.5,180714.2,183367.8,185965.9,188454.6,190980.0,193393.7
ARBR_P,,91.6,164.5,273.2,429.5,645.9,935.3,1310.2,1788.4,2388.0,3118.3,4055.5,5010.3,6107.1,7346.7,8698.9,10283.4,11955.6,13653.7,15323.3,17035.1,18617.8,20009.4,21223.7,22265.3,23091.0,23429.6,23761.7,24078.6,24402.8,24711.2
