GSP,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
ABHA1,,0.304046602,0.478353448,0.65690478,0.839842079,1.02688238,1.230900621,1.469016224,1.722411973,1.996464214,2.298247091,2.6376644,2.991371475,3.369838045,3.765848486,4.183222835,4.621819608,5.081497322,5.562538944,6.071877132,6.616444545,7.161011958,7.734017419,8.328245305,8.954165345,9.583763939,10.23458496,10.91922037,11.61248624,12.32697453,13.06254376
ABNE_P,,0.026899592,0.042320856,0.058117638,0.074302455,0.090850273,0.108900162,0.129966711,0.152385123,0.176631056,0.203330371,0.233359278,0.264652428,0.298136099,0.333171909,0.370097826,0.408901332,0.44956991,0.492128594,0.53719073,0.585369664,0.633548598,0.684243501,0.736815993,0.792192351,0.847894158,0.905473554,0.966044575,1.027379149,1.090591312,1.155668547
ABTH_1,,0.060901607,0.095815883,0.131580345,0.168223331,0.205688164,0.246553737,0.294249132,0.345005195,0.399898826,0.460347001,0.528333485,0.59918226,0.674990449,0.754312738,0.837914292,0.925766773,1.017841841,1.114196175,1.216218411,1.325297185,1.434375959,1.549150975,1.668176917,1.793550909,1.919661728,2.050023474,2.187158363,2.326021962,2.469136488,2.6164736
ACTL_2,,0.016022772,0.025208466,0.034617837,0.044258341,0.054115067,0.064866504,0.077414817,0.09076837,0.105210487,0.121113964,0.139000717,0.157640517,0.177585103,0.198454223,0.220449187,0.243562539,0.267786823,0.293136951,0.319978263,0.348676099,0.377373935,0.407570411,0.438885275,0.471870265,0.505049109,0.539346341,0.575425538,0.611959546,0.649611942,0.68837527
ALNE_P,,0.009981847,0.015704339,0.021566178,0.027572008,0.033712539,0.040410456,0.048227789,0.056546769,0.065543902,0.075451431,0.086594498,0.098206698,0.110631752,0.123632771,0.137335167,0.151734295,0.16682551,0.182618102,0.19933967,0.217217813,0.235095956,0.25390772,0.273416216,0.293965165,0.314634881,0.336001329,0.358477904,0.381237816,0.40469446,0.428843191
ALVE1,,0.262093845,0.4123496,0.56626418,0.723959546,0.885191777,1.061059308,1.266319402,1.484751266,1.720989413,1.981131885,2.27371594,2.57861804,2.904863287,3.246231678,3.606016156,3.98409476,4.38034553,4.795012386,5.23407141,5.703498683,6.172925956,6.666867358,7.179102886,7.718657642,8.26138338,8.822403244,9.412571749,10.01017986,10.62608211,11.26015651
AMEM_1,,0.029315992,0.046122554,0.063338367,0.080977072,0.099011386,0.118682703,0.141641667,0.166073934,0.192497888,0.221595612,0.254322027,0.288426252,0.324917772,0.363100863,0.403343848,0.445633087,0.489954938,0.536336684,0.585446768,0.637953633,0.690460498,0.745709342,0.80300444,0.863355277,0.924060797,0.986812571,1.052824709,1.11966899,1.188559525,1.259482671
ARBR_P,,0.02648808,0.041673428,0.05722855,0.073165771,0.089460439,0.107234199,0.12797847,0.150053924,0.173928941,0.200219808,0.22978933,0.260603755,0.29357519,0.32807502,0.364436042,0.402645929,0.442692355,0.484599973,0.528972745,0.576414634,0.623856523,0.673775891,0.725544125,0.780073332,0.834923008,0.89162155,0.951265951,1.011662224,1.073907363,1.137989041
ARMO_P,,0.006740059,0.010604067,0.014562166,0.018617492,0.022763774,0.027286419,0.03256493,0.038182168,0.044257317,0.050947194,0.058471346,0.066312271,0.074702061,0.08348076,0.092733052,0.102455799,0.112645865,0.123309523,0.134600455,0.146672343,0.158744231,0.17144653,0.184619284,0.198494585,0.212451431,0.226878733,0.242055628,0.257423841,0.273262509,0.289568497
AXMI1,,0.150745344,0.237166128,0.325691314,0.416391049,0.509125039,0.610276638,0.728333601,0.853966413,0.989840648,1.139463645,1.307745674,1.483112524,1.670755053,1.867095779,2.074028662,2.291483556,2.519390314,2.75788923,3.010417494,3.280412296,3.550407098,3.834501395,4.129117703,4.439446881,4.751599874,5.074274878,5.413714953,5.757433979,6.111675016,6.476367917
AYRR,,0.006465761,0.010172516,0.013969534,0.017859821,0.021837362,0.026175951,0.031239644,0.036628279,0.042456189,0.04887381,0.056091754,0.063613579,0.071661931,0.080083367,0.08895912,0.098286183,0.108061547,0.118291229,0.129122657,0.140703259,0.15228386,0.164469217,0.177105883,0.190416504,0.203805353,0.217645511,0.232204755,0.246947532,0.262141619,0.277784006
BAGA,,0.017781127,0.027974867,0.038416832,0.049115295,0.060053708,0.071985018,0.085910396,0.10072938,0.11675639,0.13440513,0.154254792,0.174940142,0.197073467,0.220232784,0.244641497,0.270291331,0.297174012,0.325306088,0.355092992,0.386940157,0.418787322,0.452297589,0.487048977,0.523653772,0.560473695,0.598534739,0.638573303,0.679116589,0.720900996,0.76391825
BAIN,,0.005216096,0.008206431,0.011269582,0.014407978,0.017616763,0.021116814,0.025201825,0.029548976,0.034250501,0.039427762,0.045250662,0.051318712,0.057811526,0.064605315,0.071765614,0.079289996,0.087176034,0.095428582,0.104166574,0.113508943,0.122851313,0.132681554,0.142875878,0.153613899,0.164415028,0.17558024,0.187325558,0.199218936,0.211476397,0.224095514
BARKC1,,0.058404362,0.091886992,0.126184947,0.161325403,0.197254005,0.236443902,0.282183567,0.330858398,0.383501138,0.44147066,0.506669387,0.574613037,0.647312742,0.723382453,0.80355596,0.887806086,0.976105653,1.068509017,1.166347873,1.270953917,1.37555996,1.485628673,1.599774005,1.720007089,1.840946786,1.965963102,2.09747483,2.230644384,2.367890557,2.509186172
BEAU_P,,0.016147844,0.02540524,0.034888059,0.044603816,0.054537483,0.065372844,0.078019108,0.091476897,0.106031747,0.122059365,0.140085739,0.158871039,0.17897131,0.200003332,0.222169986,0.245463758,0.269877134,0.295425142,0.322475974,0.351397822,0.38031967,0.410751856,0.44231116,0.475553627,0.508991461,0.543556413,0.579917239,0.616736427,0.654682733,0.693748643
BEDDT1,,0.016822608,0.02646684,0.036345915,0.046467661,0.056816422,0.068104557,0.081279266,0.095299411,0.11046246,0.127159819,0.145939455,0.16550973,0.186449924,0.208360804,0.231453729,0.25572087,0.281154399,0.307769973,0.335951169,0.366081564,0.39621196,0.427915805,0.460793867,0.495425426,0.530260515,0.566269821,0.604150046,0.642507785,0.68203974,0.722738084
BEDD_1,,0.071651915,0.112729234,0.154806813,0.197917993,0.241996091,0.290075226,0.346189778,0.405905265,0.47048868,0.541607123,0.621594533,0.704949483,0.79413928,0.887463482,0.985822323,1.089182461,1.197510554,1.310873286,1.430904414,1.559237695,1.687570976,1.822605995,1.962642311,2.11014723,2.258519041,2.411892149,2.573233991,2.736609693,2.904986692,3.078331646
BERW,,0.02242619,0.035282899,0.048452677,0.061945959,0.075741875,0.090790068,0.10835325,0.127043481,0.147257316,0.169516536,0.194551637,0.220640737,0.248556074,0.27776543,0.308550568,0.340901052,0.374806446,0.410287622,0.447855926,0.488022705,0.528189483,0.570453825,0.614283513,0.660450784,0.706889382,0.754893326,0.805391388,0.856526024,0.909226006,0.963480899
BESW_1,,0.097906162,0.154034776,0.211530158,0.270437868,0.330666787,0.396362778,0.473038474,0.554634536,0.642882202,0.740059421,0.849355318,0.963252668,1.085122833,1.212642306,1.347041179,1.488273893,1.636294889,1.791195285,1.955207469,2.130563829,2.305920189,2.490433896,2.681781444,2.883334195,3.086071478,3.295642602,3.516102312,3.739341118,3.969413765,4.206274694
