GSP,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
ABHA1,,127576.451,128095.0373,128611.976,129129.7206,129648.8111,130166.5543,130684.0267,131200.6913,131719.696,132236.9444,132754.7459,133271.8136,133790.2647,134307.8323,134825.7471,135390.2441,135910.5211,136429.492,136950.2952,137472.0005,137995.4455,138523.5518,139052.6674,139580.9108,140110.1232,140636.5224,141160.3938,141687.5251,142214.6903,142742.3429
ABNE_P,,23644.87072,23741.53674,23839.31603,23934.99972,24030.72763,24127.98644,24223.35535,24318.9889,24415.75227,24511.26813,24607.86662,24704.34316,24800.29379,24895.49051,24992.0897,25097.65654,25193.48917,25289.97914,25387.04126,25485.00543,25581.1801,25679.17056,25778.11024,25875.76139,25975.68216,26072.01388,26170.67407,26268.62302,26365.52302,26464.41505
ABTH_1,,146456.5793,147051.8463,147645.9436,148240.1219,148834.3538,149428.5326,150023.6953,150618.6508,151212.7802,151807.5179,152400.7752,152994.9187,153589.6835,154184.0128,154779.8123,155426.9803,156023.0334,156619.7989,157218.4706,157816.8297,158416.6847,159024.2159,159631.5084,160238.9429,160845.4253,161449.6449,162052.3782,162657.3732,163262.0135,163867.4653
ACTL_2,,10157.6108,10199.22457,10240.69984,10281.24032,10322.27855,10364.89805,10404.74171,10446.84193,10487.49733,10528.36449,10571.02162,10611.8976,10653.03497,10693.85903,10735.55234,10779.63103,10822.33124,10862.37756,10903.74094,10945.4831,10987.26844,11029.00236,11071.43262,11113.00598,11155.26459,11197.70332,11240.55381,11281.88554,11323.66802,11365.97261
ACTL_C,,18074.61493,18147.97302,18221.26368,18295.22729,18368.36234,18442.07089,18515.63055,18588.71079,18661.85167,18734.82561,18807.77563,18882.36758,18954.70039,19028.85776,19101.97958,19181.23924,19255.70535,19328.36384,19402.55539,19477.43662,19551.07739,19625.28317,19699.83513,19775.78758,19851.18247,19925.44847,19998.76561,20073.13235,20149.75503,20223.20012
ALNE_P,,11034.36994,11079.38381,11124.27914,11169.34241,11213.89844,11258.27978,11304.45673,11348.86149,11393.67706,11437.90535,11483.90249,11528.10841,11572.28736,11618.37428,11662.12735,11710.88472,11755.83916,11801.99027,11846.13432,11892.61357,11938.14654,11984.14467,12029.24592,12075.08238,12120.32469,12167.21961,12212.27401,12257.97566,12303.62167,12348.89282
ALST_3,,802.6053768,805.8009594,809.5539401,813.5533794,815.5261736,819.907353,822.3563432,825.8640629,829.5291861,832.3156929,836.5182109,838.9823113,842.9437962,845.5275475,848.4520129,851.8014919,854.9361068,858.1543485,861.7813204,865.4477577,868.1930448,871.392882,874.9644691,878.1505921,882.0441768,885.5754876,888.9754711,892.4252491,895.4001322,899.7331942
ALVE1,,99611.76044,100016.44,100420.9137,100825.5178,101229.4608,101633.4445,102037.7733,102442.683,102846.289,103251.7649,103655.3665,104060.1345,104462.9191,104868.7532,105271.6381,105712.0758,106118.7104,106524.802,106929.9798,107338.8599,107746.4974,108160.3952,108572.3809,108984.8341,109398.3827,109809.2619,110218.1068,110630.6974,111042.6246,111453.0812
AMEM_1,,41908.50503,42077.68174,42248.00562,42418.21943,42587.67006,42758.75291,42929.01917,43098.93461,43268.37862,43438.2986,43608.28441,43779.78199,43948.42761,44120.02237,44288.46835,44474.75469,44645.62404,44815.35855,44987.28813,45158.86952,45331.09535,45503.85713,45677.99498,45852.15213,46026.10284,46198.92028,46370.99737,46543.40915,46716.90569,46889.0153
ARBR_P,,14583.57234,14642.51122,14702.69656,14762.2664,14821.7333,14880.23304,14940.31442,14999.24834,15059.27625,15117.25554,15177.07833,15236.83147,15295.43701,15354.134,15413.8477,15478.39718,15538.51051,15598.32871,15657.93321,15718.08714,15777.09538,15838.6125,15898.89248,15960.23349,16019.99765,16080.95962,16139.46637,16200.95068,16260.29296,16322.16714
ARDK_P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARMO_P,,12427.29738,12478.5335,12529.18598,12579.28552,12629.90332,12681.01108,12730.54707,12782.27719,12831.30053,12882.87403,12933.05749,12983.16351,13034.57302,13085.03247,13135.56328,13190.91291,13241.22049,13290.97331,13343.21546,13394.01957,13444.1957,13495.62248,13548.8147,13600.07584,13651.96846,13703.33634,13754.72071,13804.70307,13855.93764,13907.5547
AXMI1,,103901.0464,104323.1502,104744.3098,105167.1702,105588.3076,106010.18,106432.0823,106852.9325,107274.9869,107696.5023,108119.111,108539.3873,108961.577,109383.619,109804.5883,110264.8717,110688.9706,111111.0971,111534.4639,111959.7675,112386.7037,112816.4647,113248.288,113678.5388,114109.5363,114537.2278,114964.2599,115393.159,115823.1508,116253.8474
AYRR,,19444.27845,19522.84245,19602.54541,19680.86104,19759.55404,19838.08422,19918.17695,19996.74133,20075.62831,20154.05257,20232.63341,20312.84998,20390.36678,20470.38349,20548.16331,20635.39927,20714.89608,20792.71993,20872.76583,20951.61504,21031.53356,21112.83257,21193.13476,21274.1704,21353.77067,21434.28443,21513.63073,21594.11673,21676.05453,21755.59242
BAGA,,15906.70801,15971.85518,16036.72805,16100.90204,16164.95288,16229.48995,16294.09123,16358.20089,16423.65588,16488.43129,16553.34169,16616.41327,16681.41407,16745.39483,16810.97746,16880.82089,16945.32003,17011.53653,17076.32162,17141.70008,17206.36556,17272.32298,17337.63313,17403.3481,17470.70089,17535.23406,17601.29,17666.15848,17732.39148,17797.64202
