GSP,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
ABHA1,,2.26785068,3.081367132,3.807503887,4.503262984,5.179036985,5.852588195,6.543690866,7.277750693,8.086135866,9.006885656,9.827303404,11.30373168,12.95075178,14.78560879,16.82509547,19.07812145,21.55853466,24.27154613,27.20504563,30.34433781,33.66762876,37.14758206,40.72785182,44.40258244,48.11277441,51.79356301,54.74965788,56.60351027,57.13585733,56.4444878
ABNE_P,,0.045992796,0.064150846,0.082272875,0.101069886,0.120594316,0.141243072,0.163854496,0.188378276,0.215426278,0.245845514,0.277469366,0.319072154,0.365662481,0.417504676,0.474921135,0.538686427,0.608612246,0.685328968,0.768010239,0.856634564,0.950479055,1.048748663,1.149967718,1.2534316,1.358385338,1.462397685,1.545513532,1.598031138,1.613242793,1.593659613
ABTH_1,,0.324316851,0.495839961,0.706911136,0.954168245,1.238862151,1.563740792,1.930818286,2.342134916,2.800298749,3.307965399,3.901847123,4.488056612,5.141855867,5.870351998,6.680104464,7.574685578,8.55952109,9.636593304,10.801234,12.04759723,13.36716215,14.7488235,16.17041029,17.62932186,19.10233716,20.56370514,21.73736163,22.47362942,22.68499236,22.41020923
ACTL_2,,0.024010945,0.054935807,0.10593074,0.172675331,0.255529578,0.354480453,0.46973512,0.600816507,0.747070161,0.907980402,1.108402684,1.275097308,1.460752351,1.667619252,1.89766516,2.151958436,2.43157093,2.737682316,3.068596,3.422597043,3.797400879,4.189849744,4.593696154,5.008286438,5.426607278,5.841736429,6.175296483,6.384276893,6.444566676,6.366670154
ACTL_C,,0.212716683,0.268653817,0.297312276,0.308006195,0.301811721,0.28065578,0.246632199,0.202283636,0.151551294,0.099105767,,,,,,,,,,,,,,,,,,,,
ALNE_P,,0.022320034,0.036860154,0.056496395,0.080855909,0.109186746,0.142768375,0.180863613,0.22379759,0.271772272,0.324859224,0.388499249,0.446939278,0.511965425,0.584543461,0.665293464,0.754235324,0.852287388,0.959662419,1.075472707,1.199752062,1.33102187,1.46873554,1.610131226,1.755508236,1.902016837,2.047730773,2.164434461,2.237821842,2.258708,2.231542842
ALST_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALVE1,,1.437274887,1.935512527,2.362608598,2.757323531,3.126978026,3.482572157,3.836973352,4.206502645,4.611871027,5.078324005,5.449523633,6.268268768,7.181558001,8.199112606,9.330079948,10.57936289,11.95485599,13.45929571,15.08590004,16.82689941,18.66967634,20.59939505,22.58476615,24.622555,26.67989457,28.72134092,30.36011871,31.38815671,31.68368503,31.30031357
AMEM_1,,0.573557225,0.857353013,1.192073924,1.57634761,2.012947289,2.505462958,3.058522755,3.6762624,4.36414295,5.127086752,6.006779877,6.909192797,7.915919082,9.037444276,10.28396098,11.66119537,13.17726098,14.83540398,16.62859512,18.54735546,20.57866172,22.70582827,24.89411068,27.14029812,29.40775977,31.65773075,33.46466107,34.59784913,34.92319758,34.5006337
ARBR_P,,0.037200056,0.064150846,0.102046613,0.149377865,0.205988129,0.272724204,0.348970388,0.435526376,0.531886753,0.638430775,0.767517768,0.882759675,1.011406863,1.154690209,1.31406474,1.490074665,1.683660926,1.895504862,2.124677612,2.369829098,2.629432951,2.901185947,3.18086187,3.467816761,3.757575369,4.044969555,4.276000275,4.420710072,4.462366558,4.408146366
